株式会社花畑牧場,タレントの[[田中義剛]]が[[代表取締役]]社長を務め、[[生キャラメル]]の製造販売事業で成長を遂げた。経営する牧場は本店所在地と同じ場所にあり、[[十勝地方]]の[[観光スポット]]の一つとなっている。食品事業では、北海道内外で、花畑牧場ブランドの生キャラメルやアイスクリーム・チーズ・プリン・菓子パン等を販売するショップや、[[イートイン]]が出来るカフェなどを展開している。また、販売されている商品のすべてが花畑牧場内で生産されている訳ではなく、他の企業へ製造委託されているものもある。通信・ネット販売に力を入れており、通信販売専門チャンネルである[[QVC]]に田中本人が出演し、さまざまな「花畑牧場」ブランドの商品を不定期に紹介、販売している。[[インターネット]]での販売も積極的に行っており、[[楽天市場]]や&lt;!--[[2008年]]（平成20年）[[11月11日]]に--&gt;[[Yahoo!JAPANYahoo!ショッピング]]にも出店している。
日本水産株式会社,水産事業、加工事業、物流事業、医薬品事業や船舶の建造・修繕および運航とプラント機材他の販売を行っている。1990年代前半まで自社で[[遠洋漁業]]を行っていたが撤退し、事業領域を整理した。売上規模では同業2社が経営統合した[[マルハニチロ]]に次ぐものの、ファインケミカル事業による高純度[[エイコサペンタエン酸]]の医薬品向け原料供給により、水産業のなかでは収益性が高い傾向にある。
株式会社アクシーズ,*代表取締役社長森久保一雄*代表取締役専務西中高寿*代表取締役森久保猛*代表取締役森久保照雄*監査役森久保国子*資本金1000万円*社員38名
株式会社ホーブ,*起点:茨城県[[筑西市]]下川島*終点:茨城県筑西市横塚*距離:10.6[[キロメートルkm]]&lt;refname&quot;mainichi-np-2014-10-7&quot;/&gt;*車線数:4車線（現在供用区間は全線[[暫定2車線]]）*規格:3種1級*設計速度:80[[キロメートル毎時km/h]]
株式会社いちまる,[[標高]]571m。古来から青森県（津軽地方）と秋田県（鹿角地方）との境界の指標となる山である。近くには[[坂梨峠]]が通っており[[津軽街道]]の要衝となっているほか、地下には[[東北自動車道]][[坂梨トンネル]]が通っている。江戸時代、[[盛岡藩]]（南部領）では、藩境付近の森林資源や鉱物資源を守るため、街道沿線にいくつかの番所を設けて警戒していた&lt;ref&gt;参考文献：鹿角市、1982〜1997、『鹿角市史』&lt;/ref&gt;。
農業生産法人株式会社宗谷岬牧場,宗谷黒牛は、黒毛和種、黒毛和種とアンガス種または黒毛和牛とホルスタイン種の交雑種などで宗谷岬牧場が独自に定める「生産基準」に基づいた品種である。宗谷岬牧場が定める独自の「飼料給与マニュアル」に沿って肥育され、北海道遺産である[[宗谷丘陵]]に広がる広大な牧草地で放牧されている。肉質は黒毛和牛の長所を受け継いでおり、柔らかな肉質、適度なサシ、脂の甘みが特徴である。生産規模は年間1000頭程度と非常に希少であり、宗谷管内のほか首都圏などで取引される。
株式会社安愚楽牧場,「繁殖母牛に出資すれば毎年生まれる子牛の売却代金で多額のリターンが望める」という触れ込みで、[[出資者]]から金を集める[[和牛預託商法オーナー制度]]の最大手。[[栃木県]]、[[北海道]]、[[宮崎県]]などで38ヶ所の直営[[牧場]]を運営し、[[黒毛和種黒毛和牛]]をはじめとする[[肉牛]]13万3386頭（預託農家346戸分を含む）を飼育していた。[[商号]]は明治初期に「胡坐鍋」とよばれた[[牛鍋]]をたのしむ庶民のすがたをえがいた[[仮名垣魯文]]による小説『安愚楽鍋』からとられている&lt;ref&gt;[http://www.agura-bokujo.co.jp/g-navi/profile/index.html安愚楽牧場会社概要]&lt;/ref&gt;。*飼育頭数13万3386頭（[[2011年]]（平成23年）10月15日時点）*負債総額4330億8300万円（2011年（平成23年）8月9日[[民事再生法]]適用申立時点）*[[和牛預託商法黒毛和牛委託オーナー]]被害者数7万3356人*黒毛和牛委託オーナー被害総額4207億6700万円
グローバルピッグファーム株式会社,*前作「[[思い出になるの?]]」から約11ヶ月ぶりのリリース*1ヶ月後にリリースを控えたオリジナル・アルバム『[[Ready(玉置成実のアルバム)Ready]]』の先行シングル。*前作同様CDのみの1形態でリリース。
株式会社サンライズファーム西条,[[日本経済団体連合会]]が提唱する「未来都市モデルプロジェクト」の1つである「西条農業革新都市」の推進母体である。[[GPS]]を活用した作業自動化など企業の先端技術を導入した先進農業を目指している。[[愛媛県]][[西条市]]神戸地区の約5ヘクタールの農地を借りて[[レタス]]や[[キャベツ]]などの野菜を栽培しており、[[2012年]][[3月]]にはレタスの出荷が開始された。&lt;ref&gt;[http://sankei.jp.msn.com/region/news/120308/ehm12030802090002-n1.htmレタス出荷、ハイテク農業加速]-MSN産経ニュース、2012年3月8日（2012年3月17日閲覧）。&lt;/ref&gt;出資に関しては[[西条市農業協同組合]]が出資を行ったが同じく西条市を拠点とする[[周桑農業協同組合]]はメリットが見えにくいことを理由に出資を見送っている。&lt;ref&gt;[http://www.asahi.com/business/topics/economy/TKY201108180110.html経団連、JAとハイテク化実験。企業の農業参入促す]-asahi.com（朝日新聞社）、2011年8月18日（2012年3月17日閲覧）。&lt;/ref&gt;
海洋エンジニアリング株式会社,日本の民間企業としては唯一、[[海洋調査船]]を自社保有しており、海底地形、海底地質、水産資源量などの海洋調査を行うほか、水域環境の保全、生態系の維持のための沿岸域海洋調査、[[環境影響評価]]などの海洋コンサルタント業務、[[水産試験場]]などの水産施設設計など、水域環境に関わる総合的なコンサルティング・エンジニアリング事業を展開している。このほか、関連企業の[[日本海洋日本海洋株式会社]]から環境機器事業を継承して、[[発泡スチロール]]減容機を製造している。
