太平洋炭礦株式会社,[[迫川]]の[[源流]]のほとりにたたずむ山あいの出湯で、1150年ごろのある日、山が崩れたのがきっかけで温泉が湧き出したといわれている&lt;ref&gt;[http://www.kuriharacity.jp/index.cfm/1248477html花山温泉温湯山荘-栗原市]&lt;/ref&gt;。古くは「寒湯」と書き、明治時代に[[栗駒山]]の[[火山活動]]の活発化により湯温が上昇し、それに伴って温泉名も「温湯」と改められた。
釧路コールマイン株式会社,[[ファイル:AldrovandaVesiculosaSeedsGermination.jpgthumb180pxleft種子からの発芽]]浮遊性の[[水草]]で、[[根]]は発芽時に幼根があるだけで通常はない。[[葉]]が[[ハエトリグサ]]と同じく[[二枚貝]]のような捕虫器官になっており、[[プランクトン動物プランクトン]]を捕食する。細長い茎を中心にして、捕虫葉が[[風車(玩具)風車]]のように放射状に[[輪生]]する。植物全体の印象は、似た和名を持ち小さな袋状の捕虫葉を持つ[[タヌキモ]]が[[二次元]]的・平面のように広がって見えるのに対し、ムジナモは[[三次元]]的・[[円柱(数学)円柱]]のように見える。和名は、その形が[[ムジナ]]の尾を連想することから付けられた。英名は'''Waterwheelplant'''と、[[水車]]の名が与えられている。茎は5cmから30cmほどの長さになり、夏期には1日に1cm伸びることもある。途中で脇芽を出して枝を伸ばし、基部が枯れ落ちていくことで分離、増殖していく。葉柄の長さは5mmから8mmで、その先に付く捕虫葉は5mm程度。捕虫葉の内側には[[ハエトリグサ]]と同じく感覚毛が生えているが、数は約40本と多く、1回の刺激で葉が閉じる。閉じる速さも50分の1秒とハエトリグサより遙かに速い。しかし捕虫葉が小さく水中にあるため観察は困難である。葉を閉じると狭窄運動を行い、[[消化酵素]]を出し、[[養分]]を吸収する。[[冬期]]は先端に冬芽（[[殖芽]]）を作り、水底に沈んで[[越冬]]する。[[春]]になると冬芽は浮上し、[[水温]]の上昇と共に成長していく。7月から8月、水温が30度を越えるようになると茎の途中から花茎を1本伸ばすが、花を咲かせることは希で閉鎖花の状態で終わってしまうことが多い。開花は昼の1時間から2時間ほどで、白もしくは緑白色の小さな花が1つ咲く。種子は翌年の初夏に発芽する。
ペトロナス,マレーシアは[[東南アジア]]で第2位の石油・[[天然ガス]]生産国で、液化天然ガスの輸出では世界2位に押し上げた国営企業である&lt;ref&gt;http://jp.wsj.com/articles/SB11810945248234553346004581487772320207718&lt;/ref&gt;。俗に新セブンシスターズの1社と位置づけられる。世界50カ国以上で石油探鉱など事業展開をしており、日本に対しても液化[[天然ガス]]市場において主要な輸出シェアを確保している&lt;ref&gt;http://www.petronas.com.my/about-us/Pages/default.aspx&lt;/ref&gt;。石油精製、天然ガスが事業の大半を占めており、海外事業は40％以上を占める&lt;ref&gt;http://www.petronas.com.my/investor-relations/Documents/Annual%20Report%202014.pdf&lt;/ref&gt;。マレーシア国内を中心に1000拠点以上の[[ガソリンステーション]]を運営している&lt;ref&gt;http://www.petronas.com.my/about-us/Documents/PETRONAS%20Corporate%20Profile%20Highlights.pdf&lt;/ref&gt;。石油化学製品は年間合計1千万トン以上を生産し、うち[[メタノール]]は世界第4位の生産者である。[[2008年]]には原油価格高騰とともに増員を進めたが、[[2015年]]からは原油安の長期化による影響で赤字転落し、従業員の減給や解雇などの[[リストラ]]策を余儀なくされた&lt;ref&gt;http://www.nikkei.com/article/DGXKZO93894820S5A111C1FFE000/&lt;/ref&gt;&lt;ref&gt;http://www.nikkei.com/article/DGXLASDX03H03_U6A300C1FFE000/&lt;/ref&gt;。本社ビルは[[クアラルンプール]]にあり、[[ペトロナスツインタワー]]として知られている。2008年11月から、日本の[[潤滑油]]市場に高性能[[エンジンオイル]]「SYNTIUM」シリーズを投入。日本での販売は株式会社ペトロプランが行う。[[マレー半島]]最南部[[ジョホール州]]では、RAPID(RefineryandPetrochemicalsIntegratedDevelopment)計画という大規模な製油所・石油化学コンプレックスの建設を計画しており、ピーク時で70000人の雇用を巻き込むと公表している&lt;ref&gt;http://www.petronas.com.my/about-us/Documents/PETRONAS%20Corporate%20Profile%20Highlights.pdf&lt;/ref&gt;。マレーシアの自動車メーカー[[プロトン(自動車)プロトン]]の株主でもある。[[2013年]]に世界最大の石油・液化天然ガス[[タンカー]]の所有企業のMISCを約88億RMで買収&lt;ref&gt;http://www.malaysia-navi.jp/news/?moded&amp;i1578&lt;/ref&gt;。1997年にマレーシアに[[ペトロナス工科大学]]（UTP：UniversitiTeknologiPETRONAS）を設立、専門技術教育に取り組んでいる&lt;ref&gt;https://oilgas-info.jogmec.go.jp/pdf/1/1593/200703_033a.pdf&lt;/ref&gt;。
石油資源開発株式会社,[[北海道]]、[[秋田県]]、[[山形県]]、[[新潟県]]の[[油田]]、[[ガス田]]にて採掘を行う。官営企業から民間企業に転身。研究部門では、[[GTL]]燃料、[[メタンハイドレート]]、[[オイルサンド]]の研究開発も手がけるほか、[[パイプライン輸送]]に関しては日本屈指の技術力を有しており、[[サハリン州サハリン]]沖からの[[天然ガスパイプライン]]計画にも参画している。近年では海外シフトを標榜し、[[イラク]]のガラフ油田、[[カナダ]]でシェールガスの権益などを獲得している。
八戸鉱業株式会社,2013年10月1日に新日鐵住金が保有する全株式（持株比率70%）を[[日鉄鉱業]]に譲渡し、同社の子会社となった。それにともない、2014年4月1日に社名を八戸鉱山株式会社に変更した。
共立マテリアル株式会社,[[1980年]]9月創刊、[[1985年]]4月休刊。[[ラジオ番組]]と[[ラジオパーソナリティ]]の情報が中心であったが、音楽情報や[[プロマイド]]の売り上げランキング、更には冒頭のカラーページに[[水着]]姿を含むアイドルの[[グラビア写真グラビア]]があるなど、芸能誌にも近いような内容もあった。また中には『[[アメリカ横断ウルトラクイズ]]』、『[[新春かくし芸大会]]』、『[[西部警察]]』の撮影レポートや『[[森田一義アワー笑っていいとも!笑っていいとも!]]』の[[テレフォンショッキング]]の出演者リストなど、ラジオに関係ないテレビの情報を扱っていたこともあった。インタビューに登場する人は[[ディスクジョッキーDJ]]、パーソナリティ中心であったが、時に[[勝新太郎]]など大物俳優が登場したこともあった。時としてラジオ情報から大きく外れたような企画も行ったことがあり、[[1983年]]の夏には女性の[[スカート]]の中の[[パンチラ]]の隠し撮り写真を掲載したり、翌[[1984年]]の夏には『ラジカセGAL』という企画を行い、応募した中から選ばれた女性読者に[[パジャマ]]姿、水着姿を披露させて、更には[[下着]]のいっぱい入っている棚の写真まで掲載していた（同じモーターマガジン社から刊行されている『月刊カメラマン』のノウハウを利用したものとも考えられる）。また、当時の『全国DJ人気投票』のコーナーで上位にいることが多かった[[松田聖子]]や、[[中森明菜]]、[[薬師丸ひろ子]]の露出が本誌上で比較的多かったこともあった。ミスターDJ・[[糸居五郎]]が生涯最後の取材を受けたのも本誌である（1984年10月号）。また、編集部が非公式にではあるが公開されており、訪問した読者の多くは誌面に写真が掲載されていた。
奥多摩工業株式会社,[[画像:神戸公園20070708wiki.jpgthumb250pxleft神戸公園]][[画像:鈴鹿神戸城大手門.jpgthumbleft250px神戸城大手門]][[画像:KanbeCastle.jpgthumb250pxleft古絵図面）]][[神戸氏]]4代の[[神戸具盛(4代目当主)神戸具盛]]が[[天文(元号)天文]]年間（[[1532年]]-[[1555年]]）に築城し、本拠地を澤城（神戸西城）から移した。[[滝川一益]]の侵攻に和睦し養子にうけいれた[[織田信長]]の3男[[織田信孝神戸信孝]]により、より強固に修築された。城主は度々代わり、[[関ヶ原の戦い]]以降は[[一柳氏]]が5万石で入った。その後一時期[[天領]]となった時期もあったが、[[慶安]]3年（[[1650年]]）、[[石川総長]]が1万石で当地に封じられた。[[享保]]17年（[[1732年]]）には[[本多忠統]]が2万石で封じられ、城を修築し入城した。以降[[明治維新]]まで、[[本多氏]]7代が居城として用いた。本丸には野面積みの天守台があり、かつては神戸信孝により5重6階の[[天守]]が築かれ、北東に小天守と南西に付櫓がある複合連結式の天守であったことが確認されている。天守は[[文禄]]4年（[[1595年]]）に解体され、[[桑名城]]に三重櫓として移築され神戸櫓と呼ばれた。現在城の中心部は神戸公園となり、二の丸跡には、[[三重県立神戸高等学校]]が建てられている。{{-}}&lt;!--縄張りは本丸を中心に二の丸には二重櫓太鼓櫓があり、三の丸には大手門と隅櫓、西曲輪に搦手門、南曲輪を配した造りとなっている。--&gt;
株式会社合同資源,千葉事業所のブローアウトプラントは単一工場として日本最大のヨウ素製造能力を誇り、世界の需要の約7%を供給している&lt;ref&gt;合同資源、[http://www.godoshigen.co.jp/strength/私たちの特長]2015年（平成27年）10月11日閲覧&lt;/ref&gt;。同じく千葉県で天然ガス及びヨウ素を生産する[[関東天然瓦斯開発]]を傘下に持つ[[K&amp;Oエナジーグループ]]の大株主でもある。一時期、関東天然瓦斯開発とは、互いに一方が他方の筆頭株主という奇妙な株式持ち合い関係にあった&lt;ref&gt;[[村上ファンド]]、[http://web.archive.org/web/*/www.maconsulting.co.jp/PDF/030325_KNGD_PR.pdf関東天然瓦斯開発に対する株主提案について](2003年3月25日)&lt;/ref&gt;。
三井石油開発株式会社,主演の谷啓が尊敬し、また芸名の由来でもあるアメリカのボードビリアン、[[ダニー・ケイ]]の映画『[[虹を掴む男(映画)虹を掴む男]]』を下敷きにした、夢見る純情男を巡るドタバタを描いたファンタジックな作品。[[酒井和歌子]]がマドンナとして登場し、主人公のライバル役で[[宝田明]]も出演、また[[平田昭彦]]も悪役で姿を見せている。さらに当時、子供たちを中心に国民的な人気を博した“[[ケロヨン]]”を思わせるキャラクター・“ガマラ”も、主人公の相棒的存在として登場している。
近江鉱業株式会社,[[伊吹山]]は古くより良質の[[石灰石]]が産出されており[[セメント]]などの原料として諸方面に利用できることに着目し1944年2月に長岡石灰工業を設立。輸送拠点として[[東海道本線]][[近江長岡駅]]が至近に位置したこともあって採掘した石灰石の運搬に利用された。当初は石灰石の採掘・供給が主力であったが、平成期に入ってからは[[グラスファイバー]]・[[食品添加物]]への応用利用が開発・研究されており、新しい事業の柱となっている。親会社である愛知製鋼との共同事業も併営している。また、技術指導にも注力しており、[[トルコ]][[セピオライト鉱山]]への技術指導員の派遣も行っている。
MMXミネラカオ,{{節stub}}
