日本製紙株式会社,前身となる企業は十條製紙、東北振興パルプ（[[1968年]]（昭和43年）合併）、山陽国策パルプ（[[1993年]]（平成5年）合併）、大昭和製紙（[[2003年]]（平成15年）合併）の4社で、会社設立年度は存続会社・十條製紙の設立年度である[[1949年]]（昭和24年）としている。十條製紙と山陽国策パルプの合併で社名を日本製紙とした。もともと、十條製紙は[[1949年]]（昭和24年）に[[過度経済力集中排除法]]によって旧[[王子製紙(初代)王子製紙]]が3社に分割された内の1社である（他2社は苫小牧製紙、本州製紙）。[[1968年]]（昭和43年）に3社の再合併が発表されたものの実現には至らず、[[1996年]]（平成8年）新王子製紙（苫小牧製紙から改称した王子製紙と神崎製紙が合併）と本州製紙が合併、王子製紙が発足し、十條製紙だけが異なる道を歩むことになった。なお、3社分割時に十條製紙が旧王子製紙の創業地である王子工場（1943年閉鎖）跡も引き継いだため、日本製紙の登記上の本店所在地は現在も[[東京都]][[北区(東京都)北区]][[王子(東京都北区)王子]]である。[[2001年]]（平成13年）に、持株会社日本ユニパックホールディングの下で日本製紙と大昭和製紙との経営統合が実施され、両社の洋紙営業部門はこの時に「日本紙共販」として合併した。[[2003年]]（平成15年）に日本製紙と大昭和製紙が正式に合併し「新生」日本製紙が誕生。またこのとき両社の板紙部門が整理・統合され、新たに[[日本大昭和板紙]]が発足した。[[2004年]]（平成16年）[[10月1日]]に持株会社の社名も株式会社[[日本製紙グループ本社]]に統一された。[[洋紙]]事業の主力製品は、[[新聞紙新聞用紙]]、印刷出版用紙、情報用紙、産業用紙の4種類。特に新聞用紙は、日本国内[[市場占有率シェア]]の37%を占める。なお、印刷出版用紙は[[上質紙]]・[[塗工紙]]・[[微塗工紙]]など、情報用紙は[[ノーカーボン紙]]・[[複写機]]用紙・[[感熱紙]]・[[インクジェットプリンター#インクジェットプリンター用紙インクジェット用紙]]など、産業用紙は[[コップ紙コップ]]・[[壁紙]]など各種紙加工品の原紙や[[クラフト紙]]を指す。[[2012年]]（平成24年）10月1日に、グループの板紙部門である日本大昭和板紙、紙パック部門である[[日本紙パック]]、化成品部門である[[日本製紙ケミカル]]の3社を吸収合併。さらに[[2013年]]（平成25年）[[4月1日]]に持株会社であった日本製紙グループ本社を吸収合併し、中核会社となった。前身の十條製紙が[[三井財閥]]傘下の初代王子製紙の流れを汲み、同じく前身の山陽国策パルプが旧[[富士銀行]]をメインバンクとしていたことから[[三井グループ]]と[[芙蓉グループ]]に属しており&lt;refname&quot;六大企業集団の無機能化&quot;&gt;{{PDFlink[https://doors.doshisha.ac.jp/duar/repository/ir/15981/17064050004.pdf六大企業集団の無機能化]}}-[[同志社大学]]学術情報検索システム内にあるページ。筆者は[[経済学者]]の[[田中彰(経済学者)田中彰]]。&lt;/ref&gt;、三井系の二木会&lt;refname&quot;六大企業集団の無機能化&quot;/&gt;・三井業際研究所&lt;ref&gt;[http://www.mitsui-gyoosai.com/kaisha.html会員会社-三井業際研究所]&lt;/ref&gt;・[[綱町三井倶楽部]]&lt;ref&gt;[http://tsunamachimitsuiclub.co.jp/members/綱町三井倶楽部会員会社一覧]&lt;/ref&gt;・月曜会・三井文庫&lt;ref&gt;[http://www.mitsui-bunko.or.jp/foundation/support.html公益財団法人三井文庫【賛助会社】]&lt;/ref&gt;に加盟する一方芙蓉グループの社長会・芙蓉会&lt;refname&quot;六大企業集団の無機能化&quot;/&gt;にも加盟している。但し三井広報委員会と芙蓉懇談会には加盟していない。
王子ネピア株式会社,[[日本]]の大手[[製紙業製紙会社]]・[[王子製紙]]の持株会社である王子ホールディングスを[[親会社]]とする衛生用紙専門の製紙会社であり、[[ティッシュペーパー]]や[[トイレットペーパー]]、[[キッチンペーパー]]、[[紙おむつ]]などを生産する。製品のブランド名は「ネピア(nepia)」で[[1971年]]の販売開始。ブランド名は、同時期に王子製紙が[[パルプ]]工場を新設した、[[ニュージーランド]]の都市[[ネーピア]](Napier)に由来する&lt;refname&quot;shashi-p129&quot;&gt;社史本編、p129&lt;/ref&gt;。生産量を基準とした衛生用紙の国内[[市場占有率]]（シェア）は約11%（2009年）であり、[[大王製紙]]（エリエール）・[[日本製紙クレシア]]に次ぐ第3位&lt;ref&gt;『日経市場占有率』2011年版、pp202-203&lt;/ref&gt;。会社の設立は、製品発売開始と同じ1971年。元々は販売会社で生産は王子製紙が担当していたが、[[2003年]]4月に王子製紙の生産部門を統合し、生産・販売を一元化した会社として発足した。また同時に、旧[[本州製紙]]系のグループ企業である[[#ホクシーの沿革ホクシー]]も統合している。傘下に、[[中華人民共和国]]を拠点とする王子製紙ネピア（蘇州）有限公司を持つ。中国でのブランド名は「{{langzh}}(nepia)」。
丸富製紙株式会社,[[和久井映見]]が知的障害者という難役を演じた。また、[[堤真一]]の民放連続ドラマ初出演作となった。{{要出典範囲平均視聴率は23.5%date2017年8月}}、{{要出典範囲最高視聴率は25.9%を記録date2017年8月}}。また、{{要出典範囲主題歌として起用された[[Mr.Children]]の「[[名もなき詩]]」は当時の歴代最高初動売上（約120.8万枚）を記録しdate2017年8月}}、{{要出典範囲累計で約230万枚を売り上げる大ヒット曲となったdate2017年8月}}。1996年6月21日にVHS化され、[[2010年]]3月3日にDVD-BOXが発売された。
レンゴー株式会社,懲罰委員会は、衆議院、参議院にそれぞれ置かれる常任委員会である。懲罰委員会が最初に置かれたのは、[[1947年]][[5月20日]]に召集された第1回国会である。衆参の懲罰委員会はそれぞれの[[議院規則]]により所管が定められており、議員の懲罰に関する事項、議員の資格訴訟に関する事項を対象とする（衆議院規則92条17号、参議院規則74条17号）。議院は議決をもって戒告・陳謝命令・登院停止・[[除名]]の懲罰を議院所属の議員に下すことができる。その場合、懲罰委員会に諮らなければならないことが[[国会法]]に定められている。しかし、[[懲罰事犯]]のような案件は&quot;稀&quot;であるため、懲罰委員会の開催も稀である（[[衆議院議員総選挙]]や[[参議院議員通常選挙]]後の[[特別会]]、[[常会]]・[[臨時会]]で、委員長就任の挨拶や理事の選任などが行われる程度）。そのため通常時の懲罰委員のポストには、[[与党与]][[野党]]とも国会外で多忙な大物重鎮議員（&quot;上がりポスト&quot;である[[内閣総理大臣]]や[[衆議院議長]]の経験者など）があてがわれることが多い。なお、衆議院懲罰委員会は議員資格争訟についても所管事項とされているが（衆議院規則92条17号）、参議院懲罰委員会については議員資格争訟は所管外となっている（参議院規則74条17号）。これは参議院の資格争訟手続においては資格争訟特別委員会が設けられ当該委員会が手続を所管することとなっているためである（参議院規則193条の2）。委員会の委員は、議院において選任される（国会法42条1項）。委員の選任は、すべて議長の指名によって行われる（衆議院規則37条、参議院規則30条1項）。実際には、各[[議院運営委員会]]において、各[[院内会派会派]]の議席数に応じて各委員会の委員の員数も配分され、個別の人事は配分された員数の範囲内で各会派によって行われる。委員長は、委員の互選（国会法第25条）もしくは議長において指名（衆議院規則第15条第1項、参議院規則16条2項）で選任されると定められているが、後者の場合がほとんどである。この場合、事前に各会派間で協議された常任委員長各会派割当てと会派申出の候補者に基づいておこなわれる。なお、委員長に事故があった場合は理事が職務を行うことになっている（衆議院規則第38条第2項、参議院規則31条3項）。理事の選任は委員の互選（衆議院規則第38条第2項、参議院規則32条2項）となっているが、第1回国会以来すべて委員長の指名により行われている。理事の員数および各会派割当ては議院運営委員会で決定した基準により、[[選挙]]など会派の構成が大きく変わった際に見直される。
株式会社トーモク,ストーリーは『雪の女王』をベースとしながら、アンデルセン童話と比較してゲルダの年齢が高めに設定されていたり、ゲルダが自分の明確な意志でカイを探し求める旅に出る、雪の女王を善意の人として描いている、などの改変がある。また、ゲルダと旅をする吟遊詩人のラギは、アニメオリジナルのキャラクターである。内容的には『[[ガンバの冒険]]』、『[[白鯨伝説]]』、『[[宝島(テレビアニメ)宝島]]』などの過去の出崎作品同様[[ロードムービー]]的な要素が強く、メルヘン色は薄い。終盤では「復活する[[魔王]]との戦い」をメインとしたヒロイックなストーリーも展開された。他のアンデルセン童話の要素も数多く織り込まれている。また、アンデルセン童話を伝説として紹介した上でアニメオリジナルのストーリーが多くなっている。作画は全体的に[[劇画]]風となっている。特徴として静止画が挿入されたり、画面を二分割にしたり、キャラクターをたくさん並べる演出が多用されている。
特種製紙株式会社,笠間市金井を通る[[国道50号]]を金井交差点で分岐して[[八溝山地]]内を北上し、城里町徳蔵、同町塩子を経て、常陸大宮市小舟の茨城県道12号那須烏山御前山線に接続する延長約41kmの県道路線であり、主要地方道でもある。途中、常陸大宮市金井を通る[[国道123号]]と交差、一部重用する。大別して*笠間市金井（[[国道50号]]交点）-城里町徳蔵（[[茨城県道112号阿波山徳蔵線]]交点）*城里町徳蔵（[[茨城県道112号阿波山徳蔵線]]交点）-城里町塩子（[[茨城県道51号水戸茂木線]]交点）*城里町塩子（[[茨城県道51号水戸茂木線]]交点）-常陸大宮市金井（[[国道123号]]交点）*常陸大宮市金井（[[国道123号]]交点）-常陸大宮市小舟（[[茨城県道12号那須烏山御前山線]]交点）の4区間に分かれる。元々これらの区間は各々独立した路線であったが[[1966年]]（[[昭和]]41年）[[6月1日]]に県道小舟笠間線として路線認定され、その後[[1977年]]（昭和52年）[[2月14日]]に主要地方道笠間緒川線に変わり今日に至っている。現在でも国道や県道、市・町道との交点で十数か所におよぶ多数の屈曲箇所があるのはこれら複数路線を接合させた名残である。路線名の「緒川」は、[[平成の大合併]]で成立した常陸大宮市の旧自治体のひとつであった[[緒川村]]に由来する。
ニッポン高度紙工業株式会社,*[[資本金]]4000万円*[[代表取締役社長]]北村馨
中越パルプ工業株式会社,タイトル及び歌詞は、19世紀[[米国]]の[[童謡]]「[[メリーさんのひつじ]]」(Maryhadalittlelamb)から取っているが、この曲での「メアリー」にはポールと[[リンダ・マッカートニー]]の長女、メアリー・マッカートニーが擬されている。バックコーラスにはリンダ、メアリー、リンダの連れ子であるヘザーが加わっている。地元イギリスでは9位を記録した&lt;refnamechart&gt;''チャートはイギリスが『[[ミュージック・ウィーク]]』、アメリカが『[[ビルボード]]』での最高位を示す。''&lt;/ref&gt;が、アメリカでは28位に終わった&lt;refnamechart/&gt;。
旭紙業株式会社,資生堂フィティットから発売されていたセルフ美白化粧品シリーズ。後継となる[[AQUALABELアクアレーベル]]の「青の美白ライン」が[[2006年]]に誕生し、事実上の消滅となった。
王子マテリア株式会社,王子グループの「生活産業資材カンパニー」に属する企業の一つである&lt;ref&gt;王子ホールディングス「[http://www.ojiholdings.co.jp/group/business/index.html王子グループ事業領域の紹介王子ホールディングスの体制について]」。2012年10月23日閲覧&lt;/ref&gt;&lt;refname&quot;oji120514&quot;&gt;王子製紙（2012年5月14日）「{{PDFlink[http://www.ojiholdings.co.jp/content/files/news/2012/4-6/120514_bunkatsu.pdf持株会社制移行に伴う会社分割および商号変更に関するお知らせ]}}」。2012年10月23日閲覧&lt;/ref&gt;。[[段ボール#段ボール原紙段ボール原紙]]や[[白板紙]]などの[[板紙]]と、[[紙#包装用紙包装用紙]]を中心に製造・販売する製紙会社である。[[2012年]]10月に実施された王子グループの持株会社制への移行にあわせて旧社名の王子板紙から社名を変更した。この際、従来からの段ボール原紙・特殊板紙の製造販売事業および白板紙の製造事業に、[[王子製紙]]から継承した白板紙の販売事業、包装用紙の製造販売事業が加わった&lt;ref&gt;王子マテリア「[http://www.ojimateria.co.jp/materia01/index.html王子マテリアについてトップメッセージ]」。2012年10月23日閲覧&lt;/ref&gt;。グループ再編前にあたる[[2010年]]の時点では王子板紙の紙生産量は約265万[[トン]]で、生産量では日本国内で[[日本製紙]]・[[王子製紙]]に次ぐ第3位&lt;ref&gt;「[http://www.kamipa.co.jp/info/statistics/006.htmlグラフで見る紙の統計データ6.世界と日本の製紙会社]」、[[日本紙パルプ商事]]、2012年10月23日閲覧&lt;/ref&gt;の規模を持つ。段ボール原紙の国内[[市場占有率]]（シェア）は約27%（2009年）で首位&lt;ref&gt;『日経市場占有率』2011年版、pp202-203&lt;/ref&gt;。前身の王子板紙は[[2001年]]設立。当初は王子製紙グループの段ボール原紙共同販売会社であったが、[[2002年]]に王子製紙の段ボール原紙製造部門と、メーカー3社（高崎三興・中央板紙・北陽製紙）を統合して製造・販売を一体化し新発足した。
丸住製紙株式会社,顧客に直接訪問することなく[[販売]]をすることが出来るので、セールスの視点からすると低コストである&lt;ref&gt;フィリップ・コトラー著『マーケティング原理第9版』（ダイヤモンド社、2003年）692頁参照。&lt;/ref&gt;。大きく分けて'''インバウンド業務'''と'''アウトバウンド業務'''があり、'''スクリプト'''を元にして'''オペレータ'''（コミュニケーターとも呼ばれることが多い）が直接電話で顧客と接する。単に資料請求や商品販売をするだけでなく、'''お客様センター'''として顧客からの問合せへの対応をする部署として、また、[[顧客関係管理]]を強化する上でも、企業の中では重要な位置づけであるため、必ずしも販売をすることだけが目的ではない。ダイレクトマーケティグ、顧客関係管理の中で、あたかも顧客それぞれに担当者が付いているかのような[[コミュニケーション]]展開が可能であり、顧客との濃密な関係作りをすることが可能となる。しかし、濃密となるがために、丁寧な言葉遣い、接し方、時には親しみを込めた接し方は大事であり、企業の[[ブランドブランド形成]]を担うものであり、接し方を誤るとブランド形成を大きく損なうことさえある。この場合のブランドとは、[[経験ブランド]]として蓄積がなされる。従って、いわゆる[[電話勧誘販売]]は売ることだけが目的であり、顧客との良好な関係を目指すテレマーケティングが本来目指しているものとは異なる。[[コールセンター]]、あるいは[[コンタクトセンター]]と呼ばれる仕組みを構える必要があるため、大がかりな設備と人材が必要になる。そのため、テレマーケティングを事業として行っている会社は上場している企業もある。いずれにしても、問合せや注文への応対を1か所に集中させることによって、効率の良い人材配置を行うことが出来る。
