三菱ケミカルメディア株式会社,2018年現在、マクセル（[[マクセルホールディングス]]、旧・日立マクセル）と並ぶ記録メディアの大手製造メーカーであり、[[CD-R]]の製造時から、記録色素に[[アゾ]]色素を採用し、耐久性と保存性の高さで好評を博している。最新の[[Blu-rayDisc]]メディアのほか、[[DVD-RAM]]を除く記録型[[DVD]]メディア各種（DVD-RAMは販売はしているが、他社からOEM供給を受ける立場。これは同じ三菱グループの[[三菱電機]]が元々は[[DVD-RW]]陣営であったことが考えられる）、CD-Rおよび[[CD-RW]]、[[光磁気ディスクMO]]の生産を手掛け、またDVDメディアの生産においては、記録色素の外販などを行っている。日本（[[岡山県]][[倉敷市]]の水島工場）でのBlu-rayメディアとMOの生産のほか、海外では[[シンガポール]]に自社工場を構え、また[[台湾]]や[[インド]]の工場に、記録色素と製造ラインを持ち込みの上で、メディア生産を委託している。記録メディアの製造拠点を早くから海外に移したことでも広く知られている。2008年辺りから極端な円高の影響や、ブランド戦略の見直しなどにより、生産拠点を海外に移す動きもみられる。2017年4月1日に親会社だった[[三菱化学]]が[[三菱樹脂]]、[[三菱レイヨン]]と合併して[[三菱ケミカル]]が発足したことに伴い、当社も三菱ケミカルメディア株式会社に商号変更した。
クラシエホールディングス株式会社,
ライオン株式会社,1891年（明治24年）10月に[[小林富次郎]]によって設立された。化粧石鹸、洗濯用石鹸を出発点として、[[1896年]]（明治29年）に粉ハミガキ「獅子印ライオン歯磨」を発売した。現在、東京証券取引所第一部に[[株式公開上場]]、本社は東京都墨田区本所一丁目3番7号にある。また、[[みずほグループ]]（旧・[[第一勧銀グループ三金会]]←十五社（日本勧業銀行系）会）の一員でもある。事業分野的に[[花王]]が最大の競争相手企業になる。競合するほとんどの商品シェアは花王に次ぐ第2位であるが、創業品目の歯磨きは現在でもトップシェアを誇る。商品開発力はかなり高く、[[1966年]]（昭和41年）に発売されたローションタイプの台所用洗剤「ママレモン」が、台所用洗剤の代名詞としてあまりにも有名な存在である。さらに、「[[ライポンF]]」（現在は業務用のみ）は、世界初の台所用洗剤であると[[社史]]に記されている。尚、欧米諸国では、台所洗剤というと、台所用液体洗剤を指すため、液体洗剤としては、世界初の米国、世界第2位及び第3位の欧州諸国に次いで、液体[[ライポンF]]がアジア初ならびに世界第4位となる。[[戦前]]の一時期、[[プロ野球]]「[[松竹ロビンスライオン軍]]」（現在の[[横浜DeNAベイスターズ]]の系譜の前身）のスポンサーとなり、[[戦後]]は[[パシフィック・リーグ]]（パ・リーグ）を中心に[[野球]]との関わりが強い時期があった。ちなみに戦後パ・リーグ発足とともに設立された[[埼玉西武ライオンズ西鉄ライオンズ]]（設立当初は西鉄クリッパース）とは資本上の関係はないが、「ライオン」で共通することから宣伝面でのタイアップを申し出て球団歌「[[西鉄ライオンズの歌]]」を贈呈している。
アキレス株式会社,
株式会社コーセー,有理化をすることで計算がしやすくなったりする。例えば:&lt;math&gt;¥frac{1}{2+¥sqrt{3}}¥frac{1(2-¥sqrt{3})}{(2+¥sqrt{3})(2-¥sqrt{3})}¥frac{2-¥sqrt{3}}{4-3}{2-¥sqrt{3}}&lt;/math&gt;などがあげられる。抽象[[代数学]]的にはこの例は、'''Q'''を有理数体、''d''&amp;isin;'''Q'''が有理数の[[冪乗平方]]ではないとしたとき:&lt;math&gt;¥mathbb{Q}(¥sqrt{d})¥left¥{¥frac{a+b¥sqrt{d}}{a'+b'¥sqrt{d}}¥¥Big¥aa'bb'¥in¥mathbb{Q}¥right¥}&lt;/math&gt;という'''Q'''の二次拡大体を考えると、:&lt;math&gt;¥mathbb{Q}(¥sqrt{d})¥mathbb{Q}[¥sqrt{d}](¥{a+b¥sqrt{d}¥midab¥in¥mathbb{Q}¥})&lt;/math&gt;が成り立つ、という主張に一般化できる。これは''K'''''Q'''({{sqrt''d''}})の各元''a''+''b''{{sqrt''d''}}に対し、その拡大''K''/'''Q'''に関する共役元''a''−''b''{{sqrt''d''}}を掛ければ:&lt;math&gt;N(a+b¥sqrt{d}):(a+b¥sqrt{d})(a-b¥sqrt{d})a^2-b^2d&lt;/math&gt;（この''N''(''a''+''b''{{sqrt''d''}})は''a''+''b''{{sqrt''d''}}の（拡大''K''/'''Q'''に関する）[[ノルム(体論)ノルム]]と呼ばれる。）が'''Q'''に属すということから''まさに有理化によって''証明されるわけである。一般に、体''K''の（有限次ガロア）拡大体''L''の元に対し、その元の拡大''L''/''K''に関する共役元（二次拡大ではただ一つだが、一般には複数ある）をすべて掛け合わせたものを、その元のノルムとよぶが、ノルムは下の体''K''に属する。したがって同様のこと、つまり有理化は共役元が全て計算できるならば、二次拡大に限らず行える。
グラクソ・スミスクライン株式会社,[[ステロイド]]吸入剤などの[[気管支喘息]]治療薬や[[ヒスタミンH2受容体拮抗薬]]「[[ザンタック]]」などを開発・発売していたグラクソと、[[ゾビラックス]]（抗[[ヘルペスウィルス]]剤）や[[ジドブジンレトロビル]]（抗[[HIV]]薬）など世界で初めて[[抗ウイルス薬]]の開発に成功したバローズ・ウェルカムが[[1995年]]に合併（日本法人は1998年に合併）して'''グラクソ・ウエルカム'''となった。その後、世界初の[[ヒスタミンH2受容体拮抗薬H2ブロッカー薬]][[シメチジンタガメット]]や、オーグメンチン（[[ペニシリン]]系[[抗生物質]]）、[[パキシル]]([[選択的セロトニン再取り込み阻害薬SSRI]])など世界的売上規模を誇る製品を開発・発売してきた'''スミスクライン・ビーチャム'''とグラクソ・ウエルカムが[[2000年]]に合併（日本法人は2001年1月に合併）して発足した。ザンタックとタガメットは同薬理をもつ同効の競合品であり、自社品同士での競合を避けるために、タガメットは他社販売へ移管している。日本では、タガメットは[[大日本住友製薬]]が販売、ザンタックは[[第一三共]]との&lt;!--コプロモーションという形で--&gt;共同販売活動を行っていたが、[[2008年]][[4月1日]]から自社流通のみに変更した。なお、グラクソ・ウエルカム、グラクソ・スミスクラインそれぞれの合併時に売上規模などで世界1位となったが、その後[[ファイザー]]が[[ワーナー・ランバート]]（2000年）、[[ファルマシア]]（2003年）などを買収して世界1位となっている。[[ルコゼード]]、[[ライビーナ]]とその事業基盤を[[サントリー食品インターナショナル]]に2106億円で譲渡した&lt;ref&gt;{{citenewslanguageauthorurlhttp://www.zaikei.co.jp/article/20130909/150438.htmltitleサントリーBF:英グラクソの飲料ブランド「ルコゼード」「ライビーナ」事業を2106億円で譲受publisherdate2013-9-9accessdate2014-5-17}}&lt;/ref&gt;。日本では、2002年に[[アース製薬]]と米国のブロックドラッグが提携していた「ブロックドラッグジャパン」（旧・小林ブロック（[[小林製薬]]の子会社））の経営を統合し、ブロック社製造の商品もグラクソ・スミスクラインが受け持つようになる。2005年11月より[[アラガン]]株式会社が輸入販売していた[[ボトックス]]を扱うこととなった。また、2015年3月には、コンシューマーヘルスケア事業本部が[[ノバルティスノバルティスファーマ]]株式会社のOTC事業部と統合し、両社の合弁事業として、グラクソ・スミスクライン・コンシューマー・ヘルスケア・ジャパン株式会社が新たに設立された（詳細は後述）。
サンスター株式会社,創業者の[[金田邦夫]]が、[[1932年]]に大阪で金田兄弟商会を設立し[[自転車]]部品の販売を始め、のちに自転車用ゴム糊を製造したのが始まり。その後、戦後に設立した会社でゴム糊を充填した[[チューブ(容器)金属チューブ]]を開発し、その中身に[[歯磨剤]]を充填したことがきっかけで、自転車部品の販売から、[[歯磨剤]]や[[歯ブラシ]]等の製造を開始する会社へと転身し、現在ではオーラルケア用品を中心として、[[シャンプー]]、[[整髪料ヘアースプレー]]、[[洗剤]]等の製造・販売を行っている。オーラルケア用品市場は[[ライオン(企業)ライオン]]、[[花王]]とシェアを争っている。自転車関連事業からは撤退したがグループ会社の[[サンスター技研]]が[[オートバイ]]用の[[スプロケット]]や[[ディスクブレーキ]]の製造を行っている。
ユニリーバ・ジャパン株式会社,[[花王]]、[[ライオン(企業)ライオン]]、[[プロクター・アンド・ギャンブル・ジャパンP&amp;G]]、[[資生堂]]などが主な競合メーカーで、髪や肌の手入れなどの身繕いに関する商品、[[台所]]用[[クレンザー]]等の住居用[[洗剤]]、更に食品市場には[[紅茶]]商品を展開している。特に身繕い関する商品で高い[[マーケットシェア]]を持っており、とりわけ「[[ラックス(ビューティケア)Lux（ラックス）]]」、「&lt;!--[[ダヴ(トイレタリー)--&gt;Dove（ダヴ）」「&lt;!--理美容店名と判断しましたのでリンクさせます--&gt;[[モッズ・ヘアmod'shair（モッズ・ヘア）]]」などのブランドを持つシャンプー部門では{{要出典範囲date2011年8月1998年以来日本国内でトップ}}を誇っている。2006年（平成18年）には各社がヘアケア事業の強化に乗り出し競争激化と報道されたが、ヘアケアでの{{要出典範囲date2011年8月年間トップシェアを維持}}した。また、住居用洗剤の「ジフ&lt;ref&gt;外国名はCif(シフ)またはJif&lt;/ref&gt;&lt;!--アルファベット名が有名ではないので後ろにおきます--&gt;」「ドメスト（Domestos）」も{{要出典範囲date2011年8月長年トップシェア}}のブランドである。さらに、2007年（平成19年）には男性用の香水「[[AXEAXE（アックス）]]」の販売を開始した。紅茶「[[リプトンLipton（リプトン）]]」も販売している。
株式会社クレハ,[[2005年]][[9月30日9月末日]]までの旧商号は、'''呉羽化学工業株式会社'''（くれはかがくこうぎょう）であった。商号については、かつての母体であった'''[[呉羽紡績]]'''（現[[東洋紡]]）の創業地である[[富山県]][[婦負郡]][[西呉羽村]]（現[[富山市]]呉羽町）にちなむものであるが、クレハ自体は富山県との直接の関係はない。同社のコーポレートスローガンは、「どこにも無ければ、創ればいい。ナケレバ、ツ'''クレバ'''。」である。[[2011年]][[3月11日]]に発生した[[東北地方太平洋沖地震]]（[[東日本大震災]]）により、同社のいわき事業所などが甚大な被害を受け、「クレラップ」などの製造・供給が滞ったことがあった。同社では、いわき事業所等の復旧後、被災地となった[[東北地方東北]]3県（[[福島県福島]]・[[宮城県宮城]]・[[岩手県岩手]]の各県）の農業・農地・食生活の再生を目的として、翌2012年より向こう3年間にわたり、「NEWクレラップ」シリーズの売り上げの一部を該当プロジェクトに寄付し復興支援を行う、「'''いっしょに笑顔。東日本応援プロジェクト'''」を行った。
三井化学株式会社,[[化学メーカー総合化学]]3位、石油化学の比率が高い。[[ペットボトル]]の原料であるPETペレットや[[ポリエチレン]]、[[ポリプロピレン]]の[[触媒]]など日常品の様々な原材料を市場に供給している大手総合化学メーカー。千葉と大阪にエチレンセンターを持つ。本社は東京の[[汐留シティセンター]]内にある。
