コスモ石油株式会社,''大協石油'''（だいきょうせきゆ、商標は「大」の文字を桜の形に似せたもの）、'''丸善石油'''（まるぜんせきゆ、商標は[[ツバメ]]印）、旧:コスモ石油（大協と丸善の[[石油精製]]合弁会社、通称・精製コスモ）の3社が合併して、[[1986年]]に発足した。コーポレート[[ブランド]]は「''cosmo''」で宇宙のcosmosと世界市民のcosmopolitanから。[[JXTGエネルギー]]とコスモ石油の両社は、現在、[[業務提携]]を結び、[[販売]]を除く[[特許]]、石油輸送、製油所の共有などを図り、日本最大の[[石油元売]]グループを築いている。
九州石油株式会社,[[新日鉄住金化学八幡化学工業]]、木下商店、[[八幡製鐵]]、[[マルハ大洋漁業]]、[[九州電力]]、[[太平洋セメント小野田セメント]]の出資により、[[1960年]]（[[昭和]]35年）に設立された&lt;refname&quot;製油所紹介&quot;&gt;{{Citeweburlhttps://www.noe.jxtg-group.co.jp/company/about/branch/oita/refinery/title製油所紹介大分製油所JXTGエネルギーpublisherJXTGエネルギーaccessdate2018-05-26}}&lt;/ref&gt;。石油元売り国内第7位であったが、[[原油価格]]の高騰で業績が悪化したことから単独での経営を断念し、国内最大手の[[新日本石油]]（新日石、現・[[JXTGエネルギー]]）に吸収される形での統合を決断、[[2008年]]（[[平成]]20年）3月に覚書を締結した&lt;ref&gt;[http://www.hd.jx-group.co.jp/newsrelease/noc/2007/20080318_01_0794529.html経営統合に関する覚書締結について]-2008年3月18日・JXホールディングス（旧新日本石油）&lt;/ref&gt;。同年6月には合併準備として、新日石以外の全株主が持つ全ての株式を九石（自己株式）80%・新日石20%となるように両社が取得することで、新日石が九石を実質的に完全子会社化する株式取得契約を締結&lt;ref&gt;[http://www.hd.jx-group.co.jp/newsrelease/noc/2008/20080627_03_0794529.html新日本石油および九州石油の経営統合の方法について]-2008年6月27日・JXホールディングス（旧新日本石油）&lt;/ref&gt;。翌7月には製油部門を分割し、新日石の子会社である[[新日本石油精製]]（新日精、現・JXTGエネルギー）に移管する会社分割契約ならびに新日石を存続会社とする合併契約を締結した&lt;ref&gt;[http://www.hd.jx-group.co.jp/newsrelease/noc/2008/20080731_01_0794529.html分割・合併契約の締結および経営統合に伴う組織の改正について]-2008年7月31日・JXホールディングス（旧新日本石油）&lt;/ref&gt;。同年8月に新日石が実質完全子会社化し、同年[[10月1日]]をもって製油部門を分割し新日精に移管後、新日石に吸収合併されて解散した。ガソリンスタンドのブランド名は'''STORK'''（ストーク、[[コウノトリ]]の意）であったが、合併に伴い新日石のENEOSに変更・統一された。なお、合併準備前の筆頭株主は[[新日本製鐵]]（現・[[新日鐵住金]]）で、同社の副社長経験者を[[社長]]に迎えるのが慣例となっていた。最後の社長となった木原誠もそうであり、合併準備によって新日本製鐵との資本関係が絶えても最後（合併前日）まで社長を務めた。
東燃ゼネラル石油株式会社,[[エクソンモービル]]と提携する企業で、[[原油]]の輸入から[[石油精製精製]]、販売までを手がけた。「[[エッソ]]」・「モービル」・「ゼネラル」の３ブランドで[[ガソリンスタンド]]を展開していた。主取引行は[[三井住友銀行]]で、その他の取引行を[[三菱東京UFJ銀行]]、[[三井住友信託銀行]]、[[みずほ銀行]]であった。石油事業に次ぐ中核事業である[[石油化学]]事業では、[[ベンゼン]]・[[キシレン]]・[[トルエン]]などの[[芳香族化合物芳香族]]製品を生産していた。また、[[エチレン]]・[[プロピレン]]などの[[アルケンオレフィン類]]の原料となる[[ナフサ]]は、グループの[[東燃化学]]に販売された。なお、東燃ゼネラル石油および東燃化学の石油化学製品は、エクソンモービルを通じて需要家に販売されていた。日本国内に４つの製油所（千葉・川崎・堺・和歌山）を有していた。もともと外資であった影響による効率的な経営と[[配当]]性向が高いことでも有名だった。&lt;ref&gt;[http://stocks.finance.yahoo.co.jp/stocks/detail/?code5012.tYahooファイナンス-東燃ゼネラル石油]&lt;/ref&gt;[[1998年]]（平成10年）に消防法改正によってセルフサービスステーションが解禁になったのを受け、「[[エクスプレス(サービスステーション)エクスプレス(Express)]]」というブランドでセルフ給油所を展開していた。2015年12月にJXグループとの経営統合を合意し&lt;ref&gt;[http://www.noe.jxtg-group.co.jp/newsrelease_tg/pdf/20151203_2_J.pdf経営統合に関する基本合意書の締結について]（2015年12月3日JX&lt;ホールディングス、東燃ゼネラル石油)&lt;/ref&gt;、2016年8月31日にJXホールディングスとの経営統合契約を締結。経営統合の方式としては、2017年4月1日にJXホールディングスが東燃ゼネラルの株主と株式交換を行って「'''[[JXTGホールディングス]]'''」となり、東燃ゼネラル石油自体はJXエネルギーと合併して消滅し、JXエネルギーの社名を「'''[[JXTGエネルギー]]'''」に変更することにより事業統合を果たした&lt;ref&gt;[http://www.noe.jxtg-group.co.jp/newsrelease_tg/pdf/d7e6f3f0f1174ce9e3fa4ba33e8fe894568127bd.pdfJXホールディングス株式会社と東燃ゼネラル石油株式会社との経営統合契約等の締結について]（2016年8月31日JX&lt;ホールディングス、東燃ゼネラル石油)&lt;/ref&gt;。JXTGHDの副社長に就任した[[武藤潤(実業家)武藤潤]]は、旧・ゼネラル石油出身、JXTGエネルギーの副社長に就任した[[廣瀬隆史]]（旧・[[EMGマーケティング]]社長）は、旧・[[モービル(ブランド)モービル石油]]出身である。
スタンダード・オイル,[[File:トラウトサーモンのグリル.jpgthumb塩コショウでグリルした状態のトラウトサーモン]][[タイヘイヨウサケ属]]、[[タイセイヨウサケ属]]、[[イワナ属]]、[[コクチマス属]]、[[イトウ属]]などの魚を包括する。一般的に「鱒」がよく使われるが、古い文献では、「」も使われている。サケとマスの境界が厳密でないため、国により区分方法が異なる。たとえば英語圏で[[マスノスケキングサーモン]]はサケに区分されるが、日本では同じ魚をマスノスケと呼ぶほか、[[サクラマス]]、[[サツキマス]]、[[ニジマス]]をマスとして区分している。英語では、サケが[[w:salmonSalmon]]、マスが[[w:troutTrout]]に対応している。単にtroutというと淡水産を意味し、海産のものはsalmontroutと呼ばれるが、[[シートラウト]]（[[w:SeatroutSeatrout]]、[[ブラウントラウト]]の降海型、''Salmotrutta''morpha''trutta''）という例外もある。(⇒[[サケ類#サケとマス]])北半球の高緯度地域に自然分布し、最高水温が20℃以下の河川や池沼（淡水）で産卵し稚魚の一部が降海し海洋で生活する生活様式をもつ。南半球では、放流により[[オーストラリア]]、[[ニュージーランド]]、[[チリ]]などに分布する。ほとんどの種が重要な食用種で、毒性がなく独特のうまみがあるため身や卵を様々に加工調理し利用されている。サケ目サケ科以外の魚種である[[ニベ科]]ナガニベ属には、スポッティドシートラウト（[[w:SpottedseatroutSpottedseatrout]]）と呼ばれる。
中国石油天然氣股有限公司,強磁性体において[[物質]]の内部、特に[[分子]]自体に極めて小さな[[永久磁石]]が備わっており、普段はその方向が異なるため[[磁力]]が生じることはないが、[[磁界]]の内部に置くと向きを揃え[[磁性]]が現れるとする概念。この概念を用いると、両端にある磁極の[[磁気量]]が等しいことや[[磁気飽和]]などの単純な[[磁化]]現象は説明できるが[[電流]]と磁性との関係を説明できないという欠点がある。
MOCマーケティング合同会社,ペンタックス（当時：旭光学工業）においての交換式レンズ製品は光学性能だけではなく新旧レンズ群の互換性も重視されており、同系統の開放測光対応マウントであれば同じレンズを最新のオートフォーカス機と過去のマニュアルフォーカス機でも開放測光で使うことが可能である&lt;ref&gt;ペンタックス67用レンズとペンタックス645用レンズとの間にも互換性があり、アダプターで67用レンズを645用レンズに装着して開放測光で使うことが可能である。&lt;/ref&gt;。シリーズ名の変更は主にコーティングの変更、シリーズに合わせたデザインの変更であることが多く、またマウント側の機能とボディ側の機能が必ずしも同一ではないので注意が必要である。
中国海洋石油集有限公司,中国国内の国有石油会社としては[[中国石油天然気集団]]有限公司（CNPC）、[[中国石油化工集団]]公司（シノペック）の二大企業に次ぐ第三位の規模である。その事業内容は、[[中国大陸]]沖合における[[石油]]および[[天然ガス]]の探査、採掘、開発である。中国海洋石油集団有限公司は[[東シナ海]]中央部においても探査活動を続けており、[[日中中間線]]付近における[[ガス田]]開発を手がけていることで日中間に政治問題を起こしている。（'''[[東シナ海ガス田問題]]'''）また、[[2005年]]には世界での石油資源獲得を目指して[[アメリカ合衆国アメリカ]]の大手石油会社・'''[[ユノカル]]'''の買収に乗り出したが、米国政府などの反発を浴びて失敗に終わっている。
日興産業株式会社,*本社：[[東京都]][[千代田区]]丸の内3-4-1新国際ビル*代表者：[[相山武靖]]*創業：[[1939年]]*設立：[[1946年]]
株式会社MORESCO,通常、外部向けには統一教会が自らの存在を標榜して活動することは少ないが、この放送に関しては堂々と「日本統一教会」であることを公表して放送している（各[[ラジオ#超短波放送（FM放送・BSデジタルラジオ）FM放送]]局の[[ホームページ]]にある番組表にも書かれている）。
富士商株式会社,田原本町内の一部において道幅が狭隘で、朝の通勤時間帯には[[一方通行]]による交通規制が実施される。広陵町内は全区間2車線で併用されており、町の中央部を横断する。
{{langzh-tw福保化學股有限公司}},*本機は最大280枚獲得できる[[ボーナスゲームビッグボーナス]]と63枚獲得できる[[ボーナスゲームバトルゲーム]]、そして1Gにつき1.04枚増える戦国RUSHと呼ばれる[[アシストタイムA]][[リプレイタイムRT]]でコインを増やしていくゲーム性である。*通常の機種でいうところの上段一直線、下段一直線が無効である代わりに、小V形と小山形のラインが有効になる変則5ライン機である。*ボーナスは単独も存在するが殆どの場合、小役重複で当選する。とりわけ[[リプレイ(パチスロ)#特殊リプレイ特殊リプレイ]]（リプレイ・リプレイ・チェリー）の期待度が高く、ART・RT中に成立した場合はボーナス確定。*[[真田信繁真田幸村]]、[[服部半蔵]]、[[前田利益前田慶次]]の中からキャラクターを選択し、それぞれで異なるゲーム性が用意されている。*キャラクター変更は通常時、ボーナス確定画面で行える。ただし連続演出中、ボーナス中、戦国RUSH中、RT中は変更ができない。
日本海石油株式会社,住所：〒882-0499[[宮崎県]][[西臼杵郡]][[日之影町]]岩井川3389-4
東亜石油株式会社,外交官として各国に赴き、上下両院で議員を務めた。所属政党は[[連邦党]]、[[民主共和党(アメリカ)民主共和党]]、[[国民共和党(アメリカ)国民共和党]]であり、後には[[反メイソン党]]、[[ホイッグ党(アメリカ)ホイッグ党]]にも所属した。[[民主共和党(アメリカ)民主共和党]]所属としては最後の大統領である。第2代大統領[[ジョン・アダムズ]]の息子であり、最初の親子二代の大統領（2番目の親子二代の大統領は第41代大統領[[ジョージ・H・W・ブッシュ]]と第43代大統領[[ジョージ・W・ブッシュジョージ・ウォーカー・ブッシュ]]）。「クィンジー」という名は母方の祖父、[[ジョン・クィンジー]]大佐から採られた&lt;ref&gt;{{citebooklastHerringfirstJamescoauthorsLongacreJamesBartontitle''TheNationalPortraitGalleryofDistinguishedAmericans''publisherD.Rice&amp;A.N.Hartyear1853page1urlhttp://books.google.com/?idgVMYAAAAIAAJ&amp;pgPT50&amp;dq%22mount+wollaston%22accessdate2008-10-22isbn0405025009}}&lt;/ref&gt;。大統領として初めて長ズボンを着用している。外交官としてアダムズは多くの国際交渉に臨み、[[アメリカ合衆国国務長官国務長官]]として[[モンロー主義]]の確立に尽力した。歴史家の多くは彼が米国史上で偉大な外交官の一人であったと見なす&lt;ref&gt;Bemis(1949)&lt;/ref&gt;。大統領として彼は近代化と教育的な前進に関するプログラムを提案したが、政敵が多数を占める議会によって妨害された。1828年の大統領選挙で再選に失敗し、父のジョン・アダムズと同様に1期のみの任期で終わった大統領となった。アダムズは経済成長にかかる国家の偉大さと強い連邦政府のビジョンを提示したが、その大統領職は政治上の器用さ、人気および支援者のネットワークを欠き、彼の排除を臨む政治家との衝突に終わった。
株式会社北商コーポレーション,彼らの2nd[[アルバム]]『[[ザ・ベンズ]]』に収録されており、UKでは3枚目、USでは1枚目の同アルバムからの[[シングル]]カット曲。レディオヘッドの活動の一つのターニングになったと言われる曲で、ファンの人気も高く英国の[[アンセム]]ランキングなどではたびたびランクインする。しかし[[セールス]]的には彼らのシングルの中でも非常に苦戦した曲の一つ（特に先行シングルとして扱われた[[アメリカ合衆国アメリカ]]では、1st『[[パブロ・ハニー]]』の&quot;[[クリープ(レディオヘッドの曲)Creep]]&quot;以降のシングル群にも劣るほど発売週の売り上げが低迷）でもある。レディオヘッドの楽曲の中でも特に数多くの[[アーティスト]]に[[カバー]]されている曲であり、[[演奏会ライブ]]や様々な[[トリビュート]]アルバムで演奏されている。[[ジェイク・スコット(映画監督)ジェイク・スコット]]による[[スーパーマーケット]]風の場所を舞台にした色彩の美しいPVには、子供や黒い帽子を被った女性、おもちゃの拳銃を構える老人など様々な人物が登場する。メンバーはカートにのって運ばれていき「自分達は売りものである」であることをシニカルにあらわしており、一部[[歌詞]]との共通点も散見される。
ニチレキ株式会社,小日本主義の体系は[[19世紀]]後半より[[イギリス]]で盛んになった「[[小イギリス主義]]」（[[w:LittleEnglanderLittleEnglandism]]）を模範としている。大植民地帝国であった[[大英帝国]]は、実は[[19世紀]]末には[[インド帝国インド]]を初めとした[[植民地]]が経営上「'''赤字'''」に転落していたといわれ、それと同様でしかもさらに国力が微弱な日本は[[日本統治時代の朝鮮朝鮮]]、[[日本統治時代の台湾台湾]]などの植民地経営を行っても行政コストなどの面でやはり「出超」となり無駄が多く、それらの領有を放棄し独立させ、「[[主権]]線」としては[[内地]]すなわち日本本土のみの軍事負担も小さい「通商国家」として繁栄を謳歌しよう、という思想であった。
エニ,ストックレー邸は、ヴォルヴェ公園（Woluwe）からもそう遠くないテルヴュラン通りに建っている。;内装クリムトたちは、工房の中で、シャンデリアから銀食器に至るまで内部を飾る多くの要素や家具を作成した。食堂は大理石、ガラス、貴石などの[[モザイク]]画に覆われているが、それはクリムトの素描に基づいて構想され、レオポルト・フォルシュトナー（LeopoldForstner）によって作成されたものである。;外装落成後、ブリュッセル市民たちは、ストックレー邸の持ち主が、サンカントネール公園とテルヴュランの王領地を結ぶ壮麗な並木道を作らせた国王レオポルド2世に対する敵意を示すために、建物がテルヴュラン通りに背を向けて建っていると噂しあった。ブリュッセル市民をより深刻に当惑させたのは、そのファサードの洗練された佇まいであったろう。それは、青銅の棒で飾られ、[[カッラーラ]]産大理石に覆われた立方体の線で構成されている。塔はフランツ・メツナー（FrantzMetzner）の彫刻を戴いている。通りに面した側は、いささか味気ない都会的な佇まいだが、もう一方はホフマンが設計した庭園に面している。庭園は建物の幾何学的な線を引き継いでおり、テラスを戴く2つの対称的な突出部が、一体となった庭園と邸宅の繋がりをしっかりと裏支えしている。建築や植物要素の構成は切れ目のない印象を作り出しており、散歩道によって結びつけられた池、蔓棚、[[クマシデ]]の並木道、噴水の受水盤、植物の大きな鉢などは今日までよく保存されている。
徳島石油株式会社,徳島県下の石油販売会社。かつては[[昭和シェル石油シェルSS]]と[[エクソンモービルモービルSS]]の二つを[[ガソリンスタンド給油所]]網に持っていたが、現在はシェルSSに統一している。
株式会社ENEOSサンエナジー,
