ダンロップファルケンタイヤ株式会社,[[さまぁ〜ず]]の[[大竹一樹]]と[[三村マサカズ]]が毎回[[ゲリラ]]ライブのように街中に現れ、その日の共演者たちとともに様々なバラエティ企画を遂行していた番組である。この番組が実施していた企画は、さまぁ〜ずほか出演者たちが体を張って挑む実験企画やゲストを招いてのトークショーなどが多かった。このような性質から、番組の収録は屋外ロケが基本で、メ〜テレのスタジオ内で収録をすることはあまり無かった&lt;ref&gt;初のスタジオ収録が行われたのは放送開始から半年後の2002年9月16日放送分で、それまでは全て屋外ロケだった。&lt;/ref&gt;。ロケは[[名古屋市]]内、特に[[大須]]商店街や[[栄(名古屋市)栄]][[ラシック]]敷地内などの繁華街で行うことが多く、そのたびに見物人が多く集まりすぎてパニックになるのが定番だった。それゆえに、後述のような[[#事件・不祥事事件]]も何回か起きている。その行き当たりばったりで実験番組的な要素は、過去にメ〜テレが製作していたローカル深夜番組『[[オジャマンないと!]]』のそれを踏襲しており、「実験ショー」や「巨大シリーズ」などの大掛かりになる企画には地方局の番組としては異例なほどの予算と手間隙が掛かっていた。進行役は看板出演者のさまぁ〜ずではなく、番組のディレクター陣が持ち回りで務めていたが、彼らは毎回ロケ本番前になってからさまぁ〜ずにその日の企画内容を告げるため、いきなり無理難題を突きつけられた2人がそれに反論するというのがお決まりの展開であった。また、「テープをほとんど止めない」点も大きな特徴である。通常のバラエティ収録では目的の場所で必要なシーンのみカメラを回すことが一般的だが、この番組では移動中など特に企画がない時間でもかなりの部分でカメラが回っており、時折出演者の素に近い表情を垣間見ることができる。例えば、美術チームが実験機材製作をしている裏で暇を持て余したさまぁ〜ずが本気で遊んでいるシーンを放送したり、不慣れなゲストが通常通りテープが「止まっている」と勘違いして放った失言を放送したこともある。進行役のディレクター陣が堂々と割り込んで来ることと並び、ゲストが戸惑ってしまうことの多い特徴点であった。この番組は、放送開始当初からバラエティ企画を主軸とするスタイルは出来上がっていたものの、当初は[[音楽番組]]を自称していた&lt;ref&gt;[https://web.archive.org/web/20020523005058/http://www1.nagoyatv.com/当時の名古屋テレビ公式サイトトップページの番組案内]（インターネット・アーカイブ保存データ）&lt;/ref&gt;。その当時はインディーズバンドの曲や人気歌手の新曲を紹介するミニコーナーを擁し、ゲストにはミュージシャンを呼ぶことが多かったが、このミニコーナーは早期に無くなり、以後は完全にバラエティ番組化していった。また、当初は製作局のメ〜テレのみで放送されていたが、長寿番組化するとともにネット局を増やしていった。しかし、放送末期ではネット局での途中打ち切りや不定期ネットへの降格などが相次ぎ、最終的にはメ〜テレ、[[東日本放送]]、[[長野朝日放送]]の3局のみで放送されるようになった。2008年3月18日放送分までは[[日本の地上デジタルテレビ放送地上デジタル放送]]においても4:3比の[[標準画質映像]]で、左右のサイドパネルに番組タイトルロゴを配した状態で放送されていたが、同年3月25日放送分をもって16:9比の[[ハイビジョン制作]]へと移行した。それに伴い、表示テロップも高画質のものになった。最終回では、6年半の番組収録の中で使用してきた小道具や大道具の山を派手に爆破して最後を締めくくった。全放送回数は317回に及んだが、これについて大竹は番組内で「“サイナラ”と読めるから317回で終わらせるんじゃないか？」とコメントしていた。番組終了後の2011年4月1日より[[エンタメ〜テレ☆シネドラバラエティ]]での再放送を開始し、初の[[専門チャンネルCSチャンネル]]への進出を果たした。
三ツ星ベルト株式会社,戦前から続く企業であり、伝動ベルトメーカーとしては国内大手三社に数えられる&lt;ref&gt;[http://www.nikkan.co.jp/adv/gyoukai/2010/100713b.html「伝動ベルト−コンパクト・高効率長寿命化が進む」][[日刊工業新聞]]、2010年7月23日、2015年10月3日閲覧&lt;/ref&gt;。ベルトコンベアや[[自動車]]用[[エンジン]]の[[タイミングベルト]]、さらには[[オートバイ]]の後輪駆動用のベルトにも採用実績がある&lt;ref&gt;[http://www.kagakukogyonippo.com/blog0/2009/05/post-62.html三ツ星ベルト、輸送機器用伝動ベルト、高機能化で成長に弾み][[化学工業日報]]記者ブログ、2009年5月25日、2015年10月3日閲覧&lt;/ref&gt;。近年は自動車向け発電機（オルタネータ）用プーリを開発するなど、ゴム製品にとどまらず関連する金属部品の製造にも進出している&lt;ref&gt;[https://gomuhouchi.com/industrial/1456/三ツ星ベルトが自動車用金属部品分野に積極進出][[ゴム報知新聞]]NEXT、2016年10月3日付&lt;/ref&gt;。また、創業地である神戸市長田区から一旦は同中央区のハーバーランドに本社を移転したが、[[阪神・淡路大震災阪神大震災]]後に、住民からの強い要望を受け、地域活性化と本社・工場の社内交流促進を目的として創業地に本社を戻した経緯があり、現在では七夕祭り等の地域イベントにボランティアで参加するなど、まちづくりにも取り組んでいる&lt;ref&gt;[http://www.nikkei.com/article/DGXLASJB05H09_V00C17A1AA2P00/神戸・長田住民と盛り上げ三ツ星ベルト会長西河紀男さん（私のかんさい）][[日本経済新聞]]関西地方版、2017年1月11日夕刊11面もっと関西欄&lt;/ref&gt;。
内外ゴム株式会社,放送1年目のシリーズ構成は3シリーズに分かれており、1シリーズにつき約20話前後の構成となっていた。このため、死神代行編を中心にやや駆け足的な展開となってしまい、原作との差が早く縮まり、結果的に原作単行本の発刊ペースを追い越してしまったことがある。その後に放送されたアニメオリジナルストーリーであるバウント編は、約1年に及ぶ長期のストーリーが展開された。同時にDVD構成も見直されて1シリーズにつき約20話という法則は完全に無くなっている。バウント編後、原作が長期にわたって[[破面]]編が続いたため、他のアニメでよく見られる原作の合間を描いたオリジナルストーリーが挿入しづらくなり、原作の話が一区切り付いた所で長期のオリジナルストーリーを唐突に挟んだり（次回予告では大人の事情と説明されている）、扉絵の内容をアニメ化したこともあった。オリジナルキャラクターの各メディア上の扱いも良く、キャラクターソングが発売されたり、ゲームに登場したりと優遇されている。表現の相違点としては、腕の切断描写などが控えられ、ゴールデンタイム進出以降は流血量なども制限されて血も黒く描かれていることもあるため、グロテスクな描写は抑えられている。また、原作にあった場面がカットされたり、戦闘の順番が変わったり、原作にない戦闘場面が追加されたりすることがある。アニメオリジナルでは、長編だけでなく下記の通り一話完結型の話も何度か作られており、一護以外の人物がメインになっていることが多く、一護が出ないこともある。このことについて、一護は予告で主役なのに出番が少ないことをぼやいたことがある。[[画面アスペクト比]]は放送開始時は4:3だったが、「新隊長天貝繍助篇」（2008年4月〜）より16:9に変更されている（アナログ放送では4:3でのサイドカット放送となっているが、2008年10月からレターボックス付き16：9ワイド放送）。放送開始時はエンドカードがあったが（テレビ東京系列及び[[BSジャパン]]では差し替え）、2008年10月以降廃止されている。&lt;!--関西弁で話すキャラクターも複数いることもあってか、関西出身の声優が非常に多く（女性声優陣が多い）、イベントなどでは関西弁などが多く聞かれる。この記述は声優かイベントの部分にでも移してください--&gt;2012年3月27日に、死神代行消失編をもって放送終了。そのため、原作の死神代行消失編と違って最終話のエンドロールで主要人物がほぼ登場し、一護が現世に帰還して仲間たちが出迎え大団円の様な形でラストシーンを締めくくっており、一護のプロフィールに死神代行が再び表記されている。放送話数366話は、[[2014年]]『[[NARUTO-ナルト-疾風伝]]』&lt;ref&gt;2014年7月31日放送（同時ネット局基準）時点で『疾風伝』開始から370話目となり、BLEACHの記録を上回った。&lt;/ref&gt;に抜かれるまで、[[ぴえろ]]制作の連続テレビアニメ作品としては最長記録だった。放送終了後は、アニメ映像は製作されていない。
不二ラテックス株式会社,[[浅倉大介]]プロデュースによるFayrayのデビューシングル。[[TBSテレビTBS]]系ドラマ『[[ひとりぼっちの君に]]』主題歌に起用され、Fayrayのシングルでは「[[tears(Fayrayの曲)tears]]」に次ぐ15.1万枚のセールスを記録した&lt;refname&quot;oricon&quot;/&gt;。浅倉大介がプロデュースを手掛けたアーティストの楽曲を収録したリミックスアルバム『[[DAynamiteMixJuice1-youknowbeat?-]]』には、[[横田商会]]がリミックスを担当した「Y&amp;Co.Remix」が収録されている。
井上ゴム工業株式会社,[[1990年]]に車椅子の利用者でもある社長の手により創業。きっかけは、[[アメリカ合衆国]]で障害を負いリハビリを経て帰国した際、当時の日本国内の車椅子のレベルの低さに憤慨。外国製の車椅子の輸入販売を思いついたという。主に、アメリカのクイッキー・ブランドを手がけており、カラーやデザインなどの選択肢が極めて多いのが特徴。一般品のほか[[陸上競技]]、[[車いすバスケットボール]]などの競技用車椅子も幅広く扱う。
西川ゴム工業株式会社,[[1973年]]（[[昭和]]48年）に造成された2000戸の大規模な住宅団地である。この団地は中層フラット棟で構成されており、ボックス型[[ポイントハウス]]はない。近年、一部改修が行われている。また、グリーンハイツの中心を通る直線の道は、[[都市計画道路]]の一部になっているが、周辺は住宅開発が進んでおり、一向に整備が進んでいない。敷地面積は、152800[[平方メートルm&lt;sup&gt;2&lt;/sup&gt;]]（うち開発面積は250000m&lt;sup&gt;2&lt;/sup&gt;）一部更地となったところもあるため[[2008年]]（平成20年）1月の時点で約1600戸となっている。
昭和ホールディングス株式会社,[[File:EurocopterEC-135T1SAMULorraine(3892652583).jpgthumbフェネストロンの構造（[[ユーロコプターEC135EC135]]）]]従来の[[ヘリコプター#テールローターテールローター]]が2枚、3枚ないし4枚羽根程度であるのに対して、フェネストロンは不等間隔に配置された8枚から18枚の羽根で構成される。羽根の直径が小さいため、従来のテールローターよりも高速で回転する。そのため、[[音]]は[[高周波]]成分が多い。羽根が不等間隔に配置されているのは、一定の回転域において共振しないようにして互いの振動を打ち消し騒音を軽減するためである。フェネストロンは、[[エアバス・ヘリコプターズユーロコプター]]の[[商標]]である&lt;refname&quot;ha266&quot;&gt;ProutyRay''HelicopterAerodynamics''Helobooks19852004pg266&lt;/ref&gt;。フェネストロンの名称は、現代[[フランス語]]で&quot;小窓&quot;({{lang-fr-short&quot;Fenestron&quot;}})を意味し、さらに語源を遡ると、[[ラテン語]]の&quot;窓&quot;({{lang-la-short&quot;'''[[:en:FenestraFenestra]]'''}}&quot;)に由来する&lt;refname&quot;ha266&quot;&gt;ProutyRay''HelicopterAerodynamics''Helobooks19852004pg266&lt;/ref&gt;&lt;ref&gt;[http://fenestron.com/site/docs_wsw/RUB_10101/pa-spe2006-02-01.pdf30YearsofInnovation]&lt;/ref&gt;。
株式会社シモン,
MRFタイヤ,[[1946年]]に'''マドラス・ラバー・ファクトリー'''（''MadrasRubberFactory''）の名称でおもちゃの[[ゴム]][[風船]]製造からスタート。[[1952年]]よりタイヤの接地面（トレッド）に使用されるゴムの製造を開始すると高い評判を獲得、インドにおけるタイヤ用ゴムの市場シェアで50%以上を占めるようになった。[[1961年]]にアメリカのマンスフィールドタイヤ&amp;ラバーからの技術供与を受ける形でタイヤ自体の製造に進出。[[1964年]]からはタイヤの輸出も開始した。[[1980年]]にはアメリカの[[グッドリッチBFグッドリッチ]]と提携して、[[スペースシャトル]]用のタイヤ開発に参加。[[1985年]]からは二輪車用のタイヤの製造・販売にも進出し、文字通りインドを代表するタイヤメーカーとなった。現在はタイヤ製造以外にも玩具メーカー大手の米[[ハズブロ]]との合弁企業として「FunskoolIndia」を設立し、インド市場向けに玩具を製造・販売したりもしている。また[[クリケット]]の支援にも積極的である。
株式会社ミツウマ,[[1919年]]（[[大正]]8年）に創業した&lt;refname&quot;doshin20091110&quot;/&gt;ゴム長靴のメーカーの老舗で&lt;refname&quot;doshin19830804&quot;/&gt;、同製品の最大手に成長した&lt;refname&quot;doshin19830804&quot;/&gt;。ゴム長靴の輸出に乗り出したほか&lt;refname&quot;doshin19830804&quot;/&gt;、[[1969年]]（[[昭和]]44年）[[4月12日]]に北海道の企業では初の海外生産合弁工場を[[台湾]]の[[台中市]]に操業開始するなど海外へも展開した&lt;refname&quot;doshin19690409&quot;&gt;{{Citenewstitle三馬ゴムの合弁工場12日、台中で操業開始newspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date1969-04-09}}&lt;/ref&gt;。また、[[ビニール]]製の観光土産品の製造に進出したり&lt;refname&quot;doshin19720711&quot;&gt;{{Citenewstitle観光みやげを製造“脱くつ”の三馬ゴムnewspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date1972-07-11}}&lt;/ref&gt;、スポーツシューズや婦人用カラーブーツなどの高付加価値商品の製造・販売&lt;refname&quot;doshin19830804&quot;/&gt;、工業用ゴム製品や樹脂製品などの製造・販売にも」乗り出すなど多角化も進めた&lt;refname&quot;doshin19830808&quot;&gt;{{Citenewstitleミツウマ操業再開工業用品、樹脂など3部門newspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date1983-08-08}}&lt;/ref&gt;。しかし、[[中華人民共和国]]や[[大韓民国]]などの海外からの低価格品との競争激化や、原材料高に加えて消費不振も重なって業績が悪化し、[[1983年]]（[[昭和]]58年）[[8月4日]]に、負債総額は約203億円を抱えて、[[札幌地方裁判所]]小樽支部に関連3社（ミツウマ販売、北海道ミツウマ販売、トリオン）と共に会社更生法の適用を申請し、同日に財産保全命令を受けることになった&lt;refname&quot;doshin19830804&quot;/&gt;。同月7日に工業用品部門や樹脂など3部門で生産を一部再開するなど事業の存続を図り&lt;refname&quot;doshin19830808&quot;/&gt;、同月21日には主力のゴム長靴部門の生産も一部で再開した&lt;refname&quot;doshin19830822&quot;&gt;{{Citenewstitleゴム長靴も操業再開ミツウマ更生開始へ実績づくりnewspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date1983-08-22}}&lt;/ref&gt;。人件費の抑制などを行いながら製造・販売量の回復に努め&lt;refname&quot;doshin19840801&quot;&gt;{{Citenewstitleミツウマ倒産から1年newspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date1984-08-01}}&lt;/ref&gt;、更生会社として事業再生を進め&lt;refname&quot;doshin19890905&quot;&gt;{{Citenewstitle地域えこのみい小樽-再建へ順調な業績。紳装とミツウマの2社、新規分野開拓にも意欲newspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date1989-09-05}}&lt;/ref&gt;、[[2000年]]（[[平成]]12年）[[10月25日]]に当初計画を約5年前倒しして会社更生手続きを完了して再建を果たした&lt;refname&quot;doshin20001026&quot;/&gt;。ゴム長靴は経営再建後も当社の主力製品で、[[2008年]]（[[平成]]20年）度の売上高の約70%占めた&lt;refname&quot;doshin20091110&quot;/&gt;。[[2008年]]（[[平成]]20年）度のゴム長靴製造約70万足のうち本社工場で約20万足を製造していたが、[[2009年]]（[[平成]]21年）11月に生産を中止して[[中華人民共和国]]の委託生産に全面的に切り替え、国内での自社生産から撤退することになった&lt;refname&quot;doshin20091110&quot;/&gt;。これに伴い、本社工場の従業員数は約半分に削減され&lt;refname&quot;doshin20091110&quot;/&gt;、ゴム長靴製造で養った技術を応用した新事業に注力することになり&lt;refname&quot;doshin20091216&quot;&gt;{{Citenewstitle地域の経済小樽ゴム長靴メーカー2社技術応用新分野に力幅広い商品高まる需要newspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date2009-12-16}}&lt;/ref&gt;、[[クリーンルーム]]用の[[静電気]][[帯電]]防止靴などの作業靴や&lt;refname&quot;doshin20040123&quot;&gt;{{Citenewstitleフォトピック最先端技術支える足元newspaper北海道新聞publisher北海道新聞社page{{要ページ番号date2017年3月}}date2004-01-23}}&lt;/ref&gt;&lt;refname&quot;doshin20150804&quot;/&gt;、工業用ゴム製品&lt;refname&quot;doshin20091110&quot;/&gt;、除菌消臭剤の生産などの製造を担うことになった&lt;refname&quot;doshin20091110&quot;/&gt;。{{要出典範囲date2016年12月インターネット上のメーカー直販サイト「ショップミツウマ」も展開しており、2008年10月からヤフー店、同12月から楽天市場店を出店している}}。
