ウェッジウッド,この裁判は連合国によって[[東京]]に設置された極東国際軍事法廷により、[[東条英機]]元内閣総理大臣を始めとする、日本の指導者28名を、「平和愛好諸国民の利益並びに日本国民自身の利益を毀損」した&lt;refname&quot;近代デジタルライブラリー検事側総合起訴状&quot;&gt;{{Citebook和書id{{近代デジタルライブラリー1079047}}title極東国際軍事裁判公判記録.第1検事側総合篇}}、極東高裁裁判起訴状。24項&lt;/ref&gt;「侵略戦争」を起こす「[[共同謀議]]」を「[[1928年]]（昭和3年）1月1日から[[1945年]]（昭和20年）9月2日」にかけて&lt;refname&quot;近代デジタルライブラリー検事側総合起訴状&quot;/&gt;行ったとして、[[平和に対する罪]]（A級犯罪）、[[人道に対する罪]]（C級犯罪）および通常の[[戦争犯罪]]（B級犯罪)の容疑で裁いたものである。「平和に対する罪」で有罪になった被告人は23名、通常の戦争犯罪行為で有罪になった被告人は7名、人道に対する罪で起訴された被告人はいない。裁判中に病死した2名と病気によって免訴された1名を除く25名が有罪判決を受け、うち7名が[[死刑]]となった。日本政府及び国会は1952年（昭和27年）に発効した[[日本国との平和条約]]第11条によりこのthejudgments&lt;ref&gt;日本外務省の訳[http://www.mofa.go.jp/mofaj/area/taisen/qa/09.html]では「裁判」&lt;/ref&gt;を受諾し、異議を申し立てる立場にないという見解を示している&lt;refname&quot;外務省見解&quot;&gt;[https://www.mofa.go.jp/mofaj/area/taisen/qa/問7．極東国際軍事裁判に対して、日本政府はどのように考えていますか。]&lt;/ref&gt;。詳細は[[日本国との平和条約第11条の解釈]]参照。
TOTO株式会社,日本では、[[トイレ]]、[[洗面器]]などの衛生陶器で約6割のシェアがあり第1位である。[[ユニットバス]]はTOTOが最初に発売したものである。技術面では、[[ウォシュレット]]（[[温水洗浄便座]]）のほかにも、便器の汚れを効果的に落とす「トルネード洗浄」、防汚技術の「セフィオンテクト」、お湯がさめにくい「魔法びん浴槽」など意欲的に取り組み、各賞受賞商品も数多い。[[バリアフリー]]や[[ユニバーサルデザイン]]についての意識は国内企業の中でも高く&lt;ref&gt;[http://blog.nikkeibp.co.jp/nd/news/2007/08/143401.shtml本誌2007年7月号「企業UD取り組み度ランキング2007」の間違いについてのご報告とお詫び-日経デザイン]にランキングが掲載されており、TOTOは2007年度に1位、2006年は3位を獲得している。&lt;/ref&gt;、様々な商品を投入するとともに、ウェブサイト上でも広く展開をしている。また、[[障害者]]雇用のために、北九州市などと共同で[[第三セクター]]の子会社（[[特例子会社]]）サンアクアトートーを設立して、社会進出の手助けも行っている。[[リモデル]]事業にも取り組み、この分野では[[大建工業]]、[[YKKAP]]の両社と提携しており、3社共同のショールームもある。ライバルである[[INAX]]が[[トステム]]と経営統合して住生活グループとなったこと（現在は[[LIXILグループ]]および[[LIXIL]]、INAXはその1ブランドとなった）に対抗したものである。主な市場は[[日本]]。そして[[アメリカ合衆国米国]]、[[中華人民共和国中国]]。日本は[[官製不況]]（2007年後期の[[建築基準法]]改正に端を発した、[[住宅]]・[[マンション]]の着工件数の激減と、[[年金記録問題]]により老後への不安が増加したことによる[[リフォーム]]件数の減少）により販売状況が思わしくないことから、[[アジア]]、[[ヨーロッパ欧州]]への販売を強化している&lt;refname&quot;20080229nikkeibo&quot;&gt;『TOTO海外5極体制で高収益化目指す』2008年2月29日付配信日経ビジネスオンライン&lt;/ref&gt;。ショールームは全国に104箇所（2012年12月現在）ある。出版部門も持っており、建築関連の書籍を多数発行する（INAXも同様の事業を（現在のLIXIL出版にて）行っている。）他、少数だが水回りのネタを扱った漫画も発行していた（内容は現場作業者向けのマニュアルに近い）。東京・[[青山(東京都港区)青山]]には「ギャラリー・間」、東京・大阪・福岡にはTOTOテクニカルセンターがある（予約制）。'''主な動き'''*アジア-2007年4月、シンガポールにTOTOAsiaOceaniaPte.Ltd.を設立&lt;refname&quot;20080229nikkeibo&quot;/&gt;*欧州-2008年4月、TOTOEuropeGmbH.を設立。設立にあわせ、[[Pagette]]へ[[M&amp;A]]を実施&lt;ref&gt;『事業統括会社「TOTOEuropeGmbH（仮称）」を設立』2007年12月14日TOTOプレスリリース&lt;/ref&gt;。
株式会社INAX,
AGC株式会社,[[日本板硝子]]とならぶ世界最大のガラスメーカーである。[[建築材料]]、[[自動車]]向けなどの[[ガラス]]を中心に、電子部材やその他の[[化学]]関連素材を製造・販売している。特に、ガラスについては、世界における最大手である。建築用ガラス、フッ素化学製品などを主に取り扱う。2016年8月にはドイツのバイオ医薬品会社バイオミーバを買収した、2017年にデンマークのバイオ医薬品会社CMCバイオロジックスを買収&lt;ref&gt;{{citenewsurlhttp://www.jiji.com/jc/article?k2016122000176&amp;gecotitleデンマークの医薬品会社を買収約600億円−旭硝子publisherdate2016-12-20accessdate2016-12-23}}&lt;/ref&gt;。なお、商号の似ていた[[旭化成]]および旭化成グループとはまったくの別会社組織であり、資本関係等はない（旭硝子が三菱グループであるのに対し、旭化成は[[第一勧銀グループ]]）。&lt;gallery&gt;File:Asahi-Glass-Logo.svg初代ロゴFile:AsahiGlasscompanylogo.svg2代目ロゴFile:AGCLogo.svg3代目ロゴ&lt;/gallery&gt;
ヘキスト陶磁器工房&lt;br/&gt;{{nowrap{{small（ヘーヒスター・ポルツェラーンマヌファクトゥール）}}}},人間をとりまく自然について、その成り立ちやしくみ、その変遷や歴史について、研究、資料収集、展示、普及教育活動を行う[[博物館]]施設である。現在博物館が位置する[[長居公園]]内に開館したのは[[1974年]]（昭和49年）4月であるが、その前身である旧自然科学博物館は[[1950年]]（昭和25年）11月に大阪市立美術館内に開設した。[[1952年]]（昭和27年）には博物館相当施設に指定され、その後移転して[[1957年]]（昭和32年）から[[1973年]]（昭和48年）までは[[大阪市]][[西区(大阪市)西区]]の元靱小学校の校舎を改造した建物で開館していた。「大阪市立自然史博物館」という名称になったのは長居公園への移転以降であるが、[[2001年]]4月に特別展「50周年だヨ！標本集合！！〜自然史博物館の歩み〜」を開催していることから、対外的な博物館の創立年は[[1950年]]としている。自然史系博物館の中でもアクティビティの高い博物館として評されることが多い。その活動を支える最も大きな要素は大阪市立自然史博物館友の会である。自然史学の初心者からハイ・アマチュア、プロに至る多くの市民が友の会に参画し、学芸員や会のコアメンバーが会員の自然観察会や調査研究活動を支援・主導している。この体制は[[チョウ]]の研究者として著名な[[日浦勇]]が[[学芸員]]だった頃にはすでに確立しており、現在も継続している。さらに、会員の有志から特定分野の同好会やサークルも数多く派生し、博物館活動を支える専門家集団として機能している。このような友の会活動のスタイルは、その後開館した他の自然史系博物館が友の会を設立・育成する際のモデルともなった。日本の自然史系博物館の多くが、地域社会に根を下ろした基盤を構築しようと努力しているのは、この友の会活動に依るところが大きい。博物館が主催する普及教育活動も数多く行われる一方で、研究活動にも重点を置くよう努めており、当初から学芸員を行政職ではなく研究職として採用していたこと、1964年（昭和39年）に日本育英会（当時）の返還免除職機関の指定を受けたこと、1976年（昭和51年）に文部省（当時）の[[科学研究費補助金]]を受ける研究機関指定を受けたことなどは、その当時の公立博物館としてはめずらしく、この姿勢もその後の国内の博物館行政に影響を与えた。初代館長は動物生態学者の[[筒井嘉隆]]であり、彼の息子が作家の[[筒井康隆]]である。
黒崎播磨株式会社,木馬型で背の尖った拷問具（'''三角木馬'''と呼ばれている）に、被拷問者（盗賊、[[年貢]]滞納者、隠れ[[キリシタン]]などが対象だった）を、全裸または下半身を裸にした上で、身体を拘束して跨らせ、本人の体重で[[股間]]に苦痛を与える、また石などの重りを足に括り付けて加重する場合もある。被拷問者が拷問台から落ちないように天井の梁や鈎から垂らした縄や鎖に、体を縛った縄尻を結んで固定する場合が多い。拷問台を揺する、足や重しを引っ張る、鞭や杖で打つ、などして苦痛を加重することもあった。女性に用いられる場合が多いが、鞭打や石責めなどの拷問に耐えられないと思われる少年に代替手段として用いられる例もあった。股間は柔らかい部分で女性器や肛門があるため、長時間に及ぶとそれらが損傷を受け出血し裂けることもあった。特にSMプレイなどでは、女性を全裸にした上で、両手を後ろ手に縛り[[木馬]]に跨らせた後、頭髪を天井から垂らした縄で結び責めるという方法もある。他にも様々なバリエーションが存在するが、股間を圧迫し木馬の背の稜線を喰込ませるという点は、いずれも変わらない。激しい苦痛と恥ずかしさから、他に類を見ない苛烈な責めとされる。被虐者の反応を見ながら断続が可能な笞打などと違い、一度木馬に載せると降ろさない限りは苦痛は中断しないという特性から、被虐者がこれにより快楽になるかどうかは、異常な状況に対して抱く心情によって大きく相違する。すなわち被虐者に嗜虐趣味の無い場合は木馬責は単なる過酷な拷問にすぎず、逆に嗜虐趣味の横溢したる場合は木馬は扇情的な道具と見えることとなる。従ってSMプレイにこれを使用するのは被虐者の側に余程の趣味がある場合に限ると見られている。
株式会社ノリタケデンタルサプライ,[[ノリタケカンパニーリミテド]]と[[カスプデンタルサプライ]]の共同出資で[[1998年]][[4月]]に設立された。出資比率は当時ノリタケが40%、カスプが60%であり、本社はノリタケ本社内に置かれた（現在はノリタケカンパニーリミテド100%の子会社である）。[[セラミックス]]メーカーである[[ノリタケカンパニーリミテド]]のグループ企業であり、同社営業部が開発・販売に携わり、商品の生産は[[ノリタケ機材]]などが行なっている。[[2011年]]以降ノリタケカンパニーリミテドと[[クラレ]]の間で事業統合があり、4月13日に持株会社クラレノリタケデンタルホールディングス株式会社が設立され&lt;ref&gt;{{PDFlink[http://www.noritake.co.jp/company/press/files/ndstougou20110128.pdf歯科材料事業の統合について]}}-株式会社クラレ、株式会社ノリタケカンパニーリミテッド2011年1月28日&lt;/ref&gt;、クラレメディカル株式会社とともにその傘下に入った。さらに[[2012年]]4月1日にはクラレメディカル株式会社とともにクラレノリタケデンタルホールディングスに統合された。なおクラレノリタケデンタルホールディングスは社名をクラレノリタケデンタル株式会社に変更した&lt;ref&gt;[http://www.kuraray.co.jp/release/2012/120402.htmlクラレノリタケデンタル株式会社の発足について]-クラレノリタケデンタル株式会社ニュースリリース2012年4月2日（株式会社クラレ）&lt;/ref&gt;。
東洋炭素株式会社,耐熱性、耐薬品性、熱伝導性に優れた素材である等方性黒鉛の生産において、日本国内で5割、世界シェアは3割で首位に位置する。等方性黒鉛は、その性質から、[[原子力]]、宇宙船、[[半導体]]、[[太陽電池]]など利用用途が広い。同社はこの等方性黒鉛の大型生産技術を[[1974年]]に日本で初めて開発したことで知られる。等方性黒鉛の生産能力を[[2009年]]秋までに、ほぼ倍の年15000トンに引き上げる予定である。[[香川県]][[観音寺市]]、[[三豊市]]、[[福島県]][[いわき市]]に工場が、観音寺市に研究所がある。
日本インシュレーション株式会社,第二次世界大戦終戦後、[[在日韓国・朝鮮人]]が個人宅・あるいは公私立学校・工場を間借りしたりなどして民族教育を行った。のちに[[在日朝鮮人連盟]]によって地理・歴史・数学・理科なども含めた教育を行う施設へと発展する。現在の[[朝鮮学校]]は国語講習所をルーツとしている。
クアーズテック株式会社,[[東芝]]の関係会社であったが、[[2007年]]に[[カーライル・グループ]]による[[マネジメント・バイアウトMBO]]により東芝から独立した。シリコンウェーハの世界[[市場占有率シェア]]は5%（8位）。
