新家工業株式会社,発祥地は[[石川県]][[加賀市]][[山中温泉#歴史山中温泉]]。[[鋼管]]部門では、ロールフォーミング技術を駆使して主に[[家具]]や[[建築材料]]に使用される鋼管や自動車向けシートレール等の[[形鋼]]を製作している。鋼管を販売する販売会社に[[アラヤ特殊金属アラヤ特殊金属株式会社]]がある。[[自転車]]のブランドとしては「ツバメ自転車」であった。福祉機器製品として、車輪内にサスペンションを組み込んだ「車椅子用サスペンション車輪[[アブソレックス]]ABSOLEX」を開発し、販売している。また、サスペンション車輪「アブソレックス」の特長を利用して、弱電業界の精密電子部品の運搬や、病院・医療関係、流通業界などで使用する産業分野向けのサスペンションキャスターを展開している。1982年に日本のメーカーで最初に[[マウンテンバイク]]を投入したのを皮切りに、1990年代には[[マグネシウム]]一体成形フレーム「クリテリウム・マグネシウム」を発表、月刊誌の国産MTB人気投票で一位に輝くなど評価は高かったが、マウンテンバイクブームの終焉とともに自転車製造からは撤退。同時に販売も取りやめたが、その後OEM供給を受けての自転車販売に復帰し、MTBのmuddyfox（[[マディフォックス]]）商標も復活した。現在、自社ブランド名、および[[ラレー]]ブランドでの自転車販売をしている。車輪を構成する部品「リム」製造では老舗でありかつ国内最大手。また[[競輪]]用のリムを生産する国内企業は現時点で新家工業1社だけである。
旭テック株式会社,[[山口智充]]([[DonDokoDon]])と[[東野幸治]]が毎回様々なバラエティ企画を遂行していた深夜番組である。2人は「恋愛税」なるものの取締官やオタク男性などに扮し、各回の女性ゲストたちの過去や3サイズの実測値などを暴いていた。
日立金属株式会社,[[委員会設置会社]]。[[三水会]]及び[[みどり会]]の会員企業であり[[三和グループ]]に属している&lt;ref&gt;{{PDFlink[https://doors.doshisha.ac.jp/duar/repository/ir/15981/17064050004.pdf六大企業集団の無機能化]}}-[[同志社大学]]学術情報検索システム内にあるページ。筆者は[[経済学者]]の[[田中彰(経済学者)田中彰]]。&lt;/ref&gt;&lt;ref&gt;[http://www.midorikai.co.jp/member.htmlメンバー会社一覧-みどり会]&lt;/ref&gt;。主力製品は[[刃物]]、[[金型]]に用いられる先端固体材料の高級工具鋼（YSSヤスキハガネ）、その他電子製品で使用される[[インバー]]合金等の高級金属製品、高級自動車部材、磁性材料、鉄鋼用ロール配管製品、[[電子部品]]などを擁する特殊鋼・エコ製品を核とした総合素材メーカーである。2013年（平成25年）には旧・日立電線の製品である鉄道車両用電線・ケーブルや医療機器用電線、自動電装用部品、ブレーキホースなども製品群に加わった。売上高鉄鋼メーカー第4位、時価総額第3位、高性能鉄鋼材料に特化している。[[特殊鋼]]、[[マレブル鋳鉄]]、[[ダクタイル鋳鉄]]、[[磁性材料]]の開発、製造に関し最も古い歴史を持つ、伝統と最先端技術の調和の取れた融合体となっている。[[永久磁石]]では最も強力とされている[[ネオジム磁石]]は、日立金属の[[佐川眞人]]らによって開発された（開発は旧[[住友特殊金属]]在職時）。[[メセナ]]の一環として、日本美術刀剣保存協会が行う[[玉鋼]]（マルテンサイト化する日本刀の素材）製造法たたら吹きの支援も行っている。[[経済産業省]]と[[東京証券取引所]]が選ぶ女性活躍を推進している企業「なでしこ銘柄」に選定されている&lt;ref&gt;[https://style.nikkei.com/article/DGXMZO34834540R30C18A8TY5000?channelDF130120166018&amp;page2ローソンと日立金属積極採用「なでしこ銘柄」に聞く-東京医大問題、働く女性に波紋]日本経済新聞2018年9月4日&lt;/ref&gt;。
中央可鍛工業株式会社,[[トヨタ自動車]]グループ企業の[[トヨタ紡織]]が保有していた工場跡地に建設。近年の大型ショッピングセンターのトレンドである「長時間滞在型のショッピングセンター」（飲食、アミューズメント施設の併設）に加え、自動車メーカーらしく「カーライフの充実」に寄与するためにトヨタ系[[ディーラー]]4店舗とダイハツディーラー1店舗がテナントとして入っており、常時約100台の新車が展示されている。また、この店舗内にあるイトーヨーカドーは各務原店が閉店したため岐阜県内で唯一の店舗である。2015年6月20日には、家電量販店の[[Joshin]]が2階イトーヨーカドー館にオープンした。これにより、イトーヨーカドーは1階のみに集約された。
東国製鋼株式会社,[[1958年]][[東京都]][[目黒区]]生まれ。[[東洋大学]]文学部中国哲学科を6年かけて中退する。『[[ガロ(雑誌)月刊漫画ガロ]]』1981年9月号掲載「青春むせび泣き」で漫画家デビュー。以来「[[ガロ系#特殊漫画の定義特殊漫画]]」の道を突き進み、漫画界の極北に位置する。漫画界のみならず、音楽界やアート業界にも熱烈な支持者やフォロワーを持つオルタナティブ界の最重要人物でもある。またエッセイストとしても活躍し、因果者遍歴を記した『因果鉄道の旅』（[[KKベストセラーズ]]）を1993年に刊行、漫画以外に新たな読者を開拓する。漫画に限らず文筆や映像、デザイン、講演、装幀、出版プロデュースなど多岐にわたり活動（依頼された仕事は原則的に断らない）。[[幻の名盤解放同盟]]のチーフとしてアクの強すぎる昭和歌謡の発掘活動も行っていた。『[[ガロ(雑誌)ガロ]]』1989年2・3月号より1992年4月号にかけてに連載した大河精子ロマン三部作”「タケオの世界」「ミクロの精子圏」「未来精子ブラジル」で精子漫画の火蓋を切る&lt;ref&gt;第一部「タケオの世界」は単行本『怪人無礼講ララバイ』所収。第二部「ミクロの精子圏」は単行本『龜ノ頭のスープ』所収。&lt;/ref&gt;。近年は、漫画よりも文章の仕事が多かったが、現在執筆中断中の作品である「未来精子ブラジル」の完成に向け、作業を再開。さらにその準備作業として『生きる2010』を執筆、[[青林工藝舎]]より上梓した。
山陽特殊製鋼株式会社,[[電気炉]]によって特殊鋼（[[合金鋼]]）を製造する、特殊鋼メーカーと呼ばれる鉄鋼メーカーである。中間製品である[[粗鋼]]の生産量（2006年度）は約104万[[トン]]で、日本国内では第17位の規模を持つ。製品の鋼種は、[[軸受]]に使用される[[軸受鋼]]や、[[機械]]の[[部品]]に使用される[[機械構造用鋼]]、[[工具]]に使用される[[工具鋼]]、ながしなどのキッチンシステムに使われる[[ステンレス鋼]]など。これらの鋼の[[棒鋼]]・[[線材]]・[[鋼管]]（シームレス鋼管）・[[鍛造]]品や、[[素形材]]・金属[[粉粉末]]などを製造する。特に、軸受鋼は日本国内[[市場占有率シェア]]トップで3割強を占める&lt;ref&gt;[http://www.japanmetaldaily.com/statistics/sharemainpr/details/index.html日刊鉄鋼新聞]&lt;/ref&gt;。[[1933年]]（昭和8年）創業。[[1959年]]（昭和34年）に現社名となるまでは「山陽製鋼」を名乗った。[[1965年]]（昭和40年）に一度[[倒産]]するが、その後更生に成功している。[[1953年]]（昭和28年）に新日鐵住金の前身である[[富士製鐵]]が資本参加して以降、旧・新日鉄の系列企業であり、[[2006年]]（平成18年）に新日鉄が山陽特殊製鋼[[株式]]の保有比率を高めたため、旧・新日鉄の[[関連会社]]となった。[[本社]]および製造拠点の工場は、兵庫県姫路市にある。[[支社]]が[[東京都]][[江東区]]([[深川ギャザリア]])にあり、[[大阪市]]・名古屋市・広島市の3都市に支店を構える。社内の[[スポーツ]]部には、[[全日本実業団対抗駅伝競走大会]]への出場経験のある[[陸上競技]]部（[[山陽特殊製鋼陸上競技部]]）があり[[渡邊和也]]も所属していた。かつては野球部があり、[[大根晃]]（元[[阪神タイガース大阪タイガース]]）などの[[プロ野球]]経験者が所属していた事もあった。
株式会社イチタン,[[1934年]]2月18日、当時の郵政相ジャン・ミストラーの提唱により、[[フランスラジオ放送]]（RDF）専属のオーケストラとして創立した。当初の名称は、「'''フランス国立放送管弦楽団（OrchestrenationaldelaradiodiffusionFranaise）'''」である。[[デジレエミール・アンゲルブレシュト]]を初代首席指揮者に迎えてスタートした。[[マニュエル・ロザンタール]]の時代である1948年、6週間のアメリカ演奏旅行をした。1964年以降は「'''Orchestrenationaldel'ORTF'''」（[[ORTF]]フランス放送協会）となる。1966年、[[シャルル・ミュンシュ]]と[[ジョルジュ・セバスティアン]]を指揮者として初来日した。1974年10月、創立40周年を迎え、[[セルジュ・チェリビダッケ]]指揮、[[アルトゥーロ・ベネデッティ・ミケランジェリ]]独奏の記念コンサートを開催した。コンサート、放送、録音に加えて[[オランジュ絵音楽祭]]などのピットにもしばしば入りオペラの経験も積んでいる。1975年、ORTFの組織が7つに分割され、[[ラジオ・フランス]]に管理・運営が移管されるに伴い、「'''フランス国立管弦楽団'''（OrchestrenationaldeFrance）」と改称。チェリビダッケを初の音楽監督に迎え注目されたが一年足らずで辞任し、その後は常任を置かずに[[レナード・バーンスタイン]]や[[ロリン・マゼール]]が中心となり精力的にその空白期間を埋めた。1977年にマゼールが首席客演指揮者に就任し、翌1978年にこのコンビで来日した。
東北特殊鋼株式会社,''ベレッタM12'''は、[[プレス加工]]と[[アーク溶接電気溶接]]による[[大量生産]]が容易な形状にデザインされ、[[テレスコーピング・ボルトL型ボルト]]を用いて機関部長を短縮した構造を持つ。作動方式は、[[:en:openboltオープンボルト]]の[[ブローバック#シンプルブローバック方式シンプルブローバック方式]]を採用し、セミオート・フルオートの切り替え機能を有する。[[弾倉]]は、20・30・40連発の計3種類の[[弾倉#ボックスマガジン箱型弾倉]]が製造されており、[[9x19mmパラベラム弾]]を使用するタイプのみが製造された。[[フランス]]製の[[MAT49]]と同様に[[銃剣着剣装置]]は備えていない。[[銃床ストック]]は、銃の右側面に折り畳むことができる構造のものが採用された。[[トリガー(銃)引き金]]を固定するマニュアルセーフティー、後部グリップの引き金下部に存在する引き金と[[ボルト(銃)ボルト]]を固定するグリップセーフティー、射手から見て[[銃口]]の左側に配置されたコッキングハンドルに装着されたボルト前進防止式セーフティーの三重の[[安全装置]]を備えている。
日本高周波鋼業株式会社,A線は1980年に開通するも、2019年4月現在、[[スパーニャ駅]]-[[バルベリーニ駅]]-[[レプッブリカ駅]]間は無期閉鎖中&lt;ref&gt;[https://tabilover.jcb.jp/ita/staff/shop_info/cat4/a-1.htmlローマ/地下鉄A線レプブリカ〜スパーニャ間閉鎖のお知らせおすすめ情報たびらば[旅ＬＯＶＥＲ]海外旅行情報サイトイタリア]&lt;/ref&gt;。
日本鋳造株式会社,;歴史:[[1949年]]（[[昭和]]24年）に宇都宮市内にあった商業高等学校2校（市立商業・県立商業）が統合され「栃木県立宇都宮商業高等学校」となる。市立商業が開校した[[1902年]]（明治35年）を創立年としており、[[2012年]]（[[平成]]24年）に創立110年を迎えた。;設置課程・学科:[[全日制課程]]2学科（修業年限3年、学年制）:*[[商業科]]（ビジネス総合コース・ビジネス進学コース）:*情報処理科:[[定時制課程]]2学科（修業年限4年&lt;ref&gt;ただし、[[栃木県立宇都宮高等学校]]や[[栃木県立学悠館高等学校]]の[[通信制課程]]と合わせて学ぶこと（定通併修）により3年間での卒業が可能。&lt;/ref&gt;、単位制、夜間）:*普通科:*商業科;校訓:「明知・進取・奉仕」;校章:2匹の[[ヘビ蛇]]が取り巻いている黄金の[[杖]]と宇都宮をローマ字表記した際の頭文字「U」を組み合わせたものとなっている。この杖は「カドーシャス」と呼ばれ、[[ギリシア神話]]で商業の神として知られる[[メルクリウスマーキュリー]]が持つとされる杖に由来している。;校歌:[[1956年]]（昭和31年）に制定。歌詞は3番まである。1・2・3番にそれぞれ校訓の「明知・進取・奉仕」が入っている。また2番と3番には校章のもととなっている商業神「マーキュリー」とその杖「カドーシャス」が登場する。;同窓会:「栃木県立宇都宮商業高等学校同窓会」と称している。
共英製鋼株式会社,[[日本製鉄]]資本で日本の電炉業界では第2位。マンションなどの[[鉄筋コンクリート]]用[[棒鋼]]では国内[[市場占有率シェア]]1位。[[医療廃棄物]]・[[産業廃棄物]]の処理も手掛ける。[[大輪会]]の会員企業である&lt;ref&gt;[http://izumisano-kyuryo.jp/dairinkai/大輪会（だいりんかい）とは]-[http://izumisano-kyuryo.jp/泉佐野丘陵緑地公式サイト]内のページ。&lt;/ref&gt;。
河上金物株式会社,
アルセロール・ミッタル,都内各所からある目的地までのドライブを車載カメラで収録し、到着にいたるまでのいわば「バーチャルドライブ」を放送。ミュージシャン（主にクラブミュージック方面であるが）をフィーチャーし（各回一名）、そのミュージシャンの手がけた音楽に乗せてドライブの模様が流される。
日鉄鋼管株式会社,大手[[鋼鉄鋼]]メーカーの[[新日鐵住金]]が出資する鋼管メーカーである。[[親会社]]の新日鐵住金とは異なり、鋼管の中でも小径の[[鋼管#電縫鋼管電縫鋼管]]（電気抵抗溶接鋼管）を専門に製造する。製品には、[[自動車]]・[[オートバイバイク]]など[[機械]]の[[部品]]として使用される機械構造用鋼管や、主に[[建築]]部門で使用される一般構造用鋼管、[[配管]]用鋼管、電線用の[[電線管]]がある。日本国内での電縫鋼管の生産[[市場占有率シェア]]は第6位（2008年度）&lt;ref&gt;http://www.japanmetaldaily.com/statistics/sharemainpr/details/index.html主要製品の生産シェア]、日刊鉄鋼新聞&lt;/ref&gt;。[[本社]]は[[東京都]][[品川区]][[大崎(品川区)大崎]]1丁目にあり、[[愛知県]][[東海市]]・[[大阪市]]・[[福岡市]]の3都市に[[支店]]を構える。製造拠点は4か所で、東海市の新日鉄[[新日鐵住金名古屋製鐵所名古屋製鐵所]]構内に名古屋工場、[[川崎市]][[川崎区]]に川崎工場、[[堺市]][[堺区]]に堺工場、[[福岡県]][[豊前市]]に九州工場がある。現在では新日鐵住金グループの一員であるが、[[1933年]]の設立当初は[[東芝]]グループに属していた。また、かつては[[東京証券取引所]]市場第2部（東証2部）に[[株式]]を[[株式公開上場]]していた（[[証券コード]]は5462）が、新日鉄の[[完全子会社]]となったため[[2004年]]に上場を[[上場廃止廃止]]している。2013年10月に同じ新日鐵住金グループの住友鋼管と合併し、[[日鉄住金鋼管]]が発足した。
大平洋金属株式会社,[[鉄]]と[[ニッケル]]の[[合金]]で、[[ステンレス鋼]]の原料となる[[フェロニッケル]]の専業メーカーである。フェロニッケルは[[鉱石]]を[[電気炉]]で[[製錬]]して製造されるが、その製錬過程で発生する[[スラグ]]を加工した人工[[砂]]・[[石]]の製造も行う。かつてはステンレス鋼そのものの製造も行っていたが、[[1999年]]（平成11年）に撤退している。製造拠点の八戸製造所は、青森県八戸市[[河原木(八戸市)河原木]]にある。[[登記]]上の本店（東京本店と称する）は[[東京都]][[千代田区]][[大手町(千代田区)大手町]]1丁目の[[大手町ビル]]にあるが、実質的な[[本社]]機構（八戸本社と称する）は八戸製造所と同地にある。このほかにも、[[大阪市]]と[[仙台市]]に事務所を、[[鉱山]]開発関連で[[フィリピン]]・[[タギッグ]]と[[インドネシア]]・[[ジャカルタ]]に海外事務所を置く。[[1949年]]（昭和24年）に、日曹製鋼として[[日本曹達]]より独立して発足したが、現在では同社と資本関係はない。[[1970年]]（昭和45年）に現社名となっている。
日本金属工業株式会社,比較的動作は軽く、派生ディストリビューションの中では長期サポート(LTS)版も含まれる数少ない存在である。軽量化の方向性としては[[Lubuntu]]や[[LinuxMint]]などと競合している。&lt;!--Xubuntuは動作が軽いのに加え、非常に安定した動作が出来る点でも評価は高い。--&gt;日本では[[交野市大阪府交野市]]で、サポート期間が終了した[[MicrosoftWindows2000Windows2000]]搭載パソコンでも動作する軽量な代替[[オペレーティングシステムOS]]として採用されている&lt;ref&gt;[http://itpro.nikkeibp.co.jp/article/NEWS/20100815/351172/大阪府交野市がOpenOffice.orgとODF採用、中古PCのLinuxによる再生も-ニュース：ITpro]&lt;/ref&gt;。
東京鐵鋼株式会社,主に建設企業向けに、鉄筋コンクリート用棒鋼、機械式の[[継手]]や鉄筋定着金物、鉄筋加工製品などの製品を製造・販売している。[[栃木県]][[小山市]]に本社工場を、[[青森県]][[八戸市]]に八戸工場をそれぞれ有する。
日本カタン株式会社,5thアルバム『[[Rippin'GHOST]]』からのリカットシングル。[[テレビ朝日]]系『[[内村プロデュース]]』2003年1月〜3月度エンディングテーマ。累計売上は0.6万枚を記録した&lt;refname&quot;oricon&quot;/&gt;。本作がリリースされた2003年は[[ソニー・ミュージックエンタテインメント]]がレーベルゲートCD2（[[コピーコントロールCDCCCD]]）の導入を開始した時期にあたり、同年にリリースされたアルバム『[[Rippin'GHOST]]』、リミックスアルバム『[[Re-syncGHOST]]』は通常のCDDAとしてリリースされたものの、accessの作品では本作のみCCCD仕様でリリースされている。
中部鋼鈑株式会社,{{Infobox_オートバイのスペック表排気量別普通車名カワサキ・XANTHUS&lt;refname&quot;U400&quot;&gt;{{Citejournal和書title90年代のアンダー400journalUnder400date2009年11月号（2009年12月6日発行）volume2issue10publisherクレタパブリッシングlocation[[東京都]]pages28-29}}&lt;/ref&gt;&lt;!--未記入で「記事名」がそのまま表示されます。記事名から特に変更がある際は要記入--&gt;車名補&lt;!--車名註釈用--&gt;画像の説明画像名カワサキザンザス.JPGメーカー[[川崎重工業]]ブランド親会社製造国{{jpn}}設計統括デザイナー製造期間[[1992年]]-[[1995年]]型式ZR400Dタイプ[[ネイキッド(オートバイ)ネイキッド(ストリートファイター)]]フレームプレスフレーム、ダイヤモンドエンジン型式ZX400GE総排気量398エンジン[[水冷エンジン水冷]][[4ストローク機関4ストローク]][[DOHC]][[直列4気筒]]内径57.0行程39.0圧縮比11.2燃料供給装置[[キャブレター]]燃料供給装置型式KeihinCVKD30最高出力53ps/11500rpm最大トルク3.7kg-m/9500rpm最高速度&lt;!--単位「km/h」は自動表示されます--&gt;トランスミッション常時噛合式6段リターン駆動方式チェーンサスペンション(前)テレスコピック式サスペンション(後)スイングアーム式ブレーキ(前)油圧式ダブルディスクブレーキ(後)油圧式ディスク全長2030全幅745全高1070最低地上高125シート高775ホイールベース1380車両重量186初期表示close乾燥車両重量168総重量&lt;!--単位「kg」は自動表示されます--&gt;乗車定員2燃料タンク容量14燃費&lt;!--単位「km/l」は自動表示されます--&gt;本体価格629000始動方式セルスターター潤滑方式ウェットサンプキャスター24トレール94.0タイヤサイズ(前)110/70R17タイヤサイズ(後)160/60R17備考自由項目1（項目名）自由項目1（内容）自由項目2（項目名）自由項目2（内容）先代後継[[カワサキ・ZRXZRX400]]姉妹車同クラス[[ホンダ・CB-1]]}}ザンザスは[[1969年]]に同社が発売した[[カワサキ・マッハマッハ]]の[[4ストローク機関4ストローク]]版を目指して開発され&lt;refname&quot;U400&quot;/&gt;、4ストマッハの異名を持つ。エンジンは同社の[[スーパースポーツレーサーレプリカ]]である[[カワサキ・ZXR400ZXR400]]のものをベースに&lt;refname&quot;U400&quot;/&gt;、カムプロフィールを変更するとともに、エキゾーストパイプの1と4、2と3を連結して排気効率を中低速域でのトルクを重視したセッティングとなっている。そのため、0-100km/hでは5秒を下回り0-400では12秒台と同クラスの他車種よりも数段加速に優れる。NK-STレースを意識して開発された車種であったが、アルミダイヤモンドフレームが規定に抵触するためか、ネイキッドクラスとしてレースに出場することはできなかった。デザインはフォークマウントされたデュアルバルブの角形2灯ヘッドライトや独特のフレームレイアウトなど斬新で他社の同クラスモデルと比べても奇抜なデザインをしている&lt;refname&quot;U400&quot;/&gt;。販売当初は[[ネイキッド(オートバイ)ネイキッド]]ブームではあったが奇抜なデザインとチューン次第で[[スーパースポーツレーサーレプリカ]]並の速さを持っていたため異端児のような扱いをされた。[[1995年]]には販売台数2605台と奮わずD4モデルを最後に生産終了となった。欧州で人気のネイキッドのジャンルの中の一つである[[ネイキッド(オートバイ)#ストリートファイターストリートファイター]]の特徴であるモノサスペンション、横長デュアルヘッドライト、ダウンドラフトキャブレター、[[レーサーレプリカ]]並の性能などと酷似する点があるためストリートファイターの元祖とも言えるオートバイである。
株式会社YAKIN川崎,[[ステンレス鋼ステンレス]]専業メーカーとして国内最大手である「[[日本冶金工業]]（株）」の[[連結子会社]]。日本冶金工業の製造部門（工場）としてステンレス鋼板を生産していた同社の川崎製造所が、[[2003年]]に分社化（新設分割）され、新たに設立された生産子会社であった。その後2010年に日本冶金工業に統合され、再び同社の川崎製造所になった。
