YKK株式会社,[[線ファスナースライドファスナー]]の生産が有名で、世界[[市場占有率シェア]]の約45%を占める。
三菱マテリアル株式会社,[[急行列車快速急行]]停車駅であり、巽ヶ丘駅と同様朝に名古屋方面の特急が一部停車し、夕方（[[名鉄名古屋駅]]発15時台）以降の内海、河和行特急は全て停車する。かつては隣の[[高横須賀駅]]との間に'''加木屋駅'''があった。加木屋駅が廃止されても駅名は改称されず現在に至っている。
JX金属株式会社,[[ジャパンエナジー]]（現・[[JXTGエネルギー]]）と共に、[[日立製作所]]や[[日産自動車]]をはじめとする[[日産コンツェルン]]の源流であった。日立銅山に端を発する(日立製作所もその銅線事業から始まっている)同グループにとって、創立以来の中核事業であった非鉄金属事業部門を継承している。日立金属安来工場に次ぐ合金設計の歴史を持っている。事業は[[資源]]開発・[[金属]][[製錬]]・電材化工・環境[[リサイクル]]の4つに大別される。資源開発では鉱山権益の拡大など非鉄金属資源の開発を手掛ける。金属製錬では、子会社の[[パンパシフィック・カッパーパンパシフィック・カッパー株式会社]](PPC)が[[パンパシフィック・カッパー佐賀関製錬所PPC佐賀関製錬所]]で銅製錬などを行っている。またパンパシフィック・カッパーは非鉄金属の販売も行う。電材化工では[[電子機器]]に使用される銅箔や[[化合物半導体]]などの製造、精密圧延などの精密加工を手掛ける。環境リサイクルではリサイクル原料や[[産業廃棄物]]からの有価金属の回収を行っている。&lt;!--同社発表の銅の[[山元建値]]がロンドン金属取引所相場等で急変すると、[[日本経済新聞]]の記事として掲載される。--&gt;
新日軽株式会社,[[1977年]]（[[昭和]]52年）に、[[日本軽金属]]の住宅建材事業部門が独立して設立された。その後、日軽金グループの建材製造・販売事業を徐々に統合し、同グループの建材事業部門を担った。住宅着工戸数の低迷や住宅長寿化にともなう需要減少を背景に、製造・販売資源を効率的に活用するため、[[2010年]]（平成22年）に住生活グループ（現・[[LIXILグループ]]）傘下に入り、[[2011年]]（平成23年）に[[トステム]]等と合併して（2代目）株式会社LIXILとなった。
古河機械金属株式会社,車両搭載型[[クレーン]]「[[古河ユニックユニック]]」やトンネル掘削に多くの実績を持つトンネルドリルジャンボ（削岩機）などの土木鉱山用機械と[[銅]]の[[製錬]]を事業のメインとする日本の大手メーカー。削岩機は国内シェア首位（国内シェア90%）、ガリウムヒ素半導体の材料として使用される高純度金属ヒ素は国内唯一の製造メーカーであり世界シェア首位（世界シェア60%、国内シェア75%）である。古河機械金属のルーツは銅山経営（鉱業）にあるが、ここで培われた鉱山技術（鉱石の採掘、銅の製錬、鉱石の運搬、給排水、水処理、副産物の処理、動力源としての発電所建設など）が今日の高度な技術力・高い世界シェアを有する製品（鉱山やトンネルで使用する削岩機、泥水を排水するポンプ、排ガス処理技術、銅の副産物である濃硫酸や希少金属の生産など）の源泉となっている。[[東京証券取引所]]市場第一部に上場している。[[古河財閥]]（現・[[古河グループ]]）の各社は、そのほぼ全てが古河鉱業（現・古河機械金属）の一部門としてスタートしている。例えば、[[古河電気工業]]は古河鉱業から分離独立した（[[本所鎔銅所]]、[[横浜電線製造]]、[[日光電気精銅所]]の3社が合併）（古河鉱業から見れば子会社）。[[富士電機製造]]（現・[[富士電機]]）は古河電工とドイツ社[[シーメンス]]の合弁で設立された（古河鉱業から見れば孫会社）。[[富士通信機製造]]（現・[[富士通]]）は富士電機から分離独立した（古河鉱業から見れば曾孫会社）。[[富士通ファナック]]（現・[[ファナック]]）は富士通から分離独立した（古河鉱業から見れば玄孫会社）。また、[[横濱護謨製造]]（現・[[横浜ゴム]]）は、古河とアメリカ社[[グッドリッチ]]の提携により設立。[[旭電化工業]]（現・[[ADEKA]]）は、古河と[[桂川電力]]（現・[[東京電力ホールディングス東京電力]]）、[[東京電気]]（現・[[東芝]]）の3社により設立。[[日本ゼオン]]は、古河とアメリカ社[[グッドリッチ・ケミカル]]の提携により設立。[[日本軽金属]]は、古河と[[東京電燈]]（現・東京電力）により設立。[[帝国生命保険]]（現・[[朝日生命保険]]）は、古河が株式の過半数を買い入れ経営権を取得した。以上のような経緯から、古河機械金属は現在も古河グループ（[[古河三水会]]）の資料では筆頭に名を連ねている。また、古河機械金属の英文社名が「FURUKAWAMACHINERY&amp;METALCO.LTD.」などではなく「FURUKAWACO.LTD.」であるのも、こうした歴史的背景からである。[[1875年]]（明治8年）、創業者・[[古河市兵衛]]が[[草倉銅山]]（[[新潟県]]）を譲り受け、「'''古河本店'''」として経営を開始。[[1877年]]（明治10年）には[[足尾銅山]]（[[栃木県]]）を譲り受け、この足尾銅山の発展を基盤とし様々な産業へと多様化の道を歩み始めた。[[1905年]]（明治38年）に個人経営から会社組織に変更し「'''古河鉱業会社'''」となり、[[1911年]]（明治44年）に「'''古河合名会社'''」に組織を変更、[[1918年]]（大正7年）には古河合名会社の鉱業部門を独立して「'''古河鉱業株式会社'''」を設立、更に[[1941年]]（昭和16年）に古河合名会社と古河鉱業株式会社が合併し「'''古河鉱業株式会社'''」として現在の形態の基礎が完成された。[[第2次世界大戦]]敗戦後の[[1946年]]（昭和21年）、[[持株会社整理委員会]]による指定（[[財閥解体]]）を受け古河財閥の[[持株会社]]としての機能を喪失、くわえて[[岡田完二郎]]社長が[[連合国軍最高司令官総司令部GHQ]]の[[公職追放令]]に基づく追放指定を受け社長を辞任するなど、終戦をさかいに再出発を図ることとなった。[[1989年]]（平成元年）、社名を「古河鉱業株式会社」から「'''古河機械金属株式会社'''」に変更、現在に至る。[[2005年]]（平成17年）、機械セグメント・金属セグメント・電子化成品セグメントを[[会社分割]]により分社化し、[[事業持株会社]]である古河機械金属（株）を中心とした「[[古河機械金属グループ]]」としての経営体制に移行。[[2009年]]（平成21年）には[[M&amp;A]]によって塗料事業が新たに加わった（2013年売却）。現在では、[[機械]]・[[金属]]・電子化成品・[[不動産]]・その他（運送業など）の4[[セグメント]]、[[産業機械]]・開発機械・[[ユニック]]・金属・電子材料・[[化成品]]・不動産・その他（運送業など）の8事業を主とした企業活動を行っている。また、日本の[[公害]]の原点ともいわれる[[足尾鉱毒事件]]（[[栃木県]]・[[群馬県]]の[[渡良瀬川]]周辺で発生した足尾銅山の公害事件）は、古河鉱業（現・古河機械金属）が原因企業であり、このことは、多くの教科書にも取り上げられているため広く知られているが、今日、古河機械金属はその原因企業として、環境保全技術の開発や積極的な自然再生事業など、前向きな環境保全活動を行っている。
リョービ株式会社,前身は[[浦上豊]]が[[1943年]]に興した[[三菱電機]]福山工場（現・福山製作所）の[[ダイカスト]]製品の下請け・「'''菱備製作所'''」（りょうびせいさくしょ）。社名は創業当時からの本社所在地の府中市が旧[[備後]]国であり、さらに近接の岡山県西部が[[備中]]と呼ばれることと、三菱電機の関連会社であったため、同じ音の「両備」を掛け、更に「三菱」から一字を採った。[[1972年]]、創業者・豊の急逝により、後を継いだ長男の浩（現会長）により[[コーポレートアイデンティティCI]]が実行され「RYOBI」となった。長年、Rを矢印に見立てたシンボルロゴを使用していた。なお両備バスを中心とする[[両備ホールディングス]]などの[[両備グループ]]は無関係。[[1944年]]から[[ダイカスト]]製品を製造し、その後、印刷機器、[[釣具]]、[[工具パワーツール]]、建築用品、[[ドアクローザー]]、[[ゴルフクラブ]]などの製造・販売を行っていた。[[釣具]]・パワーツール・[[ゴルフクラブ]]などの製造・販売については、釣具は[[2000年]]に[[上州屋]]へ[[事業譲渡営業譲渡]]、パワーツールは[[2018年]]に[[京セラインダストリアルツールズ]]へ新設分割の上で事業譲渡、ゴルフ用品は[[2002年]]に事業撤退した。ゴルフクラブの製造販売を手掛けていたことからスポーツ関係のスポンサーを務めることが多く、[[広島東洋カープ]]の本拠地である[[マツダスタジアム]]に長年にわたって広告を出したほか、[[読売ジャイアンツ]]、[[中日ドラゴンズ]]、[[阪神タイガース]]、[[横浜DeNAベイスターズ横浜ベイスターズ]]の本拠地球場にも[[1990年代]]まで広告を提供し、プロ野球中継の影響もあり[[1980年代]]からは全国に名前が知られるようになり、全国区の企業となった（[[後楽園球場]]→[[東京ドーム]]は[[1999年]]に一旦撤退のち2013年現在は再び提供、[[ナゴヤ球場]]→[[ナゴヤドーム]]には[[1998年]]まで）。[[フジテレビジョンフジテレビ]]系の「[[プロ野球ニュース]]」の[[スポンサー]]でもあった。現在の主要生産品目は、自動車関連（シリンダーブロックやトランスミッションケースなど）のダイカスト製パーツであり、国内メーカーはのみならずゼネラルモーターズやフォード・モーター、フォルクスワーゲンといった海外メーカーとも取引がある。設計から製造までの一貫体制が整っており、塗装まで済ませた状態でメーカーに納品できることが強みとされている。また建築用品の部門もある。高精度のオフセット枚葉印刷機製造部門もあったが、業績不振により三菱重工印刷紙工機械株式会社（現在の[[三菱重工機械システム]]株式会社）と共同で2013年に準備会社（会社名：アールエム株式会社）を経由して、2014年にリョービMHIグラフィックテクノロジー株式会社を設立して分社化された&lt;ref&gt;[https://www.ryobi-group.co.jp/news/docs/130731_b.pdf印刷機器事業の合弁会社設立にかかる吸収分割契約締結に関するお知らせリョービ]2018年7月12日閲覧&lt;/ref&gt;。
（旧）住友軽金属工業株式会社,[[1959年]]からの[[大分臨海工業地帯]]の開発、及び、[[1964年]]の[[新産業都市]]指定に伴い進出する企業の従業員の住宅地として、[[新住宅市街地開発法]]の適用を受けた[[新住宅市街地開発事業]]により、大分臨海工業地帯の後背地である明野台地に建設された。開発面積185万[[平方メートルm&lt;sup&gt;2&lt;/sup&gt;]]、計画戸数6500戸の大分県内では最大規模の住宅団地である。かつては原野であったが、[[第二次世界大戦]]後に入植が行われ、[[明治村(大分県)'''明'''治村]]猪'''野'''の一部であったことから、明野と名付けられた。また、明野には「拓かれた野」という意味もあるとされる&lt;ref&gt;梅木秀徳{{PDFlink[http://www.nan-nan.jp/lib/eki007a1.pdf『各駅停車・大分県歴史散歩ふるさとの駅』(7)鶴崎・大在]}}大分合同新聞社、2007年4月13日&lt;/ref&gt;。開発の経緯を受けて、[[公営住宅]]・分譲[[マンション]]のほか、[[新日本製鐵]]（現新日鉄住金[5401]）及びその関連企業（[[昭和電工]][4004]、[[JX日鉱日石エネルギー]]（現ＪＸＴＧ[5020]など）の[[社宅]]も多数存在することが特徴であり、居住者は、転勤による大分県外からの転入者が多く、県外からの転入者が約4割を占めた&lt;ref&gt;{{PDFlink[http://ir.lib.oita-u.ac.jp/jspui/bitstream/10559/13362/1/kyo-31-1-2.pdf大分市における住宅団地の開発と高齢化]}}土居晴洋・久保和津代・板井美奈、大分大学教育福祉学部研究紀要31(1)13-282009-04&lt;/ref&gt;。ピーク時の2001年には人口が約2万4千人を数えたが、以後は減少傾向にあり、2014年5月末時点の人口は22493人。また、高齢化が進行し、地区内にある小学校3校の児童数は最盛期の半分以下になっている&lt;refname&quot;godo20140612&quot;&gt;[http://www.oita-press.co.jp/1010000000/2014/06/12/002244232「開発50年」来年へ団結活性化目指し協議会]大分合同新聞、2014年6月12日&lt;/ref&gt;。最近になり、老朽化した企業社宅を取り壊し、跡地に戸建て住宅を建設するという新しい試みも行われている。
東邦チタニウム株式会社,[[遊歩道]]は設置されているが、舗装などの近代的整備が行われている部分はなく、全行程にわたり急勾配が連続し、急斜面に沿った細い部分や沢を渡る部分などもあり、歩行には注意を要する。過去に多くの観光客が足を滑らせるなどして滑落死している。特に、遊歩道からはみ出ることは自殺行為である。また、遊歩道の一部に手すりが設けられている。
株式会社ミヨマル,創業者の福田剛が[[1970年]]に元になる会社を設立。現在の会社組織へは[[1974年]][[8月]]になる。主な事業として、トイレブースの設計・製造・販売・施工を一貫して行い、建物のパーティションについても同様に一貫して行っている。
タツタ電線株式会社,*電線・ケーブルが事業の中心であり、設備用電線・ケーブル、配電用電線、車両用電線、鉄道信号用ケーブル、機器用電線、原子力発電所用電線・ケーブル、及び耐屈曲性を強化した[[ファクトリーオートメーション]]・[[ロボット]]用ケーブル等を製造している。*[[エレクトロニクス]]部品分野では、光ファイバ[[コネクタカプラ]]や[[コネクタ]]等の配線部品の他、電子回路用の材料を製造している。また、情報通信用ケーブルとして、光ケーブル、メタル通信ケーブル等の製品を製造している。*これらの他、応用システムとして、温水検知、入退室管理、侵入監視の各システムを取り扱っている。また、環境分析事業も展開している。
