日本発條株式会社,自動車の懸架ばねで世界シェア第1位。その他エンジンや伝達系などの重要部品を製造している。精密部品分野にも進出し、特に[[ハードディスクドライブ]]の磁気ヘッド用サスペンションでも世界シェア第1位。[[商標]]（[[ブランド]]）名として「'''NHK'''」を使った組織は、[[日本放送協会]]より日本発条の方が早く[[1939年]]（昭和14年）である。日本放送協会がNHKの名称を使用開始したのは[[1946年]]（昭和21年）のことであるが、この際日本発条に許諾を求め、これを認め、現在もそれぞれが使用している。[[1989年]]（平成元年）制定のCIロゴにも使用されている&lt;ref&gt;[https://job.rikunabi.com/2018/company/r827500066/blog/detail/1/どうしてロゴにNHKが!?]リクナビ20182017年3月3日&lt;/ref&gt;。かつては[[テレビ神奈川]]製作の「[[新車情報]]」のスポンサーだったが、[[2005年]][[10月]]からの後番組である「[[新車ファイルクルマのツボ]]」を経て、現在は「[[岡崎五朗のクルマでいこう!]]」のスポンサーになっている。同社の横浜事業所の最寄り駅である[[横浜シーサイドライン金沢シーサイドライン金沢シーサイドライン]]の[[市大医学部駅]]においては、2010年4月に同社が[[ネーミングライツ]]を取得したことで、同駅には'''ニッパツ前'''の副名称が付けられている。2008年からは同社のイメージキャラクターとして、[[鉄人28号]]が登場している。'''ニッパツ28'''に掛けた、と言うことである。設立時は旧日商系列の企業だったが&lt;refname&quot;日商&quot;&gt;[http://www.sojitz.com/history/jp/company/nissho/日商]-[http://www.sojitz.com/history/jp/双日歴史館]内のページ。&lt;/ref&gt;、日商が[[岩井商店岩井産業]]と合併して日商岩井が誕生したのがきっかけで[[最勝会グループ]]の企業と接点を持つようになり最勝会に参加した&lt;ref&gt;[http://www.sojitz.com/history/jp/company/post-42.php最勝会の設立]-双日歴史館内のページ。&lt;/ref&gt;。
東洋シヤッター株式会社,帝国陸軍最後の制式[[戦闘機]]とされる軍用機である。製作不良・整備困難などから[[液冷エンジン]]、[[ハ140]]（または[[ハ40(エンジン)ハ40]]）の供給不足に陥り、機体のみが余っていた[[三式戦闘機]]に急遽[[空冷エンジン]]、[[ハ112]]IIを搭載し戦力化したものであるが、時間的猶予の無い急な設計であるにもかかわらず意外な高性能を発揮、整備性や信頼性も比較にならないほど向上した。五式戦闘機は大戦末期に登場し、また生産数も少ないために実戦での活躍は少ないが、末期の日本陸軍にとり相応の戦力となった。離昇出力は1500馬力と[[四式戦闘機]]には及ばないものの空戦能力・信頼性とも当時の[[パイロット(航空)操縦士]]&lt;refgroup注釈&gt;当時の陸軍では通常、空中勤務者と呼ばれていた。本項では操縦士に統一する。&lt;/ref&gt;には好評で、アメリカ軍の新鋭戦闘機と十分に渡り合えたと証言する元操縦士も多い。本機には正式な制式指示がなく、「陸軍最後の制式戦闘機」でもなければ、制式化されていないが故に「五式戦闘機」と言う名称自体が便宜上のものとする説もある{{sfn「歴史群像」編集部2005p118}}{{sfn歴史群像編集部2010pp66-67}}&lt;refgroup注釈&gt;ただし歴史群像編集部(2010)によれば、歴史群像編集部では使用部隊の多さなどから本機は制式機に準ずると判断した、としている。同じく歴史群像編集部(2011)では制式指示がなかったと明言している(p.77)。そのためこの文献での五式戦闘機の項目名は「試作（編注:冒頭部分は分類で、他には制式、計画、などが見られる）川崎キ100近距離戦闘機（軽戦闘機）」であり、あくまでキ100であり、五式戦闘機ではない。また野原(2007)では制式化されたか否かには言及せず「採用」と表現されている。ただし、村上(1985)のように、「制式採用された」と明記する文献もやはり存在する。&lt;/ref&gt;。
トステム株式会社,[[2001年]]（[[平成]]13年）10月に、[[INAX]]と経営統合した。その際、（初代）トステム株式会社が株式会社INAXトステム・ホールディングス（現・LIXILグループ）に社名変更するとともに[[持株会社]]となり、そのもとで事業を行う同グループの中核企業として、新たに（2代目）トステム株式会社が設立された。また、[[2011年]]（平成23年）4月にグループ内の再編により、（2代目）トステムが存続会社となり、INAX、[[新日軽]]、[[東洋エクステリア]]、（初代）LIXILを合併するとともに、（2代目）LIXILに改称した。これにより、トステムという社名は姿を消し、LIXILのブランド名のひとつとして存続することとなった。
株式会社トヨトミ,[[Image:WatersideBAHQLondon.jpgthumbWatersideブリティッシュ・エアウェイズの本部]][[航空連合]]の一つである[[ワンワールド]]創立メンバーの1社である。[[ロンドン・ヒースロー空港]]をメイン[[ハブ空港ハブ]]とし、[[2004年]]11月現在、世界75ヵ国、159都市に就航している。[[1952年]]には世界最初のジェット[[旅客機]]である[[デ・ハビランドDH.106コメット]]を就航させたり、[[1976年]]には世界最初の超音速旅客機である[[コンコルド]]を就航させるなど、最新技術を果敢に取り入れることでも知られる。[[航空券]]の座席予約システム（[[CRS(航空)CRS]]）は、[[アマデウスITグループ]]が運営する[[アマデウス(CRS)アマデウス]]を利用している&lt;ref&gt;{{Citeweburlhttp://www.amadeusjapan.co.jp/getonboard/gate2.htmltitle日本発着路線をもつアルテア利用航空会社(2015年6月現在)language日本語accessdate2015-09-26archiveurlhttps://web.archive.org/web/20150927092229/http://www.amadeusjapan.co.jp/getonboard/gate2.htmlarchivedate2015年9月27日deadurldate2017年9月}}&lt;/ref&gt;&lt;ref&gt;{{Citeweburlhttp://www.amadeus.com/getonboard/?page_id10titleAirlinesusingAmadeuspublisher[[アマデウスITグループ]]language英語accessdate2015-09-27}}&lt;/ref&gt;。
リンナイ株式会社,リンナイという社名は、創設者の'''林'''兼吉と'''内'''藤秀次郎から一字を取ったもの。当初「ナイリン」だったが、語呂が悪かった為、「リンナイ」に変更した。[[名古屋瓦斯]]（現・[[東邦ガス]]）の社員だった二人が、スウェーデン製石油コンロを譲ってもらったのがきっかけとなり{{efn中日新聞経済部[編]「時流の先へ中部財界ものがたり」p271}}、[[1920年]]（大正9年）9月に[[石油]]コンロ卸売業者「林内商会」として設立。国内では長らく「ガスとエレクトロニクス」というキャッチフレーズを用いてきた。なお、CMのサウンドロゴは国によって異なる。また、スポンサークレジットは長年“'''R'''の穴部分を紅い炎にした社紋”と、その下に「リンナイガス器具」であったが、[[2006年]]（平成18年）から「Rinnai」となった。また、製品は同じ愛知県に本社がある[[INAX]]（現[[LIXIL]]）にも[[OEM]]供給されている（給湯機器はINAX扱いの製品も一部Rinnaiブランドのまま販売される）。[[2006年]]（平成18年）に同じく愛知県内に本社のある[[パロマ(企業)パロマ]]が起こした一連の湯沸器事故の不祥事で、リンナイにも風評被害が出るのではと言われていたが、パロマに対する消費者の嫌気（不買ムード）により給湯器部門（特に、小型瞬間湯沸器）でリンナイのシェアが延びた。また、旧松下電器産業（現[[パナソニック]]）が[[2007年]]（平成19年）[[4月]]に[[ガス器具]]製造販売を撤退したことに伴い、リンナイ製品は[[パナソニックショップ]]（当時はナショナルショップ）にも供給されている。
株式会社コロナ,[[石油ストーブ]]や[[石油ファンヒーター]]などの暖房器具をメインに[[エア・コンディショナーエアコン]]や[[除湿機]]・[[加湿器]]を始めとする空調機器、また[[給湯器]]や[[温水器]]など住設機器の製造・販売を行っている。最近では自然冷媒ヒートポンプ式給湯機[[エコキュート]]事業にも力を入れており、世界で初めてエコキュートを販売するなどシェアを拡げつつある。同じく新潟県が本社の[[ダイニチ工業]]とは創業地が同じ[[三条市]]であり、石油暖房機器分野でシェア争いを続けている。暖房機器のイメージが強いが、かつて[[冷蔵庫]]、[[電子レンジ]]、[[洗濯機]]、[[掃除機]]といった家電の製造販売もしていた時期がある。[[2005年]]3月をもって松下電器産業（現・[[パナソニック]]）が石油暖房機器製造から撤退したことに伴い、ナショナルショップ（現・[[パナソニックショップ]]）にもコロナ製石油暖房機器が供給されるようになった。
株式会社ハーマン,長年[[大阪瓦斯大阪ガス]]グループだったが、現在は風呂釜販売が中心の[[ノーリツ]]グループに属している。本社は[[大阪府]][[大阪市]][[此花区]]春日出南三丁目2番10号で、業界有数の大手企業である。[[1986年]]（[[昭和]]61年）、当時大阪ガスグループだった陽栄製作所（商標「ダンホット」、湯沸器、風呂釜主体）とターダ（旧：多田金属工業、ガスコンロ、オーブン主体）が合併して誕生した。新しい技術を取り入れることに対して積極的であり、特にターダ時代におけるガスコンロについてはビルトインコンロや両面焼きグリルなど、当時としては先駆けとなった機能が多い。[[2001年]]（[[平成]]13年）には製造部門を'''株式会社ハーマンプロ'''として分社化し、株式会社ハーマンは販売主体となったが、[[2011年]]（平成23年）に両社合併（製販一体化）により、株式会社ハーマンとして再出発した。
株式会社長府製作所,[[山口県]][[下関市]]に本社を置く住宅設備機器メーカー。主力製品として[[給湯器ガス給湯器]]、[[給湯器石油給湯器]]、[[エア・コンディショナールームエアコン]]、[[温水暖房ヒートポンプ式温水暖房]]などがある。その他にシステムバスやシステムキッチン、ソーラー関連機器の製造販売も行っている。近年は、「'''技術でエコを変えていく'''」をテーマに環境配慮型製品に注力している。グループ会社は親会社である同社と連結子会社4社、非連結子会社数社から構成されている。
立川ブラインド工業株式会社,創業者の立川孟美が[[1938年]]（昭和13年）に東京都台東区柳橋で有限会社「立川工業所」を創業。当初は布製及び木製ブラインドの製造・販売を開始するも、終戦後の[[1947年]]（昭和22年）に株式会社に改組後は木製及びジュラルミン製ブラインドに切り替えると共に生産を拡大。[[1971年]]（昭和46年）に発売された、インテリアブラインド「シルキー」のヒットで、ブラインド製品でトップシェアを築くと共に、現在に至る。一般的には、同社製品の取り扱い店で「タチカワブラインド」と片仮名表記が知られている他、商品の性格上、広義ではインテリア業界に属する。ブラインド最大手であり、アイテム数が多い。他には天窓、傾斜窓やロールスクリーンやラインドレープ、バーチカルブラインドなどのファブリック製品、アコーデオンカーテンなどの間仕切り、住宅用オーニング、カーテンレールなどを扱うが、採光、遮光という用途を持った商品に特化しているのが特徴である。
ダイニチ工業株式会社,業務用大型[[石油ストーブ]]、家庭用[[石油ファンヒーター]]の国内シェアトップであり、[[2013年]]以降は加湿器においても国内シェアトップである。家庭用石油ファンヒーターでは、大手家電メーカーが撤退したことによりシェアが上昇。加湿器、空気清浄機、焙煎機能付コーヒーメーカー、生ごみ乾燥処理機などの分野にも進出。海外製造品が多い加湿器やセラミックファンヒーターにおいても自社による国内製造を行っている。同じく新潟県が本社の[[コロナ(暖房器具)コロナ]]とは創業地が同じ[[三条市]]でライバル関係にあり、石油暖房機器分野でシェア争いを続けている。
東洋製罐株式会社,1作目『[[EVEbursterror]]』の2年前が舞台。主人公は1作目と同じく探偵「天城小次郎」と捜査官「法条まりな」。2人の主人公を操作しストーリーを進めていくマルチサイト[[アドベンチャーゲーム]]である。『EVEbursterror』に間接的に繋がるストーリーだが、後付けでシナリオライターも異なるため、物語上の矛盾点も生じている。また、主人公の2人は『EVEbursterror』で初めて出会っている設定なので、本作で直接顔を合わせる事は無い。
TONE株式会社,「'''TONE（トネ）'''」ブランドで工具を製造販売している。ブランド名のTONEは既存工具ブランドのNileを参考として同様に河川に因むもので、かつ英語として意味を持つ名前を[[利根川]]からとって命名されたものである。2013年に商号も「前田金属工業」からブランド名へと変更された。&lt;ref&gt;[http://www.tonetool.co.jp/company/profile.html概要]&lt;/ref&gt;様々な工具を扱っており、中でも[[トルクレンチ]]に強い。海外ブランド工具に比べ、知名度や一般での入手性が低い点もあるが、工作精度や梨地に拘った外見など全く見劣りする部分は無い{{要出典date2017年2月}}。以前より{{いつdate2017年2月}}継続して[[ホームセンター]]への営業活動に注力しており、入手性（品揃え）に関しては改善が図られている。当社の源流となる「前田軍治商店」は、後に工作機械を中心とした専門商社・[[山善]]を創業する[[山本猛夫(実業家)山本猛夫]]が同社創業前に[[丁稚]]として入っていた店であり、当時のことは山本猛夫をモデルに描いた[[花登筺]]の小説『[[どてらい男]]』でも語られる。なお、作品中では当時の社名に似せた「前戸文治商店」として登場する。
