小倉鉄道株式会社,[[日本海]]沿岸を通過するルートをとるが、数々の[[トンネル]]を通過する。通行に危険な箇所は現在もルート変更をはじめとする線形改良が続けられている。なかでも積丹半島の海岸線を周遊する道路には、町村ごとに「セタカムイライン」「カブトライン」「追分ソーランライン」といった異なる愛称がつけられており、日本海と奇岩が続く絶景のドライブルートとして知られる{{Sfn佐々木・石野・伊藤2015p37}}。
株式会社IHI,幕末以来160年を超える歴史があり、重機などの重工業において、日本を代表する企業の一つである。旧[[日本国有鉄道国鉄]]（現：[[東日本旅客鉄道JR東日本]]）[[東京駅]]の[[丸の内]]側本屋の鉄骨の建造（施工は[[大林組]]が担当し、1914年に開業）&lt;ref&gt;{{Citejournalauthor大内田史郎year2011title東京丸の内駅舎保存・復原journal電気設備学会誌volume31issue1月号page65publisher一般社団法人電気設備学会urlhttps://doi.org/10.14936/ieiej.31.63doi10.14936/ieiej.31.63accessdate2017/11/03}}&lt;/ref&gt;、[[永野治]]による日本初のターボ・ジェットエンジン開発（1945年）、日本国内最大の大型[[海水淡水化]]装置建設（1967年）、[[東京湾アクアライン]]工事用シールド掘進機納入（1997年）、[[明石海峡大橋]]の[[ケーソン]]やタワー（主塔）の建設（1998年）などに関わってきた{{要出典date2017年11月}}。同社のトップは政財界でも様々な活動を行っている。最近では[[伊藤源嗣]]が[[日本経済団体連合会]]（日本経団連）の評議員会副議長を務めていた（就任時は社長、2003年〜2007年）&lt;ref&gt;{{Citewebtitle新副会長に７氏内定／評議員会議長・副議長もurlhttps://www.keidanren.or.jp/japanese/journal/times/2003/0313/01.htmldate2003/03/13accessdate2017/11/03publisher[[日本経団連]]}}&lt;/ref&gt;。1980年代に[[中曽根康弘]]首相が進めた[[行政改革]]においては、その基本方針をまとめた[[第二次臨時行政調査会]]の会長を同社出身の[[土光敏夫]]が務め&lt;refname&quot;sankeibiz150803&quot;&gt;{{Citewebtitle東芝、改革精神に“ゆがみ”歴代名経営者と正反対の「当期利益至上主義」urlhttp://www.sankeibiz.jp/business/news/150803/bsc1508030500006-n1.htmdate2015/08/03accessdate2017/11/03publisher[[産経新聞社]]}}&lt;/ref&gt;、その主要政策として実行された[[日本電信電話公社]]の民営化では[[真藤恒]]が同公社の最後の総裁、及び[[日本電信電話]](NTT)の初代社長としてその移行を実現させた。また、[[稲葉興作]]は1993年から2001年に[[日本商工会議所]]の会頭であった&lt;ref&gt;{{Citewebtitle稲葉興作氏のご逝去にあたってurlhttp://www.jcci.or.jp/recommend/comment/2006/1129100000.htmldate2006/11/29accessdate2017/11/03publisher[[日本商工会議所]]}}&lt;/ref&gt;。元来独立系の企業だが、土光敏夫が[[三井グループ]]の東京芝浦電気（現：[[東芝]]）の再建に関わって&lt;refname&quot;sankeibiz150803&quot;/&gt;以来東芝と密接な関係にあるため、三井グループを構成する二木会（社長会）・三井業際研究所（二木会直轄のシンクタンク）・[[綱町三井倶楽部]]（三井系の会員制クラブ）&lt;ref&gt;{{Citewebtitleご利用案内urlhttp://tsunamachimitsuiclub.co.jp/wedding/new-site/usage/accessdate2017/11/03publisher綱町三井倶楽部}}&lt;/ref&gt;及び月曜会（三井グループ各社の役員間の相互親睦と情報交換を目的とする会合）に加盟している&lt;ref&gt;{{Citewebtitle三井グループの100年企業urlhttp://www.mitsuipr.com/special/100ka/26/index.htmldate2014/07/18accessdate2017/11/03publisher三井グループ広報会}}&lt;/ref&gt;。一方、旧石川島重工業と旧第一銀行とのつながりから、メインバンクは[[みずほ銀行]]であり、IHIは[[第一勧銀グループ]]にも属している&lt;ref&gt;[https://doors.doshisha.ac.jp/duar/repository/ir/15981/17064050004.pdf六大企業集団の無機能化]-[[同志社大学]]学術情報検索システム内にある[[PortableDocumentFormatPDFファイル]]。筆者は経済学者の田中彰。&lt;/ref&gt;。2012年10月からコーポレートメッセージを「'''Realizeyourdreams'''」とした&lt;ref&gt;[http://www.ihi.co.jp/ihi/all_news/2012/press/2012-9-24/index.htmlIHIグループの新コーポレート・メッセージを策定]&lt;/ref&gt;。
キャタピラージャパン合同会社,当駅は滋賀県北東部の湖北地方に所在する長浜市の中心駅・代表駅である。当駅はJR西日本京都支社に所属する。[[北陸本線]]に属するが、[[1991年]][[9月14日]]の[[田村駅]]-当駅間の直流化&lt;refname&quot;RJ388&quot;&gt;{{Citejournal和書date1999-2title北陸本線各駅停車author中村ゆういちjournal[[鉄道ジャーナル]]volume33issue2page44publisher[[鉄道ジャーナル社]]}}&lt;/ref&gt;、さらには[[2006年]][[10月21日]]の[[敦賀駅]]までの直流化により停車する電車の多くが[[京都駅京都]]・[[大阪駅大阪]]方面に直通している。現在、北陸本線の当駅-[[米原駅]]間は[[東海道本線]]米原駅-[[京都駅]]間と合わせて「[[琵琶湖線]]」の愛称が使用されている。現在の駅舎は2006年の敦賀駅までの直流化に合わせて完成した橋上駅舎で、初代駅舎をモチーフにデザインされている。なお、1903年まで供用されていた初代駅舎は[[長浜鉄道スクエア]]の施設として保存されている。自動改札機の導入も早く、北陸本線の駅の中ではじめて設置された。
株式会社ニッセイ,1942年（昭和17年）に、当時の日本ミシン製造株式会社（現・ブラザー工業株式会社）への部品供給を目的に会社設立。現在は、[[減速機]]、直動機器、[[歯車]]の製造を主幹とする。主に[[工作機械]]メーカーや[[自動車]]メーカー向けに出荷している。なお、「ニッセイ」の略称を持つ[[日本生命保険]]は株主のひとつであるものの、社名は旧名である「日精工業（日本ミシン精機）」に由来しており本来は無関係である。
蛇の目ミシン工業株式会社,世界で最初に家庭用刺繍ミシン「グラフイカ」を開発・販売したメーカーであり、ミシンのほかに、[[24時間風呂]]「湯名人」でも有名である。ミシン業界は伝統的に[[訪問販売]]が多く、更に女性向け商品が多いため、販売支店では母子家庭の人間の採用に積極的である。最近では[[羽毛布団]]・[[整水機]]・鋳造（航空宇宙、レース用バイク等）・産業機器・印刷など、ミシン以外の分野にも幅広く手を伸ばしている。[[りそな銀行]]（旧:[[埼玉銀行]]）を[[メインバンク]]としており、後述の[[光進事件]]の影響により現在も埼玉銀行の不動産部門から独立した[[大栄不動産]]が筆頭株主となっている。
ダイキン工業株式会社,[[画像:ArmyandNavyhardtack.jpgthumbright200px[[19世紀]]ごろのアメリカの軍用堅パン（ハードタック）]][[堅パン]]の起源は古く、[[ヨーロッパ]]ではローマ時代に兵糧として支給されていた記載がある。現在では[[非常食]]として用途の他に、軍隊や登山者の携行食糧として用いられる。含水量が少ないため貯蔵性に優れており、特に多くの食料品が凍結してしまうような低温下においても平常時とほとんど変わらない状態を維持するため寒冷地における重要な糧食となっている。日本における乾パンの始祖は、[[天保]]13年（1842）、反射炉で有名な伊豆韮山の代官、[[江川英龍江川太郎左衛門担庵公]]が非常時に備え、保存できる軍用の携帯食としてパンを焼き始めたものである。外国文化の取り入れに熱心だった当時、水門藩は「兵糧丸」、長州藩は「備急餅」、薩摩藩は「蒸餅」と名付けた軍用パンを作り、非常時に備えていた。乾パンは、[[明治時代明治]]期の[[大日本帝国陸軍]]が[[欧米]]の[[軍用食糧軍用ビスケット]]を改良して作った[[レーション携帯口糧]]であり、「重焼麺麭じゅうしょうめんぽう（重焼（回数を）'''重'''ねて'''焼'''いた、麺麭[[パン]]、すなわち[[ビスケット]]のこと）」と呼ばれた。1枚の大きさは後述する大型乾パンほどのサイズであった。のちに「乾麺麭（かんめんぽう、乾燥させたパン、の意）」と呼称され、[[昭和時代昭和]]期には更なる改良が行われ、味形共に現在の小型乾パンと変わらないものとなり、名称/呼称も「乾パン」となった。包装を[[缶詰]]にしさらに保存性を高めた製品がある。缶詰の製品には糖分を補うため、唾液を出やすくする目的で、しばしば[[氷砂糖]]や[[金平糖]]が同梱されている。乾パンは[[小麦粉]]、[[砂糖]]、[[食塩]]、[[ショートニング]]などに[[酵母イースト]]を加えて[[発酵]]させた後、140-150℃で焼き上げる。[[水分]]が少ないため、食感は最初は硬くて味のないビスケットのようであるが、良くかめば口の中に[[コムギ小麦]]の香ばしさと甘みが広がる。栄養価を高め食味を向上させるために、黒[[ゴマ]]を加える場合もある。非常食用の物は平均2.3%ほど（メーカーにより割合が微妙に僅差する）[[ベントナイト]]を添加し、膨潤性（水分を含むと体積が増加する）を持たせて満腹感を持続させ腹持ちを良くしたものが多い。ベントナイトは[[珪藻土]]とともに加藤清正が[[熊本城]]の築城に際して篭城を想定して[[芋茎#乾燥したもの]]とともに非常食用の土壁としても利用した。飢餓・大災害・戦災に遭った国・地域に対して、緊急援助物資として送られることも多い。燃料や水すら満足に確保できないほど困窮している状況下では調理の必要がなく、飲料水がなくてもある程度喫食できることでありがたがられることもあるが、困窮の程度があまりひどくない場合には味の面で不評を買うこともある（[[菓子]]として普及した戦後のものは、かなり美味になっている）。{{-}}
株式会社KHP,[[太平洋戦争]]後、[[自動車]]開発・生産を目的に「ホープ商会」として設立された。[[1954年]]（昭和29年）1月にはホープ商会から「ホープ自動車」に改称したが、自動車業界撤退後の[[1974年]]（昭和49年）4月、'''ホープ'''へ再改称された。1950年代中期に「ホープスター」ブランドの軽[[オート三輪]]を開発して、それまで着目されていなかった軽三輪トラックの市場を拓き、また日本初の[[軽自動車軽]][[四輪駆動]]車を開発したことでも知られる。日本の軽自動車市場にユニークなニッチジャンルを開拓したパイオニア的企業であった。自動車事業が不振となった1960年代中期以降は、[[遊園地]]向けの遊具開発に業態転換を図って成功。2000年代前期までは大きく業績を伸ばし、日本国内のみならず国外への遊具輸出も行った。しかし、2000年代後期以降は経営不振に陥り、操業停止を経て2016年12月31日で株式会社ホープを解散、株式会社KHPに改称されたが、2017年3月31日に[[東京地方裁判所]]の特別清算開始が決定され、実質的[[倒産]]に至った。
日立造船株式会社,商号に「[[造船]]」の文字が含まれるが、[[2002年]]（平成14年）に日本鋼管（現・[[JFEエンジニアリング]]）との合弁で両社の船舶・海洋部門を切り離して統合した[[持分法適用会社]]の[[ユニバーサル造船]]（現・[[ジャパンマリンユナイテッド]]、現在は持分法適用会社ではない）を設立したことで、本社から主要事業だった造船事業を手放した。ただし船舶用の[[ディーゼルエンジン]]などの製造は継続している。[[2006年]]（平成18年）に子会社の[[内海造船]]の株式を売却したことにより[[2007年]]（平成19年）度決算から[[連結決算]]においても造船事業が無くなった状態になっていたが、[[2009年]]（平成21年）に再び連結対象になった。また、かつて[[日立製作所]]の傘下にあったために「日立」の名を冠した商号であるが、[[太平洋戦争]]後の[[財閥解体]]によって現在では[[日立グループ]]からは離脱している。もっとも、日立製作所とは完全に絶縁したわけではなく、日立製作所は[[2009年]]（平成21年）[[3月31日]]時点では日立造船の第9位の大株主でもあり&lt;!--「ロスチャイルド系企業との交流」「透明性に不確かな部分」は出典がないため、コメントアウト--&gt;、両社とも旧[[日産コンツェルン]]（日産・日立グループ、春光グループ）の主要20社で組織する春光会、及び旧[[三和銀行]]（現・[[三菱UFJ銀行]]）の融資系列で組織する[[三水会]]及び[[みどり会]]（[[三和グループ]]）の会員企業である&lt;ref&gt;[https://doors.doshisha.ac.jp/duar/repository/ir/15981/17064050004.pdf六大企業集団の無機能化]-[[同志社大学]]学術情報検索システム内にある[[PortableDocumentFormatPDFファイル]]。筆者は経済学者の田中彰。&lt;/ref&gt;&lt;ref&gt;[http://www.midorikai.co.jp/member.htmlメンバー会社一覧-みどり会]&lt;/ref&gt;。造船不況の打開策として手掛けた事業の多角化によって、一時期は造船会社のイメージとはかけ離れた[[杜仲茶]]の製造や旅行予約ウェブサイト「[[旅の窓口]]」の運営を行っていたこともあった。その後、杜仲茶は[[小林製薬]]へ、「旅の窓口」は[[楽天]]へ事業売却した。また、子会社に東証二部上場の日立造船富岡機械があったが、今後の事業展開が見込めないとして[[2004年]]（平成16年）に通常清算（[[倒産経営破綻]]していない会社の資産を売却し残余金を株主に分配し解散させること）している。上場会社の通常清算は極めて珍しいケースである。日立造船自体の株式は、[[東京証券取引所]]に上場しており（[[証券コード]]：7004）、[[日経平均株価]]採用銘柄の1つである。[[大阪市]]に本社を置いているため[[関西]][[財界]]で活動しており、日立造船首脳が[[関西経済連合会]]で副会長などの役職を務めることもある&lt;ref&gt;[http://www.kankeiren.or.jp/about/150525rekidai2.pdf関経連歴代の正副会長]関西経済連合会（2015年5月25日）2018年11月12日閲覧。&lt;/ref&gt;。
株式会社ロデオ,最初に落成した編成（第25・26編成）は[[1999年]][[2月25日]]の東西線[[琴似駅(札幌市営地下鉄)琴似]]-[[宮の沢駅宮の沢]]間延伸開業に向けた輸送力増強の目的で導入され、延伸開業前年の[[1998年]][[8月18日]]から営業運転を開始した。[[2002年]]以降は将来の[[ワンマン運転]]化（[[2009年]][[4月1日]]開始）に向けて従前の[[札幌市交通局6000形電車6000形]]の置き換えを開始し、[[2008年]][[8月30日]]をもって、6000形は全て8000形に置き換えられた。
株式会社三共,現会長の[[毒島邦雄]]が平和工業（後の[[平和(パチンコ)平和]]）の常務を退任後、[[1966年]]4月に[[名古屋市名古屋]]で設立した中央製作所が興り。[[1981年]]4月に[[群馬県]][[桐生市]]へ本社を移転したのち、[[2008年]]8月に現在地である東京都渋谷区に本社を移転した。株式を公開しており、1995年に[[東京証券取引所]]第2部[[株式公開上場]]、1997年には1部に指定替えされた。パチンコ機メーカーとしては大手であり、[[1997年]]には他社と共同で運用していたパチンコのパテント（特許）プール機関をめぐり、公正取引委員会によって私的独占にあたるとして審決を下されたことがある。[[2004年]]11月、[[確率変動確変]]割合の上限が撤廃された新基準機第1号マシン「[[CRフィーバー大ヤマトCRフィーバー大ヤマト2]]」を発売。それまでのパチンコ機ではなかった連荘機能がある。なお、現在では3年経過で検定切れもあって多くのホールで撤去されたが、設置を継続しているホールもある。近年では、競合する[[京楽産業.京楽]]がヒット作を連発するようになってから演出面で遅れをとり、[[2007年]]夏頃まで低迷した。しかし、[[CRフィーバー倖田來未]]のヒットで盛り返し、業界最大手の地位を保っている。また2016年以降相次ぐ規制がより激しくなる一方で、2017年に[[CRフィーバー戦姫絶唱シンフォギア]]が登場した。が当初予定台数約1万と低めの台数だったが各地で高い稼働を記録し、その後増台し更にセル盤を新たに2つ作るなど、稼働から半年経っても衰えることがない2017年を代表する台となった。[[2007年]]9月に公開された「劇場版[[創聖のアクエリオン]]」の公式スポンサーになっており、CMの最後には「Supported（Presented）bySANKYO（社名ロゴ）」が表示される。TVCMは2011年3月11日以降、[[東日本大震災]]の影響で自粛していたが、同年5月9日より再開した。イメージキャラクターは[[ドラムくん]]であり、同社の社員バッジのモチーフにもなっている。他キャラクターには[[夢夢夢夢ちゃん]]、まりこ、花菱テンカ等などがある。
