IBM,事業内容は[[コンピュータ]]関連の[[サービス]]および[[コンサルティング]]の提供と、[[ソフトウェア]]、[[ハードウェア]]の開発・製造・販売・保守、およびそれらに伴う[[融資ファイナンシング]]、メインフレームコンピュータからナノテクノロジーに至る分野でサービスを提供している。IBMは研究機関としても有名でもある、2016年時点では米国特許取得数が23年連続の1位となった&lt;ref&gt;[https://www-03.ibm.com/press/jp/ja/pressrelease/48806.wssIBM、23年連続で特許取得数の首位を獲得]&lt;/ref&gt;。IBMによる発明は、[[現金自動預け払い機]]（ATM）、[[ハードディスク]]、[[フロッピーディスク]]、[[磁気ストライプカード]]、リレーショナルデータベース（[[RDB]]）、[[SQL]]プログラミング言語、[[バーコード]]、[[DRAM]]などがある。IBMは既存の[[コモディティ化]]した市場を脱出し、高付加価値な収益性の高い市場に着目することで、事業構成を絶えず組み替えている。例えばプリンタ事業を[[レックスマークLexmark]]に分社し（1991年に）、[[レノボ]]への[[パーソナルコンピュータ]]（ブランド、[[ThinkPad]]や[[NetVista]]など）およびx86ベースのサーバー事業を売却（2005年と2014年）、一方で[[PWCコンサルティングPwCコンサルティング]]（2002年）、[[SPSS]]（2009年）、[[:en:The_Weather_CompanyWeatherCompany]]（2016年）などの企業を買収した。また[[ファブレス]]化として2014年にIBMのグローバルな商用半導体技術事業を米[[GLOBALFOUNDRIES]]に工場、技術者、テクノロジー知的財産だけではなく、現金15億ドルまでも付けて譲渡すると発表した&lt;ref&gt;[http://news.mynavi.jp/series/ibm_semiconductor/001/IBMの半導体研究モデルは、何が他社と違うのか?]&lt;/ref&gt;。[[製品]]やロゴの色から本国アメリカでは「'''BigBlue'''」の[[愛称]]で呼ばれている。これに由来してIBMの[[プロジェクト]]には「Blue」を冠するものが多く、広告などのイメージカラーになっている。[[ダウ平均株価]]の銘柄に含まれる30社のうちの1社であり、2016年時点で約38万人&lt;refname&quot;:0&quot;&gt;[http://www.ibm.com/investor/att/pdf/IBM_Annual_Report_2015.pdfIBMAnnualReport2015]&lt;/ref&gt;の従業員数がいる世界最大級の規模の企業となっている。基礎科学の研究にも力を入れ[[トーマス・J・ワトソン研究所ワトソン研究所]]やチューリッヒ研究所からは[[ノーベル賞]]受賞者を輩出。IBM社員から5人の[[ノーベル賞]]、6人の[[チューリング賞]]、10人の[[アメリカ国家技術賞]]、5人の[[アメリカ国家科学賞]]の受賞者を輩出している。[[CEO]]の[[:en:Ginni_Romettyジニー・ロメッティ]]は、米Fortune誌が選ぶ[http://fortune.com/most-powerful-women/「ビジネス界で最もパワフルな女性」]の一人として長年ランクインしている。
日本ビクター株式会社,[[福島県]]の表玄関とも言うべき[[ターミナル駅]]で、[[在来線]]が地上3面6線、[[新幹線]]が地上2面4線、[[私鉄]]および[[第三セクター第三セクター路線]]共同のりばが地上1面2線を有しており、レンガ調の東口駅舎と新幹線乗り場に便利な西口駅舎が設けられている。[[1962年]]に竣工「[[東北の駅百選]]」認定駅および「エコステ」モデル駅でもある。[[事務管理コード事務管コード]]は▲231017&lt;ref&gt;日本国有鉄道旅客局(1984)『鉄道・航路旅客運賃・料金算出表昭和59年４月20日現行』。&lt;/ref&gt;を使用している。
シーメンス株式会社,古くは、香具師（こうぐし）とも読み、主に江戸時代では歯の民間治療をしていた辻医者（つじいしゃ）や、[[軽業]]・[[曲芸]]・[[曲独楽]]などをして客寄せをし、[[薬]]や[[香具]]を作ったり、売買していた露天の商売人を指した。明治以降においては、[[露店]]で[[興行]]・物売り・場所の割り振りなどをする人を指し、'''的屋'''（てきや）や'''三寸'''（さんずん）とも呼ばれる&lt;ref&gt;文春新書『旅芸人のいた風景』128頁沖浦和光著&lt;/ref&gt;。詳しくは[[的屋]]を参照。これらの仕切り、管理は一般に[[賤民]]（人別帳に記載のない人物、無宿人）、いわゆるヤクザの仕事であり、時代劇や講談などで「香具師の元締」といえばヤクザの親分とほぼ同義である。
カシオ計算機株式会社,「カシオ'''計算機'''」の社名が象徴するように、創業時は機械式計算機（リレー式計算機14-Aなど）などを生産、後に電子式卓上計算機（電卓）を発売する。その後、電卓デバイスを基礎に事業分野を拡大し、現在の主な事業分野は電卓、電子文具、時計などの個人向け情報機器や、システム機器、電子デバイスなどの製造と販売。近年は[[電波時計]]や電子辞書、[[薄膜トランジスタTFT]][[液晶]]などを主力商品として積極的に展開している。かつては携帯電話、[[デジタルカメラ]]も手がけていたが現在は撤退している。&lt;br&gt;かつての本社は[[新宿]]の[[新宿住友ビルディング住友三角ビル]]にあったが、後に初台に自社ビルを建設した。社是は「創造貢献」で、これは「世の中になかったものを創造することによって社会に貢献する」という意味である。英語ではそのまま「{{enCreativityandContribution}}」と英訳されている。
京セラ株式会社,[[File:SakamotoIreihi.jpgthumb坂本弁護士一家の碑（富山県魚津市別又谷山中）。現在は片貝山ノ守キャンプ場内に移設。]][[File:OmachiDamparkSakamotoTatsuhikocenotaph.jpgthumb長男の慰霊碑（長野県大町市）]]
セイコーエプソン株式会社,1942年、[[服部時計店]]（現在の[[セイコーホールディングス]]）の元従業員で諏訪市で時計の小売・修理業を営んでいた山崎久夫により、有限会社大和工業（だいわこうぎょう）として創業。服部家・第二精工舎からの出資を受け、[[精工舎第二精工舎]]（現在の[[セイコーインスツル]]）の協力会社として腕時計の部品製造や組み立てを行っていた。1943年に第二精工舎が工場を諏訪市に疎開、諏訪工場を開設する。終戦後も第二精工舎の疎開工場は諏訪の地にとどまり、大和工業との協力関係を強めていった。1959年に大和工業が第二精工舎の諏訪工場を営業譲受し、株式会社[[精工舎諏訪精工舎]]となった。諏訪精工舎は、諏訪市とその周辺地域で腕時計の一貫生産体制を確立する。諏訪精工舎を含め、戦中・戦後に諏訪圏（岡谷市、諏訪市、茅野市、下諏訪町、富士見町、原村）・塩尻市・松本市・伊那市には精密機器製造業（時計、カメラなどの部品製造・組立）が集積、同地域は「東洋のスイス」と称されるまでになる。1961年に子会社として信州精器株式会社（後のエプソン株式会社）を設立。1985年に諏訪精工舎と子会社のエプソン株式会社が合併して、現在のセイコーエプソン株式会社に商号を変更した。セイコーグループ各社との協業により、独自設計の機械式腕時計（マーベル）・自動巻き機械式腕時計、卓上小型水晶時計、世界初のクォーツ腕時計（アストロン）、自動巻き発電クォーツ腕時計（オートクオーツ）、スプリングドライブなどを開発、時計の高精度化・低価格化を進めた。時計の製造・開発から派生する形でプリンターや水晶振動子（クォーツ）、半導体、[[MEMS]]デバイス、液晶ディスプレイ、高密度[[実装]]技術・[[産業用ロボット]]などの開発を行い、それらが現在の当社の主要事業に結実・発展している。現在の主力事業・主力製品はインクジェットプリンターや液晶プロジェクターなどの情報関連機器である。創業事業である時計事業もセイコーブランド向けの製品の開発・生産を続けている。&lt;!--デジタル腕時計の表示デバイスとして[[液晶ディスプレイ]]の研究開発に早くから取り組んでおり、かつては小型の液晶ディスプレイの分野では国内でも有数のメーカーであった。小型液晶事業を売却した後は、[[デジタルカメラ]]の製造各社などへ高解像度の電子ビューファーの供給を行っている。液晶ディスプレイ（液晶ライトバルブ）を応用して[[プロジェクタプロジェクター]]を開発・製造しており、世界でトップクラスのシェアをもっている。主力事業であるプリンターの分野では、[[キヤノン]]と日本市場のトップシェアを争っている。ただし、世界市場では米[[ヒューレット・パッカード]](HP)社の後塵を拝する状況となっている&lt;ref&gt;[http://www.zdnet.com/blog/btl/hp-grabs-printer-market-share/38724HPgrabsprintermarketshareZDNet]&lt;/ref&gt;。キヤノン、HPと同じく、プリンター本体を安価で供給し、インクカートリッジなど消耗品の販売で利益を得るビジネスモデル（消耗品ビジネス、[[:en:razorandbladesbusinessmodelレザー・アンド・ブレード・モデル]]）に大きく依存している。高温多結晶シリコン（高温ポリSi）事業の拠点整理の他、日本国内に2つの製造拠点がある半導体事業などの先行きは不明である。過去に日本[[テキサス・インスツルメンツTI]]鳩ヶ谷工場（半導体）を購入したものの、廃止したこともある。またIBMとの合弁を解消した野洲セミコンダクタもオムロンに売却した。--&gt;国内拠点の多くが長野県内に点在し、その他に山形県酒田市、秋田県湯沢市&lt;ref&gt;かつての[[オリエント時計#秋田オリエント精密株式会社（現・秋田エプソン株式会社）旧秋田オリエント精密]]からの継続。&lt;/ref&gt;、北海道千歳市&lt;!--、鳥取(EID)、岐阜(EID)--&gt;にも製造拠点がある&lt;!--[[松本空港信州まつもと空港]]と[[庄内空港]]（酒田）、[[鳥取空港]]間に従業員の出張用に社有機が就航している&lt;ref&gt;[http://www.iaj.co.jp/case/epson.htmlコーポレートシャトル導入事例]伊藤忠アビエーション株式会社&lt;/ref&gt;--&gt;。子会社に[[エプソン販売]]（国内市場向けエプソンブランド商品販売全般）、[[宮崎エプソン]]（水晶デバイス事業）、東北エプソン（半導体、プリンター部品の製造）、[[オリエント時計]]（主にオリエントブランドの[[腕時計]]を中心に製造、セイコーブランド向けは本社塩尻事業所の管轄）や孫子会社[[エプソンダイレクト]]（[[パーソナルコンピュータPC]]周辺機器のユーザ、法人向け直販）などがある。
三菱電機株式会社,日本の大手総合電機メーカーとしては、売上高において[[日立製作所]]に次ぐ業界2位。[[家庭用電気機械器具家電]]から重電、[[人工衛星]]まで幅広い[[製品]]を販売している。[[ファクトリーオートメーションFA機器]]、[[昇降機]]（[[エレベーター]]など）、[[タービン発電機]]、[[鉄道車両]]用電機品、[[電力用半導体素子パワー半導体]]、人工衛星など多くの産業用電気機器で日本国内トップシェアである。[[宇宙開発宇宙]]・[[防衛]]分野に強みを持っており、防衛エレクトロニクス分野での[[防衛省]]契約実績は長年にわたり第1位を維持している。[[LED電球]]においては[[三菱ケミカルホールディングス]]、[[エア・コンディショナーエアコン]]においては[[三菱重工業]]との間で事業が重複している（「三菱パッケージエアコン」「三菱ルームエアコン」の呼称は三菱電機のエアコンのことを指す{{refnestgroup&quot;注&quot;綴じ込み型のカタログの最終ページや室外機の銘板シールではそう記載されていることから。なお、三菱重工の場合は室外機の銘板シールにおいて、「三菱重工ルームエアコン」・「三菱重工パッケージエアコン」と記載されているほか、一般にはブランド名（電機：「霧ヶ峰」「Mr.Slim」、重工：「ビーバーエアコン」「セゾンエアコン」）で区別されることもある。}}。[[高度道路交通システムITS]]事業について[[ETC]]車載器製造販売が重複していたが、2017年重工は[[古野電気]]に事業譲渡した。ただ、地上部門では引き続き事業重複している。既に撤退したパソコン用[[ディスプレイ]]においては[[ブラウン管]]時代から一定の評価があり、[[液晶ディスプレイ]]においても高いシェアを持っていた。[[MISTY1]]や[[KASUMI]]などの開発や実装の実績による暗号化技術は世界トップレベルである。三菱金曜会{{refnestgroup&quot;注&quot;[http://www.mitsubishi.com/kinyokai/三菱金曜会]}}及び三菱広報委員会{{refnestgroup&quot;注&quot;[http://www.mitsubishi.com/mpac/j/三菱広報委員会]}}の会員企業である&lt;ref&gt;[http://www.mitsubishi.com/kinyokai/syoukai.html三菱金曜会会員会社紹介]&lt;/ref&gt;&lt;ref&gt;[http://www.mitsubishi.com/mpac/j/companies/三菱広報委員会-会員会社紹介]&lt;/ref&gt;。
富士ゼロックス株式会社,[[複写機]]、[[プリンターレーザープリンター]]（企業向け大型・小型・高速・[[複合機]]を含む）等を製造販売するほか、これらコア技術を生かした総合[[文書管理システム文書管理ソリューション]]コンサルティングを提供している。[[2001年]]([[平成]]13年)、業績の低迷に悩んだゼロックスが富士写真フイルムに所有持ち株の半数を売却した。現在は富士フイルムホールディングスが[[株式]]の75%を保有する[[連結子会社]]となっている。[[2006年]](平成18年)10月1日に、富士写真フイルムが持株会社に移行し富士フイルムホールディングスとなったことにより、富士フイルムグループの中で富士ゼロックスの重要度が増すこととなった。[[1970年代]]まではゼロックス・コーポレーションが保有する[[ゼログラフィ]]技術の特許により乾式普通紙複写機の市場を独占していた。しかし、特許の独占権の失効以後は低価格・小型化を武器とする[[キヤノン]]・[[リコー]]・[[コニカミノルタ]]・三田工業（現在の[[京セラドキュメントソリューションズ]]）などの日本企業に次第に市場を侵食され、高速機や大型機では強みを発揮し続けているものの、国内販売台数シェアでは[[キヤノン]]、[[リコー]]に続く第3位の地位に甘んじている。しかし、コピー／プリント枚数（コピー・ボリューム、ドキュメント・ボリューム）では高速機市場での強みを活かし、依然として国内シェアはトップである。[[セイコーエプソン]]をはじめとするプリンター各社にプリンターエンジンを供給している。こうして製造された製品には一時期、PrintingForceFUJIXEROXロゴマーク&lt;ref&gt;http://www.fujixerox.co.jp/product/info/printingforce.html&lt;/ref&gt;が表示された。また、かつては国内向けに富士ゼロックスブランドのインクジェットプリンターを販売していた&lt;ref&gt;プリンターエンジンの供給元は[[レックスマーク]]であった。&lt;/ref&gt;）。現時点における海外の販売圏は、[[オーストラリア]]・[[ニュージーランド]]のほか、アジア（[[中華人民共和国中国]]・[[大韓民国韓国]]・[[台湾]]）および東南アジア（[[タイ王国タイ]]・[[インドネシア]]・[[シンガポール]]・[[フィリピン]]・[[ベトナム]]・[[マレーシア]]）各国に拡大している。[[2018年]][[1月31日]]に富士フイルムホールディングスがゼロックスを買収し、富士ゼロックスと経営統合すると発表した。現在の富士ゼロックスをゼロックスの子会社とした上で、富士フイルムホールディングスがゼロックスの発行済株式50.1%を取得、ゼロックスと富士ゼロックスが経営統合し、（新）富士ゼロックスに商号変更する&lt;ref&gt;[http://www.fujifilmholdings.com/ja/news/2018/0131_01_01.html富士フイルムホールディングスによるゼロックスコーポレーション株式の50.1％取得および富士ゼロックスとゼロックスコーポレーションの経営統合世界最大規模のドキュメントソリューションカンパニー新「富士ゼロックス」として事業成長を加速]富士フイルムホールディングス2018年1月31日&lt;/ref&gt;。
グラスバレー株式会社,それまでの[[近鉄大阪線大阪線]]一般車にはMB-3020D形125kWモーターを装備した[[近鉄1480系電車1480系・2470系]]が投入されていた&lt;refname&quot;JTB近鉄電車&quot;&gt;[[JTBキャンブックス]]『近鉄電車大軌デボ1形から「しまかぜ」「青の交響曲」まで100年余りの電車のすべて』p.112-p.115・p.170・p.171・p.227-p.237（著者三好好三、編者福田静二、出版・発行所JTBパブリッシング2016年）ISBN978-4-533-11435-9C2065&lt;/ref&gt;&lt;refname&quot;復刻版近鉄II&quot;&gt;ネコ・パブリッシング復刻版私鉄の車両13近畿日本鉄道II(通勤車他)p.4・p.5・p.10-p.12・p.24・p.32・p.33・p.84・p.85・p.154-p.157・p.166-p.169・p.184ISBN4-87366-296-6&lt;/ref&gt;&lt;refname&quot;カラー私鉄&quot;&gt;カラーブックス「日本の私鉄近鉄2」p.41-p.43・p.52・p.53・p.142-p.145（著者・編者諸河久・山辺誠、出版・発行保育社1998年）ISBN4-586-50905-8C0165&lt;/ref&gt;。これらは2M1Tの3両編成を基本とし、平坦区間にてTc車を増結した4両編成の運用も可能としたが、大阪線でも特に連続した急勾配を擁する[[桜井駅(奈良県)桜井]]-[[伊勢中川駅伊勢中川]]間では編成出力の関係でMT比1:1編成での運用が出来ず、運用上の制約があった。このことから、1M方式での運用が出来るように新設計のMB-3110A型155kWモーターを装備した車両が製作された。それが'''2400系'''および'''2410系'''・'''2430系'''である&lt;refname&quot;復刻版近鉄II&quot;/&gt;&lt;refname&quot;カラー私鉄&quot;/&gt;。これらは1M1Tの2両編成においても大阪線山岳区間&lt;!--青山峠だけではない--&gt;の通過を可能としたことから、この区間におけるダイヤ構成上の基本が確立された&lt;refname&quot;復刻版近鉄II&quot;/&gt;&lt;refname&quot;JTB近鉄電車&quot;/&gt;。本系列以降の車両のうち、抑速制動と発電制動を装備している車両と連結して運用される場合は、MT比1:1でも青山越えの運用が可能となっている&lt;refname&quot;復刻版近鉄II&quot;/&gt;&lt;refgroup&quot;*&quot;&gt;MB-3020系125kWモーターを搭載する1480系・2470系および2680系と連結する場合、1編成全体のMT比が2:1以上であり、組成する車両の全車が抑速制動と発電制動を有すると言う条件付きで大阪線山岳区間の運用が可能である。&lt;/ref&gt;。この機器設計は、平坦区間における1M2Tの3両編成運転をも可能としたため、[[近鉄名古屋線名古屋線]]用一般車の[[近鉄1600系電車1800系・1810系]]（抑速制動は省略）にも受け継がれ、さらには1970年から1979年かけて登場した大阪線・名古屋線共通仕様一般車の[[近鉄2600系電車2600系・2610系・2800系]]にも受け継がれた&lt;refname&quot;復刻版近鉄II&quot;/&gt;&lt;refname&quot;カラー私鉄&quot;/&gt;&lt;refname&quot;JTB近鉄電車&quot;/&gt;。大阪線の輸送力増強用と同時に旧型車の代替も兼ねていたため&lt;refname&quot;カラー私鉄&quot;/&gt;、1966年から1973年にかけて3系列合計で112両製造されたが&lt;refname&quot;復刻版近鉄II&quot;/&gt;&lt;refname&quot;カラー私鉄&quot;/&gt;、登場から40年以上を経た2018年現在でも多数の車両が在籍している。また、同一のMB-3110A型主電動機を搭載する1800系(10両)、1810系(43両)、2600系(12両)、2610系(68両)、2800系(60両)を全て合わせると、総勢305両(1480系ク1590形改造の中間車は除く)もの車両が製造されている&lt;refname&quot;復刻版近鉄II&quot;/&gt;。電算記号は2400系・2410系・2430系共通で、2両編成は'''W'''&lt;refname&quot;JTB近鉄電車&quot;/&gt;、3両編成は'''G'''&lt;refname&quot;JTB近鉄電車&quot;/&gt;、4両編成は'''AG'''となっている&lt;refname&quot;JTB近鉄電車&quot;/&gt;。
アンリツ株式会社,[[携帯電話]]などのモバイル通信や[[無線LAN]]システムの開発・製造・保守に不可欠な「ワイヤレス計測」、「光計測」、[[IPネットワーク]]の円滑な運用を実現する「IPネットワーク計測」およびネットワーク全体のパフォーマンスやサービス品質の向上をサポートする「サービスアシュアランス」を核に計測器事業を展開。[[NextGenerationNetworkNGN(NextGenerationNetwork)]]の構築を支えるさまざまなテストソリューションを提供している。
