株式会社ニコン,{{出典の明記date2014年5月section1}}{{独自研究section1date2014年5月}}*[[コンビ]]名の由来は、藤本の「藤」と原西の「原」を合わせたものだが、[[コンビ]]を組んだ当初は漢字表記で「藤原」であった。[[1991年]]の第11回[[ABCお笑い新人グランプリ]]に出場した際には'''「FuJi-WaRa」'''と表記されていた。ちなみに名付け親は吉本興業執行役員の[[中井秀範]]である。*コンビのネタ書きは藤本が担当。一方で原西が個人で行うギャグは自分で考えており、ネタに盛り込まれることもある。コントでは歌やリズムの要素を取り入れたものが多い。*[[1991年]]9月、[[ナインティナイン]]や[[雨上がり決死隊]]などが所属していた若手ユニット「[[吉本印天然素材]]」に結成とともに参加。*[[MBSヤングタウン]]で競演していた事から[[つんく♂]]と交流があり、1994年にはつんく♂が初めてプロデュースした曲「明日が来る前に」でCDデビューも果たしている。*天素メンバーとして最初の東京進出を果たすものの、天然素材の活動停止後は仕事は低迷していた。2人とも解散、及び芸能界引退も考えていた矢先にABCのプロデューサーから、「出ないか?」と言われて出演した『[[すんげー!Best10]]』で関西でブレイクのきっかけを掴む。当時は司会が同期の千原兄弟で、また、後輩からは白い目で見られていたという。その後後述するテレビ大阪からオファーが来て、冠番組の開始を承諾し、[[1997年]][[関西ローカル]]のバラエティ番組『[[吉本超合金]]』（[[テレビ大阪]]）にレギュラー出演し関西を中心に本格的にブレイク。*出戻り後は[[心斎橋筋2丁目劇場]]のレギュラー出演者に復帰することはなかったが、[[1999年]]9月[[baseよしもと]]が開場。[[陣内智則]]・[[シャンプーハット(お笑いコンビ)シャンプーハット]]とともに若手のまとめ役に成長した。*[[関西テレビ放送関西テレビ]]のローカル番組『[[すぽーつアミーゴ!]]』の企画で、[[ホノルルマラソン]]を一定時間内に走りきれなかった罰として2002年12月30日-2003年3月7日までの限定で「'''NISHIMOTO'''（にしもと）」というコンビ名で活動した（他局にも同コンビ名で出演）。*[[2003年]]8月、劇場リニューアルに伴い当時の主要メンバーらとともに[[baseよしもと]]を卒業。再度東京を中心に活動。**大阪で再ブレイクを果たしていた2人に対し、東京での仕事に当てがあった雨上がり決死隊の宮迫は「今のうちに再び東京へ来い」と何度も誘っていたが、安定を求めてそれを断り続けていた。後に大阪の仕事が無くなってしまったことで東京再進出を決めた2人に宮迫は「遅すぎる」と話したという&lt;ref&gt;[[2013年]][[7月28日]]放送『[[よしもと黄金列伝!]]』より&lt;/ref&gt;。*[[2005年]][[1月6日]]には[[ニッポン放送]]系の深夜番組『[[オールナイトニッポン]]』のパーソナリティに初挑戦。*[[2007年]][[3月]]には、初めてのDVDを発売。その発売記念番組『[[DVD発売記念特別番組〜FUJIWARA〜]]』が2007年[[3月7日]]に[[ヨシモトファンダンゴTV]]で放送された。*[[ユニバーサル・スタジオ・ジャパンUSJ]]内のアトラクション『モンスター・メーキャップ』（[[2004年]][[8月31日]]終了）のプロデュースをしている。*FUJIWARAの思い出のソングは、自身の楽曲「ものすごBABY」&lt;ref&gt;[[2006年]][[12月17日]]放送『[[UMEKA12]]』より。&lt;/ref&gt;。*地上波でのレギュラー番組が1つもないことを2人とも気にしていたが、2009年4月より全国区での初冠番組『[[FUJIWARAのありがたいと思えッ!]]』が放送開始された。「もう、レギュラー0本といじられないから寂しい」と話していたが、2010年9月に番組が終了し再び「レギュラー0の生活に戻る」と発言。**藤本の結婚後は、妻の[[木下優樹菜]]がレギュラー出演する『[[ニンゲン観察バラエティモニタリング]]』などに不定期出演するほか、コンビでのレギュラー番組を複数持つようになっている。*芸歴は20年以上あるものの未だに売れていないことを家族からも度々ネタにされる、もしくは心配されることが多い。**[[ビートたけし]]は、FUJIWARAのコントを高く評価しており「北野演芸館」に呼ぶなど、高く評価している。たけしは本名の「北野武」名義で、FUJIWARAの主演映画を企画していたが、女にもてない男のイメージで脚本を書いていたため、藤本の結婚を聞いた北野は「イメージが違う」と企画を中止してしまった&lt;ref&gt;[[2011年]][[6月15日]]放送「[[やりすぎコージー]]」より。&lt;/ref&gt;。*[[2012年]][[5月27日]]には『[[スマイルプリキュア!]]』にFUJIWARAとしてゲスト出演した。2人としては初の声優挑戦である。*現在、テレビでも共にピンでの出番が多く、舞台では[[ルミネtheよしもと]]を中心に活動し、二本のレギュラー番組にも出演。
HOYA株式会社,
株式会社シード,『SEED』ブランドのコンタクトレンズ、コンタクトレンズケア用品の製造販売、[[眼鏡]]レンズ・フレームの製造販売を行っている。[[2017年]]（[[平成]]29年）[[3月]]期の連結売上構成は、コンタクトレンズ・ケア用品事業95.0%、眼鏡事業3.6%、その他1.3%となっている。[[日本]]で初めてコンタクトレンズの研究を行った「東京コンタクトレンズ研究所」を母体としている。[[1962年]]（[[昭和]]37年）に「マイコン」（マイ・コンタクトレンズの略）としてブランド化。これは、[[1970年]]（昭和45年）に開かれた[[日本万国博覧会大阪万博]]のタイムカプセルに収められている。更に[[1972年]]（昭和47年）には「マイコンソフト」と銘打ったソフトタイプコンタクトレンズを、[[1984年]]（昭和59年）には「マイコンハイO2」という[[酸素]]透過性ハードタイプレンズを市販した。[[1985年]]（昭和60年）、シードコンタクトレンズ研究所の設立に伴いブランド名を現在の「'''シード'''」に変更。社名も[[1987年]]（昭和62年）にそれに変更された。更に[[1992年]]（[[平成]]4年）には煮沸消毒のいらないソフトレンズ「コンセプトF」を新発売した。近年では一定期間（1週間-1ヶ月程度）の使いきりタイプのコンタクトレンズも発売されている。[[1993年]]（平成5年）から[[眼鏡]]事業を開始。特に[[2000年]]（平成12年）には、[[松雪泰子]]が企画・プロデュースした「VividMoon」という眼鏡ブランドを開拓した。[[2004年]]（平成16年）に、国産初となる2週間使い捨てソフトレンズ「シード2weekPure」を発売した。また、[[2009年]]（平成21年）には、国産初の1日使い捨てソフトコンタクトレンズ「シード1dayPure」発売した。なお、[[京都府]][[京都市]]にある[[シード平和シード平和株式会社]]（建築会社、旧名：株式会社シード）、[[大阪市]][[都島区]]にある[[シード(文具)株式会社シード]]（[[消しゴム]]メーカー）とは別会社で資本関係などはない。
株式会社シグマ,[[File:2011-03-06-fotoworkshop-nuernberg-by-RalfR-08.jpgthumb250pxシグマのカメラレンズ製品群]]多様なレンズを生産するとともに、他のレンズメーカーに先駆けて[[超音波モーター]]や[[手ぶれ補正機構]]などの技術を導入した。手ぶれ防止機構はOS(''OpticalStabilizer'')、超音波駆動モーターはHSM(''HyperSonicMotor'')と呼称している。近年はデジタル一眼レフカメラ用レンズの開発に力を入れており、デジタル一眼レフカメラ用大口径標準ズームや超音波モーター搭載の標準レンズを開発している。また[[フォーサーズ・システム]]に早期に賛同し、対応レンズを製造している。超望遠域のレンズを比較的安価に提供しており、レンズメーカーで500mmと800mmを製造しているのは同社だけである。マクロレンズ&lt;ref&gt;「マクロ」と呼称する基準は最大撮影倍率0.25倍以上。&lt;/ref&gt;はカメラメーカーを含めても最多のラインナップである。[[2008年]]11月には、自社のデジタルカメラで採用していた[[FoveonX3]]を開発する[[Foveon]]社を買収し完全子会社化。[[キヤノン]]、[[ソニー]]に続き、本体、レンズ、撮像素子を自社製とするメーカーとなった。[[2018年]]9月、[[ライカ]]、[[パナソニック]]との協業である「Lマウントアライアンス」への参画を発表。同時に、既存のSAマウントにおけるカメラ本体の開発終了を告知した。
株式会社タムロン,[[1950年]]泰成光学機器製作所として創業。自社ブランドで各社一眼レフカメラ用交換レンズを販売するほか、カメラメーカー、電機メーカーに各種レンズをOEM供給している。同社のブランドであり、社名の「タムロン」は、光学設計の第一人者であり同社の光学技術の基礎を築いた田村右兵衛の姓を由来としたもの。
マミヤ・デジタル・イメージング株式会社,{{Seealsoプローブ交通情報}}本システムは、車に[[グローバル・ポジショニング・システムGPS]]などを装着してデータを収集し、[[ナビゲーションシステム]]などで走行中の車へ[[渋滞]]など交通情報の提供を行う。これによって車の運転手は渋滞を避けるルートを選ぶことが期待でき、渋滞の軽減に効果があると考えられている&lt;refname&quot;20080731nikkeibo&quot;&gt;「北京市、五輪に向けて交通渋滞対策新システム「フローティングシステム」に期待」『日経ビジネスオンライン』日経BP社、2008年7月31日付配信&lt;/ref&gt;。他の交通管制システムと比べ、本システムのメリットは*実情の的確な把握-実際に走っている車の速度などの情報が得られるため&lt;refname&quot;20080731nikkeibo&quot;/&gt;。*設備投資のコストが低い-[[道路]]にカメラやセンサーなどを埋め込む必要がなく、車にGPSなどを後から装着するだけでよい&lt;refname&quot;20080731nikkeibo&quot;/&gt;を挙げることができる。また、設備投資のコストが低いため、交通情報を収集・提供できる地域エリアを、広げることができるという&lt;ref&gt;[http://www.premium-club.jp/technology/tech1.html「インターナビ・プレミアムクラブ」ホームページ]&lt;/ref&gt;。一方で、「走行している車からデータを集める」原理上、「'''車が走行していないと有意なデータが集まらない'''」デメリットは避けられない&lt;refname&quot;20080731nikkeibo&quot;/&gt;。
株式会社エルモ社,かつて製造販売していた'''[[8ミリ映画8oカメラ]]（フィルム式）'''や120フィルムを使用し6×6cm判のエルモフレックスはそれぞれその分野で代表的な製品であった。{{mainエルモ社のカメラ製品一覧}}[[スライド映写機]]や[[オーバーヘッドプロジェクタOHP]]もかつての同社主力製品の一つであったが、1990年代末頃よりそれら機器が教育および[[プレゼンテーション]]の場でも第一線を退いた過去の機器にもなっているため、同社のメインストリームからは外れている。8oカメラの修理などのサポートは2008年8月で終了。16oカメラ、OHPの修理・部品供給も2012年8月末で打ち切りとなった。2010年4月には親会社である株式会社タイテックと共同持株会社「[[テクノホライゾン・ホールディングス]]株式会社」を設立した。現在は監視用カメラ、資料提示用プロジェクターなどの製造販売を行なっている。書画カメラのシェアは世界で40%、日本で60%と多く、アメリカでは書画カメラの事を『エルモ』と勘違いされている。&lt;ref&gt;−PutitontheELMO.「それを、エルモの上に置きなさい。」[http://www.green-japan.com/company/1163]&lt;/ref&gt;
リズム時計工業株式会社,家庭用時計（[[掛時計]]、置時計、[[目覚し時計めざまし時計]]）・自動車用時計の製造販売、電子部品・アミューズメント関連機器・映像関連機器・産業用機械の製造販売、[[装身具宝飾品]]の製造販売を行っている。[[シチズンホールディングス]]から[[出資]]を受ける他、[[商標]]の[[クロスライセンス相互使用契約]]を締結しており、国内向けクロック（業界では時計を「ウオッチ」と「クロック」に大別している）に商標「CITIZEN」を使用している。[[第二次世界大戦]]後の[[1946年]]（昭和21年）に[[精工舎]]の[[南桜井村南桜井]]工場を引き継ぎ設立された'''株式会社農村時計製作所'''が[[1950年]]（昭和25年）10月で解散。その事業を引き継いで別会社として設立された。農村時計が生産していた時計のブランド「RHYTHM（リズム）」が社名の由来となっている。[[2014年]]（平成26年）に国内向け商品で45年振りに「RHYTHM」ブランドを復活させた。
株式会社ソキア・トプコン,[[デロイトトウシュトーマツデロイト・トウシュ・トーマツ（デロイト）]]は、いわゆる[[4大会計事務所]]のなかで唯一、傘下に[[コンサルティング]]会社を有していることになる。日本ではデロイトトーマツグループがデロイトのメンバー企業として活動しており、グループの中でコンサルティングサービスを担当しているのがDTCである。すなわち、DTCは、デロイトの日本におけるコンサルティング部門という位置付けにある。
株式会社セコニック,[[ファイル:Pcs34560_IMG_2737.JPG200pxthumbrightマイナーチェンジを繰り返しつつ40年以上にわたって売れ続け、[[デファクトスタンダード事実上の世界標準]]となっているセコニック製[[露出計]]、L398II/スタジオデラックス]][[1951年]]の成光電機工業創業。以来、写真用[[露出計]]を主力商品とし、かつては8mm映写機等も手掛けていた。また光学機器・計測器の技術を活かして[[光学式マーク認識OMR]]・[[光学文字認識OCR]]装置や[[監視カメラ]]の製造を行っている。[[1971年]]に小西六（後の[[コニカ]]、現・[[コニカミノルタ]]）からの複写機の受託生産を開始して以来、この分野の比重が大きくなっている。かつてはコニカ資本も入っており、実質上コニカの生産子会社であった時期もあるが、コニカミノルタの成立に伴い資本提携を解消した。その後は機械系商社・[[CBC(企業)CBC]]→[[TCSホールディングスTCSグループ]]の傘下に入った。
