株式会社バンダイ,
ローランド株式会社,[[シンセサイザー]]に力を入れているのを得意とする[[電子楽器]]であり、ハイクオリティなエンターテイメント性をもつシンセ楽器を代表するのが特徴。主に[[シンセサイザー]]、[[デジタルピアノ]]、[[電子オルガン]]、[[電子ドラム]]、[[ミキサー]]、[[DJ楽器]]、[[ギターアンプ]]や[[半導体]]の製品を開発・製造・販売する。[[ヤマハ]]や[[河合楽器製作所カワイ]]とともに、日本を代表する楽器メーカーである。初期には、[[電気楽器]]（[[エレクトリックギターエレキギター]]、[[エレクトリックベースエレキベース]]）の演奏時に音色を加工する機器「[[エフェクター]]」や演奏用スピーカーアンプ（[[ローランド・JC-120ジャズ・コーラス]]JCシリーズJC-120など）、プリセット式のリズムマシン、音響ミキサーの製造を行っている。[[1973年]]（昭和48年）からは[[シンセサイザー]]や[[エレクトロニックピアノ]]などの製造も手がけるようになった。[[1970年代]]後半には、富士弦楽器（現・[[フジゲン]]）との合弁で「富士ローランド」を設立し、[[ギターシンセサイザー]]の製造を開始した。
株式会社Too,[[東武伊勢崎線伊勢崎線]]-[[東武日光線日光線]]系統では、[[優等列車]]として特急の他に[[快速急行#日光線快速急行]]が存在したが、この快速急行には[[快速列車快速]]用の[[東武6050系電車6050系]]が使われており、車両のグレードなどサービス面での向上が求められていた&lt;ref&gt;[[花上嘉成]]・[[諸川久]]『日本の私鉄&lt;10&gt;東武カラーブックス』、[[保育社]]、1991年8月、ISBN978-4586508136&lt;/ref&gt;。こうした中、急行（[[1999年]]より特急）「[[りょうもう]]」で使用されていた[[東武1800系電車1800系]]のうち、[[東武200系電車200系]]の増備で運用を離脱した1813編成・1816編成・1817編成・1818編成を改造し、6両編成を'''300系'''、4両編成を'''350系'''とした。350系の改造種車となった1800系は6両編成2本であったことから、352編成のみ中間車を方向転換の上先頭車改造している。このため352編成は客室窓の窓割りや[[鉄道車両の台車台車]]の構造が351編成・353編成と異なっている。この300系・350系の登場により「快速急行」は「急行」に変更された。また、これに伴い快速急行運用から6050系が撤退、運用の空きができたために[[団体専用列車団体]]用などの[[臨時列車]]にも使用されるようになった。そのため、従来これらの臨時列車に充当されていた[[東武5700系電車5700系]]が営業運転から離脱した。現在では、後述するように特急へと格上げされ、主に伊勢崎線・日光線・[[東武宇都宮線宇都宮線]]内で運用されている。*300系：6両編成2本（12両）・総定員408名&lt;ref&gt;{{Citejournal和書author稲葉克彦year2008month01title東武鉄道現有車両諸元表journal[[鉄道ピクトリアル]]volume58issue第1号臨時増刊号（通巻799号）page277-278publisher[[電気車研究会]]location東京issn0040-4047}}&lt;/ref&gt;*350系：4両編成3本（12両）・総定員268名&lt;ref&gt;{{Citejournal和書author稲葉克彦year2008month01title東武鉄道現有車両諸元表journal[[鉄道ピクトリアル]]volume58issue第1号臨時増刊号（通巻799号）page278publisher[[電気車研究会]]location東京issn0040-4047}}&lt;/ref&gt;&lt;gallery&gt;File:Tobu_Railway_300_Limited_Express_Kirifuri.jpg東武300系特急きりふり&lt;br/&gt;（2007年10月29日）File:Tobu-Express&quot;Kirifuri&quot;.JPG東武350系特急きりふり&lt;br/&gt;（2007年8月19日/姫宮）File:TOBURAILWAYSERIES350LTDEXPSHIMOTUKE.JPG東武350系特急[[しもつけ(列車)しもつけ]]&lt;br/&gt;（2008年12月2日/堀切）File:Tobu-1800-350-300-1800.jpg中央の2種が350系・300系電車、&lt;br/&gt;左端と右端が改造種車の1800系電車&lt;br/&gt;（2005年10月2日/「東武ファンフェスタ」にて）&lt;/gallery&gt;
シヤチハタ株式会社,[[1965年]]にシヤチハタ工業株式会社（当時）が'''インキ浸透印'''の開発に成功し市場に広く普及、インキ浸透印の最大手に成長した。この事から、「シヤチハタ」がインキ浸透印の代名詞となった。正式な商品名は、'''Xスタンパー'''である。
株式会社ブロッコリー,かつて[[山一證券]]に勤めていた[[木谷高明]]が、[[趣味]]が高じて設立した会社である。設立当初は[[コスプレダンスパーティーコスプレダンスパーティー「コスパ」]]と、[[同人誌即売会]]「コミックキャッスル」の運営が主な事業だったが、小売店舗[[ゲーマーズ]]の展開とともにキャラクタービジネスに軸足を移していった。やがて自社内で[[アニメ]]や[[ゲーム]]の企画を行うようになり、『[[デ・ジ・キャラット]]』『[[ギャラクシーエンジェル]]』『[[アクエリアンエイジ]]』などのヒット作品を出した。こうした作品をアニメ化またはゲーム化、あるいは[[ゲーマーズ]]のマスコットキャラクター『[[ゲーマーズ・ガーディアン・フェアリーズG.G.F.]]』を立ち上げるにあたって、一般公募による[[声優]]オーディションを行なっており、合格者が同社の作品でデビューを果たし、その後大成する者が多く、[[沢城みゆき]]、[[真田アサミ]]、[[新谷良子]]、[[後藤沙緒里]]、[[井口裕香]]、[[阿澄佳奈]]らが輩出している。オリジナルキャラクターがメインで[[版権]]負担がほとんどないため、利益率は高かった。その中でも特にずば抜けて利益率の高い[[トレーディングカード]]に注力するようになる。上記のヒット作には恵まれたものの、急激な店舗網の拡大による費用負担や、度重なる人気の読み違いによる売れ残り在庫の拡大などで年々赤字がかさむようになった。[[2003年]]には[[タカラ(玩具メーカー)タカラ]]傘下に入り経営の立て直しを行うこととなる。[[2005年]]4月下旬に[[ガンホー・オンライン・エンターテイメント]]との提携を発表。加えて、タカラが[[コナミホールディングスコナミ]]傘下から[[インデックス・ホールディングスインデックス]]傘下に移った上、[[トミー(企業)トミー]]との合併が決まったことで、こうした関連企業との連携によってさらなる展開・業績の回復が見られるのではと予想されていた。しかし、不採算店の閉店や不良在庫の減損処理が遅々として進まず、同年10月に約3億円の債務超過に陥ったことが発表され、遂に会社存続に赤信号が点ることとなる。特に利益率の高いトレーディングカードは人気が落ちれば単なる紙くずにしかならず、減損会計の導入で逆に大きく足を引っ張ることになった。タカラも合併までに採算が取れないグループ企業の整理・再編を進めていたため、保有株式の全てを、10月にガンホーに、更に11月にはガンホー会長である[[孫泰蔵]]が代表を務めるアジアングルーヴなどに売却。事実上タカラ傘下からガンホー及び系列企業の支配下に入り、ガンホー及び関連のある[[ソフトバンクグループ]]の影響下の元で経営再建を図ることとなった。さらに外資ファンドから資金を得て財務問題は解消された。2007年、創業者の木谷は退社して[[トレーディングカード]]事業中心の新会社『[[ブシロード]]』を立ち上げた。現在は経営はある程度安定し、2007年2月期連結決算は黒字転換した。さらに新社長体制後、事業部は開発と販売部門にわかれ、コスト意識を持たせている。また、黒字定着を1つの目的に、特別に高い売り上げを誇るフラッグシップ店舗である秋葉原本店は2008年に拡張を行ったが、1年ほどで拡張以前の状態へと再びリニューアルした。また2008年には競合店運営の[[アニメイト]]と資本・業務提携を締結、新店舗の共同出店や既存店運営の相互協力、新商品の共同開発、物流システムの効率化を進めていくと発表した。この業務提携の背景には両社が旗艦店を置く秋葉原や池袋などに店舗を置く大手量販店がアニメ・コミック関連商品を扱うようになり、競争が激化したこと、また男性向け商品に強みを持つブロッコリーと女性向け商品に強みを持つアニメイトの互いの顧客層の相互補完が可能という狙いがある。2008年4月、一部報道により、再度の赤字転落（7000万円程度）、役員報酬40%カットなどが報じられた。売り上げは前年比でほぼ20%増で伸びているものの、薄利商品の増加で利益に結びつかない、遅々としていた店舗再編のコストが重なった、海外版権収入の不振、等の理由が重複した結果であるようだ。2009年2月期の決算は売上高が95億5400万円（前年同期比0.6%減）、営業損失は3億3900万円、経常損失は3億4500万円、当期純損失は2億8800万円の通期3期連続最終赤字となった。[[2011年]][[3月]]、成長性の低い小売事業からの撤退を発表した。「アニブロゲーマーズ」16店舗と通販サイトは6月1日付でアニメイトに譲渡。2011年7月、5年ぶりに第一上半期の決算が黒字化になった。それに伴い、新たにクリエーターと外販の営業部員を募集した。以前から[[テレビ東京]]系のアニメのスポンサーに多く就いており、「[[ベイブレード]]」関連商品の販売を行ったこともある。2013年4月より女性向けゲーム原作のアニメ第2期「[[うたの☆プリンスさまっ♪うたの☆プリンスさまっ♪マジLOVE2000%]]」を放送開始し、2014年1月より[[トレーディングカードゲーム]]原作のアニメ「[[Z/XIGNITION]]」を放送開始した。2016年11月、[[ハピネット]]と資本業務提携を締結。この際に第三者割当増資をしたため、アニメイトの出資比率が低下している。
コンビ株式会社,[[ビジネス]]界で活躍できる[[知識]]や[[技術]]と、各自の[[ライフプラン]]に役立つ知識の習得を目的としている。[[文部科学省]]の「[[特色ある大学教育支援プログラム]]」の一環で、「地域総合科学科」として新設された。
オルファ株式会社,[[神戸市]]の広域に路線を持ち、単独運行路線のほかに[[山陽バス]]・[[神姫バス]]・[[阪急バス]]と共同運行を行っている路線がある。なお、[[垂水区]]の大部分は山陽バスが、[[北区(神戸市)北区]]南部の大部分は阪急バスが、北区北部と[[西区(神戸市)西区]]の大部分は神姫バスがそれぞれ主として運行を行っている。これは、戦後市域を拡張した際に、このエリアが既に民営バスの営業エリアとなっていたことによるものである。交通局では、市域拡張の際にこれらのエリアにもバス路線を開設したが、近年、赤字経営が続いていた神戸市交通局・市営バス事業の経営改善策の一環として、一部路線（主に、垂水区・西区から、明石駅&lt;ref&gt;かつて明石駅まで乗り入れていた時代には、[[オリックス・バファローズオリックス・ブルーウェーブ]]の公式戦開催日に[[神戸総合運動公園野球場グリーンスタジアム神戸]]までの直行バスが運行されていたことがある。&lt;/ref&gt;・西明石駅・大久保駅に乗り入れていた路線）を神姫バスや山陽バスに譲渡した結果、現在の営業エリアとなっている（この結果、明石市内への乗り入れは明舞線&lt;ref&gt;JR[[朝霧駅]]から伊川谷高校前を結ぶ55系統と、[[神戸市営地下鉄]]・[[伊川谷駅]]とを結ぶ58系統。&lt;/ref&gt;の一部区間のみとなった）。近年、市バス事業および交通局全体の赤字経営体質や累積赤字の増加などが問題となっていることから、様々な経営改善策を実施している。前述の神姫バスや山陽バスへの路線譲渡のほかに、不採算路線の減便・廃止や一部営業所の民間への[[管理の受委託(バス)運営委託]]などによるコスト削減、小型バスを用いたコミュニティ路線の開設による新たな需要の開拓や、市バス停留所の副呼称の[[命名権]]売却（例えば「鷹取町（マルアイ前）」の場合、年間36万円で3年契約を結んでいる&lt;ref&gt;{{PDFlink[http://www.soumu.go.jp/menu_03/shingi_kenkyu/kenkyu/chikoujiken/pdf/070628_1_sa1.pdf地方の資産・債務改革について]}}（[[総務省]][[自治財政局]]）&lt;/ref&gt;。）などによる収入確保が、経営改善策の主な柱となっている。2009年3月の新聞報道によれば、神戸市バスの運転手の平均年収は980万円であり、「バス事業の累積赤字の拡大も人件費の掛かり過ぎによる一因ではないか」と指摘する声もある。2014年度の平均年収は800万円程度に落ち着いたが、これは平成20年度以降に新規採用された職員のみに20％の給与カットを実施しており人件費削減に一定の成果が出た結果である。
カメヤマ株式会社,[[1927年]]、亀山で谷川兵三郎（ひょうさぶろう）がローソクの製造を目的に'''谷川蝋燭製造所'''を創業。[[1946年]]に法人組織となり、'''亀山蝋燭株式会社'''を設立。[[1977年]]に'''亀山ローソク株式会社'''に、[[1983年]]に'''カメヤマローソク株式会社'''にそれぞれ社名変更。[[1993年]]に関連会社を合併したのを機に、社名を現社名の'''カメヤマ株式会社'''に改めた。[[スパイラルキャンドル]]を生み出した国内最大手メーカーであるとともに、世界でも有数のキャンドルメーカーでもある。[[1995年]]、キャンドルを中心とした生活雑貨を扱う「キャンドルハウス事業部」を設置。[[2000年]]、[[東京都東京]]・[[青山(東京都港区)青山]]に「キャンドルハウス事業本部」を設置し、全国7箇所（東京、大阪、[[名古屋市名古屋]]、[[広島市広島]]、[[福岡市福岡]]、[[札幌市札幌]]、[[新潟市新潟]]）にショールームを設け、[[アロマキャンドル]]など様々なキャンドル、そして、メッシュ製品などのインテリアアイテムまで幅広いアイテムを取り扱っている。[[結婚式]]において定番となっている[[結婚披露宴#結婚披露宴の式次第キャンドルサービス]]を[[1959年]]に生み出し、[[2002年]]からパーティースタイルウエディングを提唱し、様々な流行に添ったウエディングスタイルを発表し続けている。2002年には、キャンドルサービスの[[ホスピテリティ]]を引継ぎ、新たなキャンドルセレモニー「キャンドルリレー」を発表した。詳しくは次項を参照。[[2001年]]、本社機能を大阪へ移し、創業の地である亀山に「亀山本社工場」を設けている。
有限会社ファインモールド,[[愛知県]][[豊橋市]]に本社兼工場が所在する。[[プラモデルインジェクションキット]]で、主に比較的マイナーな旧[[日本軍]]の[[航空機]]や[[軍用車両]]、[[ドイツ軍]]の航空機などを製造、販売している。会社のキャラクターとして、社内で飼っている犬「五式犬」がある。社長の鈴木邦宏は、実家は木工業だったが、伝説的模型サークル「無限軌道の会」の設立に関わるなどの戦車模型好きが高じて家業をクビになり、金型職人となった経歴を持つ。それだけにキットの再現度や金型技術へのこだわりは強く、[[2004年]]12月に地元の豊橋市から「とよはしの匠」に選ばれるなど、「現代の匠」として認定・表彰を受けている。
株式会社マイクロエース,かつては[[プラモデル]]を主製品としていたが、1990年代後半以降は[[鉄道模型]]が主製品となっている。[[プラモデル]]は旧製品の再生産を継続しているのみである。マイクロエースの名称は元来、有井製作所の鉄道模型部門の統轄会社の会社名であり、のちに有井製作所に吸収された同社の[[Nゲージ]]鉄道模型の[[ブランド]]として使用されていたものだった。プラモデル・鉄道模型以外では日用雑貨の製造も手がけていた。
