関西電力株式会社,[[太平洋戦争]]後、[[連合国軍占領下の日本日本が占領下にあった]][[1951年]][[5月1日]]に設立された。[[松永安左エ門]]（電気事業再編成審議会委員長）が[[連合国軍最高司令官総司令部GHQ]]を説得し、[[国会(日本)国会]]決議より効力が強いGHQ[[ポツダム政令]]を元に、戦時における企業統廃合などによって発足した[[関西配電]]と[[日本発送電]]を再編した（このため、現在も一部の年配者には関西電力を「関配（カンパイ）」と呼ぶ人もいる）。後述のとおり、戦前まで近畿地方を拠点に全国展開していた[[大同電力]]、[[宇治川電気]]、[[日本電力]]、[[東邦電力]]の流れを組み、資産を継承している関係上&lt;ref&gt;ただし、事業すべて継承しているわけではなく、[[東邦ガス]]、[[京福電気鉄道]]、[[ダイビル]]など、同じ起源を持つ企業は他にも存在する。&lt;/ref&gt;、[[近畿地方]]以外の発電所などの設備を多く持つ。発電能力と比べ、実際の発電所は[[原子力発電]]による比率が約55%となっている（他社からの買電、融通、[[揚水発電]]を除いた発電量における、設備別比重）。その一方、本来の電力供給エリア外である[[富山県]]の[[黒部川]]流域などに、最大出力30万kW超の大型の[[水力発電]]所も所有する。[[2001年]]以降、高経年で効率の低い小容量[[火力発電所]]の廃止を進めている&lt;ref&gt;[http://www1.kepco.co.jp/pressre/2003/1218-3j.html大阪発電所の廃止について2003年12月18日]&lt;/ref&gt;。[[春日出発電所]]、[[大阪発電所]]、[[高砂発電所]]など計7箇所の発電所が全廃されたほか、複数の発電設備が長期計画停止となり、[[2013年]]時点も停止中の火力発電所が存在する。これらはほとんどが石油火力である。&lt;!--[[ファイル:Kandennakanoshima.jpgthumb関西電力本店ビル(高さ195m)right300px]]--&gt;関西[[財界]]を構成する主要企業の一つである。関西電力の[[社長]]・[[会長]]はたびたび[[関西経済連合会]]会長に就任している。
東京電力ホールディングス株式会社,[[画像:電力会社事業地域図.pngthumbleft東京電力の営業区域（赤色に塗られた区域）]][[1883年]]（[[明治]]16年）に設立された[[東京電燈]]が始まりとなる。その後、[[大日本帝国]]による[[国策]]により、[[第二次世界大戦]]直前の[[1939年]]（[[昭和]]14年）4月、発電および送電設備が、半官半民の企業であった[[日本発送電]]の管轄となり、さらに[[太平洋戦争]]直前の[[1941年]]（昭和16年）8月には[[首都圏(日本)首都圏]]における送電事業が関東配電に移管させられた。太平洋戦争終結後、[[連合国軍最高司令官総司令部]](GHQ)による再編命令が下され、[[1950年]]（昭和25年）11月24日にGHQが[[ポツダム命令]]を発したことで電気事業再編成令と公益事業令が公布され、[[1951年]]（昭和26年）5月1日、関東配電の営業地域を引き継ぐ形で発足した。[[1951年]]（[[昭和]]26年）の設立以来、現在に至るまで、その事業地域に自社の保有する[[原子力発電所]]を置かない電力会社として知られる（同社の原発がある[[福島県]]・[[新潟県]]・[[青森県]](未稼動)は、いずれも[[東北電力]]の事業地域である。[[柏崎刈羽原子力発電所]]の1号機は東北電力との共同開発。）&lt;ref&gt;ただし、事業地域である[[茨城県]]には[[日本原子力発電]]（原電）が保有する[[東海第二発電所]]があり、東京電力も原電から電力を購入している。また[[沖縄電力]]は原子力発電所を保有していない。&lt;/ref&gt;。また、複数の[[都道府県]]を営業区域とする一般電気事業者としては日本で唯一、都道府県名を社名に使用している。[[商用電源周波数]]は、東京電燈が[[ドイツ帝国]]から輸入した50[[ヘルツHz]]仕様の[[発電機]]を採用し、その後に至るまで、東京電力管内では50Hzでほぼ統一されている。ただし、[[群馬県]][[甘楽郡]]および[[吾妻郡]]では60Hzとなっている&lt;ref&gt;{{Citewebpublisher株式会社YAMABISHIurlhttp://www.yamabishi.co.jp/knowledge/frequency.htmtitle電気の知識電源周波数accessdate2013-12-11}}&lt;/ref&gt;。創立60周年となる2011年（平成23年）3月11日時点で、同社のコーポレート[[スローガン]]は「'''いつもの電気、もっと先へ。'''」であった。そして、持株会社体制となった2016年（平成28年）4月1日より（創立65周年）、グループ全体の新[[ブランド]]スローガンとして「'''挑戦するエナジー。'''」が導入された。なお、[[第二次世界大戦]]以前に存在し、のちに[[東京電燈]]（関東配電などの前身）に合併された[[東邦電力]]子会社の「[[東京電力(1925-1928)東京電力]]」は、同名異企業であり、本企業とは無関係である。
沖縄電力株式会社,[[2009年]]度の販売電力量は74億78百[[キロワット]]で[[電力会社一般電気事業者]]10社中10位。一般家庭向けが39.5%、商業用その他が48.3%、大口産業用が12.2%であり、大口産業用の内訳として[[在日米軍]]基地向け9.4%となっている。供給地域は沖縄県内のみであり、日本の電力会社の中で最小。供給地域の小ささから設立当初は[[九州電力]]の一部門にしたほうが良いとの意見もあった&lt;ref&gt;出典:圓尾雅則著『電力・ガス』日経文庫、[[2006年]]&lt;/ref&gt;。沖縄県における大手企業の一つであり、沖縄県が約5%の株式を保有する。沖縄電力の発電設備のほとんどは火力であり、重油価格の上昇の影響を受けやすい事業構造となっている。沖縄電力が発電に使用する[[石炭]]と[[天然ガス]]については、特別措置で[[石油石炭税]]が全額免除されている&lt;ref&gt;[[沖縄振興特別措置法]]65条2項、[[租税特別措置法]]94条の4の3&lt;/ref&gt;。沖縄電力に電気を供給する[[電源開発]]の発電所が使用する石炭についても同様である。日本で唯一、[[原子力発電所]]を持たない電力会社である。2009年（平成21年）に策定された中長期経営計画には、小型原子力発電の導入可能性の研究が挙げられている&lt;ref&gt;[http://www.okiden.co.jp/ir/management/management.html経営方針・経営計画]に掲載の「沖縄電力中長期経営計画の概要」の10ページ&lt;/ref&gt;。2011年（平成23年）の[[福島第一原子力発電所事故]]の翌年に発行された「環境行動レポート」においても、原子力関連企業への出向や原子力に関する情報収集を行なっているとしている&lt;ref&gt;[http://www.okiden.co.jp/corporate/eco/index.html環境関連情報]に掲載の「環境行動レポート2012」の33ページ&lt;/ref&gt;。現在の同社のコーポレートスローガンは「'''地域とともに、地域のために'''」である。
電源開発株式会社,[[太平洋戦争]]の日本敗戦後、[[連合国軍最高司令官総司令部GHQ]]の指示で作られた[[過度経済力集中排除法]]の指定を受け[[日本発送電]]が解体、地域電力会社に分割された。しかし、分割されたばかりの地域電力会社は資本的にも非常に貧弱で、復興のために必要となる電力を満足に供給できず、[[発電所]]新設の[[投資]]もままならない状態であったため、国内での電力需要の増加に対応して制定された電源開発促進法により、[[1952年]]9月16日に国の[[特殊会社]]として設立された（資本構成は66.69%を[[財務大臣]]、残りを9[[電力会社]]が出資）。電源開発の最初の大事業は[[佐久間ダム]]であるが、10年はかかるという工事をアメリカからの技術導入により3年で完成させた。この成功により、関西電力は[[黒部ダム]]の建設にゴーサインを出したという話もある{{要出典date2014年6月}}。続けて“OTM”と呼ばれる[[奥只見ダム]]、[[田子倉ダム]]、[[御母衣ダム]]など大規模なものを含む水力発電所を次々に建設。戦後復興を電力面から支える（なお、佐久間ダムの佐久間発電所は現在も年間発電量日本一の水力発電所であるなど、これらは現在でも国内最大級の規模を有する）。高度成長期、大きく伸びる電力需要に合わせて、財務を立て直した電力会社と共に供給力も大きくしていったが、電力会社間の連携不足や昼夜間の需要ギャップ拡大など、効率面が問題となってきた。これに対し電源開発は複数の電力会社が利用できる広域火力発電所、電力会社間の連系送電線や[[佐久間周波数変換所]]などの連系設備、長距離直流送電、大規模揚水発電所を建設。電力会社の補完的事業を行う。更に後、電力会社も十分な財務体質を有し、各社間で連系送電線やその他連系設備を建設していった。電源開発は当時斜陽化していた国内炭鉱産業支援のため、国内炭専用の火力発電所を建設したり（のち海外炭火力へと変更）、海水揚水発電所等の実証試験プラントや海外協力事業を積極的に行うなど、国策的性格が強い事業を行うようになった。1997年に[[特殊法人]]合理化の中で5ヵ年程度の準備期間を置いた後に[[民営化]]することで閣議決定され、[[2003年]]に電源開発促進法を廃止、[[2004年]][[10月6日]]に[[東京証券取引所]]第1部に[[株式公開上場]]し、電力会社および政府出資の民営化ファンドの保有株式の全てを売却した（初値は2795円）。また合わせて愛称を「でんぱつ」から「J-POWER（ジェイパワー）」に変更。現在では、日本国内に[[水力発電水力]]、[[火力発電火力]]合わせて60か所以上の発電所を有し、発電能力は一般電気事業者以外としては突出しており、一般電気事業者と比較しても[[四国電力]]などを抜き[[東北電力]]に匹敵する。特に石炭火力発電に関しては日本一の規模で、水力発電もトップクラス。送電・変電設備、電力会社間の連系送電線やその他連系設備も多数保有しており、特に北海道・本州間、本州・九州間を連系する送電網を有するのはJ-POWERのみである(以前は本州-四国間を保有するのもJ-POWERのみだったが、現在は4回線中3回線を保有）。なお、現在は原子力発電所を有していないが、青森県において[[大間原子力発電所]]を建設中である。[[風力発電]]についても[[東京臨海風力発電所]]など国内18地点を有しトップクラス（2011年3月末現在）。海外においても[[ポーランド]]での事業に参画（ザヤツコボ風力発電所）するなど、積極的な展開を進めている。また、近年の[[電力自由化]]の流れに対応すべく事業を多角化（水道事業など）。併せて、これまで主にはアジア地域における[[コンサルティング]]を展開してきた海外事業も、近年は[[独立電力事業者IPP]]への積極投資（[[タイ王国タイ]]・カエンコイ2発電所、[[アメリカ合衆国アメリカ]]・テナスカフロンティア、エルウッド、グリーン・カントリーなど）、炭鉱開発（[[オーストラリア豪州]]・クレアモント炭鉱など）などにより拡大しつつある。
名張近鉄ガス株式会社,[[八郎潟]]、[[日本海]]を臨む。湖南地区の[[南秋田郡]][[飯田川町]]、[[天王町]]、[[昭和町(秋田県)昭和町]]が[[2005年]]（[[平成]]17年）[[3月22日]]に合併して誕生した。[[面積]]は秋田県内の市の中で最も狭いが、県全体の人口が減少を続ける中、[[国勢調査]]結果では[[2000年代]]前半まで[[住民基本台帳]]人口が増加傾向にある秋田県内では数少ない自治体であった。なお、住民基本台帳人口は2005年度以降緩やかな減少傾向にある。旧飯田川町エリアは住宅と[[水田田]]の占める割合が大きい。近年、飯塚地区の国道7号・国道285号沿いに郊外型の商業施設の出店が相次いでいる。旧昭和町エリアは、人口減少に歯止めがかからないものの、[[大久保駅(秋田県)JR大久保駅]]付近が開発されており、住宅・医療関係が整備されつつある。郊外型の大型店が増える中、商店街がそのまま残っているのも特色である。潟上の地名は、『[[日本三代実録]]』および『[[和名類聚抄]]』（書中では方上）ならびに八郎潟の上方（潟の上）に位置することに由来する。
東京ガスエネルギー株式会社,信楽高原の秘境を結ぶ。全線1車線程度の離合困難な道である。
秋田セントラルガス株式会社,[[国土交通省]]と小山町との共同事業で設置された。国道246号沿いでは唯一の道の駅である。目の前に[[富士山]]が一望でき、隣接の用沢公園（噴水公園）と田園風景に囲まれ清涼な空気と水を満喫できる空間である。コンセプトは「水と緑」。施設内には、和風建築の「地域振興施設」があり、レストラン・物産・農産物直売所、地域交流ルーム・研修室などを備えた複合建築物がある。周辺には[[富士スピードウェイ]]や[[桜名所百選]]の[[冨士霊園]]、[[金時山]]・[[足柄峠]]・[[誓いの丘]]などがある。
東彩ガス株式会社,[[春日部市]]、[[越谷市]]、[[吉川市]]、[[さいたま市]][[岩槻区]]、[[蓮田市]]、[[松伏町]]、[[宮代町]]、[[久喜市]]、[[加須市]]、[[茨城県]][[五霞町]]において都市ガス事業を展開している。また[[埼玉県]][[加須市]]と[[比企郡]][[滑川町]]、[[栃木県]][[下都賀郡]][[壬生町]]などでプロパンガスの販売営業所を展開している。
厚木瓦斯株式会社,都市ガス、LPガス、電力、それぞれの供給事業を行う。
北陸瓦斯株式会社,登記上の商号は「北陸瓦斯」であるが、広報などでの対外表記は片仮名の「北陸ガス」を使用している。[[都市ガス]]の製造、供給、販売、[[ガス器具]]の販売、ガス工事、ガス設備の保全、[[液化石油ガスLPG]]の販売、LPG機器の販売、住宅設備機器の販売などを手掛けている。新潟市中央区に本社を置き、中央区と[[長岡市]]と[[柏崎市]]に支社、[[三条市]]と長岡市の川口地区に事務所、[[北蒲原郡]][[聖籠町]]の[[新潟港]]東港区（新潟東港）に工場を持つ。営業区域は新潟市（北区、東区、中央区、江南区（横越地区を除く）、西区（一部除く））、長岡市（長岡地区、越路地区、三島地区、与板地区、栃尾地区、川口地区）、三条市（三条地区）、[[加茂市]]、南蒲原郡[[田上町]]（一部を除く）、柏崎市、刈羽郡[[刈羽村]]の計5市1町1村で、新潟市254854件、長岡市84103件、三条市25575件、加茂市7989件、田上町1639件、柏崎市29245件、刈羽村1082件の計404487件（2018年4月1日現在）へ都市ガスを供給している。供給する都市ガスは[[天然ガス]]（ガス種13A）で、原料は新潟県内産と輸入の[[液化天然ガス]]を混合して使用している。
