京浜急行電鉄株式会社,京浜急行電鉄は、[[東京都]][[港区(東京都)港区]]から[[品川区]]、[[大田区]]、[[神奈川県]][[川崎市]]、[[横浜市]]、さらに[[三浦半島]]へ至る鉄道路線を運営している。近年は[[東京国際空港羽田空港]]への[[空港連絡鉄道アクセス鉄道]]としても利用されている。また[[都営地下鉄浅草線]]、[[京成電鉄]]、[[北総鉄道北総線]]と[[直通運転相互乗り入れ]]、[[芝山鉄道]][[芝山鉄道線]]に乗り入れを実施しており&lt;!--→芝山鉄道（にリースされている）車両は京急線内には来ないので、芝山鉄道については「相互」直通運転ではない。--&gt;（詳細は後述）、[[千葉県]]北部の[[千葉ニュータウン]]や[[成田国際空港成田空港]]まで乗り入れている。今後は通勤利用者の減少や羽田空港アクセスの競合激化が予測されることから、戦略として、外国人を含む観光客の三浦半島やその先端にある[[城ヶ島]]への誘致を重視している&lt;ref&gt;三浦半島に訪日客呼べ／京急創立120周年、新収益源に／「ドル箱路線」競合激化知名度向上に種まき『[[日経産業新聞]]』2018年3月8日（食品・日用品・サービス面）。&lt;/ref&gt;&lt;ref&gt;[https://www.nikkei.com/article/DGXMZO37710050T11C18A1L71000/「京急、神奈川・城ケ島で再開発ホテルを建て替え」]『日本経済新聞』ニュースサイト（2018年11月13日）2018年12月23日閲覧。&lt;/ref&gt;。2018年5月には[[日本旅行]]と提携した&lt;ref&gt;[https://www.nikkei.com/article/DGKKZO3060612016052018TJ1000/首都圏私鉄「脱自前」の波京急と日本旅行、観光で提携]『日本経済新聞』朝刊2018年5月17日（企業1面）2018年6月4日閲覧。&lt;/ref&gt;。鉄道に[[京浜急行バス]]を加えた交通事業のほかに、グループ各社と連携して流通事業、サービス事業、不動産事業なども経営する&lt;ref&gt;[http://www.keikyu.co.jp/company/group/index.htmlグループ事業のご案内]京浜急行電鉄企業・[[インベスター・リレーションズIR]]情報（2018年3月16日閲覧）&lt;/ref&gt;。これらは直接の収益確保のほかに、京急線沿線地域の定住・交流人口の減少を防ぐことも目指している。2017年には、[[空き家]]を転貸したり、独居高齢者宅に学生の[[下宿]]を仲介したりする事業を開始&lt;ref&gt;[https://www.nikkei.com/article/DGXMZO22127390R11C17A0L83000/京急、沿線の空き家対策、独居高齢者宅を将来転貸]『[[日本経済新聞]]』朝刊2017年10月12日（東京面）&lt;/ref&gt;。2018年3月には、京急沿線に営業網を持つ[[湘南信用金庫]]及び[[日本保証]]と提携&lt;ref&gt;[https://www.nikkei.com/article/DGKKZO28070100T10C18A3L82000/京急や湘南信金、空き家対策で連携顧客網など活用]『日本経済新聞』朝刊2018年3月14日（首都圏経済面）&lt;/ref&gt;。同年11月には、神奈川県[[横須賀市]]および同市に[[横浜DeNAベイスターズ(ファーム)二軍]]拠点を持つ[[日本プロ野球プロ野球]]球団の[[横浜DeNAベイスターズ]]と三者連携協定を結んだ&lt;ref&gt;[http://www.keikyu.co.jp/company/news/2018/20181119HP_18183NS.html横須賀市、株式会社横浜DeNAベイスターズ、京浜急行電鉄株式会社との三者連携に関する基本協定書締結について]京浜急行電鉄ニュースリリース（2018年11月19日）2018年12月23日閲覧。&lt;/ref&gt;。現在の京浜急行電鉄は[[鉄道駅]]業務、列車運転業務、工務・電気設備保守および施工管理業務、車両整備業務を電鉄本体で行っている。鉄道駅については一時期、[[泉岳寺駅]]を除く&lt;refname&quot;Sengakuji&quot;group&quot;注釈&quot;&gt;[[泉岳寺駅]]は[[東京都交通局]]の管理駅（[[都営地下鉄浅草線]]との共同使用駅）であるため。&lt;/ref&gt;全駅の業務を[[京急ステーションサービス]]に委託していた&lt;refgroup&quot;注釈&quot;&gt;2005年から2017年10月まで。その間、乗務員は登用試験の合格者が電鉄本体に転籍、教習を経て業務に就いていた。&lt;/ref&gt;。2016年3月に、京浜急行電鉄が[[横浜みなとみらい21]]地区の開発事業者に決定し、[[神奈川県]][[横浜市]][[西区(横浜市)西区]]高島一丁目に京浜急行電鉄のほか複数のグループ企業の本社機能を集約した「京急グループ本社ビル」を建設して、東京都港区から本社を同ビルに移転することが予定されている。京急グループ本社ビルは2017年に着工し、2019年3月に完成、2019年秋に稼働開始を目指している&lt;ref&gt;[http://www.nikkei.com/article/DGXLZO98970920Y6A320C1L82000/京急電鉄、本社を横浜ＭＭ21に新設へ東京から移転]-日本経済新聞、2016年3月29日&lt;/ref&gt;&lt;ref&gt;{{PDFlink[http://www.keikyu.co.jp/file.jsp?assets/pdf/company/news/2015/20160328HPTK.pdfみなとみらい21中央地区56−1街区における事業予定者への決定に関するお知らせ]}}-京浜急行電鉄、2016年3月28日&lt;/ref&gt;&lt;refname&quot;mainichi20190523&quot;/&gt;。このことを京急の2100形1編成に貼られたステッカーで「この春横浜駅から新たな感動が始まる」のスローガンとともに告知している。
小田急電鉄株式会社,[[小田急グループ]]の中核企業で[[東京証券取引所]]一部上場。[[日経平均株価日経225（日経平均株価）]]の構成銘柄の一社である。[[1923年]]（[[大正]]12年）[[5月1日]]に旧会社である小田原急行鉄道が設立。[[1941年]]（[[昭和]]16年）に親会社の鬼怒川水力電気がこれを合併して小田急電鉄となり、[[1942年]]（昭和17年）5月1日に[[東京急行電鉄]]に統合されたが、[[1948年]]（昭和23年）[[6月1日]]、東京急行電鉄の再編成により、東京急行電鉄、[[京浜急行電鉄]]、[[京王電鉄京王帝都電鉄]]（現在の京王電鉄）および新会社の小田急電鉄の4社に分離されて発足した。3路線・120.5&amp;nbsp;km（[[営業キロ]]）、計70駅を運営している。鉄軌道部門収益は1198億8000万円で[[大手私鉄]]16社中5位であり、全事業収益に占める鉄軌道部門収益の割合は72&amp;nbsp;%となっている（2017年3月31日現在）&lt;ref&gt;{{PDFlink[https://www.mintetsu.or.jp/activity/databook/pdf/17databook_full.pdf大手民鉄の素顔]}}-日本民営鉄道協会2017年度版&lt;/ref&gt;。グループ企業には、運輸、流通、不動産、ホテルなど100社ある（2017年8月1日現在）。[[小田急ポイントカード小田急ポイントサービス]]の加盟店舗である。
新京成電鉄株式会社,国内総生産は「ストック」に対する「フロー」をあらわす指標であり、[[経済]]を総合的に把握する[[統計]]である[[国民経済計算]]の中の一指標で、GDPの伸び率が[[経済成長率]]に値する（経済学用語のフロー、ストックは[[フローとストック]]を参照）。原則として国内総生産には市場で取引された財やサービスの生産のみが計上される。市場で取引されない活動は、GDPには含まれない&lt;refname&quot;keizainoshikumi24&quot;&gt;大和総研『最新版入門の入門経済のしくみ-見る・読む・わかる』日本実業出版社・第4版、2002年、24頁。&lt;/ref&gt;。このため、家事労働やボランティア活動などは国内総生産には計上されない。この点は、[[国民総生産]]でも同じである。こうした取り扱いの例外として、持ち家の家賃など帰属計算が行われるものがある（[[国民経済計算]]の帰属家賃の説明を参照）。また、今期新たに生産されたのでない財（例：古美術品）の取引、最終財の原材料となる[[中間財]]の取引は算入されない。[[地下経済]]なども計上されないことが一般的であったが、2014年以降、EU圏内では[[麻薬]]取引や[[売春]]サービスも計上し始めている&lt;ref&gt;{{Citenewsurlhttp://jp.reuters.com/article/wtOddlyEnoughNews/idJPKBN0F10XQ20140626?rpc223titleオランダの売春・麻薬の経済規模、チーズ消費額を上回るworkロイターpublisherロイター通信社date2014-06-26accessdate2014-07-27}}&lt;/ref&gt;。[[国連統計委員会]]が勧告を出し、統計設計、財の概念の設定などは勧告に沿って行われる。直近の勧告としては、[[68SNA]]、[[93SNA]]、[[2008SNA]]がある。日本の国内総生産は、[[内閣府]]（2001年の[[中央省庁再編省庁再編]]以前は[[経済企画庁]]）が推計し、速報値や改定値として発表しているが、その詳細な計算方法については他国同様公開されていない。
東京地下鉄株式会社,{{Seealso帝都高速度交通営団#営団の廃止・株式会社化}}[[1941年]]（[[昭和]]16年）に設立された[[特殊法人]]（[[営団]]）である[[帝都高速度交通営団]]（交通営団）を国の[[行政改革]]の一環として[[民営化]]するにあたり、同営団の事業を承継する[[特殊会社]]として、[[2004年]]（[[平成]]16年）[[4月1日]]に[[東京地下鉄株式会社法]]に基づいて設立された。9路線11系統、総計195.1km（[[営業キロ]]）の地下鉄路線を運営するほか、関連事業を営む。設立の経緯もあり、設立時に発行された[[株式]]は営団時代の[[出資]]者がそのまま引き継いでおり、現在の株主は旧[[日本国有鉄道国鉄]]の出資金を承継した[[日本国政府]]（名義上は[[財務大臣]]）と、[[東京都]]となっている。[[2009年]]（平成21年）度までに株式を[[株式公開上場]]することを目標としていた&lt;ref&gt;{{citewebdate2007-03-28urlhttp://www.tokyometro.jp/corporate/profile/management_plan/index.htmltitle東京メトログループ中期経営計画「StepUpTokyoMetroPlan2009」publisher東京地下鉄accessdate2007-06-29}}&lt;/ref&gt;が、2009年に[[2010年]]（平成22年）度以降へ延期されており&lt;ref&gt;{{citewebdate2009-10-14urlhttp://www.business-i.jp/news/ind-page/news/200910140068a.nwctitle東京メトロ、10年度に上場を延期publisher日本工業新聞新社accessdate2009-11-04}}&lt;/ref&gt;、現在は公式サイト上で「できる限り早期の株式上場を目指します」と上場目標時期を明言していない状態となっている&lt;ref&gt;{{Citeweburlhttp://www.tokyometro.jp/corporate/profile/strategy/index.htmltitle経営戦略-持続的な企業価値の向上を目指してpublisher東京地下鉄accessdate2012-09-16}}&lt;/ref&gt;。このように完全に公的資本会社であるが、民営化前の営団時代から[[日本民営鉄道協会]]に加盟しており、民営化後は16社目の[[大手私鉄]]とみなされている。また海外事業として、[[ベトナム]]で地下鉄コンサルティングの現地法人を設立している&lt;ref&gt;[https://www.tokyometro.jp/news/2017/188261.htmlベトナム国において現地法人を設立します]東京地下鉄ニュースリリース（2017年3月27日）2018年12月26日閲覧。&lt;/ref&gt;。
阪神電気鉄道株式会社,[[1905年]]に営業を開始しており、都市間[[電気鉄道]]（[[インターアーバン]]）としては日本で最も古い。[[2009年]]3月現在の鉄道事業の営業キロは48.9km、バス事業の営業キロは1979.8km。また、[[日本プロ野球プロ野球]]球団「[[阪神タイガース]]」の親会社でもある。[[2006年]][[6月19日]]に[[村上ファンド]]による買収問題を発端とする[[株式公開買い付け]](TOB)が成立し、阪急ホールディングスの[[連結子会社]](64.76%)となった。同年[[10月1日]]には阪神電気鉄道株1株につき阪急ホールディングス株1.4株を割り当てる[[株式交換]]を実施し、阪急阪神ホールディングス（阪急ホールディングスから商号変更）の[[子会社完全子会社]]となった。詳しくは「[[阪急・阪神経営統合]]」を参照のこと。本社所在地は[[大阪府]][[大阪市]][[福島区]][[海老江]]一丁目1番24号。他に東京事務所が[[東京都]][[千代田区]][[有楽町]]一丁目5番2号[[東宝ツインタワービル]]5階にある。
日本国有鉄道,[[画像:JRtokaishinkansen0kei.jpg280pxthumbright[[1964年]]に開業し、国鉄の象徴となった[[新幹線]]]]日本国有鉄道は、国営事業として[[運輸省]]鉄道総局が国の「国有鉄道事業[[特別会計]]」によって行っていた国有鉄道事業およびその関連事業を引き継ぎ、国有鉄道を[[独立採算制]]で経営することを目的に1949年（昭和24年）6月1日に発足した国の公共企業体である。分割民営化直前の1987年（昭和62年）3月31日時点で[[新幹線]]と[[在来線]]併せて総延長19639[[キロメートル]]の[[鉄道路線]]を持ち、30局の[[鉄道管理局]]と総局で運営した。このほか鉄道に関連する[[鉄道連絡船船舶事業]]（航路延長132キロメートル）、[[国鉄バス自動車（バス）事業]]（路線延長11739キロメートル）などを行っていた。最高責任者である「[[#歴代の国鉄総裁総裁]]」は[[内閣(日本)内閣]]が任命し、任期は4年。次席の「副総裁」は[[運輸大臣]]の[[認可]]を受けて総裁が任命し、任期は4年。さらに技術面で総裁を補佐する「技師長」が置かれた。このほかの役員として任期3年の理事（11人以上17人以下）を置き、このうち国鉄在職の理事を「常務理事」と呼んだ。一般企業の役員会に相当する「理事会」で国鉄内部の重要事項を決めた。本社は[[東京都]][[千代田区]][[丸の内]]一丁目の[[JR東日本本社ビル#旧国鉄本社ビル国鉄本社ビル]]（当時、現・[[丸の内オアゾ]]）に置かれた。旧館は旧鉄道省庁舎で、日本国有鉄道分離直後の運輸省も一時間借りしていた。分割民営化以降、国鉄本社ビルは[[東日本旅客鉄道東日本旅客鉄道株式会社（JR東日本）]]の本社として、[[JR東日本本社ビル新宿]]に移る[[1997年]]まで使用された。資本金は約89億円。このうち49億円は公共企業体移行時に国有鉄道承継資産総額から国有鉄道事業特別会計の負債を差し引いた残額で、40億円は政府が対日援助見返り資金から出資したものだった。公共企業体化後は政府から追加出資が行われなかったため、設備投資は日本国有鉄道の自己資金と借入金でまかなった。職員数は1980年代までおおむね40万人台で推移したが、合理化により大幅に削減され、民営化直前の[[1986年]]（昭和61年）には27万7000人にまで減少。このうち20万1000人が[[JRJRグループ]]の各新会社に移行した。
横浜高速鉄道株式会社,[[ソニー]]の非接触型ICカード[[FeliCa]]の技術を用いた[[乗車カード]]で、プリペイド方式の乗車券の機能をはじめ、[[定期乗車券定期券]]、駅売店等での支払いに使える[[電子マネー]]の機能を併せ持つカードである。カードで利用できる金額は、駅などに設置されたチャージ機などでチャージ（入金）することにより追加ができ、使い捨てることなく繰り返してカードを使用できる。[[2001年]][[5月15日]]の社長定例会見において、定期券や磁気式ストアードフェアカードである[[Jスルーカード]]を[[2003年]]をめどにIC化を検討することを発表し&lt;refname&quot;20010515_JRW&quot;&gt;[http://web.archive.org/web/20011109123526/www.westjr.co.jp/news/k010515.html5月定例会見]（[[インターネットアーカイブ]]）-西日本旅客鉄道プレスリリース2001年5月15日&lt;/ref&gt;、2002年12月18日の社長定例会見において、正式名称をICOCA（イコカ）とすることを発表した&lt;refname&quot;20021218_JRW&quot;&gt;[http://web.archive.org/web/20030201183010/www.westjr.co.jp/news/k021218.html12月定例会見]（インターネット・アーカイブ）-西日本旅客鉄道プレスリリース2002年12月18日&lt;/ref&gt;。2003年6月27日付けで商標登録(第4685722号)がなされている。カードの名称は、ICオペレーティングカード('''ICO'''perating'''CA'''rd)の略称であるが、[[近畿方言関西方言]]の「行こか」（「行こうか」の意味）にも掛けている。また、カードの裏面の右下に記載の番号は「'''JW'''」で始まる15桁の英数字であるが、この「JW」はJR西日本の英語表記「'''J'''R'''W'''est」の頭文字を採ったものである。2003年[[11月1日]]からJR西日本の[[アーバンネットワーク]]で運用が開始された。その後、中国地方や北陸地方にもエリアを拡大し、2018年9月15日にICOCAの自社内エリアがつながった。JR西日本の各駅では、ICOCAの[[自動改札機]]での利用率も半数を超えている事から、ICOCA専用改札機が[[大阪駅]]御堂筋口で初設置され、その後も[[京橋駅(大阪府)京橋駅]]や[[天王寺駅]]をはじめ、多くの駅に設置されている。JR西日本でのICOCAの発行枚数は、サービス開始の2003年11月から5か月余りで100万枚を突破した。その後、2014年11月には累計発行枚数が1000万枚を突破&lt;refname&quot;release20141104&quot;&gt;{{Citepressreleaseurlhttp://www.westjr.co.jp/press/article/2014/11/page_6383.htmltitleおかげさまでICOCAが累計発行枚数1000万枚を突破しました!!publisher西日本旅客鉄道date2014年11月4日accessdate2014年11月7日}}&lt;/ref&gt;、2019年3月には累計発行枚数が2000万枚を突破した&lt;refname&quot;release20190306&quot;&gt;{{Citepressreleaseurlhttps://www.westjr.co.jp/press/article/2019/03/page_13926.htmltitle発行枚数2000万枚突破記念キャンペーンについてpublisher西日本旅客鉄道date2019年3月6日accessdate2019年3月6日}}&lt;/ref&gt;。
札幌市交通局,[[1927年]]（[[昭和]]2年）市内の路面電車を市営化したのが始まりであり、[[1930年]]（昭和5年）にバス事業を、[[1971年]]（昭和46年）に地下鉄事業を開始した。札幌市の交通事業は、長く[[札幌市電電車]]、[[札幌市営バスバス]]、[[札幌市営地下鉄地下鉄]]の三部門からなったが、1990年代後半以降、不況で圧迫された市の財政に対する大きな負担要素になっている。[[1995年]]（[[平成]]7年）から札幌市では公共交通機関の利用者が減少しており、これは長期不況の影響だけでなく、自家用車利用の増加が原因と考えられている。それゆえ、各事業とも将来の増収を見込むことができない。約7000億円の建設費の8割を借入で賄った地下鉄は、借入金に対する金利負担が重くのしかかっている。市営バスは収益が出る構造ではなく、恒常的に赤字であった。もっとも経営状態が良好な路面電車ですら、補助金無しには経営が成り立たず、[[2002年]]（平成14年）度までに4401億円の累積欠損金を計上するに至った。札幌市は、[[1991年]]（平成3年）から経営改善計画を打ち出し、[[2001年]]（平成13年）度に新たに交通事業改革プランを策定し、経営の効率化を図ろうとしている。この一環として、バス事業を2000年（平成12年）4月から段階的に民間事業者へ移管し、2004年（平成16年）3月末をもって廃止した。路面電車についても、2002年（平成14年）に赤字に転落したこと、車両の老朽化が進んでいること、将来的に乗客数の伸びが見込まれないことから民間委託や廃止も視野に入れた検討が進められていたが、[[2005年]]（平成17年）[[2月]]に[[札幌駅]]への延長等の路線計画や民間活力導入による積極投資により存続を図る方針が決められた。赤字額が大きかった地下鉄は2004年（平成16年）度より「10か年経営計画」を実行中であり、ワンマン化や駅業務の委託、工場業務の外注化など、経費削減に努めている。一方、土日祝日に限り使用できる地下鉄専用一日乗車券「ドニチカきっぷ」の販売や駅構内へのテナント誘致、地下鉄車内で音声広告を導入するなど、新たな収益も確保している。金利負担・減価償却費の減少も加わり、[[2006年]]（平成18年）度には25年ぶりの黒字化に成功している。
東葉高速鉄道株式会社,東葉高速線は、元来は[[京成本線]]の混雑解消路線として計画され、[[帝都高速度交通営団]]（現・[[東京地下鉄]]〈東京メトロ〉）[[東京メトロ東西線東西線]]の延伸区間として、当初は「営団勝田台線」と呼ばれた（詳細は「[[東京メトロ東西線#開業までの沿革]]」を参照）。しかし、[[京成電鉄]]が[[オイルショック]]の影響による不動産投資・地域開発分野で大幅な損失を計上したことや、新東京国際空港（現・[[成田国際空港]]）の開港の遅れにより業績を悪化させたことに考慮して、当時の[[運輸省]]が一時的に計画を凍結し、さらに営団側が「東京のテリトリーから大きく外れる」として申請を取り下げた。当時、地元は営団経営による延長を主張していたが、結局は[[第三セクター]]方式で建設されることとなった。この原案は1965年頃に[[本八幡駅]]-[[船橋市]][[行田団地]]-[[習志野駅]]-八千代市[[萱田]]間を予定経路として行われた[[都営地下鉄新宿線地下鉄10号線]]（現・都営地下鉄新宿線）の千葉県内延長調査が元となっている。なお、計画凍結中の運行案として、京成電鉄の短絡路線とする計画もあったが、同社がこれを拒否したため実現しなかった。建設にあたり、当初より地権者の抵抗もあって用地買収は難航した。当時、[[千葉県収用委員会会長襲撃事件千葉県の収用委員会が機能しておらず]]、[[土地収用]]が行えなかったことが拍車をかけたと言われている（[[2001年]]の[[衆議院]][[国土交通委員会]]で、[[山田正彦(政治家)山田正彦]]が「一人が反対しただけで三年間延びた」としている&lt;ref&gt;{{Citewebtitle第151回国会国土交通委員会第22号（平成13年6月13日（水曜日））urlhttp://www.shugiin.go.jp/internet/itdb_kaigirokua.nsf/html/kaigirokua/009915120010613022.htmwebsitewww.shugiin.go.jpaccessdate2019-02-06publisher衆議院}}&lt;/ref&gt;）。さらに、手抜き工事によるトンネル陥没事故や、[[バブル景気バブル期]]の土地高騰のあおりを受けて、建設費が当初予定をはるかに上回る結果となった。近年の営業収支は黒字で推移しているが、その黒字額では建設時の債務の利払いにも足りず、経常収支は赤字であり、負債額は年々増加している。そのため、[[東日本旅客鉄道]]（JR東日本）の[[電車特定区間]]運賃の約2.5倍となる高額な運賃となっている（「[[#運賃運賃]]」の節も参照）&lt;ref&gt;[http://www.city.yachiyo.chiba.jp/23000/page200040.html八千代市寄せられた投書への回答]、[http://www.toyokosoku.co.jp/question東葉高速鉄道よくある質問]を参照&lt;/ref&gt;。この東葉高速鉄道の経験が、後の様々な助成制度の整備や[[首都圏新都市鉄道つくばエクスプレスつくばエクスプレス]]の成功につながったと言われている。2006年3月末現在のデータで全国の第三セクター鉄道の中でもっとも債務超過額が多くなっている&lt;ref&gt;『[[週刊ダイヤモンド]]』2007年12月15日号&lt;/ref&gt;。2008年3月期決算では、[[売上高]]は約152億5000万円、営業損益は約47億4000万円の黒字であるが、約5億円の経常損益の赤字があり、累積赤字は約846億8000万円になっている。その後もしばらく「売上高が150億円強で営業損益は黒字であるが経常損益・純損益が赤字」という状況が続いたが、2011年3月期（2010年度）決算にて、支払利息の低減などにより開業以来初めて経常損益・純損益が黒字に転じた&lt;refname&quot;h22nendo-hokoku&quot;&gt;{{PDFlink[http://www.toyokosoku.co.jp/wp/images/h22report.pdf平成22年度決算報告（事業実績報告・貸借対照表・損益計算書）]}}東葉高速鉄道公表の資料。&lt;/ref&gt;。その一方で、累積赤字額については一時増加に転じていたこともあり、2013年3月期決算でも約833億5723万円と改善は僅かにとどまっている&lt;refname&quot;h24nendo-hokoku&quot;&gt;{{PDFlink[http://www.toyokosoku.co.jp/wp/images/H24report.pdf平成24年度決算報告（事業実績報告・貸借対照表・損益計算書）]}}東葉高速鉄道公表の資料。&lt;/ref&gt;&lt;refname&quot;toyo-h25disclose&quot;&gt;{{PDFlink[http://www.pref.chiba.lg.jp/gyoukaku/gyoukaku/about/koumokubetsu/documents/h26-3.pdf公社等外郭団体に関する情報公開（2014年4月1日現在）東葉高速鉄道（株）]}}-千葉県&lt;/ref&gt;。{class&quot;wikitable&quot;style&quot;font-size:small;text-align:right;&quot;+経営状況!!!営業収益!!営業利益!!経常利益!!純利益!!繰越利益剰余金&lt;br/&gt;（累積赤字）!!長期債務残高!!純資産-!2007年度△4億8493万円△3億4792万円△846億7857万1000円△498億7857万0000円-!2008年度△3億4701万円△3億2212万円△850億0068万8000円△477億8068万8000円-!2009年度△3893万円△4314万円△850億4382万5000円△454億0382万5000円-!2010年度150億6400万円46億4300万円1億6800万円3億9800万円△846億4486万3000円3043億8500万円△417億5486万3000円-!2011年度149億600万円44億7100万円3億1100万円3億700万円△843億3783万5000円2975億9400万円△381億9783万5000円-!2012年度151億7200万円50億5000万円10億8100万円9億8000万円△833億5723万7000円2916億円△339億1723万7000円-!2013年度154億8600万円55億900万円16億6400万円15億3100万円△818億2539万6000円2853億9600万円△290億9539万6000円-!2014年度&lt;refname&quot;h26nendo-hokoku&quot;&gt;{{PDFlink[http://www.toyokosoku.co.jp/wp/images/H26report.pdf平成26年度決算報告（事業実績報告・貸借対照表・損益計算書）]}}東葉高速鉄道公表の資料。&lt;/ref&gt;152億6000万円53億1100万円17億7100万円12億6200万円△805億6252万7000円2789億6100万円△245億4252万7000円-!2015年度&lt;refname&quot;h27nendo-hokoku&quot;&gt;{{PDFlink[http://www.toyokosoku.co.jp/wp/images/H27report.pdf平成27年度決算報告（事業実績報告・貸借対照表・損益計算書）]}}東葉高速鉄道公表の資料。&lt;/ref&gt;156億5800万円59億2700万円27億8700万円18億2200万円△787億4029万3000円2722億2200万円△194億3029万3000円-!2016年度&lt;refname&quot;h28nendo-hokoku&quot;&gt;{{PDFlink[http://www.toyokosoku.co.jp/wp/images/H28report.pdf平成28年度決算報告（事業実績報告・貸借対照表・損益計算書）]}}東葉高速鉄道公表の資料。&lt;/ref&gt;159億1300万円56億6500万円29億8800万円21億9400万円△765億4551万4000円2652億2900万円△139億4551万4000円-!2017年度&lt;refname&quot;h29nendo-hokoku&quot;&gt;{{PDFlink[http://www.toyokosoku.co.jp/wp/images/H29report.pdf平成29年度決算報告（事業実績報告・貸借対照表・損益計算書）]}}東葉高速鉄道公表の資料。&lt;/ref&gt;163億2000万円58億1600万円31億2800万円25億5800万円△739億8670万7000円2601億1100万円△113億8670万7000円}2007年（平成19年）初頭まで、京成本線との乗り換えで成田国際空港まで早く着くことをセールスポイントとして「味な近道」という[[キャッチコピー]]でPRしていた。開発により沿線地域の[[ベッドタウン]]化が進んだこともあり、収益は改善が進む傾向にある。現在では旅客以外の収入にも力を入れており、駅施設（ホームや改札口など）を利用して、[[テレビドラマドラマ]]をはじめとする[[テレビ番組]]や[[コマーシャルメッセージCM]]の[[ロケーション撮影]]もたびたび行われている。ドラマ撮影は『[[Mの悲劇(2005年のテレビドラマ)Mの悲劇]]』&lt;ref&gt;「東速鉄道」の名で登場している。&lt;/ref&gt;、『[[クロサギ(テレビドラマ)クロサギ]]』、『[[パパとムスメの7日間]]』、『[[猟奇的な彼女(テレビドラマ)猟奇的な彼女]]』、『[[最高の人生の終り方〜エンディングプランナー〜]]』など[[TBSテレビTBS]]系列が多いが、[[日本テレビ放送網日本テレビ]]系列の『[[悪夢ちゃん]]』、[[フジテレビジョンフジテレビ]]系列の『[[ありふれた奇跡]]』、『[[リーガル・ハイ]]』、『[[GTO(2012年のテレビドラマ)GTO]]』（[[関西テレビ放送関西テレビ]]制作、2012年）、[[テレビ朝日]]系列の『[[相棒]]』でも使用されたことがある&lt;ref&gt;『最高の人生の終り方』などの作品中では、実在の駅名や会社名がそのまま使用されている。&lt;/ref&gt;。CMではこれまでに、[[ヤクルト本社ヤクルト]]の健康飲料「プレティオ」、[[消費者金融]]の[[アコム]]、[[三井住友海上火災保険三井住友海上グループ]]、乳酸菌飲料[[カルピス]]などの撮影に使われている。{{Main2路線に関する概要東葉高速鉄道東葉高速線}}
東武鉄道株式会社,[[東京証券取引所]]一部上場。[[日経平均株価日経225（日経平均株価）]]の構成銘柄。[[根津財閥]]の中核企業であり、[[芙蓉グループ]]（融資系列では[[みずほグループ]]）を構成する企業の一つでもある。本社は東京都[[墨田区]][[押上]]二丁目に所在。[[東京都]]・[[埼玉県]]・[[千葉県]]・[[栃木県]]・[[群馬県]]の1都4県に、総[[営業キロ]]数463.3kmに及ぶ[[鉄道路線]]を有する[[大手私鉄]]である。営業キロ数は、2018年現在[[JR]]を除く日本の鉄道では[[近畿日本鉄道]]（501.1km&lt;ref&gt;近鉄グループホールディングス株式会社第106期有価証券報告書&lt;/ref&gt;）に次いで第2位、[[関東地方]]では最長である。路線は、[[東武伊勢崎線伊勢崎線]]（東武スカイツリーライン）・[[東武日光線日光線]]や[[東武野田線野田線]]（東武アーバンパークライン）を軸とした「[[東武本線本線]]」と、[[東武東上本線東上本線]]・[[東武越生線越生線]]からなる「[[東武東上線東上線]]」の2つの路線群に分けられる。「東武」の名称は[[武蔵国]]の東部に由来する。創立は日本の大手私鉄の中では最も古い&lt;refgroup&quot;注釈&quot;&gt;路線開通年という観点で見れば1885年に一部が開通した[[南海本線]]を有する[[南海電気鉄道]]の方が先行しているが、法人としての南海電気鉄道の創立日は1925年3月28日と東武鉄道よりも遅くなっている。これは同線を開通させた[[阪堺鉄道]]は事業を南海鉄道に譲渡して解散し、同線を全通させたその南海鉄道も戦時企業統合政策（[[陸上交通事業調整法]]）により[[関西急行電鉄]]と合併し[[近畿日本鉄道]]となった事で法人消滅となり、後に旧南海鉄道の路線を[[高野山電気鉄道]]（法人格上の南海電気鉄道の前身）に譲渡させるという形で分離した事に起因する。&lt;/ref&gt;[[老舗]]企業である。また明治期に発足した私鉄のうち、創立以来社名を一度も変更せずに存続しているのは東武鉄道と[[近江鉄道]]、[[島原鉄道]]の3社のみである。
