株式会社日本エアシステム,[[日本航空日本航空（JAL）]]、[[全日本空輸全日本空輸（全日空、ANA）]]と共に、かつての日本の三大航空の一翼を担っていた。[[1988年]]までの商号は'''東亜国内航空'''（とうあこくないこうくう、{{lang-enToaDomesticAirlines：TDA}}）。[[航空会社コード]]は{{enJAS/JD}}、[[識別信号コールサイン]]はエアシステム({{enAirSystem}})。なお、東亜国内航空時代の航空会社コードは{{enTDA/JD}}、コールサインはトーアドメス({{enToaDomes}})だった。[[2004年]]4月1日に'''株式会社日本航空ジャパン'''（にほんこうくうジャパン）に商号変更し、日本航空ブランドの国内航路会社に転換され、事実上消滅した。そして日本航空ジャパンは[[2006年]]10月1日に、'''株式会社日本航空インターナショナル'''（現商号は日本航空株式会社）に吸収合併され、名実ともに消滅した。なお、旧日本国内航空の英語名に由来する2レター航空会社コード「JD」は、[[中華人民共和国]]の新興航空会社[[北京首都航空]]に転用されている。
日本エアコミューター株式会社,
日本トランスオーシャン航空株式会社,[[日本航空(持株会社)#JALグループ企業日本航空(JAL)グループ]]の一企業で、[[日本航空日本航空株式会社]]、&lt;!--[[那覇空港那覇空港ターミナル株式会社]]、-既に解散--&gt;[[沖縄県]]等が[[株主]]の[[第三セクター]]企業である。[[航空連合]]「[[ワンワールド]]」に加盟する。[[1958年]]、[[那覇空港那覇]]と[[先島諸島]]の[[宮古空港宮古]]、[[石垣空港石垣]]の各[[空港]]を結ぶ{{refnestgroup&quot;注&quot;この先島定期路線は、[[1956年]]に沖縄旅行社が[[中華民国]]（[[台湾]]）の[[民航空運公司]]とのチャーター契約で開設したものである&lt;ref&gt;{{citewebtitle那覇空港のうつりかわりwork那覇空港プロジェクトpublisher内閣府沖縄総合事務局urlhttp://www.dc.ogb.go.jp/kyoku/information/nahakuukou/06_kuukougaiyou/01_utsurikawari/utsurikawari.htmlaccessdate2018-07-29}}&lt;/ref&gt;。}}琉球航空運輸株式会社が[[アメリカ合衆国による沖縄統治米軍施政権下におかれた沖縄県]]で設立された。[[1967年]]、琉球航空に日本航空が出資し南西航空株式会社が設立された&lt;ref&gt;[http://kokkai.ndl.go.jp/SENTAKU/syugiin/058/0710/05804250710012a.html第58回国会沖縄及び北方問題に関する特別委員会第12号昭和四十三年四月二十五日（木曜日）]&lt;/ref&gt;。南西航空は設立時に離島6路線を加え&lt;ref&gt;{{citewebtitle空港の歴史publisher那覇港湾・空港整備事務所urlhttp://www.dc.ogb.go.jp/nahakou/air-rekishi/01.htmlaccessdate2018-07-29}}&lt;/ref&gt;、以後、[[沖縄本島]]の那覇空港から離島を結ぶ路線を中心に運航する。[[1993年]]、現・[[商号]]に変更。なお、かつて米国に存在した{{仮リンクトランスオーシャン航空enTransoceanAirlines}}(TransoceanAirlines)や、当社の英文旧社名(SouthwestAirLines)とほぼ同名の米国に現存する[[サウスウエスト航空]]（SouthwestAirlines）とは直接的な関係はない。
エアアジア,クアラルンプール市内に近い[[スルタン・アブドゥル・アジズ・シャー空港]]に本拠地を移転する計画があったが、マレーシア政府に拒否された。[[2006年]][[3月24日]]、クアラルンプール国際空港にLCC[[空港ターミナルビルターミナル]](LowCostCarrierTerminal)が開業し、同社のすべての便が移転した。現行LCCターミナルは貨物地区に暫定的に建設されたもので、貨物上屋に容易に改装できる設計となっている。旅客増加に対応するための暫定措置として[[2008年]]以降ターミナルの増築工事が行われた。[[2014年]]にはメイン・ターミナルに近い地区に恒久的な第2ターミナル(KLIA2)が新たに開業し、5月9日より全便が当ターミナル発着となった。&lt;!--かつては[[ボーディング・ブリッジ]]は無く、乗客は航空機まで徒歩かバスで移動し、[[タラップ]]で搭乗する形式だったが、新ターミナルでは基本的にボーディングブリッジを使用して搭乗する。メイン・ターミナルまでの移動はシャトルバスで5分で可能。市内の[[KLセントラル駅]]まではバス（[http://www.skybus.com.my/SKYBUS]）で所要時間75分、運賃はRM9である。--&gt;2009年まで[[ウィリアムズF1]]の公式スポンサーでもあったが、2010年より、トニー・フェルナンデスCEO自らが代表を務める[[ケータハムF1チームロータス・レーシング]]が参入した。手荷物の受託は有料で、5リンギットである。機内清掃の簡素化を図るため、座席は革張りである。事前座席指定は15-25リンギットだが、子供・高齢者などは割引がある。一部路線でパック入りミネラルウォーターが提供される以外は飲料・軽食は有料にて販売される。予めオンラインで予約した場合は割引価格で提供される。原則として機内に飲食物を持ち込むことはできない。2008年より[[燃油サーチャージ]]を廃止していたが、2011年5月3日以降の予約についてはサーチャージを徴収している&lt;ref&gt;[http://www.airasia.com/my/en/latestnews/fuelsurcharge.htmlAirAsiatointroducefuelsurchargeon3May]&lt;/ref&gt;。2015年1月26日以降、燃油サーチャージは不要となった&lt;ref&gt;[http://www.airasia.com/jp/ja/book-with-us/no-fuel-surcharge-faq.page燃油サーチャージなし−よくある質問]-AirAsia&lt;/ref&gt;。
{{Langzh-hk中國國際航空股有限公司}},主に[[社会福祉士]]、[[介護福祉士]]、[[精神保健福祉士]]、[[保育士]]などの[[福祉施設]]における[[専門職]]を養成するための教育が行われている。[[1960年代]]から始まる[[障害者]]の社会運動の広がりと[[人口]]の高齢化を受け、福祉専門職の養成が社会の急務となった。1957年に愛知県の日本福祉大学が設置したものが最古であり、全国の[[私立大学]]がリードをとり、急速に設置を広めていった学部である。なお、現在では「学部」として独立しているものも増えてきているが、一方で他の学部（[[社会学部]]や[[文学部]]）の「社会福祉学科」や「社会福祉コース」などの位置づけが続けられている大学も多く残っている。また、学部の名称を「総合福祉学部」や「現代福祉学部」「健康福祉学部」「人間福祉学部」などとしている大学もあり、多様である。さらには、[[国立大学]]の[[教育学部]]などでは、教員採用の現状の厳しさも考慮して「教育福祉科学部」などへ改組を行ったり、また「教育学部」の名称は継続しながらも内部で福祉関係の国家資格の取得課程を設けているところも登場してきている。学位は、「[[学士（社会福祉学）]]」を修めることができ、他は、それに相当する専攻名称等に応じた学位を修める。
オリエンタルエアブリッジ株式会社,[[File:Orccheckinnagasaki.jpgthumb長崎空港にあるORCの手続き所]][[1961年]]に[[長崎県]]などが出資する[[第三セクター]]の航空会社'''長崎航空'''として設立され、長崎県内の[[離島]][[空港]]と長崎、[[福岡空港福岡]]間を定期運航してきた。[[1990年代]]末から、従来は県OBが就任していた社長職に民間の航空関係者を招き入れる、県の出資割合を減らすなどの経営改善策を進め、[[2001年]][[3月1日]]に社名を'''オリエンタルエアブリッジ'''に変更した。同時期にそれまでの機材より大型で就航率が高い新機材（[[デ・ハビランド・カナダDHC-8DHC-8-200]](DASH8)）を導入した。その後は長崎-[[福江空港五島福江]]・[[対馬空港対馬]]・[[宮崎空港宮崎]]・[[鹿児島空港鹿児島]]線などを開設する一方で、福岡路線や小型機材を使用していた[[上五島空港上五島]]・[[小値賀空港小値賀]]線は廃止又は休止した。[[ICAO]]の航空会社コードは長崎航空時代から続く'''NGK'''であったが、現在では'''ORC'''。設立以来、航空機使用事業・航空機運航受託事業を行っており、測量・航空写真撮影等のほか、長崎県の漁業取締航空機のチャーター運航や[[消防防災ヘリコプター防災ヘリコプター]]受託運航等、第三セクター企業として行政需要に応えた業務展開を図ってきた。航空機使用事業については[[1999年]]に[[エス・ジー・シー佐賀航空]]に事業譲渡して大幅に縮小しているが、長崎県の防災ヘリコプター受託運航については現在も継続している。[[File:JA801BDHC-8-201OrientalAirBridge(7163492781).jpgthumbボンバルディアDHC-8-Q200]]2016年になり[[国土交通省]]内に持続可能な地域航空のあり方に関する研究会（座長[[竹内健蔵]]東京女子大学教授）が設置され、議事進行の過程において、[[ANAウイングス]]が運用している[[デ・ハビランド・カナダDHC-8#バリエーションDHC-8-Q400]]をリース導入し、福岡-[[宮崎空港宮崎]]線の開設を明らかにした&lt;ref&gt;[http://flyteam.jp/airline/oriental-air-bridge/news/article/80200オリエンタルエアブリッジ、Q400の副操縦士を募集リース導入見据え]&lt;/ref&gt;。2017年10月、ANAウイングス機材であるQ400を使用して福岡-宮崎線を開設。福岡-五島福江線の一部もQ400で運航開始。なお、Q400の乗務員はORCではあるが、ANAウイングスとの共通事業機でANAの塗装となる。そして、特定の機体番号の機材を集中的に使用するわけではない。またORC塗装のQ400も存在しない。
株式会社北海道エアシステム,[[ファイル:HokkaidoNewChitoseAirport13n4272.jpg180pxthumb2011年5月31日まで本社が置かれていた新千歳空港ターミナルビル]][[ファイル:Okadamaairport01.JPGthumb180px2011年6月1日より本社が置かれる丘珠空港ターミナルビル]][[札幌飛行場丘珠空港]]をベースとして主に道内路線を3機の[[サーブ340サーブ340B-WT]]で運航している。JALグループの航空会社であるが、2010年のJALの経営破たん後、2011年3月から2014年10月まで北海道が筆頭株主となりJALグループでなかった時期があったため、マイレージサービスと航空券の予約、[[連絡運輸連帯運送契約]]などの扱いが他のJALグループ航空会社と異なる。HACの航空券はJALから購入した場合、JALとHACとのコードシェア便扱いとなりHAC便名として利用することが不可能。HAC便名で適用される割引運賃（HAC28割など）を利用するには、HACから購入しなければならない。なお、HACは他のJALグループ航空会社や[[全日本空輸]]（ANA）と連帯運送契約を締結していない&lt;ref&gt;ANAはHAC以外のJALグループ航空会社とは連帯運送契約を締結している。&lt;/ref&gt;&lt;refname&quot;JAL_dom&quot;/&gt;&lt;refname&quot;ANA_dom&quot;/&gt;。道内遠隔地の高速交通手段として、[[日本航空]]（当時の[[日本エアシステム]]）と北海道が[[第三セクター第三セクター方式]]で設立し、1998年3月に[[函館空港]]を拠点に、函館-[[旭川空港]]・[[釧路空港]]の路線で運航を開始した。「HAC」という略称から、「北海道''エアコミューター''」と誤解されることもあるが&lt;ref&gt;[https://www.google.co.jp/webhp?hlja#hlja&amp;q%22%e5%8c%97%e6%b5%b7%e9%81%93%e3%82%a8%e3%82%a2%e3%82%b3%e3%83%9f%e3%83%a5%e3%83%bc%e3%82%bf%e3%83%bc%22%2b%2dwikipediaGoogle検索結果]で「エアコミューター」と誤記しているサイトが見受けられるほか、[https://www.jal.co.jp/121campaign/bic_w/日本航空の公式サイト]（[http://web.archive.org/web/20150405061504/https://www.jal.co.jp/121campaign/bic_w/アーカイブ]）でも誤記が存在している&lt;/ref&gt;、'''H'''okkaido'''A'''irSystem'''C'''o.Ltd.の略である&lt;ref&gt;[http://www.info.hac-air.co.jp/company/aboutus.html会社概要]-北海道エアシステム&lt;/ref&gt;。「HAS」とすることもできたが、設立当時は日本エアシステムの関連会社として[[新千歳空港]]での運航補助業務や売店業務を担当する「北海道エアサービス(HAS)」が存在し重複するため、「HAC」となったとされる。便名の案内などでも「HAC」が用いられているが&lt;ref&gt;[http://www.okadama-airport.co.jp/flightinfo/丘珠空港時刻表]や[http://www.info.hac-air.co.jp/diagram/OKD_HKD/2015-04-01_2015-05-06/北海道エアシステム公式サイト]などでHAC表示が見られる&lt;/ref&gt;、正式な[[航空会社コード#ICAO航空会社コード（3レターコード）航空会社コード]]は「NTH」となる。
株式会社ジャルウェイズ,*北陸自動車道で最も長いトンネルであり、周辺は天険・[[親不知]]子不知と呼ばれる交通の難所で、北陸自動車道でも最後に開通した区間となる。新潟側には[[北陸新幹線]]の[[高架橋]]（北陸道架道橋）が存在する。*なお、当該トンネルを含む朝日〜上越の区間は1000mを越えるトンネルが多い。*[[笹子トンネル(中央自動車道)笹子トンネル]][[笹子トンネル天井板落下事故天井崩落事故]]を受けて、子不知トンネル（上り線）においても[[12月3日]]から緊急点検が行われた&lt;ref&gt;[http://www.e-nexco.co.jp/pressroom/press_release/head_office/h24/1203/NEXCO東日本におけるトンネル天井板の緊急点検について]-2012年12月3日、東日本高速道路株式会社プレスリリース。&lt;/ref&gt;。
日本貨物航空株式会社,総合物流企業である[[日本郵船]]グループの空運部門を担当する、国際線[[貨物航空会社貨物専門航空会社]]である。[[成田国際空港]]を拠点とし、機材はノーズカーゴドアを持つ大型貨物専用機[[ボーイング747-8#747-8F（フレイター：貨物機型）ボーイング747-8F]]（ジャンボフレイター）に統一されている。一般航空貨物を輸送する貨物専門航空会社としては世界有数の運航規模を誇る。
アエロフロート・ロシア航空,[[File:AeroflotTupolevTu-104BatArlandaJuly1968.jpgthumb220pxrightツポレフTu-104]]ソビエト連邦の国有航空会社として1923年に「ドブロリョート」の社名で設立されて以来、ソ連政府の民間航空輸送部門として運営されてきた。「アエロフロート」とは単一の航空会社の名称ではなく、各地域ごと、事業ごと、あるいは空港ごとに存在する航空会社の集合体であるソ連政府の民間航空輸送部門の総称であった。特に[[第二次世界大戦]]後の[[冷戦]]期は、ソビエト連邦の航空技術を知らしめるショーウィンドウ的な役割を持ち、世界で2番目に実用化されたジェット旅客機であるツポレフTu-104や、世界最大級のターボプロップ旅客機であるツポレフTu-114の就航、世界初の超音速民間旅客機であるツポレフ[[Tu-144(航空機)Tu-144]]の就航などを担った。また、世界最大の航空会社としても知られ、長距離国際線や国内ローカル線の運行から、測量や農薬散布まで様々な業務を行った。[[ソ連崩壊]]後に民営化され、現在はロシアのフラッグキャリアかつ「[[スカイチーム]]」の主要メンバーとして、世界各国にその路線網を広げている。
