株式会社エニックス,1975年9月、[[福嶋康博]]により「営団社募集サービスセンター」として創業。紆余曲折を経て、1982年に子会社としてエニックスを設立し、パソコンソフト業界に参入。大々的なプログラムコンテストを開き、翌1983年に一挙に13本のソフトを発売した事で一躍知名度を上げる。1984年10月に任天堂と提携し、ファミリーコンピュータ用のソフトを提供することが決定&lt;refname&quot;natsukashi&quot;&gt;[http://qbq.jp/株式会社QBQ]編『[http://diapress.jp/archives/6872.html懐かしファミコンパーフェクトガイド]』[http://www.magazinebox.co.jp/マガジンボックス]（M.B.ムック）、2016年。ISBN9784906735891p117&lt;/ref&gt;。1985年7月に[[コンシューマーゲーム家庭用ゲーム機]]市場に参入。1988年に発売した『[[ドラゴンクエストIIIそして伝説へ…]]』は[[社会現象]]とも呼ばれるほどのヒットを記録、エニックスはゲームメーカーとしての地位を確固たるものとした。なお、社内にはドラクエシリーズ専門の部署である「ドラクエ課」が存在した&lt;ref&gt;現スクウェア・エニックス第9開発事業部&lt;/ref&gt;。1990年、収益の安定を図るために出版ビジネスに進出。翌1991年に創刊した『[[月刊少年ガンガン]]』は、15年近く月刊漫画雑誌の創刊で成功といえるものがないという逆風の中、一定の成功を収め、その後、数多くの派生誌を生んだ。
株式会社バンダイナムコエンターテインメント,[[1955年]][[6月1日]]に[[中村雅哉]]が'''有限会社中村製作所'''（なかむらせいさくじょ）を設立。[[1971年]]に「{{langen'''Na'''kamura'''M'''anufacturing'''Co'''mpany}}」の略としてnamcoブランドの使用を開始し、[[1977年]]には社名も'''ナムコ'''と改めた（当時の英語名は「{{langenNAMCOLIMITED}}」）。[[2005年]][[6月25日]]の第50回定時株主総会でナムコと[[バンダイ]]の経営統合の議案が可決承認され、上場会社としてのナムコは[[9月29日]]に幕を下ろし、以降は株式会社バンダイナムコホールディングスの子会社となった。[[2006年]][[3月31日]]、バンダイのゲーム部門を統合し、社名を'''株式会社バンダイナムコゲームス'''に変更した。バンダイナムコホールディングスにおいてゲーム部門を受け持つ企業としての立場を明確にした。[[2008年]][[4月1日]]、[[バンプレスト]]のゲーム事業の譲受と共にバンプレストレーベルを新設。[[2009年]]4月1日、バンダイネットワークスを吸収合併した。同日、ナムコ・バンダイ・バンプレストの各[[レーベル]]ごとの公式サイトと全レーベルの総合サイトの4つに分散していた公式サイトを統合し、「バンダイナムコゲームス公式サイト」としてリニューアルされた。サイト統合後は、全レーベルのタイトルを一貫して掲載しサイトへのレーベル表示も行わなくなった。サイト統合以降もレーベル自体を統合した訳ではなく、パッケージ表面およびゲーム起動時に表示するロゴマークについては、各レーベルのものが使い分けられていた（ゲーム起動時に表示されるロゴマークは、2014年1月現在家庭用ゲームではバンダイナムコゲームスのロゴ、各レーベルのロゴの順。ただし「[[機動戦士ガンダム戦場の絆]]」等の一部アーケード作品ではバンダイナムコゲームスレーベルのみ）。2014年4月1日以降に発売されるソフトについては各レーベル表記を廃し、バンダイナムコゲームスレーベルに完全統合された。
株式会社ハドソン,[[1973年]]{{sfn佐々木2013p8}}5月18日、工藤裕司（現在のペンネームは三遊亭あほまろ）により[[札幌市]][[豊平区]]に[[アマチュア無線]]ショップとして創業{{Refnestname&quot;sogyo&quot;group&quot;注&quot;公式サイトの沿革では1973年5月18日に工藤兄弟が通信機器と美術写真の販売を目的に有限会社ハドソンを設立し、同年9月にアマチュア無線ショップ「CQハドソン」を開店したとされている&lt;ref&gt;{{Waybackurlhttp://www.hudson.co.jp:80/coinfo/history.htmltitle沿革-HUDSONSOFTdate20001211040400}}&lt;/ref&gt;。}}。1970年代後半に[[パーソナルコンピュータパソコン]]の[[ソフトウェア]]の制作で頭角を現し、1978年には日本で初めてパソコン用のソフトウェアを販売した&lt;ref&gt;{{Waybackdate19961106034210urlhttp://www.hudson.co.jp:80/company/game.htmltitleゲームとともに...（株式会社ハドソン）}}&lt;/ref&gt;。1980年代初頭には高い技術力でパソコンソフトメーカーの大手となる。[[シャープ]]のパソコン用の[[Hu-BASIC]]と呼ばれるBASICインタープリタや、[[X68000]]のOSである[[Human68k]]やそのグラフィカルのシェルであるビジュアルシェル等を開発していた。[[任天堂]]が[[ファミリーコンピュータ]]を発表した際、まだブームになっていない時点から接近を図り、任天堂初のサードパーティとなった、以降家庭用ゲーム機向けソフト開発がメインとなる。自由な社風の元、独自の企画を行っていた。特に「ハドソン全国キャラバン」や「[[高橋名人]]」は人気児童誌で積極的にタイアップされたことから、当時の子供世代にとっては抜群の知名度を誇る。一方で自社でのハード開発にも乗り出しており、[[日本電気ホームエレクトロニクス日本電気ホームエレクトロニクス株式会社]]と組み、1987年にはハドソンが独自に設計開発したCPU、サウンドチップ、画像処理チップなどC62システムと呼ばれる[[HuC62]]シリーズを搭載した家庭用ゲーム機『[[PCエンジン]]』を発表、ソフトメーカーながら高い技術力の片鱗を見せた。1994年12月に発売した後継機種である次世代ゲーム機『[[PC-FX]]』の音源や動画処理などの[[チップセット]]もPCエンジンと同様にHuC62シリーズが採用された。1998年11月にメインバンクである[[北海道拓殖銀行]]が破綻して以降は資金繰りが難航して経営が悪化した。2001年にコナミ（後の[[コナミホールディングス]]）が筆頭株主になり、2005年には子会社化。その後2011年にコナミの完全子会社になり、翌2012年にはKDEに吸収合併され、法人としてのハドソンは解散した。その後はブランド名としてハドソンの名が残されていたが、2013年年末に'''同ブランドが名実共に消滅'''する事となり、2014年1月よりコナミブランドに統一されている。
テクモ株式会社,『[[ドンキーコング]]』（[[1981年]]）などで活躍したマリオとその双子の弟の[[ルイージ_(ゲームキャラクター)ルイージ]]を操作し、[[下水道]]から流出した[[カメ]]、[[カニ]]、[[ハエ]]などを駆除していく固定画面[[アクションゲーム]]。『ドンキーコング』で[[大工]]と設定されていたマリオの職業が（ゲーム&amp;ウオッチ版『マリオブラザーズ』の工場作業員を経て）[[配管工]]と呼ばれるようになった。ルイージが初登場するが、本作ではまだマリオとの違いは服装の色のみである。[[ファミリーコンピュータ]]を始めとした数々の[[コンシューマーゲーム家庭用]][[ゲーム機]]に移植されている。
マイクロソフトディベロップメント株式会社,[[ファイル:WorldWideWebAroundWikipedia.pngthumb300pxウィキペディアの周辺のWorldWideWebをグラフィック表現したもの。[[複雑ネットワーク]]の一例でもある。]]ワールドワイドウェブではドキュメント（[[ウェブページ]]）の記述には主に[[HyperTextMarkupLanguageHTML]]や[[ExtensibleHyperTextMarkupLanguageXHTML]]といった[[ハイパーテキスト]]の[[マークアップ言語記述言語]]が使用される。ワールドワイドウェブで使われるハイパーテキストとは、文書中に別の文書の[[UniformResourceIdentifierURL]]への参照を埋め込むことで（これを[[ハイパーリンク]]と呼ぶ）インターネット上に散在する文書同士を相互に参照可能にするシステムである。閲覧者は表示している文書中でハイパーリンクが付された箇所をクリックやタップなどする事でハイパーリンク先の文書を表示させることができる。世界中に張り巡らしたような、文書間のつながり方が蜘蛛の巣を連想させることから、世界に広がる蜘蛛の巣を意味する「{{langenWorldWideWeb}}」と名付けられた。尚、蜘蛛の巣は現実のケーブルの配線を表しているわけではない。HTMLの記述方式は比較的単純なため、急速に広く普及した。ワールドワイドウェブにアクセスするための[[ソフトウェア]]（[[ユーザーエージェント]]）はWWWクライアントと呼ばれる。そのうち、利用者による閲覧を目的としたものは特に[[ウェブブラウザ]]（WWWブラウザ、あるいは単にブラウザ）と呼ばれる。また、ワールドワイドウェブのサービスを提供するソフトウェアを「[[WebサーバWWWサーバ]]ソフトウェア」あるいは単に「ウェブサーバ」という。ポータル[[検索エンジン]]と[[ウェブディレクトリ]]の出現により、ワールドワイドウェブは徐々にその真価を発揮し始めた。数学的な理論に基礎付けられたウェブページの順位決定法を実用化することによって、検索エンジンの首座は一気呵成に確定した。それとは対照的に、すべての分野に亘って個々の事例の集積を要するウェブディレクトリの作成は、継続的で地道な作業によって成し遂げられる辞書の編纂と似ている。前者が数学的手法に依存しているのに対し、後者は分類学的手法によっている点が対照的である。WorldWideWebが実装する[[ハイパーテキスト]]の思想は[[ザナドゥ計画]]に起源を持ち、その仕様はザナドゥ計画の縮小版とも説明される。但し、WorldWideWebで実現されたWebアプリやクラウドコンピューティング等は、厳格なルール運用を想定したザナドゥ計画等の前世代のハイパーテキストシステムの思想を遥かに超えている。
日本電信電話公社,往年の[[三公社五現業]]の三公社のひとつ&lt;ref&gt;日本電信電話公社、[[日本国有鉄道]]、[[日本専売公社]]を三公社という。&lt;/ref&gt;&lt;ref&gt;[[郵便事業]]、[[国有林野事業]]、[[大蔵省印刷局]]、[[造幣局(日本)大蔵省造幣局]]、[[日本アルコール産業アルコール専売]]を五現業という。&lt;/ref&gt;。
株式会社富士見書房,[[File:Elementaryparticleinteractions.svg300pxthumbright標準模型による素粒子の相互作用の説明]]素粒子はそれが従う統計によって二種類に分類され、フェルミ統計に従う[[粒子]]を[[フェルミ粒子]]、ボース統計に従う粒子を[[ボース粒子]]と呼ぶ。現時点で存在が知られているフェルミ粒子は[[クォーク]]と[[レプトン(素粒子)レプトン]]とに分類される。一方、現時点で知られているボース素粒子には、素粒子間の相互作用を伝達する[[ゲージ粒子]]と、素粒子に質量を与えるヒッグス機構に関連して現れる[[ヒッグス粒子]]とがある。[[ゲージ粒子]]のうち、[[重力]]を媒介するとされる[[重力子]]は未発見である。素粒子の大きさは分かっておらず、大きさが無い（点粒子）とする理論と、非常に小さいがある大きさを持つとする理論がある。[[標準模型]]（標準理論）では素粒子には大きさが無い（点粒子）ものとして扱っており、現時点では実験結果と矛盾が生じていない。ただし、点粒子は空間が最小単位の存在しない無限に分割可能な連続体であることを前提としているが、標準模型で扱うスケールより15桁以上小さいスケール（[[プランク長]]スケール）においては、空間が連続的であるか離散的であるかは判明していない。離散的である場合には点粒子として扱えない。[[超弦理論]]においては全ての素粒子は有限の大きさを持つひもの振動状態であるとされる。我々が普段目にする物質は（微小な、あるいは大きさが無い）素粒子からできているにも関わらず、有限の大きさを持っている。それは、複数の素粒子が運動する有限の領域が、[[ハドロン]]や[[原子]]などの大きさを持つ粒子を構成することによる。素粒子のうちほとんどのものは、自然界に単独で安定的に存在しているわけではないので、[[宇宙線]]の観測や[[加速器]]による生成反応により発見・研究された。素粒子の様々な性質を実験で調べ、それを理論的に体系化していくこと、及び理論的に予言される素粒子を実験で探索していくことが、[[素粒子物理学]]の研究目的である。
アイレムソフトウェアエンジニアリング株式会社,かつてナナオ（現・[[EIZO]]）は傘下に[[アピエスアイレム株式会社]]を持ち、ゲーム開発に携わっていたが、『レジェンド・オブ・ヒーロー・トンマ』や『ゲオポリティク島における国家興亡論』&lt;ref&gt;M.B.MOOK『懐かしファミコンパーフェクトガイド』63ページ&lt;/ref&gt;など、発売中止に終わった&lt;ref&gt;前者はもともと[[アーケードゲーム]]作品であったが、のちに[[PCエンジン]]作品として発売されている&lt;/ref&gt;[[ファミリーコンピュータ]]作品が多く、1994年にゲーム開発から一旦撤退した。ゲーム開発を再開するにあたり、100%子会社としてアイレムソフトウェアエンジニアリング株式会社を設立、アイレム株式会社よりゲーム事業、及び版権を譲り受けた。旧アイレム時代からの作品『大工の源さん』は他にウェブアニメ及びコンシューマゲームとしても制作されている。[[2006年]]5月、東京[[赤坂(東京都港区)赤坂]]に東京開発室を開設した。同年7月、通信販売サイト「アイレム横丁」の運営を開始。[[2011年]]3月、[[東日本大震災]]など諸々の事情で開発中のゲームタイトルが開発中止と同時に、5月に「アイレム横丁」の終了宣言、サイト内のコンテンツの縮小、8月11日に[[PlayStationHome]]のラウンジ（[[ソニー・インタラクティブエンタテインメントソニー・コンピュータエンタテインメント]]に次ぐ数のラウンジを設置していた）の大幅な縮小が行われた。また、[[R-TYPE]]シリーズ等、[[バーチャルコンソール]]・[[PlayStationStore]]にて配信されていたソフトの大半が配信終了&lt;ref&gt;現在は、[[三洋物産]]のパチンコ・パチスロ関連のソフトのみ配信が継続されている。&lt;/ref&gt;となり、以前から提携していた[[三洋物産]]のパチンコ・パチスロ関連のソフトを中心とした事業展開に大きく舵を切っている（その過程で、[[パチパラシリーズ]]の開発は継続）。2013年にはアプリ開発も行っており、2017年ではパチンコ・パチスロ以外のソフトに開発協力として参加。『[[みんなでスペランカー]]』を始めとするスペランカーの権利関係については、元アイレム社員が設立した[[TozaiGames]]へ配信元が移管された。2011年4月、[[九条一馬]]ら一部のスタッフが退社。独立して新たにゲーム会社[[グランゼーラ]]を設立した。代表取締役は「アイレム横丁」の責任者を務めた名倉剛。これに関して、かつての関係者であり九条と交友関係のある[[稲葉敦志]]が、5月25日にTwitterでつぶやいたことで広まった&lt;ref&gt;{{citenewstitle金沢に新たなゲーム開発会社「株式会社グランゼーラ」設立！「絶体絶命都市」などを手がけたクリエイター・九条一馬氏が同社に移籍publisherGameWatchdate2011-05-25urlhttp://game.watch.impress.co.jp/docs/news/20110525_448303.htmlaccessdate2011-07-27}}&lt;/ref&gt;&lt;ref&gt;[http://togetter.com/li/139870プラチナゲームズの稲葉プロデューサーが語るグランゼーラ設立-kotakujapanによるTogetterまとめ]&lt;/ref&gt;。
ロータス株式会社,ロータスデベロップメント社は、[[IBMPC]]用の[[表計算ソフト表計算ソフトウェア]]である[[Lotus1-2-3]]が大ヒットし、IBMPCの[[キラーアプリケーション]]として初期の勢力拡大に寄与した事で有名である。その後は[[オフィススイート]]のLotusSmartSuite（日本では[[ロータス・スーパーオフィス]]）により、[[マイクロソフト]]と激しい競争を展開した。1989年以降は強力な[[グループウェア]]システムの[[LotusNotes]]が有名となり、Notesの市場での強さが元となり、[[1995年]]にIBMが35億ドルで買収し、IBMのソフトウェア事業部の「LotusSoftware」ブランドとなった。日本では、日本法人であるロータス株式会社は[[日本アイ・ビー・エム日本アイ・ビー・エム株式会社（日本IBM）]]の[[完全子会社]]となる形で、両社の並存がしばらく続いたが、[[2002年]][[7月1日]]には日本IBMがロータス株式会社から営業を譲り受ける形で日本IBM本体に統合し、法人としてのロータス株式会社は[[2007年]][[9月28日]]消滅した。IBMによる買収・統合後も、[[LotusNotesLotusNotes/Domino]]はグループウェア市場で大きなシェアを維持している。2008年5月には[[LotusSymphony]]がリリースされた。
株式会社ウィルコム,FLoatingpointnumberOperationsPerSecondの名称が示す通り、'''1秒間に[[浮動小数点演算]]が何回できるか'''の指標値引いては性能値の事を指す。ハードウェアの仕様として用いられるのは理論値であるが、[[ベンチマーク]]ソフトなどの計測から導き出される計測値は、理論値からは原則的に下がる。その為、理論値だけでなく、「理論的に算出された値の何%で実際の[[プログラム(コンピュータ)プログラム]]が動作するか」ということが重要になる（実測値）。実際の値が理論値に近いほど、より効率的なコンピュータだと考えられるからである。[[パーソナルコンピュータ]]（以下PCと表記）向けの[[CPU]]や[[GPU]]メーカーは、計算[[ノード]]としては単一のノードとなるので通常理論値で発表する（理論値がほぼそのまま実効値となる）が、一般的に並列方式[[スーパーコンピュータ]]（以下スパコンと表記）では多数の計算ノードの[[クラスタ]]として構築されるため、実際の計算能力を理論値に近づけるには高度な運用能力が必要であり、理論値ではなく[[LINPACK]][[ベンチマーク]]での実測値がよく使われている。[[2016年]]前後の時点において、普及している家庭用のPCのCPUはGFLOPS、スパコンの世界1位はPFLOPSの単位であるが、[[ムーアの法則]]にそって高速化が進んでおり、[[2018年]]に並列度1億でLINPACK性能値はEFLOPSの単位に到達すると予想されている&lt;ref&gt;[https://news.mynavi.jp/articles/2011/07/05/post_kcomputer/index.html【レポート】ポスト「京」コンピュータはどうなるのか(1)次世代スパコンの開発開始で米国に遅れをとっている日本エンタープライズマイコミジャーナル]&lt;/ref&gt;。[[2000年]]頃からの理論値ではPCとスパコンの比例値は、おおよそ1万倍の差で推移している。
