株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
豊島株式会社,[[1841年]]（[[天保]]12年）初代豊島半七が「綿屋半七」の[[屋号]]で[[綿花]]の[[仲買(商業)仲買]]を始める&lt;ref&gt;{{Citeweburlhttps://www.toyoshima.co.jp/company/greeting/title理念・ごあいさつpublisher豊島株式会社accessdate2017-11-25}}&lt;/ref&gt;&lt;refname&quot;沿革&quot;&gt;{{Citeweburlhttps://www.toyoshima.co.jp/company/history/title歴史・沿革publisher豊島株式会社accessdate2017-11-25}}&lt;/ref&gt;。[[1918年]]（大正7年）6月、豊島半七糸店を改組し、株式会社山一商店を設立&lt;refname&quot;沿革&quot;/&gt;。[[1942年]]（昭和17年）7月には豊島商店を合併し、現商号となる&lt;refname&quot;沿革&quot;/&gt;。現在は[[愛知県]][[名古屋市]]に主力拠点をおく、大手繊維専門商社。業界では1位。かつては[[UFJホールディングス]]の大株主でもあった。
株式会社グリーンマックス,グリーンマックスは[[東京都]][[板橋区]]大山において鈴木雅夫により開店した[[模型]][[小売小売店]]の「'''ホビーショップ・マックス'''」を前身とする。古くは「マックス」と呼称されていたが、近年は「ジーエム」、「グリマ」などと呼称されることが多い。「グリーンマックス」という名称は同社の登録商標でもある。[[1970年代]]後半以降、「'''創る楽しみいっぱい!'''」をキャッチフレーズに、射出成型によるプラスチック製の[[鉄道車両]]や建築物の未塗装キット([[プラモデル]])を主体として展開していたが、近年は塗装済み完成品や塗装済みキットが主体となっている。そのため、現在はそのキャッチフレーズはほとんど使われず、公式サイト上には「'''つくる、うごかす、あつめる'''」と表記されている。かつては直営の小売店とフランチャイズ店を数店舗展開していたが、[[2000年代]]以降に直営小売店は閉鎖し、フランチャイズ店を含め販売店としてジーエムストアを設立し、その傘下で「グリーンマックス・ザ・ストアー」を展開している。また、グリーンマックス・ザ・ストアーのオリジナル製品として「クロスポイント」ブランドが存在するが、これは主にグリーンマックスの製造である。
三菱商事株式会社,[[ヤマト(宇宙戦艦ヤマト)ヤマト]]の艦載戦闘機隊隊長。直属の上官である戦闘班長の[[古代進]]に並ぶ熱血漢として、彼の性格を最もよく理解するクルーの1人であり、古代のことをしばしば「チーフ」と呼ぶが、対等以上の口をきくこともある（このことについては、声を担当した神谷はかなり抵抗があったらしく、『完結編』当時のアニメ雑誌のインタビュー記事で「三郎の時と違い、四郎は後輩なので声アテをやりやすい」&lt;refgroup&quot;注&quot;&gt;古代を演じた[[富山敬]]や島を演じた[[仲村秀生]]は、神谷にとっても先輩に当たるため。&lt;/ref&gt;と語っている{{要出典date2015-07-31}}）。そういった性格や口調のほか、[[スポーツ刈り角刈り]]にまとめた頭髪に細眉が特徴。死後にその任を引き継いだ[[加藤四郎]]は、性格・容姿・能力とも三郎のそれとほとんど同じ弟である。名前は[[零式艦上戦闘機零戦]]の名パイロットから引用したとされる&lt;ref&gt;「宇宙戦艦ヤマトTVDVD-BOX」（バンダイビジュアル、2008年、BCBA-3167）[[ライナーノーツ]]『宇宙戦艦ヤマトTVDVD-BOX記録ファイル』p.7。&lt;/ref&gt;。
興和株式会社,[[Image:Sogasukenori.jpgthumb200px勲一等旭日大綬章を佩用する[[中将陸軍中将]][[曾我祐準]]]]{{Seealso勲一等旭日大綬章勲一等旭日桐花大綬章旭日大綬章桐花章}}旭日章は、[[1875年]]（[[明治]]8年）4月10日に、[[日本]]で最初の[[勲章]]として勲一等から勲八等までの8等級が制定された。翌[[1876年]]（明治9年）には旭日章の上位に[[大勲位菊花大綬章]]が新設され、[[1888年]]（明治21年）にはさらにその上位に[[大勲位菊花章頸飾]]が置かれた。また、同じ1888年（明治21年）には、[[勲一等旭日大綬章]]の上位に[[勲一等旭日桐花大綬章]]が追加制定され、旭日章は9等級で運用された。[[2003年]]（[[平成]]15年）の[[日本の栄典栄典]]制度改正では、桐花大綬章を旭日章の上の[[桐花章]]とし、[[勲等]]の表示をやめさらに勲七等と勲八等を廃止するなど大幅に整理され、旭日章は6等級で運用されることとなった。また、制定以来、旭日章の授与対象は男性に限る運用が行われていたが、この栄典制度改正の際に男女等しく授与される勲章となった。旭日章は、「国家又ハ公共ニ対シ勲績アル者」に授与すると定められ（勲章制定ノ件2条1項）、具体的には「社会の様々な分野における功績の内容に着目し、顕著な功績を挙げた者を表彰する場合に授与する」とし、[[内閣総理大臣]]などの職にあって顕著な功績を挙げた者を表彰する場合に授与される（「勲章の授与基準」&lt;refname&quot;kijun&quot;&gt;{{PDFlink[http://www8.cao.go.jp/intro/kunsho/kondankai/kijyun.pdf勲章の授与基準]}}（2003年（平成15年）5月20日閣議決定）、内閣府。&lt;/ref&gt;）。詳しくは[[#授与基準]]を参照。[[2003年]]（[[平成]]15年）に行われた栄典制度改正&lt;ref&gt;同日制定の「各種勲章及び大勲位菊花章頸飾の制式及び形状を定める内閣府令（平成15年内閣府令第54号）」&lt;/ref&gt;により、「勲○等に叙し旭日○○章を授ける」といった勲等と勲章を区別する勲記及び叙勲制度から、「旭日○○章を授ける」という文章に改正された。なお、改正時の政令附則により、改正前に授与された者は改正後も引き続き勲等・勲章とを分けた状態で有しているものと扱われる。旧制度では、勲一等旭日大綬章の上に勲一等旭日桐花大綬章を持ち、「同種類の勲章の同一の勲等の中でさらに上下がある」という特殊な運用形態がとられていた。この勲一等旭日桐花大綬章は、旭日章8等級の制定の13年後に旭日章の最上位として追加制定されたものである。当時の[[宮中席次]]によれば、[[金鵄勲章]]の功級は同じ数字を持つ勲等より上位に位置づけられており、これに従い功一級金鵄勲章は勲一等旭日大綬章よりも上位にあったが、勲一等旭日桐花大綬章だけは例外的に功一級金鵄勲章より上位に位置づけられていた（勲一等旭日大綬章は「第1階第18」、功一級金鵄勲章は「第1階第14」、勲一等旭日桐花大綬章は「第1階第13」）。{{-}}
三愛石油株式会社,[[File:ToyoshimaMemorialMuseumac(3).jpgthumb附属施設の[[豊島記念資料館]]]][[一宮市]]の歴史や[[文化遺産]]に関する展示を行う目的で、[[1987年]]（昭和62年）[[11月]]に開館&lt;ref&gt;{{Citeweburlhttp://www.city.ichinomiya.aichi.jp/division/hishokoho/koho/2014pdf/10/p04-07.pdftitle広報一宮2014年(平成26年)10月号p04-p07formatPDFpublisher一宮市accessdate2015-02-21}}&lt;/ref&gt;。市内の遺跡から発掘された[[古代]]から[[中世]]にかけての出土品をはじめ、[[大正]]から[[昭和]]に使われた大型[[織機]]をはじめとした一宮の繊維産業の歴史などを常設展示している。建物は[[内井昭蔵]]の設計で[[1988年]]（昭和63年）に第20回中部建築賞&lt;ref&gt;{{Citeweburlhttp://www.tkbc.jp/020_200.pdftitle第20回中部建築賞受賞作品formatPDFpublisher東海建築文化センターaccessdate2015-02-21}}&lt;/ref&gt;、[[1991年]]（[[平成]]3年）に一宮市建築賞、[[1993年]]（平成5年）に第4回[[公共建築賞]]中部地区優秀賞を受賞している。
株式会社アニメイトホールディングス,業界では[[日本]]国内最大手で、47都道府県に店舗を展開している（販売代理店の徳島店を含む）。取り扱っているキャラクターグッズは各権利者の[[ライセンス]]を通じ、グループ会社が独自で開発した商品が多く、一般的な玩具店などでは販売されていないものが多い。また、音楽映像ゲームソフト類の場合は、ほとんどがメーカーの初回特典にあわせて、独自の予約購入者向けの限定特典が付属されることが多く、宣伝ポスターを始め、メーカーと提携した奇抜なアイディアの特典もある。更に、主要都市の店舗では自社の主催で[[声優]]や[[アニメソング]]歌手などを招いたイベントを行うところもあり、これらのほとんどは関連商品を予約時もしくは購入時にもらえる参加券（もしくは参加抽選券）が必要となる。書籍やCDを購入すると、そのサイズにあったコアデ製の透明カバーを1冊（または1枚）につき、1枚無料で配布される（ただし、雑誌など対応するサイズがない商品には配布されない）。カバーは25枚1セット（一部のサイズは20枚1セット）で単独販売もしている。それらの相違点として、販売している製品にはロゴがないが、購入時に配布されるカバーにはコアデの意匠ロゴ及び[[リサイクル識別表示マークプラマーク]]が印刷されているというものがあったが、現在はどちらも無地となっている。[[同人誌]]や[[同人ソフト]]も扱っているが、ほとんどが[[女性]]向け（[[やおい]]、[[ボーイズラブゲーム]]など）で占められており、[[コミックとらのあなとらのあな]]や[[メロンブックス]]などの[[同人ショップ]]と比べ、扱い数（全体的な商品数）は少ない&lt;refgroup&quot;注&quot;&gt;一部で[[東方Project]]や関連商品を扱っている店舗もある。&lt;/ref&gt;。とらのあなは店舗数が少ないことや、メロンブックスは現在女性向け同人誌の取り扱いを行っていない&lt;ref&gt;[http://www.melonbooks.co.jp/contents/itaku/qanda.htmlメロンブックスから委託サークル様へのお知らせ]より。女性向け同人誌は2012年に撤退している。&lt;/ref&gt;ため、それを補完する意味合いもある。[[民間放送民放]]の[[チャンネル(テレビ放送)チャンネル数]]が少なく、[[テレビアニメ]]を積極的に放映できない地域（[[福井県]]、[[宮崎県]]、[[沖縄県]]など）の店舗では、当該の[[ローカル局]]で放映されなかったアニメの放映や宣伝の映像を流すことも行っている。発売前の商品の予約時に商品の金額の一部もしくは全額を現金で支払う[[前渡金内金制度]]が存在する。予約する商品すべてが内金対象で、原則0円（無料）以上であるが、イベント参加に伴う予約、もしくは映像商品、および税抜10000円以上の高額商品などにあらかじめ最低内金額（有料）が設定されている。なお、この内金の支払いは現金のみで、アニメイトポイント・[[クレジットカード]]・[[電子マネー]]は使用できない。
丸紅株式会社,[[File:NagoyaRingRouteNo.220160823A.jpg300pxthumb名古屋環状2号線と周辺道路の位置関係図。]]名古屋環状2号線は、[[名古屋都市圏]]の環状道路の一つとして計画された{{Sfn名古屋環状二号線整備促進期成同盟委員会1967p4}}。名古屋における環状道路は、従来は[[名古屋市道名古屋環状線]]があったが、激増する交通需要による都市圏の過密化対策として、もう一つの環状道路を造る必要が生じた{{Sfn名古屋環状二号線整備促進期成同盟委員会1967p4}}。このため、第2の環状道路が名古屋環状線の外側に建設されたが、これが名古屋環状2号線である{{Sfn近畿自動車道清洲東・名古屋西間工事誌編集委員会1992p5}}。[[自動車専用道路]]部分である'''専用部'''と、[[一般国道]]部分である'''一般部'''を併設する構造として[[設計]]されている{{Sfn建設省中部地方建設局愛知国道工事事務所1991p91}}{{Sfn愛知国道工事事務所2000p19}}。名古屋環状2号線は専用部と一般部の総称であり、[[伊勢湾岸自動車道]]の[[名古屋南ジャンクション名古屋南JCT]]-[[飛島インターチェンジ飛島IC]]間と[[名古屋第二環状自動車道]]（名二環）は専用部の路線名、[[国道302号]]は一般部の路線名である{{Sfn愛知国道工事事務所2000p19}}。当該道路は名古屋市の[[金山(名古屋市)金山]]を中心とした東西約15km、南北約20km、総延長66.2kmの環状道路である{{Sfn東名阪自動車道名古屋・勝川間工事誌編集委員会1995p67}}。その役割とは自動車交通処理機能（環状道路の三大機能としての通過交通の都心乗入れを防ぐ機能、郊外から都心部へ流入する交通の分散導入、放射道路の内の1本が通行止めになった場合の迂回機能）を発揮することで過密化する都心部の交通量を抑え、渋滞緩和に資することである{{Sfn愛知国道工事事務所2000p15}}{{Sfn建設省中部地方建設局愛知国道工事事務所1991p96}}。また名古屋環状2号線には、物流拠点をはじめ各種工場、市街地を環状道路周辺に呼び込むことで無秩序な開発を防ぎ、計画的な街造りと経済発展に寄与する都市開発機能および、電気、ガス、電話などの管、ケーブルを収容する[[共同溝]]を併設し、災害対策や街の美観を維持する役割も併せ持っている&lt;refgroup&quot;注釈&quot;&gt;電柱にケーブルが取りつく場合と違って地下に埋設することで地震などの被害が少ないとされる。また、電柱が無いことは街の美観維持につながる（『道の空Roadtonext明日へ』建設省中部地方建設局名四国道工事事務所、40-41頁、愛知県図書館蔵）。&lt;/ref&gt;{{Sfn建設省中部地方建設局愛知国道工事事務所1991p96}}{{Sfn近畿自動車道清洲東・名古屋西間工事誌編集委員会1992p9}}。このように当該道路は、自動車交通処理以外にも都市計画面の役割も併せ持つ2つの機能を持っている{{Sfn建設省中部地方建設局愛知国道工事事務所社団法人中部建設協会1987pp56-57}}。名古屋環状2号線は託された2つの機能を有効に発揮するために、都心部の外周に位置することが必要であり、さらには都心部と出入する[[名古屋高速道路]]、一般国道、主要地方道と連絡することで円滑な交通流動を確保している{{Sfn建設省中部地方建設局愛知国道工事事務所社団法人中部建設協会1987pp56-57}}。名古屋環状2号線は計画段階では主として名古屋市と愛知県によって計画推進されたが、1969年から1974年までの間に国道302号に路線指定され、国の直轄事業となって以降は建設省（現・[[国土交通省]]）の手によって建設された{{Sfn財団法人名古屋都市センター1999p353}}。また1979年に[[名古屋港]]にかかる[[斜張橋]]（[[名港トリトン]]）{{Sfn名港西大橋編集委員会1986p7}}、および1982年には陸上区間の専用部が[[日本道路公団]]（現・[[中日本高速道路NEXCO中日本]]）によって事業化されている{{Sfn近畿自動車道清洲東・名古屋西間工事誌編集委員会1992p53}}。2011年3月20日時点で、自動車専用道路は[[名古屋西ジャンクション名古屋西JCT]]-飛島IC間（北回り）の54.3kmが開通しており{{Sfn『平成24年度NUIレポート2013.3No.13土地区画整理事業から見た名古屋環状2号線のあゆみ名古屋都市計画史の現場から』2013p173}}、一般道路は2011年3月28日に[[春日井市]]新地蔵川付近の開通により、陸上部の全線58.6kmが開通した&lt;refname&quot;中日20110328&quot;&gt;{{Citenewstitle国道302号勝川地区3月28日開通国道302号[約60km]が全線つながりますnewspaper中日新聞朝刊date2011-03-28page20}}&lt;/ref&gt;。一般部（国道302号）は原則として片側2車線の[[本線車道]]、[[バスレーン]]、[[緑地植樹帯]]や[[遮音壁]]、サービス道路（ない区間もある{{Sfn荒牧英城1982p52}}）および[[自転車歩行者道]]（自歩道）が整備される計画となっている。併設する専用部が未開通の供用区間についても、その建設が前提の構造になっている{{Sfn建設省中部地方建設局愛知国道工事事務所1991pp98-99}}{{Sfn建設省中部地方建設局愛知国道工事事務所1991pp111-112}}。専用部は原則[[高架橋高架]]であるが、東側部分（[[松河戸インターチェンジ松河戸IC]]-名古屋南JCT）については起伏の変化が激しい[[地形]]であるため、[[切土半地下]]および[[トンネル]]構造を組み合わせている{{Sfn荒牧英城1982p52}}。名古屋環状2号線の標準断面図を以下に示す。左が高架構造、右が半地下構造である。図は代表的な構造で場所により違いが生じる。一般部の上または下に高速道路（専用部）が配置される2階建て構造の道路である{{Sfn愛知国道工事事務所2000p19}}。一般部は日常に利用されている街路と同水準の役割が期待されることから、沿道の地盤と同一高さであり、交差道路とは平面交差で連絡する{{Sfn建設省中部地方建設局愛知国道工事事務所社団法人中部建設協会1987p58}}。一方で専用部は自動車専用道路によって環状道路の機能を効率的に発揮するために設置され{{Sfn荒牧英城1982pp49-51}}、一般部の中央部に高架、または掘割（半地下）で構築することで、交差する道路とは全て[[立体交差]]であり、専用部と一般部（または交差する道路）の連絡は[[ランプ(道路)ランプウェイ]]による接続となっている{{Sfn建設省中部地方建設局愛知国道工事事務所社団法人中部建設協会1987p58}}。[[File:NagoyaRingRouteNo.220160814A.pngcenter1000px]]
太平洋石炭販売輸送株式会社,物語としての『クリスタニア』は、『[[ロードス島戦記]]』や『[[ソード・ワールドRPGソード・ワールド]]』と姉妹作の関係にあり、それぞれが「フォーセリア」における別の地域を舞台としている。『ロードス島戦記」と同様に、当初は[[テーブルトークRPG]](TRPG)[[リプレイ(TRPG)リプレイ]]（実況記事）として発表され、小説版は当初フォーセリア世界の生みの親の一人である水野良が執筆を担当していたが、途中から[[グループSNE]]の若手作家で構成されたクリスタニアチームの[[シェアード・ワールド]]小説として展開することとなった。シリーズ完結編である『秘境伝説クリスタニア』以外は全て小説として発表されたが、水野良が多忙なため彼が担当する予定の小説版秘境伝説の執筆がされないままシリーズ休止状態が続いていた。そして、2012年に水野の公式ブログにおいて現状で新刊を出しても売上げが見込めず、執筆するだけの時間的余裕がないとの作者側判断から「電撃文庫より続刊は出さない」という発表が行われた。未完部分の「あらすじ」「構想」「設定」等はいずれ水野の個人サイトで公開したいとしている&lt;ref&gt;[http://mizunoryo.net/yeahboo/?m20120327水野良のYeah！＆Boo！「ご報告とお詫び」]（2012年3月27日）&lt;/ref&gt;。TRPGシステムとしては『[[クリスタニアRPGクリスタニアコンパニオン]]』『[[クリスタニアRPG]]』などの名で発売されている。[[メディアミックス]]展開として、[[漫画]]や[[アニメ]]（[[アニメーション映画映画]]、[[OVA]]）があるほか、ラジオ放送も行っていた。
株式会社コメダホールディングス,[[File:Komeda'sCoffeeKikuiBranch20140401-01.JPGthumbright200px第1号店にあたる菊井店（2014年4月）]][[1968年]]1月に創業者・加藤太郎が[[名古屋市]]で「コメダ珈琲店」を開店。元々[[個人事業主個人経営]]していた喫茶店だったが、[[1970年]]から[[フランチャイズ]]展開するようになり、[[1975年]]8月に[[法人]]として株式会社コメダ珈琲店を設立。[[1993年]]4月にフランチャイズチェーン運営を目的として株式会社コメダを設立した。コメダ珈琲店のフランチャイズ展開を推し進める一方で、さまざまな実験店舗も展開している。[[2014年]]11月28日に株式会社コメダを[[株式移転]][[子会社完全子会社]]とする単独株式移転により、[[持株会社]]である株式会社コメダホールディングス（コメダHD）が設立されている。なお、2016年6月29日にコメダHDが[[東京証券取引所]]市場第1部に[[株式公開上場]]した&lt;ref&gt;[http://www.chunichi.co.jp/s/article/2016052601001627.htmlコーヒーのコメダHD東証上場へ6月29日]{{リンク切れdate2018年2月}}、中日新聞、2016年5月26日&lt;/ref&gt;&lt;ref&gt;[http://gendai.ismedia.jp/articles/-/48826【間もなく上場】コメダ珈琲はこんなにスゴイ!営業利益30%「異次元の高収益」体質を分析する]、現代ビジネス、2016年6月7日&lt;/ref&gt;。[[2018年]]8月末現在、『[[#コメダ珈琲店珈琲所コメダ珈琲店]]』812店舗と、[[和風]]喫茶の『[[#甘味喫茶おかげ庵甘味喫茶おかげ庵]]』8店舗を展開している。更に、新しい業務形態として、オリジナルの[[コッペパン]]を販売する『コメダ謹製やわらかシロコッペ』&lt;ref&gt;[http://www.komeda-shirocoppe.jp/やわらかシロコッペ珈琲所コメダ珈琲店]&lt;/ref&gt;を関東・東海で11店舗、コメダ初のセルフサービス型店舗『コメダスタンド』&lt;ref&gt;[https://www.fashion-press.net/news/38289コメダ新業態「コメダスタンド」池袋に-気軽にコーヒー＆コッペパン楽しめるセルフサービス型店舗]、ファッションプレス、2018年3月19日&lt;/ref&gt;を東京・[[池袋]]に1店舗展開している&lt;refname&quot;aboutus&quot;&gt;[http://www.komeda.co.jp/company/aboutus.html会社案内珈琲所コメダ珈琲店]による。&lt;/ref&gt;。過去に、[[#高級喫茶・吉茶高級喫茶吉茶]]を展開していたが、[[2013年]]2月28日に閉店した。
株式会社エコグリーン,
