株式会社三越,
株式会社セブン-イレブン・ジャパン,1909年、無線通信の発展に貢献したとして、[[フェルディナント・ブラウンブラウン]]とともに[[ノーベル物理学賞]]を受賞した&lt;refnameNPbio&gt;&quot;''[http://nobelprize.org/nobel_prizes/physics/laureates/1909/marconi-bio.htmlGuglielmoMarconi:TheNobelPrizeinPhysics1909]''&quot;&lt;/ref&gt;&lt;ref&gt;{{citeweburlhttp://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber658778titleWelcometoIEEEXplore2.0:SirJ.C.BosediodedetectorreceivedMarconi'sfirsttransatlanticwirelesssignalofDecember1901(the“ItalianNavyCoherer”ScandalRevisited)publisherIeeexplore.ieee.orgaccessdate2009-01-29}}&lt;/ref&gt;&lt;ref&gt;{{citenewsfirstAmitlastRoyurlhttp://www.telegraphindia.com/1081208/jsp/nation/story_10221833.jspworkTheTelegraphlocation[[コルカタ]]titleCambridge'pioneer'honourforBosepublisherTelegraphindia.comdate2008-12-08accessdate2010-06-10}}&lt;/ref&gt;。1916年より短波開拓に着手し、日中でも遠距離通信が可能な「昼間波」を発見&lt;refnamedaylight2&gt;&quot;ImportantNewExperimentsWithShortWaves&quot;''PopularRadio''May1925E.R.Crowe&amp;CompanyInc.p482&lt;/ref&gt;。1924年、英国郵政庁より短波公衆回線の建設を請負い、「昼間波」と「ビームアンテナ」の二刀流で短波黄金時代を切り拓いた&lt;ref&gt;ヘレン・C・カリファー&quot;善意の人マルコーニ&quot;『カトリックダイジェスト日本版』1948年7月号小峰書店p18&lt;/ref&gt;。1933年には世界初のUHF実用回線を完成させたほか&lt;refnameIT_UHF&gt;&quot;PopetoOpenNewRadioUnitToday:World'sFirstUltraShortWavePlantMadebyMarconi&quot;''TheWashingtonPost''Feb.111933p14&lt;/ref&gt;、UHF波が曲がることを発見している&lt;ref&gt;&quot;MARCONIHARNESSESULTRA-SHORTWAVES:‘Bending’ofCurrentsSurmountsEarth’sCurvatureFormerlyBartoSuchTransmission.&quot;''TheNewYorkTimes''Aug.141933p1&lt;/ref&gt;。実業家としても戦間期の国際政治を左右するほど成功した。1897年に{{仮リンクマルコーニ無線電信会社enMarconiCompany}}を創立した。イギリスのマルコーニ社は一世紀以上もの間[[ゼネラル・エレクトリック・カンパニー]]として知られていたが、1968年には[[イングリッシュ・エレクトリック]]他多数の電機会社と合併して、1999年に防衛機器部門を[[BAEシステムズ]]に売却し、残った事業がマルコーニ株式会社という名前で存続している&lt;ref&gt;FundingUniverse&quot;MarconiplcHistory&quot;saying&quot;TheBritishcompanyMarconiplchadbeenknownasTheGeneralElectricCo.Ltd.(GEC)formorethan100yearsbeforechangingitsnameandfocusin1999.&quot;&quot;In1968GECmergedwithEnglishElectricwhichincludedElliottBros.TheMarconiCo.RustonandHornsbyStephensonHawthorn&amp;VulcanFoundryWillansandRobinsonandDickKerr.Thesecompanieswereprimarilyelectronicsandelectricalequipmentmanufacturers.&quot;&quot;Followinganannouncementinearly1999ofaproposedmergerofGEC'sdefenseelectronicsbusinessMarconiElectronicSystemswithBritishAerospaceGECsoldMarconiElectronicSystemsto[[ブリティッシュ・エアロスペースBritishAerospace]]for$12billionmostlyinstock.&quot;Source:InternationalDirectoryofCompanyHistoriesVol.33.St.JamesPress2000.&lt;/ref&gt;。1919年、アメリカン・マルコーニ社が[[ゼネラル・エレクトリック]]、[[AT&amp;T]]、[[ウェスティングハウス]]に買収されて[[RCA]]となった。1928年3月16日、[[ケーブル・アンド・ワイヤレスジョン・ペンダー]]と政府受注を争った末に、帝国代表者会議の立会いで、ペンダー側イースタン電信会社とマルコーニ無線電信会社間で保有比率56.25対43.75とする持ち株会社をつくることで合意した。代表者会議による審議は続き、7月6日に勧告として報告書が出された。内容は、ペンダーとマルコーニの各事業だけでなく、郵政省の短波システムに太平洋/大西洋ケーブルを一挙に合併させる構想であった。&lt;ref&gt;ImperialWirelessandCableConference1928ChairmanSirJohnGilmourReportin''ParliamentaryPapers1928''Vol.10.Cmd.3163.&lt;/ref&gt;8月に議会で承認されてから、構想は自治領で次々と追認された。1929年4月8日、合併会社は[[ケーブル・アンド・ワイヤレス]]、通信会社は[[:en:ImperialWirelessChain#Commercialimpact帝国国際通信]]''ImperialandInternationalCommunications''という名前で発足した。これらはグローバル通信網として[[P&amp;O]]や帝国航空会社などに利用された。
株式会社吉野家ホールディングス,金銭の強制搾取を指す、盗人・不良仲間が主に使用する隠語である&lt;ref&gt;{{Citeweburlhttp://iss.ndl.go.jp/books/R100000076-I000474511-00titleかつ‐あげ【喝上】(日本国語大辞典)publisher[[小学館]]accessdate2015-10-26}}[[国立国会図書館]]オンライン検索で確認。&lt;/ref&gt;。なお、[[刑法(日本)日本の刑法]]によれば[[恐喝罪]]は「刑法第2編罪第37章詐欺及ヒ恐喝ノ罪」のうち、[[b:刑法第249条刑法249条]]に規定されており、これを行った者は10年以下の[[懲役懲役刑]]を受け、これを他人に行わせるか、またはこの行為により財産上不法の利益を得た者も同罪となる&lt;ref&gt;{{Citeweburlhttp://library.law.kanazawa-u.ac.jp/codes/OLD/M402_37.htmltitle第37章詐欺及ヒ恐喝ノ罪publisher[[日本国]]accessdate2015-10-26}}[[金沢大学]]法学類／法学部図書室で確認。&lt;/ref&gt;。
株式会社阪神百貨店,[[1717年]]（[[享保]]2年）に下村彦右衛門正啓が今の[[京都市]][[伏見区]]京町北八丁目77に呉服店大文字屋を開業し、呉服商を出発点として[[両替商]]を兼営していた。[[1726年]]大坂[[心斎橋筋]]に進出。[[1728年]]に名古屋本町に名古屋店を開き、「大丸屋」（のち閉鎖）と称した。幕末には[[高島屋]]に対して、幕府側についた。[[1908年]]11月、個人商店「大丸呉服店」を株式合資会社に転換。その際、下村家当主（第11代下村正太郎）が[[早稲田大学]]商科出身であった縁から、銀行家[[杉山義雄]]を専務理事として迎え入れ改革に乗り出した。杉山は専務理事就任時に資本金50万円のうち3万円を出資し、従業員や別家が20万円を出資していた&lt;refgroup&quot;注釈&quot;&gt;株式の譲渡については無限責任社員（出資者全7人）の同意を必要としたので、下村一族や従業員以外に株式が流れる心配はなかった。&lt;/ref&gt;が、約40軒の別家は旧態依然としていたところに杉山が急激な改革を実施。これが古手の店員や別家の反感を買い、更に不況と重なったことから杉山は退任に追い込まれる。その後、[[1910年]]に東京信託会社の[[岩崎一]]が改革案を作成し、ついで大隈の斡旋により、[[日本生命保険日本生命]]社長[[片岡直温]]が改革に乗り出す。同年秋には東京・名古屋の両店を閉店する一方で、京都・大阪・神戸店を拡張して再建に乗り出した。下村家も秘蔵の書画骨董を売却して約30万円を調達して資力を増強、[[1911年]]1月22日に別宅会を解散して積立金を割り戻す決定をした。[[1914年]]には大阪店が不渡りの手形を出して京阪二店が休業するなど、呉服店から百貨店への転換過程では問題が続発したが、幾度もの困難を乗り越え、[[1928年]]'''大丸'''と改称しその近代化に成功した。高度成長期は[[三越]]（現：[[三越伊勢丹ホールディングス]]・並びに同社傘下の[[三越伊勢丹]]ほか）と並び「西の横綱」といわれたが、バブル崩壊後業績は低迷。[[奥田務]]が社長就任後、他の百貨店よりも一足早く[[1998年]]より事業構造改革に乗り出し、国内不採算店舗の閉鎖や海外店舗の全面撤退、人員削減に取り組んだ。その一方、[[2003年]]には札幌店を開店し軌道に乗せている。結果として改革は成功し、収益力を業界首位級に押し上げた。なお、店名の呼称については通常、「〜てん」と案内されるが、近畿圏の各店舗に関しては以前から「〜みせ」と案内されるのが通例&lt;refnamenikkei141206&gt;[http://www.nikkei.com/article/DGXLASIH26H0E_W4A121C1AA1P00/関西のデパート、なぜ「○○店（みせ）」]-日本経済新聞・2014年12月6日&lt;/ref&gt;。直営店では、札幌店・東京店は「〜てん」、心斎橋店・京都店・神戸店・梅田店が「〜みせ」と呼ばれている。同地区の同業他店舗は公式には全て「〜てん」を使っており、「〜みせ」の呼称は珍しい（ただし[[高島屋]]では一部社員が非公式ながら「〜みせ」を使っている&lt;refnamenikkei141206/&gt;）。名物は、餡入りカステラ饅頭に「大」の焼き印が押された「大丸饅頭」。現在は大丸梅田店と博多大丸福岡天神店で販売している&lt;refgroup&quot;注釈&quot;&gt;梅田店では改装工事のため一時販売を行っていなかったが、2011年3月5日より販売を再開している。&lt;/ref&gt;。かつては神戸店でも販売していたが、[[1995年]]の阪神・淡路大震災で製造機械が壊れ販売中止となった。その後、震災10年の記念として[[2005年]]に1週間だけ再現された。
株式会社伊勢丹,[[新書館]]の『[[サウス(雑誌)サウス]]』『[[月刊ウィングス]]』で[[1990年]]から[[1993年]]にかけて連載された。後の『[[X(漫画)X]]』へと話が繋がっている。[[1992年]]と[[1994年]]には[[OVA]]化。1993年には21歳の昴流を描く実写ビデオドラマ化もされている。ジャンルとしては、[[陰陽師]]の主人公によるファンタジーものの体裁を取りながら、[[東京]]に生きる等身大の人々やその抱える問題を扱い、社会派ドラマの側面も持つ。話自体は、明かされた意外な真相と一縷の救いも無い結末で終わる（作者曰く、この話は完結しているという）。この作品では、社会でさまざまな問題を抱える老若男女が登場、その中には悲惨な環境で生活している人物も少なくないため、不美人的な容姿を持つ者も多数いる（※その辺りは[[XXXHOLiCxxxHOLiC]]とも共通している）。
株式会社京急百貨店,[[横浜市]]と[[京浜急行電鉄京急]]と地元地権者による[[上大岡駅]]前再開発事業により完成した[[駅ビル]][[ゆめおおおか]]に、[[1996年]]（[[平成]]8年）[[10月1日]]に開業した。横浜市[[港南区]][[上大岡上大岡西]]にある上大岡駅直上の本館と、鎌倉街道を挟んだ再開発ビル[[カミオ]]地下のスポーツ館とで構成される。売り場面積は42000m&lt;sup&gt;2&lt;/sup&gt;&lt;ref&gt;『百貨店地図が塗り替わる日』p238&lt;/ref&gt;。電鉄系百貨店としては最後発であり&lt;ref&gt;同系の[[京急ストア]]が元々「京浜デパート（菊屋デパート）」→「京浜百貨店」の名称で小規模な百貨店を運営していたが、早期に[[スーパーマーケット]]に業態転換していた。&lt;/ref&gt;、親会社の京急には百貨店のノウハウがないため、他の百貨店からの人材を集めた&lt;ref&gt;[http://www.tansei.net/talk/no19/21/21.htmトーク*新世代百貨店21世紀の提言市川昭司社長インタビュー]（2005年[[丹青社]]）&lt;/ref&gt;。特に[[伊勢丹]]からは社長を招き入れ、同社の手法を導入している&lt;refname&quot;kawashima194&quot;&gt;『百貨店地図が塗り替わる日』p194-200&lt;/ref&gt;。地域密着型の『生活者本位制百貨店』として祖父母・両親・子供の三世代に向けた品揃え&lt;ref&gt;[http://www.tansei.net/talk/no6/keikyu/main.htmトーク*新世代百貨店21世紀の提言神田捷夫社長インタビュー]（2002年丹青社）&lt;/ref&gt;などが功を奏し、開業以来約10年、119か月にわたり前年同月比の売上高増加を記録した&lt;ref&gt;[http://mjwatch.blog15.fc2.com/blog-entry-193.html2007年11月9日付日経MJウォッチ]&lt;/ref&gt;。[[テレビ東京]]のバラエティ番組『[[出没!アド街ック天国]]』2013年9月14日放送回で、京急上大岡を特集した際、第1位として選出された。
株式会社丸榮,[[1615年]]（[[元和(日本)元和]]元年）に創業した[[老舗]]'''[[十一屋(名古屋)十一屋呉服店]]'''と&lt;refname&quot;nagoya-modern-merchant-1994-2&quot;&gt;林董一『近世名古屋商人の研究』[[名古屋大学出版会]]、1994年2月。ISBN978-4815802219&lt;/ref&gt;&lt;refname&quot;maruei-50-1994&quot;/&gt;、京都で[[丸物]]を経営していた[[中林仁一郎]]が地元資本家と合弁で[[1937年]]（昭和12年）9月に設立した百貨店[[丸物#三星三星]]が&lt;refname&quot;maruei-50-1994&quot;/&gt;、[[1942年]]（昭和17年）5月に政府から企業整備令が発令されたことへの対応策として合併して&lt;refname&quot;department-store-story-1998-12-29&quot;&gt;飛田武彦『百貨店ものがたり先達の教えにみる商いの心』[[国書刊行会]]、1998年12月29日。ISBN978-4-336-04100-5&lt;/ref&gt;、[[1943年]]（昭和18年）8月27日に設立された百貨店である&lt;refname&quot;maruei-50-1994&quot;/&gt;。丸栄とは『'''栄の地で丸く栄える'''』という意味から来ている&lt;refgroup&quot;新聞&quot;name&quot;chunichi-np-2013-10-25-11c&quot;&gt;鈴木宏征、後藤隆行、今村節、大橋洋一郎(2013年10月25日).“時流の先へ中部財界ものがたり第11部流通戦国時代（4）「夢を提案」丸栄の気概珠玉の装飾ビルに今も”.[[中日新聞]](中日新聞社)&lt;/ref&gt;。[[松坂屋]]が圧倒的な存在を持つ[[中京圏名古屋]]の[[百貨店]]業界にあって、差別化の観点から[[カジュアル]]路線を採っている。[[ジェイアール名古屋タカシマヤ]]開業以降はその差別化傾向を更に推し進め、10代後半から20代全般の女性に人気が高い[[ギャル]]系[[ブランド]]に注力したテナント構成となっており、黒く日焼けした派手な黒ギャルのショップ店員も数多く働いていた。そうした路線からギャルたちには勿論のこと、派手さを好むageha系やいわゆる[[名古屋嬢]]等の女性たちからも高い支持を集めている。[[高島屋]]とは商品面で交流が深く、高島屋が幹事社の[[ハイランドグループ]]に属してはいる。しかし、[[2000年]]（平成12年）の[[東海旅客鉄道JR東海]]との合弁によるジェイアール名古屋タカシマヤ開店に伴う高島屋の名古屋進出後は、同じハイランドグループに属していた[[京王百貨店]]との関係を強化している{{efn両社とも、それぞれの本店と競合する形で高島屋の進出を許したという共通点を有している。}}。また、地下の食品売り場は「栄市場」としてリニューアルされ、集客しているミセス層向けの売り場強化を図っている。その一環として[[成城石井]]がテナントとして出店していた。前身の一つ三星の創業家である中林家と縁戚関係にある三輪家が率いる[[興和]]が&lt;refname&quot;kowa-100-history-1994-11&quot;&gt;『興和100年史』[[興和]]・[[興和紡績]]、1994年11月。&lt;/ref&gt;[[親会社]]で&lt;refgroup&quot;新聞&quot;name&quot;nikkei-np-2011-10-26&quot;&gt;“丸栄、興和が「完全」支配下に出資比率69%に上げ”.[[日本経済新聞]](日本経済新聞社).(2011年10月26日)&lt;/ref&gt;、中興の祖川崎音三の川崎家も大株主として名を連ねている。また、元々の中林資本だった[[丸物]]が[[近鉄百貨店]]などに吸収された現在では、最後に残った中林資本の百貨店となっている。[[2012年]][[9月]]より隣接していた[[丸善]]ビルの解体に伴い、本館6・7階に丸善が入居していた&lt;refgroup&quot;WEB&quot;&gt;[http://www.junkudo.co.jp/mj/store/store_detail.php?store_id18MARUZEN名古屋栄店実店舗詳細丸善&amp;ジュンク堂ネットストア]（2015年5月2日閲覧）&lt;/ref&gt;。近隣に新しく建設されたビルに「丸善名古屋本店」&lt;refgroup&quot;WEB&quot;&gt;[http://www.junkudo.co.jp/mj/store/store_detail.php?store_id212MARUZEN名古屋本店実店舗詳細丸善&amp;ジュンク堂ネットストア]（2015年5月2日閲覧）&lt;/ref&gt;として[[2015年]][[4月28日]]に出店し、丸栄内の店舗（名古屋栄店）も引き続き営業していたが、2015年11月23日に7階売場が閉鎖され、2015年12月25日に6階売場を閉鎖し丸栄から撤退する方針が明らかになった&lt;refgroup&quot;WEB&quot;&gt;[http://www.junkudo.co.jp/mj/news/detail.php?news_id98丸善名古屋栄店閉店のお知らせ]丸善&amp;ジュンク堂ネットストア2015年11月22日（2015年11月24日閲覧）&lt;/ref&gt;。[[2016年]][[3月1日]]には大型[[免税店]]・[[ラオックス]]が本館1階及び7階に、同年春には[[坂善商事サカゼン]]が本館6階に入居することが決まった。ともに中部地方に初進出する&lt;refgroup&quot;WEB&quot;&gt;[http://jouhou.nagoya/laox-maruei/大型免税店『ラオックス』名古屋初進出。栄の丸栄内に2016年オープンへ]-名古屋情報通2015年12月7日&lt;/ref&gt;&lt;refgroup&quot;新聞&quot;&gt;[http://www.chunichi.co.jp/s/article/2015120790090434.htmlラオックス名古屋進出へ爆買い対応、丸栄と交渉]-中日新聞(CHUNICHIWeb)2015年12月7日&lt;/ref&gt;&lt;refgroup&quot;WEB&quot;&gt;[http://www.laox.co.jp/wordpress/wp-content/uploads/2015/12/pr_20151208_nagoyamaruei_jp02.pdf「ラオックス名古屋丸栄店」新規出店に関するお知らせ]-ラオックス2015年12月8日（2015年12月12日閲覧）&lt;/ref&gt;&lt;refgroup&quot;新聞&quot;&gt;[http://www.chunichi.co.jp/article/front/list/CK2015120802000260.html丸栄に紳士服サカゼン来春、丸善跡に]-中日新聞2015年12月8日付夕刊1面&lt;/ref&gt;。2016年[[9月29日]]には、[[セリア(100円ショップ)セリア]]丸栄店が7階にオープンした&lt;refgroup&quot;WEB&quot;&gt;[http://kaiten-heiten.com/seria-maruei/【開店】Seria丸栄店]-開店閉店（2016年10月16日閲覧）&lt;/ref&gt;&lt;refgroup&quot;WEB&quot;&gt;[http://www.seria-group.com/shop/detail.html?code000001811丸栄店店舗詳細店舗情報]-100円ショップのSeria（セリア）（2016年10月16日閲覧）&lt;/ref&gt;。2018年6月30日午後7時、丸栄から72年、十一屋呉服店から403年の歴史に幕をおろした（ただし、外商部をはじめ、本社は経営を継続する&lt;refgroup&quot;新聞&quot;&gt;{{Citenewsurlhttps://www.asahi.com/articles/ASL6Z5665L6ZOIPE01V.htmltitle名古屋の百貨店・丸栄が閉店４０３年の歴史に幕下ろすpublisher朝日新聞社author斉藤明美author2山下奈緒子date2018-06-30language日本語accessdate2018-07-01}}&lt;/ref&gt;）。
株式会社イトーヨーカ堂,
イズミヤ株式会社,近畿地方一円を地場とする。かつては[[総合スーパーGMS]]業態での出店が主力であったが、近年は食品スーパー「デイリーカナート」での出店に力を入れており、さらに低コスト運営に注力した『[[まるとく市場]]』という業態も展開している。当該業態による、既存の小型・不採算店舗の再生にも取り組んでいる。
合同会社西友,転換前日の2011年[[2月28日]]での店舗運営は、日本国内5社（[[イオンリテール]]・[[イオン北海道]]・[[マックスバリュ長野]]・[[イオン九州]]・[[イオン琉球]]（旧：琉球ジャスコ））、日本国外7社の計12社で運営を行っていた。大型駐車場を備えた大規模店舗を、地方都市周辺などの郊外[[幹線道路]]沿いに出店する大元の戦略を基本としていた。店舗勤務の従業員は、地元雇用の[[パートタイマーパート]]社員（コミュニティー社員と呼ぶ）・学生[[アルバイト]]社員が多かった。旧岡田屋の創業家である[[四日市岡田家岡田家]]の[[家訓]]「大黒柱に車を付けよ」そのままに、時流に合わせた店舗の[[スクラップアンドビルド]]を頻繁に行っていた。手法として[[2000年代]]以降では、[[イオンスーパーセンター]]への業態転換、あるいは同一商圏内でも郊外にイオンスーパーセンターを開設することで旧来の中心市街地に立地していた既存店舗を閉鎖する傾向があった&lt;refgroup&quot;注釈&quot;&gt;ただし、閉鎖された店舗の一部では、跡地に[[マックスバリュ]]をオープンさせることもあった。&lt;/ref&gt;。[[ドラッグストア]]事業にも力を入れていたが、一部店舗では[[薬剤師]]・[[登録販売者]]不足のため営業時間の一部しか薬局部分の営業ができなかった。
