株式会社みずほ銀行,[[2011年]]（平成23年）に発生した[[東日本大震災]]の義援金に関連するシステムトラブルを受け、同年5月、旧みずほ銀行が[[2013年]]（平成25年）春をめどに[[みずほコーポレート銀行]]と合併することが発表された&lt;ref&gt;{{Citenewstitleみずほ銀とコーポ銀、13年にも合併システム障害受け体制一新newspaper産経新聞date2011-05-18urlhttp://sankei.jp.msn.com/economy/news/110518/fnc11051808180000-n1.htmaccessdate2011-05-20archiveurlhttps://web.archive.org/web/20110521084224/http://sankei.jp.msn.com/economy/news/110518/fnc11051808180000-n1.htmarchivedate2011年5月21日deadlinkdate2018年3月}}&lt;/ref&gt;。2013年（平成25年）7月1日、従前のみずほ銀行は（法人格として）みずほコーポレート銀行（CBK）に吸収合併された（法人格と[[SWIFTコード]]などはCBK側、[[統一金融機関コード]]などは旧みずほ銀行側を継承）。それに併せて、行名をみずほ銀行に改称した。これにより、同行はみずほフィナンシャルグループにおける中核銀行となった。なお、本店は旧みずほコーポレート銀行本店を継承したが、2014年（平成26年）5月7日に[[大手町タワー]]へ移転した。旧みずほコーポレート銀行店舗においては、同店管轄のATMが設置されていない。東京法人営業部、兜町証券営業部以外の店舗では同じ建物に併存する、または近隣にある従前からのみずほ銀行店舗管理によるATM&lt;refgroup&quot;注釈&quot;&gt;東京都区部以外の店舗では○○法人支店と併設する○○支店（○○には同一の都市名が入る）、本店には同一建物に併設する丸の内中央支店（旧興銀本店）・東京中央支店（旧富士銀本店）・丸之内支店のATM。区部の店舗のうち、[[新宿区]]のコーポ店舗は、旧興銀前身の新宿南口支店とコーポ店舗の新宿法人支店が同じビル内に設置される形となった。&lt;/ref&gt;が設置されている。また、システム統合までの間、旧CBKの店舗には、識別マーク（{{Colorblue◆}}）が付けられる（旧みずほ銀行の営業部・支店には、特に識別マークはつけられない）。また、{{Colorblue◆}}付きの店舗では、既存の顧客の口座移管（{{Colorblue◆}}付き店舗間に限る）や口座の増設を除き、当面、新規の口座開設は原則行わないとしている。
株式会社さくら銀行,1990年4月1日、三井銀行と太陽神戸銀行が合併し、「'''株式会社太陽神戸三井銀行'''」（TheMitsuiTaiyo-KobeBankLimited）として誕生。存続会社は三井銀で、[[統一金融機関コード]]0002は同行のものを継承した。[[SWIFTコード]]MITKJPJT（MItsuiTaiyoKobeの頭文字に由来）は、さくら銀に行名変更してからも使用された。また、「あなたに近く、世界に近い」をスローガンとして掲げた。本店は旧太陽神戸銀の東京営業部（[[東京都]][[千代田区]][[九段南]]一丁目）に置き&lt;ref&gt;『三井住友銀行十年史』p.28&lt;/ref&gt;&lt;refgroup&quot;注釈&quot;&gt;[[日比谷三井ビルディング]]に所在した三井銀本店は東京営業部とした。また、西日本の拠点は大阪（旧三井銀大阪営業部）ではなく神戸（旧太陽神戸銀本店・神戸本部）に設けられた。&lt;/ref&gt;、会長には[[松下康雄]]（太陽神戸銀頭取、元[[大蔵事務次官]]）が頭取には末松謙一（三井銀社長）がそれぞれ就任した。合併時における総貸出残高は当時の都銀12行中最大、総預金は2位、店舗数は国内外533店となり、これも最大であった&lt;ref&gt;『三井住友銀行十年史』p.31&lt;/ref&gt;。改称前は「'''太神三井'''（たいしんみつい）」という略称も用意されていて地図の表記等に使われていたが、[[1992年]]に「'''さくら銀行'''」に改称。行章である[[サクラ桜]]は引続き使用された&lt;refgroup&quot;注釈&quot;&gt;ちなみに旧[[帝国銀行]]の行章は八重桜であった。一部個人の顧客からは「たこさん銀行（太陽の「た」、神戸の「こ」、三井の「さん」）」とも呼ばれ、中華人民共和国では「櫻花銀行」と呼ばれていた。&lt;/ref&gt;。さくら銀発足後にも、旧太陽神戸銀時代からの[[兵庫県]]、[[神戸市]]および[[姫路市]]など県内23市町村の[[指定金融機関]]（指定金）業務は継承した&lt;ref&gt;『日本地方金融史』p.283&lt;/ref&gt;。しかし、[[2000年]]7月に[[みなと銀行]]を[[連結子会社]]化した際、同行に兵庫県[[播磨国播磨地方]]における自治体の指定金業務は移譲した。
株式会社埼玉りそな銀行,[[りそなホールディングス]]の子会社として設立後、旧[[あさひ銀行]]の[[埼玉県]]内店舗および[[東京都]]内店舗の一部を継承する[[銀行]]として営業を開始した。営業地盤の埼玉県において、[[預金]]ならびに貸出金ともに、トップシェアを誇る銀行である。約730万人の県民のおよそ60%にあたる約450万件の個人口座を有する。有人店舗132店のうち127店を埼玉県内に展開する&lt;ref&gt;[https://www.saitamaresona.co.jp/about/gaiyo/index.html埼玉りそな銀行／会社概要]（2018年8月8日閲覧）。&lt;/ref&gt;。埼玉県外の店舗については東京支店のほか、埼玉県と繋がりの深い東京都[[豊島区]][[池袋]]に「セブンデイズプラザいけぶくろ（さいたま営業部池袋出張所）」&lt;ref&gt;[https://www.resona-gr.co.jp/holdings/news/saitama_c/20170426_1a.html「セブンデイズプラザいけぶくろ」の新規開設について〜りそなグループとして初のグループ共同運営店舗〜]埼玉りそな銀行ニュースリリース（2017年4月26日）2018年8月8日閲覧。&lt;/ref&gt;、[[群馬県]]の[[高崎市]]と[[太田市]]に法人取引向けの出張所である「たかさきビジネスオフィス（本庄支店高崎出張所）」「おおたビジネスオフィス（熊谷支店太田出張所）」&lt;ref&gt;[https://www.resona-gr.co.jp/holdings/news/saitama_c/20170330_3a.html「おおたビジネスオフィス」「たかさきビジネスオフィス」の開設について]埼玉りそな銀行ニュースリリース（2017年3月30日）2018年8月8日閲覧。&lt;/ref&gt;を展開している。かつての[[埼玉銀行]]の流れから、[[埼玉県]]を含む県内64の自治体のうち61の自治体から[[指定金融機関]]に指定されている&lt;refgroup&quot;注&quot;&gt;[[比企郡]][[小川町]]、同[[嵐山町]]は[[埼玉縣信用金庫]]（←旧[[小川信用金庫]]）、[[秩父郡]][[横瀬町]]は[[武蔵野銀行]]が指定金融機関とされており、[[所沢市]]は[[三菱UFJ銀行]]との輪番制である（三菱UFJ銀行が辞退のため、2019年7月以降は埼玉りそな銀行が単独指定金融機関となる予定）&lt;/ref&gt;。こうしたことから、一部市区町村役所・役場には埼玉りそな銀行の最寄支店職員が常駐する出納窓口があるほか、多くの埼玉県内の市区町村役所・役場やその周辺には同行ATMが設置されている。本店は、さいたま市浦和区に所在する、「さいたま営業部」である&lt;refgroup&quot;注&quot;&gt;旧[[埼玉銀行]]本店→旧[[あさひ銀行]]浦和営業部→旧あさひ銀行さいたま営業部&lt;/ref&gt;。同営業部は、もともと埼玉銀行本店営業部であった所以から、営業室（窓口・ロビー）の延べ床面積は[[メガバンク]]の本店営業部と同等の規模を誇る。建物は[[1977年]]に[[BCS賞]]を受賞している。店舗は東京支店やあさひ銀行時代に新設された[[さいたま新都心]]支店などを除いて[[埼玉銀行]]時代に設置された土地建物を使用しているため、[[協和銀行]]と合併して[[あさひ銀行]]となっていた旧埼玉銀行が創業地へ戻ってきた恰好となっている&lt;!--このため、前々身の「[[埼玉銀行]]が復活」と看做されている--&gt;&lt;refgroup&quot;注&quot;&gt;埼玉県内の旧大和銀行（りそな銀行）の支店は朝霞台支店しか現存していない。[[1970年代]]以降の埼玉銀行のロゴタイプは[[ゴシック角字体]]で、りそなグループのロゴとは[[フォント]]が近いものであった。&lt;/ref&gt;。なお、本社の一部機能は、りそなホールディングス東京本社内に設置している。旧あさひ銀行のうち埼玉県内拠点の取引先のみを分割継承したため、住宅ローン等の個人向け融資の割合が上昇した関係もあり貸出金に占める[[不良債権]]比率が少なく、発足当初の[[自己資本比率]]は7%台後半を示していた（[[2009年]]（平成21年）度中間期決算時は10.78%）。事実上国有化されたりそなグループの中では唯一の優良行とされる。旧埼玉銀行が[[都市銀行]]であり、[[BANCS]]加盟であったことなどから、都市銀行扱いになるが、[[金融庁]]の銀行分類では「地域銀行/その他」に区分されている。他の都市銀行4行（[[みずほ銀行]]、[[三菱UFJ銀行]]、[[三井住友銀行]]、[[りそな銀行]]）が金融庁の直接の監督を受けるのに対し、当社は[[地方銀行]]と同様に[[関東財務局]]の監督を受ける&lt;ref&gt;{{CitewebformatPDFurlhttp://www.fsa.go.jp/menkyo/menkyoj/ginkou.pdfaccessdate2011-10-05title銀行免許一覧author[[金融庁]]}}&lt;/ref&gt;。りそなグループの他社と違い&lt;refgroup&quot;注&quot;&gt;他のりそなグループ各社は[[スタジオジブリ]]製作の「ひびきが丘物語」廃止後はキャラクターを使用していない。2013年7月に猫の「[[りそにゃ]]」がコミュニケーションビジュアルとして登場したが、通帳・カードには使用されていない。&lt;/ref&gt;、埼玉県のマスコット「[[コバトン]]」を現金用封筒や社員の名刺、及び[[生体認証]][[ICカードIC]][[キャッシュカード]]（個人顧客の「普通預金口座」に限って発行）などに使用している。
株式会社山陰合同銀行,[[島根県]]・[[鳥取県]]を基盤にしており、島根・鳥取両県と島根県内13市町（[[松江市]]・[[浜田市]]・[[益田市]]・[[大田市]]・[[江津市]]・[[雲南市]]・[[奥出雲町]]・[[川本町]]・[[美郷町(島根県)美郷町]]・[[津和野町]]・[[海士町]]・[[西ノ島町]]・[[隠岐の島町]]）および鳥取県内12市町村（[[米子市]]・[[倉吉市]]・[[境港市]]・[[三朝町]]・[[湯梨浜町]]・[[琴浦町]]・[[日吉津村]]・[[南部町(鳥取県)南部町]]・[[伯耆町]]・[[日南町]]・[[日野町(鳥取県)日野町]]・[[江府町]]）の[[指定金融機関]]を受託している。また、[[島根県庁]]と[[鳥取県庁]]にはそれぞれ、支店を配備している。[[中国地方]]内では、[[岡山県]]（[[岡山市]]・[[倉敷市]]・[[津山市]]・[[新見市]]）と[[広島県]]（[[広島市]]（[[中区(広島市)中区]]・[[安佐南区]]・[[佐伯区]]）・[[福山市]]）に複数の店舗を展開。地盤である山陰地区では、53%の貸出金シェアを占めるが人口減少と高齢化が著しく、資金需要は頭打ちの為、[[兵庫県兵庫]]地区を強化&lt;ref&gt;{{citenewstitle山陰合銀、兵庫で法人融資を拡大企業仲介や海外進出支援authoragencypublisher日本経済新聞date2014-3-12urlhttp://www.nikkei.com/article/DGXNZO68136290R10C14A3LC0000/accessdate2016-11-19}}&lt;/ref&gt;。2012年10月に開設した阪神北支店（[[川西市]]）を皮切りに法人営業に特化した「[[空中店舗]]」の出店を進め、営業担当職員を増やすなど、兵庫県内での攻勢を強化している。その他[[近畿地方関西]]には、[[大阪市]]に店舗を有し、山陰地方の銀行では唯一、[[東京都]]内に支店を持つ。島根県・鳥取県内の店舗の看板表記には「ごうぎん」と、岡山県などの山陰以外の店舗には「山陰合同銀行」と正式名称で表記されている。[[2015年]]2月、[[中国地区]]の地銀としては初の自行単独で証券子会社である「ごうぎん証券」を設立&lt;ref&gt;{{Citepresstitle証券子会社の設立に関するお知らせformatPDFdate2015-2-6accessdate2015-4-10publisher山陰合同銀行urlhttp://www.gogin.co.jp/about/press2014/topi14-107.pdf}}&lt;/ref&gt;。同10月から業務を開始した&lt;ref&gt;{{citenewstitle山陰合同銀、証券子会社設立authoragencypublisher日本経済新聞date2014-11-13urlhttp://www.nikkei.com/article/DGXLASFB13H07_T11C14A1EAF000/accessdate2015-4-10}}&lt;/ref&gt;&lt;ref&gt;{{citenewstitleごうぎん証券が開業鳥取、島根に4支店authoragencypublisher日本海新聞date2015-10-2urlhttp://www.nnn.co.jp/news/151002/20151002078.htmlaccessdate2015-10-9}}&lt;/ref&gt;。また同3月20日には、[[中国横断自動車道尾道松江線]]（通称：中国やまなみ街道）の全線開通を期し&lt;ref&gt;{{citenewstitle中国やまなみ街道、全線開通尾道—松江間が80分短縮authoragencypublisher朝日新聞デジタルdate2015-3-23urlhttp://www.asahi.com/articles/ASH3Q51T9H3QPITB003.htmlaccessdate2015-4-10}}&lt;/ref&gt;、[[広島銀行]]、[[伊予銀行]]とのATM利用手数料の平日日中帯無料化を開始。地域経済の活性化と顧客利便性の向上に努めて行きたいとしている&lt;ref&gt;{{Citepresstitle山陰合同銀行・広島銀行・伊予銀行3行共同企画「やまなみ・しまなみでつながる定期預金キャンペーン」の実施および「ATM利用手数料の相互無料化提携」の開始についてformatPDFdate2015-3-16accessdate2015-4-10publisher山陰合同銀行urlhttp://www.gogin.co.jp/about/press2014/topi14-117.pdf}}&lt;/ref&gt;。
株式会社静岡銀行,[[静岡市]][[葵区]]の本店（本社）のほか、本部機構を[[清水区]]に置く。通称は'''静銀'''（しずぎん）。[[静岡県]]・静岡市・[[浜松市]]の[[指定金融機関]]である&lt;refgroup&quot;注&quot;&gt;静岡市は[[清水銀行]]と隔年で指定金融機関を交替するため、西暦の奇数年度のみ。&lt;/ref&gt;。あわせて[[日本の銀行一覧邦銀]]トップレベルの盤石な財務体質から、トップレベルの[[信用格付け]]を取得している。[[自己資本比率]]は[[2012年]]（平成24年）3月末現在で17.49%と、[[三菱UFJフィナンシャル・グループ]]（14.91%）や[[みずほフィナンシャルグループ]]（15.50%）、[[三井住友フィナンシャルグループ]]（16.93%）を上回っている（いずれも数値は連結、国際基準による）。[[バブル景気バブル]]期に不動産・開発融資を自制したことや、経営のあらゆる局面において漫然とした取引を戒め、質素倹約を重んじる行風から通称をもじって揶揄的に'''「シブ銀」'''とも評される。静岡県以外や日本国外にも店舗展開しており、ニューヨーク、ブリュッセル、香港などに拠点を有する。[[三菱UFJ銀行]]の親密地銀である。その中でも、三菱UFJから見て特に重要度の高い銀行の情報交換・親睦が行われる火曜会のメンバー行である。[[2014年]]4月2日、[[マネックスグループ]]の株式を[[オリックス(企業)オリックス]]から取得した上で[[持ち分法適用会社]]としたほか&lt;ref&gt;{{citenewstitle静岡銀が資本業務提携ネット証券のマネックスとauthoragencypublisher共同通信date2014-4-2urlhttp://www.47news.jp/CN/201404/CN2014040201001534.htmlaccessdate2014-4-4}}&lt;/ref&gt;&lt;ref&gt;{{citenewstitleUPDATE1-静岡銀がマネックスの筆頭株主に、オリックスは全株売却authoragencypublisherロイターニュースdate2014-4-2urlhttp://jp.reuters.com/article/idJPL4N0MU21B20140402accessdate2014-4-4}}&lt;/ref&gt;&lt;ref&gt;{{Citewebdate2014-4-2urlhttp://www.shizuokabank.co.jp/pdf.php?id1905title株式会社静岡銀行とマネックスグループ株式会社の資本業務提携に関するお知らせformatPDFpublisher株式会社静岡銀行マネックスグループ株式会社accessdate2014-4-4}}&lt;/ref&gt;、翌15年10月21日には、コモンズ投信に3億円出資し、同様に持ち分法適用会社とした&lt;ref&gt;{{Citewebdate2015-10-1urlhttp://www.nikkei.com/article/DGXLASFS01H9S_R01C15A0EE8000/title静岡銀、コモンズ投信に3億円出資20%超の株主にpublisher日本経済新聞accessdate2015-10-14}}&lt;/ref&gt;&lt;ref&gt;{{Citepressdate2015-10-1urlhttp://www.commons30.jp/files/uploads/NewsRelease_shizuoka_20151001.pdftitle株式会社静岡銀行との資本業務提携についてpublisherコモンズ投信株式会社accessdate2015-10-14}}&lt;/ref&gt;。
株式会社ジャパンネット銀行,
株式会社セブン銀行,
株式会社関西アーバン銀行,[[2004年]][[2月1日]]に、[[関西銀行]]と、[[幸福銀行]]の[[営業譲渡営業を譲り受けた]][[関西さわやか銀行]]が[[合併(企業)合併]]し、関西アーバン銀行として発足。さらに2010年3月1日に[[滋賀県]]を地盤とする[[びわこ銀行]]と合併した。主に[[大阪府]]内や[[滋賀県]]内に店舗を構えている。駅前に隣接していない店舗を駅前近辺へ移転と他支店との統廃合するなどの合理化を図る一方、旧びわこ銀店舗を中心に店舗改装を行っている。[[2018年]]4月、[[りそなホールディングス]]の子会社で[[三井住友フィナンシャルグループ]]の関連会社となる関西みらいフィナンシャルグループと[[株式交換]]を行い、[[近畿大阪銀行]]・[[みなと銀行]]の2行と経営統合した。また関西アーバンと近畿大阪の両行は[[2019年]]4月、合併をし[[関西みらい銀行]]が設立された&lt;ref&gt;{{Citewebtitle関西みらい銀行発足「銀行の在り方問われている」urlhttps://www.sankei.com/west/news/190401/wst1904010007-n1.htmlwebsite産経ニュースdate2019-04-01accessdate2019-04-25languagejafirstSANKEIDIGITALlastINC}}&lt;/ref&gt;&lt;ref&gt;{{Citewebtitle「関西みらい銀行」が発足、地銀２行合併で：朝日新聞デジタルurlhttps://www.asahi.com/articles/ASM4132K4M41PLFA001.htmlwebsite朝日新聞デジタルaccessdate2019-04-25languageja}}&lt;/ref&gt;。
スルガ銀行株式会社,[[1887年]]（明治20年）に岡野喜太郎が結成した共同社を前身として、[[1895年]]（明治28年）に設立された。「スルガ銀行」の表記は、同行の商号が'''株式会社駿河銀行'''であった[[1990年]]（平成2年）から使用し、[[2004年]]（平成16年）に正式に商号とした。[[ネットバンキング]]への着目や他業態との提携など、耳目を引く個性的な営業戦略を次々と打ち出し、ネット支店を開設した[[2000年]]（平成12年）前後には、株価が一時2590円と[[バブル景気バブル期]]をはるかに超える高値で取引されたが、2018年に1兆円を超える不適切融資が発覚すると、株価は620円まで下がり[[ストップ安]]となった。
株式会社みずほコーポレート銀行,[[2002年]]、当時のみずほホールディングス傘下でみずほフィナンシャルグループを形成していた'''[[第一勧業銀行]]'''・'''[[富士銀行]]'''・'''[[日本興業銀行]]'''の[[会社分割分割]]・[[合併(企業)合併]]により誕生した。法手続き上、先にコンシューマー事業を[[みずほ統合準備銀行]]に分割した日本興業銀行を富士銀行が吸収合併するとともに、第一勧業銀行のコーポレート事業を分割して富士銀行が[[吸収分割]]で継承し、富士銀行のコンシューマー事業を第一勧業銀行に吸収分割で継承させたうえで、商号を株式会社富士銀行から株式会社みずほコーポレート銀行に変更した。事業のベースはその規模やノウハウなどから旧興銀にある。[[本店]]も興銀の本店（[[みずほコーポレート銀行ビル]]）をそのまま使用しており、[[勘定系システム]]も興銀のITISをベースとしたシステムを継続して使用しており、第一勧銀のシステムを使用していた当時の[[みずほ銀行]]のシステムとは異なっていた（ただし、当初の予定では、本店所在地を[[みずほ銀行内幸町本部ビル第一勧銀の本店ビル]]を予定していた）。法人格で興銀ではなく富士銀行を承継したのは、興銀が[[長期信用銀行法]]にもとづく[[長期信用銀行]]、富士銀行が[[銀行法]]にもとづく銀行（いわゆる[[普通銀行]]）であったために、みずほコーポレート銀行が普通銀行であるための合理的選択肢である（したがって、興銀を存続会社にしていた場合とは異なり「普通銀行への転換」は要さなかった）。そのような経緯から、金融機関コードは、富士銀行が使用していた0003に代えて、新たに0016を付与するという例外的な対応となった。[[キャッチコピーブランドスローガン]]は「YourGlobalFinancialPartner」。[[2013年]]7月1日に、第一勧銀を前身とする当時のみずほ銀行を、富士銀行・日本興業銀行を前身とするみずほコーポレート銀行が吸収合併し、それと同時に行名を'''株式会社[[みずほ銀行]]'''に変更した。このため、現在のみずほ銀行の直接の前身は、この「みずほコーポレート銀行」・日本興業銀行・富士銀行となっている。
