TFK株式会社,[[1966年]]（昭和41年）1月に、[[武井保雄]]によって創業された富士商事が前身である。団地金融をきっかけとして高利貸しをしていき、[[芸能人]]を多用した[[テレビ]][[コマーシャルメッセージCM]]の大量出稿や[[ル・マン24時間レース]]へのスポンサーなどで注目を集めるなど、「[[サラ金]]」に対するイメージ向上戦略などを行い、創業者である武井が一代で消費者金融業界のトップの座まで築きあげた。しかし、経営方針や体質を批判されることも多く、そのような批判を行った出版社やフリーライターに対して[[名誉毀損]]訴訟を起こすこともあったが、複数のケースで敗訴している&lt;ref&gt;三宅勝久『武富士追及言論弾圧裁判1000日の闘い』リム出版新社2005年ISBN489800170X、北健一『武富士対言論暴走する名誉毀損訴訟』花伝社2005年ISBN4763404369&lt;/ref&gt;。さらに、[[2003年]]（平成15年）12月には、同社を批判する[[ジャーナリスト宅盗聴事件]]で武井会長が逮捕され、[[懲役]]3年・[[執行猶予]]4年の有罪判決を受けたために、同社会長を辞任した&lt;refname&quot;asahi20031208&quot;&gt;「[http://www.asahi.com/special/takefuji/TKY200312080210.html武井容疑者が武富士会長を退任]」[[asahi.com]]、2003年12月8日。&lt;/ref&gt;&lt;ref&gt;「[http://sankei.jp.msn.com/economy/finance/100927/fnc1009272322024-n1.htm【武富士破綻】“武井商店”私物化のツケ独立路線で孤立、支援なく]」[[MSN産経ニュース]]、2010年9月27日。&lt;/ref&gt;。
アコム株式会社,
オリックス株式会社,[[1964年]][[4月17日]]、日綿実業（現[[双日]]）と[[三和銀行]]（[[UFJ銀行]]を経て、現[[三菱UFJ銀行]]）を主体に、日本で2社目のリース会社、'''オリエント・リース株式会社'''として[[大阪府]][[大阪市]]にて設立された&lt;ref&gt;日本のリース会社としては前年8月に[[日本リース]]（経営破綻により消滅したが、一部部門は他社によって買収されている）が創業している&lt;/ref&gt;。資本金1億円、社員13人、初代社長は[[福井慶三]]であった。1969年10月に株式額面変更目的での[[合併(企業)合併]]を経て、1970年4月1日に[[大阪証券取引所]]第二部[[株式公開上場]]（証券コード：8591）、1971年4月10日に[[東京証券取引所]]第二部上場、1972年3月に[[名古屋証券取引所]]第二部上場。1973年2月1日には、東京・大阪・名古屋証券取引所第一部に指定替えされた。1986年以降、他企業の買収による事業の多角化（リース部門だけでなく信託銀行・保険・証券・消費者金融）が活発となる。1988年10月、阪急ブレーブスを買収し[[日本プロ野球プロ野球]]界に参入。1989年4月1日、[[コーポレートアイデンティティCI]]導入により、商号をオリエント・リース株式会社から'''オリックス株式会社'''に変更した。1998年9月16日には[[ニューヨーク証券取引所]]に上場を果たす。[[ティッカーシンボル]]はIX、日本の金融業としては[[三菱UFJフィナンシャル・グループ]]（当時：[[三菱銀行]]）に次いで2番目であった。2004年10月、[[名古屋証券取引所]]第一部上場廃止。2009年5月29日、オリックスグループ（CPI2008投資事業組合）傘下（持株比率39.2%）の不動産業者[[ジョイント・コーポレーション]]が[[会社更生法]]を申請した、とリリースされた。&lt;!--2010年12月14日に井上亮取締役兼執行役副社長が社長に昇格する人事を発表した。[[梁瀬行雄]]社長は取締役兼執行役副会長に就き、グループ最高経営責任者（CEO）の[[宮内義彦]]会長は続投する。←この回の人事のみ詳細を記載するのは、今POV（ウィキペディア記事作成後の出来事ばかり詳しく、過去の出来事についてインターネットですら調べて加筆することがなされないという問題）。重要事項ではあるが、これを記載するなら、過去の全社長交代についても書いてあるべき。--~~~~--&gt;2014年6月24日、[[宮内義彦]]が当時の役職である取締役兼代表執行役会長・グループCEOを退任。新たにシニア・チェアマンに就任したが、1980年12月の社長就任以来担ってきた経営の第一線から退くこととなった。
ダイナースクラブインターナショナル,[[ファイル:Red_panda_fuuta.jpgthumb300x300px小動物ゾーンの動物（レッサーパンダ、「風太」）代替文]]千葉市都市局公園緑地部が運営する。公園面積339722[[平方メートル]]。飼育動物数は149種701点（2004年12月末現在）、哺乳類67種389点、鳥類76種287点、爬虫類5種24点、両生類1種1点を飼育している。[[都市部]]にあり脱走すると危険なことから、猛獣をなるべく避け、小動物・[[草食動物]]・[[鳥類]]などの動物を飼育する傾向にある。[[1991年]]から[[2014年]]まで、[[遊園地]]の「ドリームワールド」を併設していた。
株式会社エムアイカード,[[伊勢丹]]や[[三越]]など、三越伊勢丹グループの百貨店と提携して、「[[#伊勢丹アイカード伊勢丹アイカード]]」「[[#三越MCARD三越エムカード]]」「[[#MICARD（エムアイカード）エムアイカード]]」などの発行業務を中心に行っている。かつては同じく三越伊勢丹グループの[[丸井今井]]と提携した「[[#クレオクラブ・アイカードクレオクラブ・アイカード]]」を発行していたが、現在はエムアイカードに統合されている。また、グループ外では「[[名鉄百貨店]]アイカード」の発行も行っていた。三越だけの地域は『三越Ｍカード』、伊勢丹だけの地域は『伊勢丹Ｉカード』、三越・伊勢丹の両方が出店している地域は『エムアイカード』を発行している。2018年5月に百貨店発行の三越Ｍカード、伊勢丹Iカード、エムアイカードは新カードのエムアイカードプラスに統一され、現在は、百貨店の全店でエムアイカードプラスの発行となっている。三越伊勢丹グループの百貨店・中小型店では、三越Ｍカードと伊勢丹Ｉカード、エムアイカード、エムアイカードプラスなどのエムアイカード発行のすべてが自社クレジット扱いとなっており、暖簾をまたいだ相互利用ができる。
株式会社ビューカード,[[1992年]][[10月16日]]に、JR東日本にカード事業部が発足し、翌[[1993年]][[2月2日]]に、クレジットカード「ビューカード」の発行が開始された&lt;refname&quot;交通2001&quot;&gt;{{CitenewstitleJR7社14年のあゆみnewspaper[[交通新聞]]publisher交通新聞社date2001-04-02page9}}&lt;/ref&gt;。当初は、JR東日本本体が発行していた。しかし、経営環境が厳しくなった事から、収益力や競争力の強化を目的として、クレジットカード事業を子会社化。[[2009年]][[10月1日]]に、JR東日本の完全子会社として、株式会社ビューカードを設立。[[2010年]][[2月1日]]に、JR東日本が[[会社分割]]（吸収分割）を行い、株式会社ビューカードがJR東日本からクレジットカードに関する事業を承継した&lt;ref&gt;{{Citeweburlhttp://www.jreast.co.jp/press/2009/20091214.pdftitleクレジットカード事業の子会社への承継に係る吸収分割契約の締結についてformatPDFlanguage日本語accessdate2009-12-19}}&lt;/ref&gt;。クレジットカードの審査業務は[[キュービタス]]に[[業務委託]]している。なお、日本の鉄道事業者のうち、国際ブランドのクレジットカードを自社で発行したことがあるのはJR東日本の他には[[西日本旅客鉄道JR西日本]]と[[小田急電鉄]]のみである。JR西日本と小田急電鉄は、2019年4月現在でも自社でカードを発行している。
株式会社クオーク,スタントは大まかにボディースタントと[[カーアクションカースタント]]とに分かれており、カースタントを行う人物については[[スタントドライバー]]と呼ばれスタント・パーソンとはまた違った技能を持つ。ボディースタントではスタント・パーソン本人がドラマの主要人物と戦う格闘シーンや爆破落下などの場面で[[モブキャラクター]]として出演することが多い。他の大きな役割としては、危険な動きや複雑高度な動きを俳優の代理として顔が見えない形で演じることもあり、その場合は'''スタントダブル'''（古くは'''替え玉'''とも[[吹き替え#映画における「吹き替え」の歴史吹き替え]]とも称した）と呼称される&lt;ref&gt;{{Citeweburlhttp://qola-la.com/articles/393/title世界を股にかけて活躍するエンターテイナーたち〜映画編〜スタントマン南博男氏publisherqola-la.comaccessdate2015-04-22archiveurlhttps://archive.is/20150422062133/http://qola-la.com/articles/393/archivedate2015年4月22日deadurlnodeadurldate2017年9月}}&lt;/ref&gt;&lt;refgroup&quot;注&quot;&gt;「替え玉」は、一人二役を演じる際、両方が同時に画面に映る場合の代演者なども指す。声の「吹き替え」については[[吹き替え#「声の吹き替え」の歴史吹き替え]]を参照。&lt;/ref&gt;。女優についてはスタントウーマンが担当するが、以前はその数が圧倒的に少なかったため、男性が女性用[[かつら(装身具)ウィッグ]]をつけ同じ衣裳を着て吹き替えをすることが多く、現在でも現場によってそういったケースがある。また、このスタントダブルから派生し日本で特に発達した役柄として、[[特撮]]ヒーロー番組などで着ぐるみを着用し戦闘アクションを担当する[[スーツアクター]]もある。どの国でも危険なシーンを演じるというのは同じであるが、歴史としてはアメリカが主に[[西部劇]]においてハードな乗馬アクションをこなす際の特殊技能や安全装置の開発から始まったのに対し&lt;ref&gt;{{Citeweburlhttp://www.lonepinefilmhistorymuseum.org/index.php?optioncom_content&amp;viewarticle&amp;id288&amp;Itemid73titleStuntmen&amp;WomenpublisherLonePineFilmHistoryMuseumaccessdate2015-4-20}}&lt;/ref&gt;、日本では[[チャンバラ映画]]における[[殺陣]]での斬られ役&lt;ref&gt;{{Citeweburlhttp://www.kyoto-np.co.jp/kp/koto/gekijyou/part2-1.htmltitle劇空間キョウト第2部一芸で食らうpublisher京都新聞accessdate2015-04-20archiveurlhttps://archive.is/20150420150218/http://www.kyoto-np.co.jp/kp/koto/gekijyou/part2-1.htmlarchivedate2015年4月20日deadurlnodeadurldate2017年9月}}&lt;/ref&gt;、香港の[[武侠映画]]や[[カンフー映画]]ではやられ役&lt;ref&gt;{{Citeweburlhttp://paper.wenweipo.com/2010/02/23/OT1002230004.htmtitle點將台：電影業萎縮下的犧牲品──龍虎武師publisher香港文匯報accessdate2010-02-23archiveurlhttps://archive.is/20150420151003/http://paper.wenweipo.com/2010/02/23/OT1002230004.htmarchivedate2015年4月20日deadurlnodeadurldate2017年9月}}&lt;/ref&gt;といった[[リアクション]]を重んじる形で発展してきた役割であった&lt;ref&gt;{{Citebookauthorドニー・イェンyear2005titleドニー・イェンアクション・ブックpublisherキネマ旬報社idISBN978-4873762593pages137-138}}&lt;/ref&gt;。{class&quot;wikitable&quot;-!width35%日本!width20%香港!width35%アメリカ-スタントマン、スタントウーマン武師{{仮リンクStuntperformerenStuntperformer&lt;!--[[:ja:スタント・パーソン]]とリンク--&gt;FIXME1}}&lt;br/&gt;（スタント・パフォーマー）&lt;br/&gt;Stuntperson&lt;br/&gt;（スタント・パーソン）&lt;br/&gt;StuntmanStuntwoman&lt;br/&gt;（スタントマン、スタントウーマン）-吹き替え、替え玉&lt;br/&gt;スタントダブル&lt;br/&gt;スーツアクター替身&lt;br/&gt;替身&lt;br/&gt;皮套演員{{仮リンクStuntdoubleenStuntdouble}}&lt;br/&gt;（スタント・ダブル）}アクション撮影においては、スタント・パーソンの上に[[殺陣師]]や[[スタントコーディネーター]]、香港や日本の現場によっては[[アクション監督]]といった立場のスタッフがいるが&lt;ref&gt;{{Citeweburlhttp://life.sinchew.com.my/node/16152?tid46title跳樓爆破被車撞打架龍虎武師向高難度挑戰publisher世華多媒體accessdate2015-04-20archiveurlhttps://archive.is/20150420151656/http://life.sinchew.com.my/node/16152?tid46archivedate2015年4月20日deadurlnodeadurldate2017年9月}}&lt;/ref&gt;&lt;ref&gt;{{Citebookauthor谷垣健治year2013titleアクション映画バカ一代publisher洋泉社idISBN9784800301024pages2-4}}&lt;/ref&gt;、それらのほとんどはキャリアの初めにスタント・パーソンとして活動した経験を持つ者である。
株式会社アプラスフィナンシャル,[[1956年]]10月、東京の[[NICOS日本信用販売]]（現[[三菱UFJニコス]]）から分社して大阪信用販売株式会社として発足。[[1978年]]に株式会社大信販（だいしんぱん）に、[[1992年]]には株式会社'''アプラス'''へ社名変更した。[[2004年]]までは[[UFJ銀行]]（旧[[三和銀行]]）の系列であり[[三和グループ]]の所属企業で設立された[[みどり会]]のメンバーだったが&lt;ref&gt;[https://web.archive.org/web/20000510211428/http://www.midorikai.co.jp/member.html2000年5月10日現在のみどり会のメンバー会社一覧]&lt;/ref&gt;、同年9月に[[新生銀行]]の[[子会社]]となり&lt;ref&gt;{{PDFlink[http://www.aplus.co.jp/news/greeting.pdf新生銀行との全面提携について]}}（平成16年9月）&lt;/ref&gt;、同行グループの[[リテール]]・ノンバンクの中核企業になる。2010年4月1日に、住宅ローンの信用保証を除く殆どの事業を[[会社分割]]により新設子会社の株式会社'''[[アプラス]]'''と株式会社[[アプラスパーソナルローン]]（ローンカード・証書貸付など消費者金融部門）に[[吸収分割]]させ、社名を'''アプラスフィナンシャル'''へ変更する。2010年12月28日、親会社である新生銀行が保有の普通株式全てを、新生銀行連結子会社の[[新生フィナンシャル]]へ譲渡した&lt;ref&gt;[http://www.aplusfinancial.co.jp/news/ir2010/ap20101220.pdf親会社の異動ならびに主要株主である筆頭株主の異動に関するお知らせ]&lt;/ref&gt;。これは新生銀行の連結子会社である当社業績による新生銀行における財務上の影響（保有株式の株価低迷による[[減損]]処理）を回避する為に実施されたものである。新生銀行は2011年現在、[[優先株]]で2010年3月期決算の無配により生じた[[議決権]]のみ保有している。
三洋信販株式会社,高知市から吾川郡いの町にかけて横断する路線。はりまや橋-鏡川橋間の市街地区間、鴨部-朝倉駅前間、伊野駅前-伊野間は[[併用軌道]]、その他は[[専用軌道]]である。鏡川橋-伊野間は単線で、途中3箇所に電車が行き違いを行う[[列車交換交換]]設備がある。はりまや橋方面から伊野まで向かう在来型電車の先頭部には、菱形赤地板に「いの」、朝倉行きには同様の形状の紺地の板に「朝倉高知大学前」、桟橋線高知駅前直通便は菱形赤地板に「高知駅←直通便→県庁前方面」と書かれた[[行先標方向板]]が掲げられる。2003年末頃までに車両の行き先表示が一部を除きLED化されたが、その後も方向板を掲示していることが多い。朝倉行きはかつて「朝倉」のみであったが、2006年に「高知大学前」の副名称が設定され現在の方向板に変わっている。同様にかつては後免線から上町五丁目で折り返す電車も菱形青地に「五丁目」と書かれた方向板が掲げられていた。なお、日本で路面電車が[[郡]]部に乗り入れるのは当路線のみである。
イオンクレジットサービス株式会社,初代法人ではクレジットカードの発行も行っており、包括信用購入あっせん、個別信用購入あっせん、融資も行う流通系クレジットカード会社であったが、事業再編の際にクレジットカード発行そのものはイオン銀行に移管され、現法人はクレジットカードに関しては[[プロセシング]]事業および[[サービサー]]事業に特化した形となっている。2017年には、[[イオン銀行]]直営だった[[インストアブランチ]]の拠点の運営を譲受され、既存の受託拠点と併せて、同行すべてのインストアブランチの拠点を当社が[[銀行代理店]]として受託する体制となっている。
