広島空港ビルディング株式会社,旧岡山空港は岡山市南部に開設され、1200mの滑走路を有していたが、地形的に[[滑走路]]が延長できずジェット化が不可能であった。このため[[1988年]]に、新たに2000mの滑走路を有する空港として現在地に開港した&lt;refname&quot;abe&quot;&gt;{{Citejournal和書author阿部宏史author2谷口守author3中川拓哉title地方空港・東京線の運行ダイヤ改善が空路利用促進に及ぼす効果date2001publisher土木学会journal土木計画学研究・論文集volume18doi10.2208/journalip.18.653pages653-659ref}}&lt;/ref&gt;。その後滑走路は更に延長され、3000mの滑走路を有する空港となった。旧岡山空港は[[岡南飛行場]]へと名前を変更し、[[セスナ]]機など小型機専用の空港として存続している。東京便が[[新幹線]]との競争力のある距離であり&lt;ref&gt;競合状況については[[山陽新幹線#東京-山陽各県]]を参照。&lt;/ref&gt;、利用客の[[駐車場]]を無料にするなどの利用策を採っている&lt;refgroup&quot;注&quot;&gt;第1駐車場をのぞく&lt;/ref&gt;。年間利用客数は、国内1197034人、国際157476人（2014年度）&lt;refname&quot;report&quot;&gt;{{Citepressreleasetitle管内空港の利用状況概況集計表（平成26年度速報値）publisher国土交通省大阪航空局dateurlhttp://ocab.mlit.go.jp/about/total/report/pdf/h26syuukei.pdfformatPDFaccessdate}}&lt;/ref&gt;。2008（平成20）年度では123万1000人で、滑走路拡張にあたって1997（平成9）年度に岡山県が2011（平成23）年度の予測値とした121万3000人を1万8000人上回り、新設・拡張時の[[需要予測]]を超えた数少ない事例とされている&lt;ref&gt;{{Citenewstitle岡山空港、需要予測上回る利用しやすく1万8000人分newspaper[[読売新聞]]date2010-3-10at大阪版}}&lt;/ref&gt;。なお、実際の2011年度の利用者数は予測から6万人近く上回る127万人であった&lt;ref&gt;{{Citepressreleasetitle平成23年度岡山空港利用実績についてpublisher岡山県航空企画推進課date2012-4-13urlhttp://www.pref.okayama.jp/uploaded/life/7713_968889_misc.pdfformatPDFaccessdate}}&lt;/ref&gt;。国内線は[[東日本大震災]]の影響で微減であったが、国際線が好調だったことで前年を上回っている。[[保税地域FAZ]]（輸入促進地域）にも指定されており、[[航空貨物]]ターミナルも整備し、旅客だけでなく、航空物流の活性化を図っている。2014年（平成26年）3月30日に日本航空、同年10月26日に全日空がそれぞれ1往復増便して両社6往復となり、東京線は開港以来最多となる12往復となった。しかし、2015年（平成27年）10月の秋ダイヤでは日本航空・全日空両社ともに各1往復減便することとなり東京線は10往復に戻っている。
岳南鉄道株式会社,静岡県富士市を中心とした、静岡県東部地域を主な事業エリアとしており、現在の主力事業は不動産業である。ただし、子会社を含めた岳南鉄道グループで見た場合の主力部門は[[表富士観光]]の運営する[[ゴルフ場]]事業となっており、売上高基準で見た場合には当社の3倍強を誇っている&lt;refname&quot;yuka15&quot;&gt;2015年3月期の有価証券報告書より&lt;/ref&gt;。[[#連結子会社]]にて詳述。「鉄道」と名があるとおり、かつては陸運業として[[鉄道事業者鉄道事業]]（[[岳南電車岳南線岳南線]]）および[[バス(交通機関)バス事業]]（[[乗合バス乗合]]・[[貸切バス貸切]]）も行っていたが、バス事業については[[1998年]]（平成10年）4月に富士急グループの[[富士急静岡バス]]に移管し、鉄道事業についても[[貨物列車貨物輸送]]の廃止に伴い収益が悪くなったことを受け[[2013年]]（平成25年）4月に新たに設立した子会社の[[岳南電車]]に移管した&lt;refname&quot;nikkei20130127&quot;&gt;{{Cite_newstitle岳南鉄道、鉄道事業を分割し４月子会社設立newspaper[[日本経済新聞]]date2013-01-25urlhttp://www.nikkei.com/article/DGXNZO50949390U3A120C1L61000/accessdate2013-01-27}}&lt;/ref&gt;。&lt;!--[[本広克行]]監督の2015年2月28日に公開された映画『[[幕が上がる]]』では、車両、プラットフォームおよび路線で随所でロケが敢行された。岳南電車移管後の為本記事とは直接の関係がない--&gt;
東亜リアルエステート株式会社,沿革的には[[イギリス]]や[[アメリカ合衆国アメリカ]]の宣告猶予制度から発生したもので[[ヨーロッパ]]の大陸諸国に継受された{{Sfn大塚仁2008p572}}。ただし、イギリスやアメリカでは刑の宣告を猶予する制度として発展したのに対し、大陸諸国ではあくまでも刑は宣告した上でその執行を猶予する制度として発展した{{Sfn大塚仁2008p573}}。執行猶予制度の趣旨は刑事政策の見地から短期自由刑の執行や前科がつくことによってもたらされる弊害を回避しつつ、犯人に対し執行猶予の取消しにより刑が執行される可能性を警告するもので、これにより犯人の善行の保持や再犯の防止を図ろうとする点にある{{Sfn大塚仁2008p572}}。
三井不動産商業マネジメント株式会社,[[日韓併合]]後の[[朝鮮半島]]に[[朴成彬]]と[[白南義]]の末っ子として生まれる。朝鮮名では'''朴正煕'''、日本名では'''高木正雄'''と名乗った&lt;refname&quot;joins20040825&quot;/&gt;。[[慶北大学校大邱師範学校]]経て学校教師を務めていたが、やがて[[軍人]]を志して同じく日本の影響下にあった[[満州国]][[満州国陸軍軍官学校陸軍軍官学校]]（士官学校）に志願入隊する。卒業後は成績優秀者が選抜される[[日本]]の[[陸軍士官学校(日本)陸軍士官学校]]への留学生となり、第57期生として日本式の士官教育を受ける。帰国後は満州軍第8団（連隊）[[副官]]として八路軍や[[ソ連対日参戦対日参戦]]したソ連軍との戦闘に加わり、[[内モンゴル自治区]]で終戦を迎えた。第二次世界大戦後、中国の北京に設置されていた[[大韓民国臨時政府]]（朝鮮系住民による独立組織）に加わり、朝鮮半島の南北分離時は南部の[[大韓民国]]を支持して国防警備隊の大尉となった。国防警備隊が韓国国軍に再編された後も従軍を続け、朝鮮戦争終結時には陸軍大佐にまで昇進、1959年には陸軍少将・第2軍副司令官の重職に就いた。一方、内戦を終えた韓国内では議会の混乱によって一向に復興や工業化などが進まず、また軍内の腐敗も深刻化していた。これらの状態に対して軍の将官・将校・士官らの改革派を率いてクーデターを決行し軍事政権（[[国家再建最高会議]]）を成立させた（[[5・16軍事クーデター]]）。形式的な民政移行が行われた後も実権を握り続け、自身の政党である民主共和党による事実上の独裁体制を形成し、第5代から第9代[[大統領(大韓民国)大韓民国大統領]]（在任：[[1963年]]-1979年）と大統領任期を5期に亘って務め、[[権威主義権威主義体制]]による[[開発独裁]]を推し進めた。&lt;ref&gt;朝鮮人物事典262頁&lt;/ref&gt;独裁政権下では日本の[[佐藤栄作]][[内閣総理大臣]]との間で[[日本国と大韓民国との間の基本関係に関する条約日韓基本条約]]を批准して日韓両国の[[国交]]を正常化し、更に[[アメリカ合衆国]]の[[リンドン・ジョンソン]][[アメリカ合衆国大統領大統領]]の要請を受けて[[1964年]]に[[ベトナム戦争#韓国軍・SEATO連合軍の参戦ベトナム戦争に韓国軍を派兵]]した。日米両国の経済支援を得て「[[漢江の奇跡]]」と呼ばれる[[高度経済成長]]を達成した。大韓民国は[[1960年代]]から[[1970年代]]にかけての朴正煕執政下の高度経済成長により、[[1970年]]頃まで経済的に劣位であった同じ[[朝鮮民族]]の[[分断国家]]、[[朝鮮民主主義人民共和国]]（北朝鮮）を経済的に追い越し、[[後発開発途上国最貧国]]グループから脱した。一方で統制的な軍事政権下では民主化などの運動は徹底して弾圧され、人権上問題のある拷問や政治犯の投獄なども行われた。また対外政策においても[[アメリカ]]との強固な同盟関係を作り出した[[ベトナム戦争]]において、米軍同様に虐殺や戦争犯罪に関与させる結果となり、[[ベトナム]]との外交関係は悪化した。また日本との友好姿勢も[[韓国の民族主義国内の民族主義]]（[[左派ナショナリズム]]）から敵視される背景となった。政権後半には単独での[[核兵器核武装]]などの自主国防路線や、日本に滞在していた民主化活動家の[[金大中]]を諜報機関（[[大韓民国中央情報部KCIA]]）により[[拉致]]し国家[[主権]]を侵害する（[[金大中事件金大中拉致事件]]）など強硬な政策を進めた。[[1979年]][[10月26日]]、大規模な民主化デモの鎮圧を命じた直後、側近である[[金載圭]]情報長官により暗殺された。[[享年]]61。
株式会社サンシャインシティ,サンシャインシティは[[池袋]]の[[ランドマーク]]的役割を果たしている。[[1958年]]、[[首都圏整備計画]]に沿って[[閣議]]において東京拘置所の移転が決定されるが、東京都の財政難や移転先の用地難などから計画の進捗は滞っていた&lt;refnamesaison&gt;『セゾンの歴史上巻変革のダイナミズム』p.285&lt;/ref&gt;。その後[[1964年]]10月に開催される[[1964年東京オリンピック東京オリンピック]]を控え、池袋の再開発計画も俎上に載り、[[副都心]]計画（TKプラン）は、民間事業とした上で児童センターを核として事業を進展させることとなった。また事業の推進にあたっては[[西武百貨店]]が実務の中心を担うことも決定し、計画の具体化が進められた&lt;refnamesaison/&gt;。1964年1月には、副都心建設を目的とする[[デベロッパー]]会社を設立する発起人会が経済界有志によって結成され、さらに[[1966年]]度予算において、5ヵ年計画で国庫債務負担を認められたことを受け、同年10月、開発母体となる新都市開発センター（現：サンシャインシティ）が設立された&lt;ref&gt;『セゾンの歴史上巻変革のダイナミズム』p.286&lt;/ref&gt;。同社の設立にあたっては、[[堤清二]]が[[財界]]首脳や[[丸の内]]の大手企業を訪問し[[出資]]を要請したほか、拘置所の移転運動においても堤が軸となり活動を推進した&lt;refnamemitsubishi&gt;『セゾンの歴史下巻変革のダイナミズム』p.54&lt;/ref&gt;。また、[[三菱地所]]と共に[[西武流通グループ]]が最大の出資者として名を連ねた&lt;refnameoil&gt;『セゾンの歴史下巻変革のダイナミズム』p.56&lt;/ref&gt;。[[1973年]]7月、サンシャインシティは建設を着工するが直後に[[オイルショック]]に遭遇し工費が倍増するなど紆余曲折を経ながらも&lt;refnamemitsubishi/&gt;、1978年4月6日に[[サンシャイン60]]が竣工し、展望台のオープンとオフィス・テナントの入居を開始し、約半年後の[[10月5日]]にプリンスホテルを除く全館が竣工しグランドオープン（街開き）を迎えた。&lt;!--グランドオープンした1978年10月5日時点では、プリンスホテルはまだ建設中だった。なお、グランドオープンに先だってサンシャインシティの竣工式が1978年(昭和53年)10月4日に執り行われた--&gt;開業当初は[[池袋駅]]から離れて立地していることからテナント誘致に苦戦し、サンシャイン60が入居率100%を超えるまでは4年ほど歳月を要した&lt;refnameasahi20161119&gt;{{citenewstitle街池袋…城北の副都心の街(3)authoragencypublisher朝日新聞デジタルdate2015-11-19urlhttp://www.asahi.com/area/tokyo/articles/MTW20151119131190001.htmlaccessdate2016-6-10}}&lt;/ref&gt;。サンシャインシティは[[超高層建築物超高層ビル]]としては展望台の高さ都内一のサンシャイン60を中心に、複数のビルや地下街・専門店街で構成される。オフィスや専門店街を中心とする商業施設、ホテル（プリンスホテル）にとどまらず、[[サンシャイン水族館水族館]]、[[ナムコ・ナンジャタウンナンジャタウン]]や[[J-WORLDTOKYO]]といった屋内型[[テーマパーク]]、[[プラネタリウム]]、劇場などのレジャー施設、[[コンベンションホール]]、さらにサンシャインシティ噴水広場をイベント会場にして、多くのタレントを招致しているほか&lt;refnameasahi20161119/&gt;、[[マンション]]まで擁する[[日本]]初の複合都市施設である。[[2007年]]までの15年間、毎年約'''3千万人'''が来場している。[[2008年]]2月から同年3月にかけ、それまでサンシャインシティの[[筆頭株主]]で[[持分法適用会社]]としていた三菱地所が、協業体制の強化を図るべく、サンシャインシティの[[株式公開買付け]]（TOB）を実施。株の59.59%を取得した。これによって同年3月25日に三菱地所の連結子会社とされた。また主要[[株主]]の一社であった[[西武鉄道]]は&lt;ref&gt;[http://web.archive.org/web/20040406095321/http://www.sunshinecity.co.jp/company/corp_stock.htmlサンシャインシティ主な株主一覧（2003年度）]&lt;/ref&gt;、TOBに応募したため株主を外れている。サンシャインシティはサンシャイン60・プリンスホテル・ワールドインポートマート・文化会館・専門店街アルパの5つのエリアに分かれており、エリアごとにシンボルカラーが制定されている。エリアごとのシンボルカラーは、館内の案内表示板や地下[[駐車場]]内の駐車位置の目印になる柱番号表示などに使用されている。[[キャッチコピー]]は、「なんか面白いこと、ある。」サンシャイン60開業35周年の[[2013年]]上半期には「おかげ様で35周年。」が加わった。かつては[[セゾングループ]]構成企業が18層を賃借しサンシャイン60に本社を置いていた&lt;ref&gt;『セゾンの歴史下巻変革のダイナミズム』p.57&lt;/ref&gt;。現在も[[クレディセゾン]]、[[ファミリーマート]]など一部の旧グループ企業は引き続きサンシャイン60に本社を置く。また、[[埼玉西武ライオンズ西武ライオンズ（現チーム名：埼玉西武ライオンズ）]]は、サンシャインシティに球団事務所を構えていたが、1986年に[[所沢市]]の[[西武ドーム西武球場（現：西武ドーム）]]内に移転している。
ダイア建設名古屋株式会社,全国42都道府県に2000棟以上の供給実績のある「ダイアパレス（DIAPALACE）」ブランドの[[マンション]]分譲事業のほか、「ダイアコート」ブランドの戸建分譲事業を手がけていた。黎明期は「ダイヤモンド建設」の社名であったが、「[[ダイヤモンド]]（''Diamond''）」を商標・商号として用いる[[三菱グループ]]との関連はない。[[2003年]]（[[平成]]15年）に[[産業再生機構]]の支援第一号となり、[[レオパレス21]]の傘下となった。その後、[[2008年]]（[[平成]]20年）[[12月]]に民事再生法を申請。それに伴う再生計画の認可を受け、[[大和地所]]の完全子会社となる。大和地所グループ内の事業再編により、[[2014年]]（平成26年）に[[名古屋市名古屋]]・[[新潟県新潟]]地区の事業を分社化の上で大和地所と[[合併]]した。[[首都圏_(日本)首都圏]]における住宅分譲事業は、同じく大和地所傘下で、日本綜合地所から[[2015年]]（平成27年）4月に商号変更した[[大和地所レジデンス]]が担うかたちとなる。
青森空港ビル株式会社,松下電器産業（現：パナソニック）は、[[1977年]]6月にVHS方式の[[ビデオテープレコーダビデオデッキ]]を初めて発売した。「マックロード」とは、その時に命名されたブランドである。安価な価格など当時としては画期的な点が多数あり、大ヒットした。世界で初めて3倍モードを搭載したり、独自のバーコードとスキャナを使った録画予約システムや番組表に付いている[[Gコード]]で予約できる機能もあった。同時期に発売された同社の[[ビデオカメラ]]には「'''マックロードムービー'''」の名が付いていた。
宮古空港ターミナル株式会社,全長1723[[メートルm]]、[[鉄道]]と[[道路]]が走る[[鉄道道路併用橋道路鉄道併用]]の[[吊り橋]]である。完成時点では日本最長の吊り橋であり、また道路鉄道併用としては世界最長の吊り橋であったが{{sfn佐藤健太郎2014page33ps、「国道の名所を行く」より}}、前者は[[1998年]]の[[明石海峡大橋]]の完成で、後者は[[1997年]]の[[香港]]・[[青馬大橋]]の完成でその座を明け渡している。[[三つ子島]]を挟み北に[[北備讃瀬戸大橋]]が連なる2連吊り橋（三つ子島側[[橋台]]&quot;4A&quot;を共用）となっており、その先には[[塩飽諸島与島]]がある。内陸側には[[番の州高架橋]]が繋がっている。橋桁下は[[備讃瀬戸南航路]]で大型[[タンカー]]なども往来する。また、橋に隣接して[[瀬戸大橋記念公園]]がある。[[橋脚]]と橋台の[[基礎]]は、海底を[[岩盤]]面まで掘削した上に構築されている。特に番の州側の橋台&quot;7A&quot;と2本の橋脚&quot;5P&quot;、&quot;6P&quot;の基礎は掘削後の水深が32m〜50mという大水深のため、世界で初めて、造船所で製作した[[ケーソン]]を現地に曳航してきてから沈めてコンクリートを充填し基礎とする「設置ケーソン工法」が用いられた。北備讃瀬戸大橋と南備讃瀬戸大橋の双方のメインロープが入っている橋台の内部は、南備讃瀬戸大橋のロープが橋台の北側に、北備讃瀬戸大橋のロープが橋台の南側に固定されている。これは、ロープにかかる力が橋台を締める方向になるようにするためである（逆向きだと、橋台を外側へ引っ張るように力がかかり、弱くなる）。
株式会社アピア,*ビルは8階建てである。地下1階には、自社が経営する[[スーパーマーケット]]「アピア生鮮館」がある。*昔の八千代デパートのロゴ及びマークは、[[八千代市市民会館]]大ホールの[[緞帳]]に入っていた。[[2013年]]（平成25年）[[4月]]の市民会館リニューアルにより新しい緞帳に変更されたため、現在は使用されていない。*八千代台駅とは7・8メートルの連絡橋で直結しており、雨天でも濡れずに来店できる。
住友不動産株式会社,{{出典の明記section1date2012年9月}};歴史:[[1749年]]（[[寛延]]2年）創設の「学問所」、[[1783年]]（[[天明]]3年）[[尾張藩]]創設の[[藩校]]「[[明倫堂]]」の流れをくむ[[旧制中学校]]「明倫中学校」を前身とする。[[1948年]]（[[昭和]]23年）の[[学制改革]]により、[[新制高等学校]]「愛知県立明倫高等学校」（男子校）となった後すぐに、[[高等女学校]]を前身とする「愛知県立第一女子高等学校」と統合され、現校名となった。なお校名「明和」の由来は、旧制・明倫の「明」と第一高等女学校の同窓会「和楽会」の「和」を組み合わせたものである。;設置課程・学科:[[全日制課程]]2学科（1学年あたりの定員9学級360名）:*[[普通科]]-8学級320名、高校3年次に文理選択が行われ、例年文系3-4学級、理系4-5学級に分かれる。:*[[音楽科]]-1学級40名:[[定時制課程]]1学科:*普通科（夜間）;校地:立地は名古屋都心で、周辺には官庁街やオフィスビルが多数立地する中にある。校地は[[尾張藩]][[家老]]・[[犬山藩成瀬隼人正]]の中屋敷跡、旧愛知一中（現[[愛知県立旭丘高校]]）、旧愛知県立第一高女（前身校のひとつ）の校地であり、名古屋城を望むこともできる。;教育目標:「広い視野からものを考え、自主的精神に満ち、自律的に生活できる、心身ともに健康にして情操豊かな国民の育成を期する」者を育成するために:#広く学び、深く考える態度を培い、純真な感性を養う。:#強い克己心を持ち、社会的存在としての自己の責任を自覚し、遂行できる能力を養う。:#自己の特性を自覚し、自発的に学習できる態度を育てる。:#自ら身体を鍛え、生命を尊ぶとともに、たくましく生き抜く気力を養う。:#親和と友愛を持って敬信・慈愛の気溢れる学校生活の実現に努める。:なお、明確な「校訓」というものが存在しない。;校歌:作詞は[[深尾須磨子]]、作曲は[[中田喜直]]&lt;ref&gt;当時の生徒会が強く懇願して作曲が実現した。&lt;/ref&gt;による。歌詞は3番まであり、各番に校名の「明和」が登場する。なおこれとは別に応援歌なる物も存在する。;制服:*全日制課程-男子冬服は黒の詰襟学生服（学ラン）、女子冬服は太い一本ラインが県一高女時代の名残。:*定時制課程-ない。;授業・教育課程など:*全日制課程:**[[2学期制二期制]]。夏休みはあり秋休みはない。[[2008年]]（平成20年）度から全授業50分授業となり、火・金の2日が6時間、月・水・木の3日が7時間。:**[[2006年]]（平成18年）度より[[クーラー]]が設置され、毎年7月初旬から始動される（設定温度は28度）。それに伴い全学年で長期休暇中に任意の「学力補充講座」が開くことが出来るようになった。:**土日祝日、長期休暇中などは軽装（私服）で登校する生徒が多い。:**体育の授業では毎回「明和体操」を行う。:**校内の中心にある購買は2時限目の[[放課]]から昼食時まで開いている。昼休みは校外へ出ることが許可されている。:*定時制課程:**[[3学期制三期制]]。夜間定時制で45分授業の4時間。最初に[[給食]]（夕食）があり、食堂で食べる。:**修業年限は4年であるが、[[通信制課程]]を設置している高校で合わせて併修（定通併修）したり、高校卒業程度認定試験を利用したりすることによって、全日制課程と同じように3年で卒業することもできる。
