株式会社大阪バファローズ,一軍は[[大阪府]]を[[プロ野球地域保護権保護地域]]とし、[[大阪市]][[西区(大阪市)西区]]にある[[大阪ドーム]]（現：京セラドーム大阪）を、[[大阪近鉄バファローズ(ファーム)二軍]]（[[ウエスタン・リーグ]]所属）はかつて一軍の本拠地だった[[藤井寺球場]]を本拠地にしていた。球団愛称の正式表記は「バファローズ」であり、「バッファローズ」ではない（経緯に関しては[[#球団愛称後述]]）。[[1999年]]3月末までの球団名は'''近鉄バファローズ'''で、地域密着を謳うために1999年[[4月1日]]付で上記球団名に改称された後も通称として使われていた。なお、運営法人の[[商号]]は株式会社大阪バファローズ、[[近畿日本鉄道]]株式会社の100%の連結対象子会社（額面500円）だった。[[2004年]]、球団と[[近鉄グループ]]の経営難からオリックス・ブルーウェーブの運営会社「オリックス野球クラブ」に営業譲渡し、大阪バファローズは[[2005年]]3月末をもって解散。職員の大半はオリックス野球クラブに、一部は楽天野球団に移り、選手は分配ドラフトにより[[オリックス・バファローズ]]（ブルーウェーブから改称）と同時に新規参入した[[東北楽天ゴールデンイーグルス]]に配分された。オリックスの球団史において大阪近鉄バファローズは傍系扱いとなるため、チームタイトルや個人賞などの各種記録については一切含まれない。このような、球団史が引き継がれずに終焉する形でのチーム消滅は1958年の[[大映ユニオンズ]]&lt;refgroup&quot;注&quot;&gt;毎日オリオンズと合併して[[千葉ロッテマリーンズ毎日大映（大毎）オリオンズ]]となり、球団組織・法人格と各種記録は毎日側の存続としたが、この合併は[[対等合併]]形式で尚且つ大映側が経営の主導権を握る実質的な[[逆さ合併]]だったため、名実ともに吸収合併形式で尚且つ経営権もオリックス側に完全譲渡された本球団の事例とは実態が全く異なっている。&lt;/ref&gt;以来の出来事となる。合併までの経緯・詳細については[[プロ野球再編問題(2004年)]]を参照。[[1944年]]6月から[[1947年]]5月まで[[南海電気鉄道南海鉄道]]と[[大阪電気軌道関西急行鉄道]]の戦時統合によって設立された近畿日本鉄道が運営していた[[福岡ソフトバンクホークス近畿日本軍→近畿グレートリング]]&lt;refgroup&quot;注&quot;&gt;[[1938年]]、南海軍として設立。1947年5月に近鉄から旧南海が分離したことにより、球団の運営も南海となる。&lt;/ref&gt;との球団の系譜としてのつながりはなく、これは現在の福岡ソフトバンクホークスの系譜である。球団が消滅した2004年時点で現存していた12球団の中では、4回出場した[[日本選手権シリーズ日本シリーズ]]で優勝していない唯一の球団であった&lt;refgroup&quot;注&quot;&gt;[[大阪近鉄バファローズ(ファーム)二軍]]でも、[[ウエスタン・リーグ]]を[[1995年]]に1回だけ優勝するも二軍の日本一は達成できなかった。なお、楽天が[[2013年]]に日本シリーズで優勝したため、同年の時点で現存する12球団全てが日本一を経験していることになる。このほか、日本シリーズに進出した経験がありながら日本一になれなった消滅球団としては、[[1950年]]の[[松竹ロビンス]]（[[1953年]]に[[横浜DeNAベイスターズ大洋ホエールズ]]と対等合併して「大洋松竹ロビンス」となるが、その翌年に松竹が球団経営から撤退したことに伴い大洋漁業による単独経営に変更されたため、それ以降は消滅球団という扱いになってしまった）がある。&lt;/ref&gt;。
株式会社スルッとKANSAI,[[1992年]][[4月1日]]に[[阪急電鉄]]がそれまで[[乗車券]]購入や運賃精算用として販売していた[[ラガールカード]]を用いたストアードフェアシステム「'''ラガールスルー'''」の運用を開始し、[[1994年]]には[[能勢電鉄]]が自社のパストラルカードとラガールカードを共通化する形で参加。そしてこれをベースとして当時[[自動改札機]]の更新を予定していた[[阪神電気鉄道]]、[[大阪市交通局]]、[[北大阪急行電鉄]]の3社局にも拡張対応させ、[[1996年]][[3月20日]]から「'''スルッとKANSAI'''」の統一名称を用いての運用を開始した。当初、スルッとKANSAIに関わる業務は加盟各社局が分担して行っていたが、加盟社局の増加により業務の効率化を図るため、専任事務局として'''株式会社スルッとカンサイ'''が[[2000年]][[7月18日]]に設立された。スルッとKANSAIでは、ストアードフェアシステムの提携のみにとどまらず、各種チケットやグッズ制作販売会社とともに加盟各社のグッズなどの企画を行い、各社主要駅や鉄道イベントで玩具（[[Bトレインショーティー]]や[[くるっぴー]]等）やチューインガム、[[コンパクトディスクCD]]や文具を販売している。これらのオリジナルグッズは、基本的に一度販売されれば再発売しない方式を貫いている&lt;ref&gt;なお、Bトレインショーティーはパッケージや一部モールドを変更して後年一般発売されている。&lt;/ref&gt;。また、乗車券用紙などの資材の一括調達も行っている&lt;ref&gt;ただし、[[入札]]によることが要求される公営交通機関はこの一括調達から外れる&lt;/ref&gt;。[[2004年]]からは非接触型[[ICカード]]「[[PiTaPa]]」が導入された。これによりスルッとKANSAI協議会には近畿圏の交通事業者だけではなく、[[岡山県岡山地区]]や[[静岡県]]の交通事業者も加盟して「PiTaPa」を導入するようになった。また、「PiTaPa」は[[電子マネー]]としても利用できることから、[[地方公共団体自治体]]なども参加している（参加事業者・導入時期は「[[PiTaPa]]」の項目を参照）。ただし、自治体などが自主運行する[[コミュニティバス]]に関しては、加盟社局であっても利用できない路線もある。[[奈良県]]・[[兵庫県]]のバス事業者でシェアの大きい[[奈良交通]]や[[神姫バス]]、[[リムジンバス]]の[[大阪空港交通]]では使用できないが、これらの事業者も協議会には加盟しており、ICカードPiTaPaを介した共通化が図られている（大阪空港交通は伊丹空港発着便のみで、共同運行会社は一部不可の事業者あり）。[[水間鉄道]]と[[京阪京都交通]]については後に加盟し、京阪京都交通は[[2008年]][[3月1日]]から（「PiTaPa」を同時に導入）、水間鉄道・バスに関しては[[2009年]][[6月1日]]に「PiTaPa」のみ導入した。また、滋賀県湖西地区の[[江若交通]]は協議会に加盟の上、[[2011年]][[11月1日]]より堅田営業所の路線バス（一部をのぞく）にPiTaPaを導入した&lt;ref&gt;システム上は京阪バス扱い。&lt;/ref&gt;。大阪南部に路線網を有する[[南海グループ]]の[[路面電車]]である[[阪堺電気軌道]]は、2010年11月12日に協議会に加盟したのち、2014年4月1日より「PiTaPa」のみ導入を行った。また[[南海バス]]でも同日より、堺営業所・東山営業所管内の路線バス（[[南海ウイングバス金岡]]運行分を含む）より、PiTaPaが追加導入された。スルッとKANSAIの導入初期から利用可能であった[[阪急バス]]・[[阪急田園バス]]の両社については、2012年4月1日に両社専用（[[阪神バス]]も利用可能）のIC乗車カード「[[hanica]]」を導入した（3社のバス路線には先行して「PiTaPa」が並行導入されていた）ことで、同年5月31日にスルッとKANSAI対応カードの発売を終了した後、同年9月30日に同カードの利用を終了した（[[阪急バス唐櫃営業所唐櫃営業所]]管轄の路線バスと[[オレンジゆずるバス]]は[[2013年]][[4月30日]]まで利用可能だった。阪神バスでは同年10月1日以降も、同カードの発売・利用を継続）。[[三重県]]で最大手のバス会社である[[三重交通]]では、協議会に加盟した後[[2016年]][[4月1日]]より、自社専用のIC乗車カード「emica」の導入に合わせて、PiTaPaのみの導入が行われた。なお、[[2005年]][[6月30日]]には[[大阪港トランスポートシステム]]が大阪市交通局へ鉄軌道事業の運営を譲渡し、[[2006年]][[3月31日]]には[[京阪宇治交通]]とその子会社である京阪宇治交通田辺が京阪バスに吸収合併されたため、それぞれスルッとKANSAI協議会から脱退したが、加盟社局内での譲渡・合併であり、いずれの路線においても以前と変わりなくスルッとKANSAI対応カードを使用できた。2009年3月20日の[[阪神なんば線]]の開業により近鉄−阪神−神戸高速−阪急−大阪市営地下鉄−近鉄−京都市営地下鉄−京阪（大津線系統）と路線がつながり、乗車経路がこれらの路線の多くの駅で複数になるが、近鉄生駒駅にけいはんな線と奈良線・生駒線の連絡改札があり、その改札の通過の有無（通過していない場合阪神なんば線経由となる）で乗車経路の確認が可能となっている。2009年4月より、関東大手私鉄である[[西武鉄道]]、[[小田急電鉄]]、[[箱根登山鉄道]]の3社がスルッとKANSAI協議会と提携し、各種資材の共同購入を行うことが発表された&lt;ref&gt;[http://www.surutto.com/newsrelease/release/s090325.pdf西武鉄道・小田急電鉄・箱根登山鉄道の3社は、スルッとKANSAIと連携し、2009年4月より資材の共同購入を実施します]-スルッとKANSAIニュースリリース、2009年3月25日、2012年7月19日閲覧&lt;/ref&gt;。2014年夏、[[JRJRグループ]]の事業者として初めて[[西日本ジェイアールバス]]が協議会に加盟した。その後、金沢営業所管内の路線バスを皮切りに、[[若江線]]、[[高雄・京北線]]、園福線と、各路線ごとに順次PiTaPaのみの導入が行われた。
株式会社湘南ベルマーレ,[[藤和不動産サッカー部フジタ工業サッカー部]]を前身として[[1994年]]に'''ベルマーレ平塚'''の名称でJリーグへ加盟{{Rjleague}}、[[2000年]]に'''湘南ベルマーレ'''へクラブ名称を変更した。ホームスタジアムは[[平塚競技場ShonanBMWスタジアム平塚]]で{{Rjleague}}、練習場は平塚市の[[馬入サッカー場馬入ふれあい公園サッカー場]]である{{Rjleague}}。チーム名は[[ラテン語]]の美しい（bellus、ベルス）と海（{{langlaMare}}、マーレ）の2つの単語を合わせた造語{{Rjleague}}。ホームタウンは1999年までは[[平塚市]]1市、2000年よりJリーグで「広域ホームタウン制度」が認められたことを受けて、[[厚木市]]、[[伊勢原市]]、[[小田原市]]、[[茅ヶ崎市]]、[[秦野市]]、[[藤沢市]]と[[中郡]]・[[高座郡]]の3町を加えた7市3町へ変更された。2017年10月24日には[[鎌倉市]]、[[南足柄市]]と[[足柄上郡]]・[[足柄下郡]]の8町をホームタウンに加え、神奈川県西部の9市11町にホームタウンを拡大した&lt;ref&gt;{{Citepressreleaseurlhttps://www.jleague.jp/release/post-51320/title湘南ベルマーレホームタウン追加についてpublisher日本プロサッカーリーグdate2017-10-24accessdate2017-10-24}}&lt;/ref&gt;。設立以来、[[フジタ]]の出資する'''株式会社湘南ベルマーレ平塚'''が運営を行っていたが、フジタの経営難により1999年に[[新旧分離]]を実施し、地元企業が共同出資する'''株式会社湘南ベルマーレ'''が運営する。2018年4月に、当時の筆頭株主だった[[三栄建築設計]]と、トレーニングジム・健康食品販売などを手がける[[RIZAPグループ]]が共同出資した[[合弁会社]]「メルディアRIZAP湘南スポーツパートナーズ」がクラブの[[第三者割当増資]]を引き受け、同社が筆頭株主となっている（詳細後述）
アビスパ福岡株式会社,1982年創部の[[中央防犯サッカー部]]が前身。1994年にJリーグ準会員となり、1996年よりJリーグへ加盟している&lt;refname&quot;jleague&quot;/&gt;。クラブ名のアビスパは、[[スペイン語]]で「熊ん蜂（[[スズメバチ]]）」の意味&lt;refname&quot;jleague&quot;/&gt;。ハチの持つ集団的行動や俊敏性が「軽快で統制のとれた多様なグループ攻撃」という、チームの目指すスタイルを象徴する&lt;refname&quot;jleague&quot;/&gt;。運営会社はアビスパ福岡株式会社である&lt;refname&quot;jleague&quot;/&gt;。ホームタウンは[[福岡市]]1市のみであるが、[[2017年]][[4月29日]]にホームスタジアムのある[[東平尾公園]]の近郊に位置する[[糟屋郡]][[宇美町]]、[[志免町]]との間で「地域活性化とスポーツ文化の振興」並びに、「地域に根ざしたスポーツクラブ」および「地域に生活する人々とともにスポーツを通じて子どもたちに夢と感動を、地域に誇りと活力を与える」ことを目的とした「フレンドリータウン協定」を締結している&lt;ref&gt;[https://www.avispa.co.jp/news/post-10536宇美町および志免町との「フレンドリータウンに関する協定書」締結調印式についてのお知らせ]-アビスパ福岡・2017年4月24日&lt;/ref&gt;。ホームスタジアムは[[東平尾公園博多の森球技場]]（命名権名称、レベルファイブスタジアム）&lt;refname&quot;jleague&quot;/&gt;、練習場は[[福岡市雁の巣レクリエーションセンター球技場]]である&lt;refname&quot;jleague&quot;/&gt;（詳細は[[#スタジアム]]を参照）。運営会社の出資企業・団体の多くは福岡市に主要拠点を置く、もしくは福岡が発祥の企業であり{{Refnestgroup&quot;注&quot;2008年9月25日現在の資本構成は、[[コカ・コーラウエストホールディングス]]14.95%、福岡市14.10%、[[セコム]]7.05%、[[三洋信販]]6.69%、[[リコー]]5.64%、[[大都技研]]4.94%であった&lt;ref&gt;[http://www.avispa.co.jp/release/news/topic0809.html#tag29アビスパ福岡株式会社増資等についてのお知らせ]-アビスパ福岡・2008年9月25日&lt;/ref&gt;。}}、取締役には主要株主である[[コカ・コーラウエスト]]・[[福岡市役所福岡市（市民局）]]・[[九州電力]]・[[西日本新聞社]]・[[九電工]]・[[ふくや]]・[[福岡銀行]]・[[西日本シティ銀行]]の幹部が就いている。なお、主要な出資者に[[セコム]]が入っているのはクラブの母体となった[[中央防犯アクトサービス中央防犯アクトサービス（現・中央防犯）]]がセコムの販売代理店を請け負っていた縁があり、[[大都技研]]が入っているのは2008年の増資時に大都からの出資の意向を受け入れたことによる（後述）。2014年に増資を行い、[[システムソフト]]が筆頭株主となった（後述）。[[福岡市]]の姉妹都市でもある[[ボルドー]]（[[フランス]]）をホームタウンする[[FCジロンダン・ボルドー]]（[[リーグ・アン]]）と技術提携し、若い選手の短期留学やコーチングスタッフの交流などを行っていた&lt;ref&gt;{{citenewsurlhttp://www.avispa.co.jp/index_box/release/release_2011_090.htmltitleFCジロンダン・ド・ボルドー（フランス・リーグ1）練習参加のお知らせworkアビスパ福岡date2011-3-18accessdate2012-11-17}}&lt;/ref&gt;。
株式会社大分フットボールクラブ,運営法人は株式会社大分フットボールクラブであり&lt;refname&quot;jleague&quot;/&gt;、[[1999年]]にJリーグへ加盟した&lt;refname&quot;jleague&quot;/&gt;。ホームスタジアムは[[大分スポーツ公園総合競技場昭和電工ドーム大分]]&lt;refname&quot;jleague&quot;/&gt;、練習場は[[大分スポーツクラブ]]および[[大分スポーツ公園サッカー・ラグビー場昭和電工サッカー・ラグビー場]]である&lt;refname&quot;jleague&quot;/&gt;（詳細は[[#ホームスタジアム・練習場]]を参照）。クラブ名は、[[三位一体]]を表す[[英語]]「トリニティ（Trinity）」とホームタウン名「大分（Oita）」を合わせた造語で&lt;refname&quot;jleague&quot;/&gt;、[[イタリア語]]で「三位一体」を表すTrinitaと同じ綴りになっている&lt;refgroup&quot;注&quot;&gt;厳密にはイタリア語ではアクセント記号をつけてtrinitと綴る。&lt;/ref&gt;。県民・企業・行政が一致団結することを表している。2006年、エンブレム、ロゴマーク、チームフラッグが「Tフレアー」と呼ばれるデザインコンセプトにより一新され、クラブとしての略称「大分FC」が「FC大分」に変更された。運営法人名とは無関係。クラブマスコットは、亀がモチーフの'''[[ニータン]]'''&lt;refname&quot;jleague&quot;/&gt;と、ウサギをモチーフにした準マスコットのリッジー。2018年シーズン終了現在に至るまで、Jリーグ所属全クラブで唯一の[[J1リーグJ1]]、[[J2リーグJ2]]、[[J3リーグJ3]]全3カテゴリを経験したクラブであり、かつJ3在籍後にJ1昇格を経験した唯一のクラブである&lt;refname&quot;ftch181117&quot;/&gt;。
{{small株式会社フットボールクラブ水戸ホーリーホック}},[[1994年]]に'''FC水戸'''として創立&lt;refname&quot;jleague&quot;/&gt;、2000年よりJリーグへ加盟している&lt;refname&quot;jleague&quot;/&gt;。クラブ名の「ホーリーホック(HollyHock)」は英語で「[[アオイ科葵]]（[[タチアオイ]]）」を意味し、[[水戸藩]]（[[水戸徳川家]]）の[[家紋]]の葵&lt;refgroup&quot;注&quot;&gt;[[徳川家]]の家紋「[[三つ葉葵]]」に用いられている[[フタバアオイ]]は正確には[[アオイ科]]のタチアオイ(HollyHock)とは異なる、[[ウマノスズクサ科]]の植物である。&lt;/ref&gt;から採られた&lt;refname&quot;jleague&quot;/&gt;。ホームスタジアムは[[水戸市立競技場ケーズデンキスタジアム水戸]]&lt;refname&quot;jleague&quot;/&gt;（Ksスタ）。クラブエンブレムは水戸藩の家紋「[[三つ葉葵]]」の外周を「[[水戸黄門]]」こと2代目水戸藩主・[[徳川光圀]]の字「子龍」に由来する[[竜龍]]が囲む円形&lt;ref&gt;[[サッカーダイジェスト]]編「2016J1&amp;J2&amp;J3選手名鑑」230頁&lt;/ref&gt;。マスコットキャラクターは龍がモチーフの「ホーリーくん」&lt;refname&quot;jleague&quot;/&gt;。2002年に公募によりデザインと名前が制定された。背番号310（みと）&lt;refgroup&quot;注&quot;&gt;2008年まで使用されていた初代の着ぐるみが付けていた背番号は12。また2010年にはクラブ社長の沼田邦郎の名前にちなんで920（くにお）を付けていたことがある。なおイラスト上では背番号は描かれていない。&lt;/ref&gt;。[[ホームタウン]]は創立当初から水戸市のみだったが、2017年11月に水戸市周辺に位置する[[ひたちなか市]]、[[笠間市]]、[[那珂市]]、[[小美玉市]]の4市と[[東茨城郡]]・[[那珂郡]]の4町村（[[茨城町]]、[[城里町]]、[[大洗町]]、[[東海村]]）を追加した&lt;refname&quot;jleague20171121&quot;&gt;{{Citepressreleaseurlhttps://www.jleague.jp/release/post-51680/title水戸ホーリーホックホームタウン追加についてpublisher日本プロサッカーリーグdate2017-11-21accessdate2017-11-21}}&lt;/ref&gt;。
株式会社サガンドリームス,1997年2月4日に創設され、1999年よりJリーグへ加盟している。ホームタウンの人口73732人（[[推計人口]]、2018年6月1日現在）はJリーグの全53クラブ、さらには[[Jリーグ百年構想クラブ]]を加えた60クラブの中でも最も小さい&lt;refgroup&quot;注&quot;&gt;なお、サガン鳥栖（鳥栖市）の次にホームタウンの人口が少ないのは、Jリーグクラブでは[[ジュビロ磐田]]（[[磐田市]]、166458人）、Jリーグ百年構想クラブでは[[東京武蔵野シティFC]]（[[武蔵野市]]、146970人）。&lt;/ref&gt;。ただし、県庁所在地の[[佐賀市]]でホームゲームを開催したり（2014年度まで）、佐賀市内にクラブのオフィシャルスポーツバー「THESagan」を開設する&lt;ref&gt;{{Citenewsurlhttp://www.nishinippon.co.jp/nnp/saga/article/59660titleサガン鳥栖の公式スポーツバー、開店祝いイベントnewspaper西日本新聞date2013-12-23accessdate2014-01-02}}&lt;/ref&gt;、佐賀県第二の都市である[[唐津市]]に下部組織（U-15唐津）を設置する、佐賀県全域でサッカースクールを開校するなど佐賀県全域での活動を行っている。さらには、同じ[[筑後川]]流域で鳥栖市と地理的に関連の深い[[福岡県]][[筑後地方]]でも、鳥栖市が[[久留米市]]、[[小郡市]]などと組織する「[http://www.city.kurume.fukuoka.jp/cross_road/筑後川流域クロスロード協議会]」が共同してサガンを支援しているほか、スポンサーの一つである[[ブリヂストン]]が久留米市・[[朝倉市]]に設けた「ブリヂストン・サッカースクール」をサガンが運営する&lt;ref&gt;{{citeweburlhttp://www.sagantosu.jp/youth_school.asptitleサガントス・サッカースクールworkサガン鳥栖accessdate2013-12-07}}&lt;/ref&gt;など、ホームタウン区域外での活動も行っている。2016年のJリーグスタジアム観戦者調査報告書&lt;ref&gt;{{PDFlink[https://www.jleague.jp/docs/aboutj/spectators-2016.pdfJリーグスタジアム観戦者調査2016サマリーレポート]}}-Jリーグ公式サイト内、2018年1月1日閲覧。&lt;/ref&gt;（鳥栖は2015年8月27日の対[[アルビレックス新潟]]戦で調査を実施）によると、佐賀県外からの観戦者は31.4%で、これは2016年度に同様の調査を行ったJリーグ加盟40クラブ中で、[[鹿島アントラーズ]]・[[ガンバ大阪]]・[[東京ヴェルディ1969東京ヴェルディ]]に次ぐ4番目に多い数値となっている。また、県内の観戦者分布に於いても、佐賀市からの観戦者が県内観戦者の21.1%と、ホームタウンの鳥栖市と同じ比率となっている。チーム名の「サガン」は、砂粒が固まって砂岩になるように小さい力を集結させ、立ち向かうことを表す&lt;refname&quot;jleague&quot;/&gt;。また「佐賀の」にも通じている&lt;refname&quot;jleague&quot;/&gt;。運営母体は[[1997年]]から[[1998年]]シーズン途中まで'''任意団体「サガン鳥栖FC」'''、[[1998年]]途中から[[2004年]]までは'''株式会社サガン鳥栖'''、[[2005年]]以降は'''株式会社サガンドリームス'''である。ホームスタジアムは[[鳥栖スタジアム駅前不動産スタジアム]]&lt;refname&quot;jleague&quot;/&gt;、練習場は[[鳥栖スタジアム北部グラウンド鳥栖市北部グラウンド]]&lt;refname&quot;jleague&quot;/&gt;および鳥栖市陸上競技場&lt;refname&quot;jleague&quot;/&gt;である。詳細は下記[[#スタジアム・練習場]]項を参照。クラブマスコットは佐賀県の県鳥である「[[カササギカチガラス]]」をモチーフとした「[[ウィントス]]」&lt;refname&quot;jleague&quot;/&gt;。2018年現在、J2からJ1へ昇格後J2への降格経験がない唯一のクラブである。
株式会社大阪シティドーム,大阪市がパシフィック・リーグの[[大阪近鉄バファローズ]]を誘致し、その本拠地（[[専用球場]]）として大阪市主体の[[第三セクター]]・[[大阪シティドーム]]（現・一般社団法人ドームの会）によって建設された多目的ドームである。後に近鉄を事実上吸収合併したオリックス・バファローズもこちらを本拠地として使用している。他にも[[セントラル・リーグ]]の[[阪神タイガース]]（[[阪神甲子園球場]]が[[高校野球]]で使用ができない期間）や[[読売ジャイアンツ]]が主催試合を行っており、2014年には[[福岡ソフトバンクホークス]]が初めて主催試合を開催した。アマチュア野球では[[社会人野球日本選手権大会]]や[[全国高等学校野球選手権大阪大会]]の開会式と、その直後の二試合が行われている。また[[演奏会コンサート]]、展示会などのイベントが開催される他、[[草野球]]利用目的の一般貸し出しも行われている。大阪市による経営は上手くいかず、施設は[[オリックス不動産]]に売却され、大阪シティドームはオリックス不動産などの出資する管理運営会社に変更されている。
日本ハム球団株式会社,[[伊勢平野]]のほぼ中心部にあり、海沿いに市街地がある臨海都市である。[[江戸時代]]には[[藤堂家]]が治める[[津藩]]の[[城下町]]として栄えた。旧津市は日本で最初（[[1889年]]〈[[明治]]22年〉[[4月1日]]）に[[市制]]施行した31市のうちの一つで、この時点で市となったのは[[東海3県]]では津市のみである。三重県内の[[官公庁]]や国の[[出先機関]]、文教施設が集約されており、三重県の行政・文教の中心地となっている。[[日本三大観音]]の一つである[[津観音]]や、建造物としては三重県で初めて[[国宝]]に指定された[[真宗高田派]][[専修寺]]がある。また、[[津駅]]前にある地上18階地下1階の高層複合ビル「[[アスト津]]」は、津市のランドマークとなっている。[[2006年]]（[[平成]]18年）[[1月1日]]、津市（旧市）・[[久居市]]・安芸郡[[河芸町]]・[[芸濃町]]・[[美里村(三重県)美里村]]・[[安濃町]]・一志郡[[香良洲町]]・[[一志町]]・[[白山町]]・[[美杉村]]の10市町村の合併によって改めて現在の津市が発足した。またこの合併により三重県内の市町で最大の面積を持つようになった。
株式会社ヤクルト球団,[[ファイル:iccard.gifthumb200px「タッチ&amp;ゴー」の動き]][[ファイル:ICOCA・PiTaPaチャージ機.jpgthumb150pxPiTaPaがチャージ（入金）可能なことを宣伝するJR西日本の入金機（天王寺駅にて）。PiTaPaとICOCAはこの入金機に限らず、双方の自動券売機・自動精算機・入金機で互いにチャージが可能である。]]近畿圏の民鉄を中心に導入されていた磁気式ストアードフェアシステムである「[[スルッとKANSAI]]」の次世代システムとして2004年に導入された。名称は「{{en'''P'''ostpay'''I'''Cfor&quot;'''T'''ouch'''a'''nd'''Pa'''y&quot;}}」の略で、株式会社スルッとKANSAIの登録商標（&lt;!--日本国商標登録番号--&gt;第4706410号ほか2件）である。キャッチフレーズは「'''ピ'''タッと'''タ'''ッチするだけで'''パ'''ッとスピーディーに！」。また2009年3月からは、テレビCMなどで、「'''“動く”を応援するカード。PiTaPa'''」と言う[[キャッチコピー]]も使われている。カード裏面に記載の番号の始めの文字は「{{en'''SU'''}}」であり、「スルッとKANSAI」の[[ローマ字]]表記の、{{en'''SU'''RUTTOKANSAI}}の略称である。技術としては、[[Suica]]・[[ICOCA]]などと同様に[[ソニー]]が開発したICカード[[FeliCa]]を採用しているが、Suicaなどで採用されている大多数の[[プリペイドカードプリペイド]]方式ではなく、公共交通機関の乗車ICカードとしては世界初&lt;ref&gt;{{PDFlink[http://www.surutto.com/about/release/p040715.pdfPiTaPa本サービス開始について]}}スルッとKANSAI協議会、2004年7月15日発表&lt;/ref&gt;&lt;ref&gt;{{PDFlink[http://www.surutto.com/about/release/p040921.pdfPiTaPaがショッピングやお食事、観光施設でもご利用いただけるようになります]}}スルッとKANSAI協議会、2004年9月21日発表&lt;/ref&gt;の'''[[後払い決済ポストペイ]]（後払い）'''方式を採用しているのが特徴となっている（詳細後述）。[[交通系ICカード全国相互利用サービス]]にも参加しているが、基本的な決済方式が異なるため乗車券機能以外の相互利用に対応しないなど一部の機能に制約がある。種類としては、交通利用/電子マネー利用に特化した「'''[[PiTaPaベーシックカード]]'''」と、商業施設等が発行するクレジットカードとの一体型（または同梱型）カードである'''PiTaPa提携カード'''に大別される。[[静岡鉄道]]や[[奈良交通]]、[[神姫バス]]、[[水間鉄道]]、[[大阪空港交通]]、[[江若交通]]、[[阪堺電気軌道]]、[[西日本JRバス]]、岡山地区のバス・鉄道事業者（[[岡山電気軌道]]・[[下津井電鉄]]・[[両備ホールディングス]]・[[中鉄バス]]）のように「スルッとKANSAI」のプリペイド磁気カードや、PiTaPa対応カードを発行せず、PiTaPaのみを導入する事業者（自社エリアでの申し込みはベーシックカードや、[[三井住友カード]]・[[青山商事青山キャピタル]]など、鉄道系でないPiTaPa提携カードで対応）、PiTaPaに対応しつつ独自のICカード（神姫バスの[[NicoPa]]、岡山地区の[[Hareca]]、奈良交通の[[CI-CA]]など）を発行する事業者（これらのカードは制度上、回数乗車券としてプレミアムのチャージ付与などがあるため）もいる。乗車券・電子マネー以外の利用例としては、FeliCaのメモリー分割機能を用いて、プライベート領域に個人認証機能を搭載した入退館管理機能付きPiTaPaが、[[大阪府]]の[[池田市池田市役所]]で導入されている。また、FeliCaポケット機能を利用しているOSAKAPiTaPaの「楽楽ポケット」では、大阪市内の一部新築マンションで部屋の鍵（IC錠）として採用する例もある。また、旧：[[大阪市交通局]]&lt;ref&gt;大阪市交通局は、2018年（平成30年）4月1日以降、地下鉄・新交通システム事業は大阪市高速電気軌道（愛称：OsakaMetro）、バス事業は大阪シティバスに移行する予定である。&lt;/ref&gt;では、職員の出退勤管理システム用のICカードとして、交通局から貸与されるICカードを使用するか、個人で利用しているOSAKAPiTaPaを使用するかが選択できるようになっている（この場合、個人で利用しているOSAKAPiTaPaを使用すると申告した場合には、交通局からは出退勤管理システム専用のICカードは貸与されない）。
