AS-SZKi,株式会社AS-SZKi（エイエススズキ、英: AS-SZKi CORPORATION）は静岡県三島市に本社を置き、建設事業・開発事業を行っていた企業。2011年7月、主たる事業は株式会社鈴木工務店に事業承継した。2013年10月、株式会社アパマンショップリーシングにより吸収合併され解散した。
E・C・R,株式会社E・C・Rは大阪府大阪市中央区に本社を置く通信基地局の設置を業とする建設会社。
ECODEN,"ECODEN株式会社（エコデン、英：ECODEN　CO., LTD.）は、空調機器の販売・工事・保守メンテナンスを行っているJESグループの企業。ダイキン工業の正規特約店である。"
IHIインフラ建設,IHIインフラ建設（アイ・エイチ・アイ インフラ けんせつ）は、東京都江東区に本社を置く、橋梁の建設や水門・鋼橋の補修を手がける建設会社。IHIインフラシステムの子会社（IHIの孫会社）。元々はIHIのメンテナンス担当部門だったが、2011年の合併・事業譲受で、プレストレスト・コンクリート橋の建設も担うことになり、橋梁を中心とした建設会社となっている（ただし鋼橋はメンテナンスが中心）。
JFEエンジニアリング,JFEエンジニアリング株式会社（英文社名 JFE Engineering Corporation）は、エネルギーシステムや環境システム、水処理システム、鋼製構造物、産業機械などの設計・建築を行う、JFEホールディングス傘下の企業である。日本鋼管と川崎製鉄の統合により、日本鋼管の鉄鋼事業をJFEスチール（旧川崎製鉄）に移管し、法人としての日本鋼管と同社のエンジニアリング事業を継承した会社である。
JFEメカニカル,"JFEメカニカル株式会社（ジェイエフイーメカニカル、英文社名 JFE Mechanical Co., Ltd.）は、製鉄所機械などの工場設備の建設やクレーン・ブラストマシンなどの製造、機械のメンテナンスを行うJFEスチールグループの企業である。なお、三菱重工業の資本が入っているのは、同社の母体になった1社、旧福山共同機工が、旧日本鋼管と三菱重工業の合弁会社であったためで、その名残である。"
LIXIL,株式会社LIXIL（リクシル、LIXIL Corporation）は、建築材料・住宅設備機器業界最大手の企業で、株式会社LIXILグループの主要企業の一つである。
LIXIL住宅研究所,"株式会社LIXIL住宅研究所（リクシルじゅうたくけんきゅうじょ、LIXIL Housing Research Institute, Ltd.）は、株式会社LIXILグループ傘下にある日本の建設会社。20代、30代の一次取得（初めて家を建てること）向けの低価格住宅で知られる。関連会社にはジーエルホームがある。"
NB建設,株式会社NB建設（えぬびーけんせつ）は、日成ビルド工業の完全子会社である建設会社。2013年2月1日に相鉄ホールディングスから日成ビルド工業に当社の全株式が譲渡され、相鉄建設株式会社から商号変更した。
NDS_(企業),"NDS株式会社（エヌディーエス、英文社名 NDS Co., Ltd.）は、愛知県名古屋市に本社を置く通信インフラ事業などを行う企業である。2012年10月1日、日本電話施設株式会社（にほんでんわしせつ、英文社名 Nippon Denwa Shisetsu Co., Ltd.）から社名変更した。"
NIPPO,株式会社NIPPO（ニッポ）は、土木建設・道路舗装業を営む日本の建設会社である。近年では、建設コンサルタント業や不動産業も展開している。旧社名の日本鋪道（にっぽんほどう）が示すとおり、道路等の舗装工事を主力とし、日本における道路舗装部門の最大手企業である。本社は東京都中央区。JXホールディングスの子会社。
NITTOH,株式会社NITTOH（ニットー、英: Nittoh Corporation）は、愛知県名古屋市北区平安に本社を置く建設会社。名古屋証券取引所第二部単独上場銘柄のひとつである（証券コードは1738）。住宅リフォーム、シロアリや害虫駆除、耐震診断、ハウスクリーニングを手掛ける。
OKUTA,"株式会社OKUTA(オクタ、英: Okuta Co.,Ltd.)は、埼玉県さいたま市大宮区に本社を置く日本の総合住生活企業である。1992年1月設立。"
ONEデザインズ,"ONEデザインズ株式会社（わんでざいんず、英: ONE DESIGNS Co.,Ltd.）は東京都港区赤坂に本社を置く、マンションモデルルーム、販売センターにおける設計・施工・デザイン・インテリアコーディネイト業務、オーダーメイドマンションの設計変更、インテリアオプション商品の販売を行う。広友グループ3社（株式会社ミラノ、広友リース株式会社（インテリア部門）、株式会社ワーク・ステーション）のインテリア事業を統合し2014年4月1日に誕生した。"
SYSKEN,株式会社SYSKENは、熊本県熊本市に本社を置く建設会社である。事業内容は九州地区のNTT西日本を中心とする電気通信設備工事である。
TOSYS,株式会社TOSYS（トーシス）は、コムシスホールディングスの子会社で、長野県長野市に本社を置き、長野県、新潟県のNTT東日本を中心とする情報通信工事事業、電気設備工事事業を行う企業である。
TSUCHIYA,TSUCHIYA株式会社（つちや、TSUCHIYA CORPORATION ）は、岐阜県大垣市に本社を置く建設会社である。
TTK_(建設),株式会社TTK（ティーティーケー）は、宮城県仙台市若林区に本社を置く建設会社である。中心はNTT東日本の電気通信設備工事である。
URリンケージ,株式会社URリンケージ（ゆーあーるリンケージ）は、日本の都市計画コンサルタント会社である。都市再生機構 (UR) の関連会社であり、主にURが実施する市街地の整備改善及び賃貸住宅の供給の支援関連業務の一部を業務受託により代行している。登録は建設コンサルタントと補償コンサルタント、一級建築士事務所の他、測量業、宅地建物取引業に加え特定労働者派遣事業と土壌汚染指定調査機関登録（東京都知事登録）も行っている。
アーキエムズ,株式会社アーキエムズ（あーきえむず）は、京都府京都市中京区室町通に本社を置く設計事務所である。
アーバンエステート,株式会社アーバンエステートとは、埼玉県川口市に本社を置き、主に注文住宅を手掛けていた建設業者。
アーレックス,アーレックス株式会社 (arex) は、愛知県名古屋市千種区に本社を置く、建設会社である。社名 AREXは、ARCHITURE EXCELLENCEの造語。
アイ・エス・ガステム,アイ・エス・ガステム株式会社は、千葉県船橋市に本社を置く、LPガスの個別・集中供給、ガス機器・住宅設備機器の販売・施工等を中心に行う企業である。
アイ・エヌ・エー新建築研究所,株式会社INA新建築研究所（アイ・エヌ・エーしんけんちくけんきゅうじょ、INA新建築研究所）は、東京都文京区に本社を置く建築設計事務所。
