AFC-HDアムスライフサイエンス,株式会社AFC-HDアムスライフサイエンス（エーエフシーエイチディーアムスライフサイエンス）は、日本の健康食品・化粧品の受託総合（OEM）メーカー。本社は静岡県静岡市駿河区にある。
ASOジャパン,株式会社ASOジャパン（あそじゃぱん）は、福岡県福岡市に本社を置く食品会社である。主に、業務用アイスクリームなどの乳製品の企画・販売・卸売を行っている。
CPグループ,CPグループとは汕頭出身の潮州系タイ人、謝家（チエンワノン家）が基礎を作ったコングロマリット（複合企業）である。タイで最大のコングロマリットと言われ、農業分野や食料品の分野を中核事業として、通信、不動産分野にも精力的に進出し、全部で8つの分野で事業を展開している。国際的には、ASEAN各国や中国などを中心に世界13カ国に進出し、ロンドン証券取引所上場企業となっている。特に、中国へは積極的に進出しており正大集団（チアタイ集団）として知られ、中国最大の外資系企業である。タイの企業は中国への進出に消極的と一般に言われているが、その中で積極的に中国本土へ投資しており、珍しい存在だとされている。
Dad's,Dad's（ダッズ）とはアメリカ生まれのソフトドリンクのメーカー。
ITC_(企業),ITC（英語：ITC Limited）は、インド西ベンガル州コルカタに本社を置く嗜好品および食料品製造販売会社。元々は国営のタバコ製造会社であったが、1974年に民営化され現在は経営の多角化が進んでいる。
J-オイルミルズ,株式会社J-オイルミルズ（ジェイオイルミルズ）は、東京都中央区に本社を置く、食用油脂の製造・販売を主たる業務とする会社である。2003年4月に味の素製油、ホーネンコーポレーション、吉原製油の3社が統合して設立された。
JA高崎ハム,"JA高崎ハム株式会社（じぇいえいたかさきはむ、英名JA Takasakiham co.,ltd.）は、群馬県高崎市に本社を持つ、全農全額出資の農業協同組合系食品加工メーカー。1937年創業、2006年設立。同社製品の販売区域は北海道を除く東日本である。"
JA西日本くみあい飼料,JA西日本くみあい飼料株式会社（じぇいえいにしにほんくみあいしりょう）は、JA全農系列の飼料の製造販売会社。
JA全農たまご,"JA全農たまご株式会社（ジェイエーぜんのうたまご、英文名称 ja.z-tamago.Co.,Ltd.）は、JAグループの鶏卵・鶏卵加工品販売会社。"
JA東日本くみあい飼料,JA東日本くみあい株式会社（じぇいえいひがしにほんくみあいしりょう）は、JA全農系列の飼料・肥料の製造販売会社。
MCフードスペシャリティーズ,MCフードスペシャリティーズ株式会社は、日本の調味料やパン資材等の食品化学製品を扱う国内トップクラスのメーカーであり、東京都千代田区に本社を置く。もともとは協和発酵工業（現・協和発酵キリン）の食品事業を分社化して設立されたが、協和発酵工業がキリンホールディングスグループ入りしたのに伴い、グループ内の食品・調味料事業の再編を目的に、キリンフードテックを合併してキリン協和フーズとなった。2013年（平成25年）3月、三菱商事がキリンホールディングスから段階的に全株式を取得して、傘下に収めると発表し、2014年（平成26年）1月に商号をMCフードスペシャリティーズに変更した。
OBビール,OBビール（OB麦酒、OB (OB麥酒)、Oriental Brewery）は、韓国のビール会社である。戦前、麒麟麦酒の出資によって経営されていた昭和麦酒を、戦後に同社大株主だった朴承稷商店（現斗山）が管理。1952年に東洋ビール（東洋麦酒、(東洋麥酒)、Oriental Brewery）として設立された。OBとはこのときの英語社名（英語社名は現在も変更されていない）の略である。長らく斗山グループの中核企業だったが、1998年9月、ベルギーのビール会社インターブリュー（のちインベブを経て現ABI）に売却された。なお斗山はプロ野球チームを所有しており「OBベアーズ」と名づけていたが、OBビールのグループ分離に伴い、1999年「斗山ベアーズ」に改名した。
SAブレイン,SAブレイン (SA Brain) は、イギリスウェールズのビール会社である。1997年ラネリ醸造所 (lanelli brewery) を、1999年ハンコックス醸造所 (Hancocks Brewery) を併合した。
SSKセールス,SSKセールス株式会社（えすえすけいせーるす、英社名：SSK Sales Co. Ltd.、略称：SSK）は、静岡県静岡市葵区に本社をおく、缶詰等販売する日本の会社。鈴与グループに属している。2011年（平成23年）11月、清水食品より販売部門を譲渡して設立。野球を主としたスポーツ用品メーカーエスエスケイや、造船メーカーの佐世保重工業（略称:SSK）とは全く関係ない。
UCC上島珈琲,"ユーシーシー上島珈琲株式会社（ユーシーシーうえしまコーヒー、英：UCC Ueshima Coffee Co.,Ltd.）は、兵庫県神戸市中央区に本社を置く、コーヒーを中心とした飲料・食品メーカー。みどり会の会員企業。コーポレートメッセージは、”Good Coffee Smile”。"
VanaH,"VanaH株式会社（バナエイチ、英称:VanaH Co., LTD.）は、山梨県富士吉田市に本社を置き、天然水素水の製造・販売を行う企業である。"
アートコーヒー,株式会社アートコーヒー（英文名称 ART COFFEE.）は、東京都千代田区に本社を置くコーヒー会社。1934年に創業。2008年に会社分割を行い、三菱商事100%出資による新法人の株式会社アートコーヒーを設立、コーヒーの焙煎・加工・販売を引き継いだ。喫茶店部門は、旧法人が株式会社アートカフェに社名変更して継承したが、2009年末に株式会社ゼンショーに譲渡された。
アイシア_(企業),アイシア株式会社はペットフードの製造・加工・販売を営む日本の企業。マルハニチログループに属する。
アイスター,アイスターは、東京都港区に本社を置く連鎖販売取引の形態で化粧品等を販売する企業。
アイン食品,"アイン食品株式会社（アインしょくひん 英称：Ain Foods Co.,Ltd.）とは、大阪府和泉市に本社を置く、食品メーカーである。"
アクリフーズ,株式会社アクリフーズ（英：AQLI Foods Corporation）は、かつて存在した、東京都江東区に本社（登記上の本店は、群馬県邑楽郡大泉町）を有する冷凍食品の製造販売を手がける会社。
