AussieBum,aussieBum（和訳：オージー・バム）は、オーストラリアの男性のスポーツウェア、下着メーカーである。製品はオーストラリア国内で生産されており、本社はシドニー郊外のLeichhardtに所在する。2001年にファッションデザイナーのショーンアシュビーによってシドニーで設立された。同社はWonderjockやEssence underwearにより国際的に認められた企業である。
CHOYA,CHOYA株式会社（チョーヤ）とは、日本のドレスシャツ（ワイシャツ）を中心としたアパレルメーカーである。本社は東京都中央区日本橋大伝馬町にある。かつての商号は蝶矢株式会社。旧野村財閥系に属した。ゆえに、大和銀行（現りそな銀行）と親密である。メインの製品として百貨店などへの高級ドレスシャツがある。
JUN,JUN（ジュン）は、アパレル事業を主力とする株式会社ジュンの商標（ブランド、ロゴマーク）であるが、文字および綴り自体は、いろいろなジャンルで広く用いられている。JUNという名前の由来は、一説にはその当時の社長が6月生まれでJUNEの綴りから一文字除いたものと言われている。
KBツヅキ,KBツヅキ株式会社は、愛知県名古屋市中区に本社を置く紡績メーカー。
MILK_(ファッションブランド),MILK (ミルク) は、有限会社ミルクによる日本のファッションブランド。
NBCメッシュテック,株式会社NBCメッシュテック（エヌビーシーメッシュテック）は、東京都日野市に本社を置くスクリーン印刷用資材等の製造・販売会社である。日清製粉グループ本社の子会社。
Sua,Sua（スーア）は、レディスのアパレル・雑貨を販売する日本のファッションブランド。
THE_FEW,THE FEW (ざ・ふゅー) は日本のファッションブランド。
TSIホールディングス,"株式会社TSIホールディングス（TSI HOLDINGS CO.,LTD.）は、東京都千代田区に本社を置くアパレル企業。"
アークテリクス,アークテリクス（Arc'teryx ）は、衣料品、アウトドア用品を手がけるメーカー。1989年に、カナダ ブリティッシュコロンビア州ノースバンクーバーで設立された。アークテリクスという社名は、最古の鳥類として知られる始祖鳥の学名にちなんでいる。ロゴは、発見された化石の中で最も状態の良いベルリン標本をもとにデザインされている。
アーバンリサーチ,"株式会社アーバンリサーチ（英文表記：URBAN RESEARCH Co., Ltd.）は、大阪府大阪市西区京町堀に本社を置くアパレルメーカーである。1974年7月1日、大阪府門真市に創業したジーンズカジュアルショップを起源とし、1989年11月8日に 株式会社ジグ三信を設立、2001年に株式会社アーバンリサーチへと社名変更した。大阪を中心とした関西地方を拠点とし、2002年には渋谷店、2005 年には名古屋店を開設した。2010年には香港に初出店、2014年に海外現地法人株式会社台湾アーバンリサーチを完全独資で設立した。他に関連会社として、株式会社ロープロデザイン、株式会社URパートナーズがある。企業理念は「すごいをシェアする」「街をにらみ 売り場をさぐり 時代を見通す」。"
アゾンインターナショナル,株式会社アゾンインターナショナル (AZONE INTERNATIONAL) は、神奈川県藤沢市に本社を置く、雑貨や玩具の輸入・製造・卸販売を行う会社である。人形やその衣装の製造・販売が特に知られている。
アツギ,"アツギ株式会社（英文社名：ATSUGI CO.,LTD.）は、日本の繊維製品の製造・販売メーカー。"
アトム_(作業用手袋製造),アトム株式会社（英文名称：Atom Corporation）は、広島県竹原市忠海東町に本社を置く手袋・ゴム靴製造メーカー。
アヤハエンジニアリング,"株式会社アヤハエンジニアリング（AYAHA ENGINEERING CO., LTD.）は、滋賀県東近江市に本社を置く、アヤハグループの計測機器のメーカーである。"
アングル_(肌着メーカー),"アングル株式会社（あんぐる、英称：Angle Co., Ltd. ）は、大阪府柏原市に本社を置く高級肌着の企画・製造・販売をおこなう企業である。"
イーストボーイ,イーストボーイ（EASTBOY）は、日本のファッションブランド。および衣料品の企画・製造・販売等を行う株式会社の社名。
イギン,イギン株式会社（英文名称TOKYO IGIN.）は、東京都港区に本社を置く服飾メーカー。自社ブランドの「東京いぎん」のほか、クロエ、ニナ・リッチやバルマンなど日本国外のファッションブランドと提携して婦人服・婦人小物の商品展開を行っている。
イチカワ,イチカワ株式会社は、東京都文京区本郷に本社を置く抄紙用具および工業用フエルトの製造、販売などを行う企業である。
