JFEスチール,JFEスチール株式会社（ジェイエフイースチール、英名：JFE Steel Corporation）は、日本の大手鉄鋼メーカー（高炉メーカー）である。持株会社・JFEホールディングスを頂点とする「JFEグループ」の中核企業。粗鋼生産量において、日本国内では新日鐵住金に次いで第2位、世界では第5位の規模を持つ。2003年に、川崎製鉄（川鉄）と日本鋼管 (NKK) が統合して発足した。
JFEホールディングス,"ジェイ エフ イー ホールディングス株式会社（英: JFE Holdings, Inc.）は、大手鉄鋼メーカーのJFEスチールやJFEエンジニアリング、大手造船メーカーのジャパン マリンユナイテッドなどを傘下に持つ持株会社である。JFEによれば、社名のJFEは日本 (Japan)、鉄鋼（鉄の元素記号Fe）、エンジニアリング (Engineering) を組み合わせたものであり、また日本を代表する未来志向の企業グループ (Japan Future Enterprise) を意味する。"
JFE条鋼,JFE条鋼株式会社（ジェイエフイーじょうこう、英文社名 JFE Bars & Shapes Corporation）は、JFEスチール傘下の鉄鋼メーカー（電気炉メーカー）である。
TDF_(企業),TDF株式会社（テーデーエフ）は、宮城県柴田郡村田町に本社を置く、自動車、トラック、バスなどの輸送機器用鍛造品の製造・販売を行う企業。いすゞ自動車（株）の関連の1つである。2013年、同じくいすゞ自動車（株）と関係の深い自動車部品工業（株）・（株）アイメタルテクノロジーと経営統合し、持株会社IJTテクノロジーホールディングス（株）の完全子会社となった。
USスチール,USスチール（英語：United States Steel Corporation (U.S. Steel)、NYSE: X）は、アメリカと中央ヨーロッパに大きな生産拠点を持った総合製鉄会社である。2005年の粗鋼生産は1930万トンで、世界7位。USスチールは1991年にUSXコーポレーション（USX Corporation）と改名されたが、2001年に再びUSスチールへ改称した。2006年の時点で、アメリカ合衆国最大の製鉄会社である。
YAKIN川崎,株式会社YAKIN川崎（やきんかわさき）は、かつて存在した神奈川県川崎市川崎区に本社をおく、NASグループ（日本冶金工業グループ）の企業である。
YAKIN大江山,株式会社YAKIN大江山（やきんおおえやま）は、かつて存在した、京都府宮津市に本社をおく、日本冶金工業グループの生産子会社である。
アルセロール・ミッタル,"アルセロール・ミッタル（ArcelorMittal, NYSE: MT）は、2006年にルクセンブルクのアルセロールとオランダのミッタル・スチールの経営統合によって誕生した世界最大の鉄鋼メーカーである。年間粗鋼生産量で世界シェアの約10%を占める。本社はルクセンブルクにある旧アルセロール本社に置かれている。"
イチタン,"株式会社イチタン（英: Ichitan Co., Ltd.）は、群馬県太田市に本社を置くエンジン部品など自動車、産業機器用部品の設計、製造、販売を行う企業である。"
エブラズ・グループ,エブラズ・グループ（ロシア語: Евраз Груп）は、ロシアの大手鉄鋼メーカー。エブラズ・グループ S.A.社（英語: Evraz Group S.A.、LSE: EVR）を親会社とする企業グループの名称で、通常エブラズまたはエヴラズ、エフラスなどと表記される。エブラズ・グループ S.A.社の本店所在地はルクセンブルクにあるが、エブラズ全体の資産管理などをする中心的企業エブラズ・ホールディングLLC社はモスクワにある。国際的な垂直統合型企業で、ロシアの他アメリカ合衆国、チェコ、イタリア、ウクライナなどに鉱山会社・製鉄所などをもつ。世界の15大鉄鋼企業のひとつに数えられ、2009年のフォーチュン・グローバル500では454位にランク付けされたが、2010年、2011年の同ランキングでは共に圏外である。
エンビプロ・ホールディングス,株式会社エンビプロ・ホールディングス（英: ENVIPRO HOLDINGS Inc.）は、静岡県富士宮市に本社を置く日本の鉄鋼業の持株会社である。
タタ・スチール,タタ・スティール（英語：Tata Steel Limited）は、インドマハーラーシュトラ州ムンバイに本社を置く製鉄会社。インドの財閥、タタ・グループの中核となる鉄鋼メーカー。インド国内はもとよりタイ、ベトナム、イランなどにも子会社を展開している。
ナストーア,ナストーア (NAS TOA) は、東京都中央区京橋1丁目に本社をおく、NASグループ（日本冶金工業グループ）のステンレス溶接鋼管メーカーである。
ナス鋼帯,"ナス鋼帯株式会社（なすこうたい、英文名称：NAS STAINLESS STEEL STRIP MFG.CO.,LTD.）は、大阪府大阪市中央区高麗橋4丁目に本社をおく、NASグループ（日本冶金工業グループ）のステンレス鋼帯メーカーである。"
ポスコ,ポスコ（POSCO）は、韓国最大の製鉄会社。かつては浦項総合製鉄という社名だったが、2002年5月に現在の社名に変更した。
モリ工業,モリ工業株式会社（モリこうぎょう、英称：MORY INDUSTRIES INC.）は大阪市中央区西心斎橋に本社を置く鉄鋼、ステンレス管の製造をおこなう企業である。みどり会の会員企業である。
愛知製鋼,愛知製鋼株式会社（あいちせいこう、英: Aichi Steel Corporation ）は、トヨタグループの特殊鋼メーカーである。トヨタアセットマネジメントが販売するトヨタグループ株式ファンドの投資対象企業の1社である。
旭テック,旭テック株式会社（あさひテック、英: ASAHI TEC Corporation ）は、自動車の部品や送電機械などを製造する企業である。かつては日本碍子系であったが、2003年にリップルウッド・ホールディングス（RHJインターナショナル）が筆頭株主となり、2012年からユニゾン・キャピタル傘下となった。
