ABBグループ,ABB は、電力関連、重電、重工業を主たる業とする、スイスに本社を置く典型的多国籍企業で、100カ国以上に進出している。かつてはアセア・ブラウン・ボベリ（Asea Brown Boveri）と称していた。
BOSTEC,株式会社BOSTEC（ボステック）は、券売機、両替機及び売上集計システムの設計・製造・販売メーカー。デジタルプリントシステムの設計・製造・販売も行っている。本社所在地は長野県長野市大豆島。
DMG森精機,"DMG森精機株式会社（ディーエムジーもりせいき、英: DMG MORI SEIKI Co.,Ltd.）は、日本の工作機械製造会社。NC旋盤・MCで最大手格。2013年9月までの旧社名は株式会社森精機製作所。"
FNハースタル,FNハースタル (FNエルスタル、FN Herstal) は、ベルギーの銃器メーカー。かつては国営で、正式社名はファブリック・ナショナル・デルスタル (Fabrique Nationale d’Herstal) だった。略称FN社またはFNH。
IHI,"株式会社IHI（アイ・エイチ・アイ、英：IHI Corporation）は、東京都江東区豊洲に本社を置く、重工業を主体とする日本の製造会社。旧社名は石川島播磨重工業株式会社（いしかわじまはりまじゅうこうぎょう、Ishikawajima-Harima Heavy Industries Co., Ltd,）。2007年7月1日付をもって、従来略称として用いてきたIHIを正式社名に変更した（「H」はHarimaではなくHeavy IndustriesのH）。"
IHIエアロスペース,株式会社IHIエアロスペースとは、日本のロケット飛翔体の総合メーカー。現在は株式会社IHIの子会社であるが、日産自動車株式会社宇宙航空事業部が母体である。主として固体燃料ロケット（ロケットモーター）技術を応用し、各種宇宙用ロケットの開発及び防衛用ロケットの開発と製造を行っている。
IHIシバウラ,株式会社IHIシバウラ（アイ・エイチ・アイ シバウラ）は、長野県松本市に本社を置くエンジン（ディーゼルエンジンなどの産業用エンジン）、農業用機械、医療機器、消防ポンプ等の防災関連機器（シバウラブランド、およびラビットブランド）のメーカーである。『シバウラ』ブランドで知られる。
IHI運搬機械,"IHI運搬機械株式会社（アイエイチアイうんぱんきかい、IHI Transport Machinery Co., Ltd.）は、パーキングシステム・クレーン・コンベヤの開発、設計、販売、製造、据付ならびにメンテナンス、改修を行う企業である。IHIグループのひとつ。"
IHI回転機械,株式会社IHI回転機械（アイ・エイチ・アイ かいてんきかい）は、IHIグループのひとつ。汎用コンプレッサー、船舶及び自動車用過給機、船舶用デッキクレーンの油圧モーター、ジェットエンジン用コンプレッサー翼の製造、並びに汎用機械、大型回転機械を主体としたプラントエンジニアリング及び機器・設備の設計から据付メンテナンス、アフターサービス
IHI建機,IHI建機株式会社（アイ・エイチ・アイ けんき、英文名称: IHI Construction Machinery Limited.）は、日本の建設機械メーカー。旧石川島建機株式会社。IHIグループに属する。
JPS_(パチスロ),株式会社JPS（じぇい・ぴー・えす）は大阪府の企業。主にパチスロ機の製造を行う。同社が初めて導入した機能の主なものにリプレイタイムを利用した天井機能の導入（ホークIII）メダルが一定の純増枚数になるまで継続するART（リプレイタイムとアシストタイムが複合した形）の導入（アストロ球団）ボーナスフラグ成立後に突入するARTにより実質的な出玉増を実現（2027）などがある。
JUKI,JUKI株式会社（じゅーき、英称：JUKI CORPORATION）は、東京都多摩市に本社を置く日本の製造業である。主力事業の工業用ミシンのシェアは日本、世界ともに1位。世界中の有名アパレルブランドで使われている。日本以外にもアメリカ、ヨーロッパ、アジア、中国にグループ企業を展開する。呼称はアルファベッドのJUKIを用いている。
KITANO,株式会社KITANO（きたの）は、徳島県小松島市田野町に本社を置くDVD-ROM、各種自動化機械の製造を行う会社。
KVK,株式会社 KVK（ケーブイケー）は、岐阜県岐阜市に本社を置く水栓金具などを製造している企業である。1939年創業。
NTN,NTN株式会社 (NTN Corporation) は、大阪市西区に本社を置く日本の軸受（ベアリング）製造会社である。日本精工、ジェイテクトとともに、日本の軸受製造業界大手3社の一角を占める。三和グループに属する。
NTN羽咋製作所,株式会社NTN羽咋製作所（エヌティーエヌはくいせいさくしょ、NTN HAKUI CORPORATION）は、「NTN」の産業機械用軸受の旋削加工を行う企業である。
NTN能登製作所,株式会社NTN能登製作所（エヌティーエヌのとせいさくしょ、NTN NOTO CORPORATION）は、「NTN」の産業機械用軸受を生産する企業である。
NTN宝達志水製作所,株式会社NTN宝達志水製作所（エヌティーエヌほうだつしみずせいさくしょ、NTN HOUDATSU SHIMIZU CORPORATION）は、「NTN」の超大形軸受の完成品を生産する企業である。
SMC,SMC株式会社（エスエムシー - ）は、東京都千代田区に本社を置く、空圧機器などを製造・販売する企業。
TAIYO_(企業),"株式会社TAIYO（タイヨー、英: TAIYO, LTD.）は、油圧・空気圧機器の製造を行う企業。本社は大阪府大阪市東淀川区に所在。"
TCM_(企業),TCM株式会社（ティーシーエム）は、産業革新機構を中心として設立されたユニキャリアグループの輸送機器などのメーカーである。2013年（平成25年）4月1日、日産フォークリフト株式会社を吸収合併し、ユニキャリア株式会社となった。
THK_(機械メーカー),"THK株式会社（ティエチケー、英: THK Co., Ltd.）は日本の機械要素部品メーカーである。"
TOWA,TOWA株式会社（トーワ）は、京都府京都市南区に本社を置く精密金型、半導体製造装置メーカー。
