5LINKS,5LINKS（ファイブリンクス ）は、東京都杉並区宮前に本社をおく折り畳み自転車の専業メーカー及びその商品名。5LINKSのネーミングには「5LINKSに乗って走るもよし、携帯するもよし、電車に、自動車に、船に、飛行機にも積んで、世界の5大陸を移動しよう」という願いが込められている。
5ZIGENインターナショナル,5ZIGENインターナショナル株式会社（ごじげんインターナショナル、英: 5ZIGEN INTERNATIONAL INC.）は、大阪府八尾市に本社を置く自動車部品メーカー。主にマフラーやアルミホイールの製造・販売を行っている。
A・S・ヤコヴレフ記念試作設計局,A・S・ヤコヴレフ記念試作設計局 (Опытно-конструкторское бюро имени А.С. Яковлева オーカーベー・イーミェニ・アリクサーンドラ・スィルギェーイェヴィチャ・ヤーカヴリェヴァ)は、ソ連・ロシア連邦の航空機メーカーである。略称 ОКБ им. А.С. Яковлева。単にヤコヴレフ設計局、ヤコヴレフまたはヤクという略称でも呼ばれる。アレクサンドル・セルゲーエヴィチ・ヤコヴレフ (1906年1989年)が開設を命ぜられた。
Apex,Apex株式会社（アペックス-）は、日本の自動車用チューニングパーツメーカー。本社は東京都八王子市松木。自動車パーツブランド表記はA'PEXi。
ASK_TRADING,株式会社ASK TRADING（エーエスケートレーディング ）は、埼玉県三郷市に本社を置く自転車・自転車部品メーカーおよび輸入商社、セキュリテイ機器メーカー・販売商社。自社の自転車ブランドはBOMA（ボーマ）、セキュリティ機器のブランドはCEPSA（セプサ）。
ASブレーキシステムズ,"ASブレーキシステムズ株式会社（エーエスブレーキシステムズ、AS Brake Systems, Inc. ）は、日本の自動車用ブレーキメーカー。住友電気工業からアイシン精機に事業譲渡された住友電工ブレーキシステムズの業務を、アイシン精機への生産移管が完了するまでの暫定法人として設立された。"
AvtoKrAZ,"持株会社「AvtoKrAZ」(KhK AvtoKrAZ、アウトクラーズ、アフトクラーズ；ウクライナ語:ХК ""АвтоКрАЗ""アウトクラーズ；ロシア語:ХК ""АвтоКрАЗ""アフタクラーズ)は、ウクライナの自動車メーカーを束ねる持株会社(Холдинговая Компания)のひとつである。中部ウクライナの都市クレメンチュークに本拠を置き、大型車輌を主に自動車の開発・製造を行っている。また、AvtoKrAZは国際規格としてISO 9001:2000を取得している。旧称はクレメンチューク自動車工場(Кременчуцький автомобльний заводクレメンチューツィクィイ・アウトモビーリヌィイ・ザヴォード；Кременчугский автомобильный заводクリミンチュークスキイ・アフタマビーリヌィイ・ザヴォート)で、その略称KrAZ(КрАЗクラーズ)に「自動車」を意味する「авто」を付けて新しい社名とした。なお、公式ホームページでは大文字と小文字の使い分けが判然としない部分がある。企業名は恐らく正式にはAVTOKRAZやAvtoKRAZではなくAvtoKrAZであるが、車両商標についてはKrAZとKRAZが混在している。このページでは、特に企業名と違える根拠もないため、企業名に合わせ商標についてもKrAZを用いることとする。"
BBSジャパン,BBSジャパン株式会社は、車輛用軽合金ホイールの輸出入及び国内製造販売する自動車部品製造メーカーである。かつては小野ホールディングスの子会社であったが、小野グループの経営破綻により、前田工繊の傘下となった。元はワシマイヤー株式会社の社名で鍛造ホイール製造を行ってきたが、2013年12月1日に日本BBS株式会社とワシ興産株式会社を吸収合併し、現社名に変更した。
BLITZ,株式会社ブリッツは、カーチューニングパーツ（ターボ、コンプレッサー、マフラー、エアクリーナー、メーター、燃料制御コンピューター、インタークーラー、エアロ、バイナル等）の企画、製造、販売を目的とする日本の企業。1981年設立。BLITZはドイツ語で稲妻と言う意味。2002年より野村謙とともに、全日本プロドリフト選手権（D1グランプリ）に参戦している。「電脳集団」とたびたび称され、その通り電子系統パーツ（特に既存の電子系統をさらなる調整が可能になるコントローラーが多い）などの最新の電子機器を満載した新型車への対応もいち早く行っている。
CAF_(企業),CAF（Construcciones y Auxiliar de Ferrocarriles）は、スペインの鉄道車両メーカーである。主な製品として機関車や鉄道車両、様々なボギー台車に対応出来る軌間可変車軸などがある。CAFは香港MTR、ワシントンメトロ、サクラメント地域交通、アレゲーニー郡港湾局（ピッツバーグのLRT）などへ車両を納入している。最新の顧客の一つはアイルランドのイルンロード・エールンであり、多くの客車とDVTを発注した。CAFはまた、2009年に部分開業したイスタンブル・アンカラ間高速鉄道向けの車両を製造した。2004年2月、レンフェ（スペイン国鉄）は時速250kmでの地域輸送サービス向けに交流25000V / 直流3000V対応の軌間可変電車を2006年10月から2009年5月まで5億8000万ユーロでCAFとアルストムから購入する契約を結んだ。また、2005年8月24日、CAFはメキシコシティ都市圏郊外鉄道（Ferrocarril Suburbano de la Zona Metropolitana de Mxico）の30年間の車両供給権及び鉄道建設権・運営権を連邦区から得た。
CNHインダストリアル,CNHインダストリアル (CNH Industrial) は産業機械や商用車の製造・販売を手がける多国籍企業である。オランダで法人登記が行われ、イギリス・ロンドンに本社を構える。アニエッリ家の投資会社であるイタリアのエクソールが筆頭株主である。
DRD,"株式会社 DRD（ディーアールディー、DRD Co,. Ltd. ）は、テンプホールディングスグループの、主として開発・設計、実験業務を行う企業。2013年5月31日まではUDトラックス（旧・日産ディーゼル工業）の子会社だった。"
G・M・ベリーエフ記念タガンローク航空科学技術複合体,G・M・ベリーエフ記念タガンローク航空科学技術複合 (ロシア語: Таганрогский авиационный научно-технический комплекс имени Г. М. Бериева タガンロークスキイ・アヴィアツィオーンヌィイ・ナウーチュナ・チフニーチェスキイ・コームプリェクス・イーミェニ・ゲー・エーム・ビリーイェヴァ、ТАНТК имени Г. М. Бериева) は、ロシア連邦の航空機メーカーである。主として飛行艇や水陸両用機の開発で知られる。ソ連時代は特にベリエフ設計局として知られる。
GMB_(企業),駆動系部品のOEM供給と補修用部品を製造販売する独立系自動車部品メーカー。
IJTテクノロジーホールディングス,"IJTテクノロジーホールディングス株式会社（英:  IJT Technology Holdings Co., Ltd. ）は、自動車部品工業・アイメタルテクノロジー・TDFなどを傘下に持つ持株会社である。いすゞ自動車の子会社。"
KIホールディングス,KIホールディングス株式会社（ケイアイホールディングス）は、神奈川県横浜市戸塚区に本社を置く、航空機シート製造を行う事業持株会社。1967年に小糸製作所の事業の内、鉄道車両用機器・シート部門ならびに照明・電気機器部門を継承した。2011年8月1日に航空機シート以外の事業については「コイト電工」として分社した。本項目ではコイト電工株式会社についても説明する。
M-TEC,"株式会社M-TEC（エムテック、M-TEC Co., Ltd.）は、ホンダ車用アフターパーツの製造販売やレース用エンジンの開発製造を行う日本の企業。2003年設立。"
M・L・ミーリ記念モスクワ・ヘリコプター工場,M・L・ミーリ記念モスクワ・ヘリコプター工場 (Московский вертолетный завод им. М.Л. Миля マスコーフスキイ・ヴィルタリョートヌィイ・ザヴォート・イーミェニ・ミハーイラ・リオーンチイェヴィチャ・ミーリャ) は、ソ連およびロシアの航空機メーカーであった。カモフと並ぶロシアの代表的なヘリコプター製造メーカーであった。2007年に、カモフらと共に合併し、ロシアン・ヘリコプターズとなった。略称はMVZまたはM・L・ミーリ記念MVZ (МВЗ им. М.Л. Миля)。旧ソ連時代はミル設計局として知られている。なお、「ミル」は英語文献経由の読み方で、ロシア語としては「ミーリ」が正しい。
MiG,"公開株式会社「ロシア航空機製作会社『MiG』」（Открытое акционерное общество Российская самолётостроительная корпорация МиГ“ アトクルィータイェ・サマリョタストライーチェリナヤ・カルパラーツィヤ・ミーグ）は、ロシア連邦の航空機設計企業（公開会社）である。略称RSK ""MiG""（РСК МиГ“）。ソ連時代のA・I・ミコヤーンとM・I・グレーヴィチ記念設計局 (ОКБ и.м. А.И.Микояна и М.И.Гуревича) が母体となっており、一般に「ミグ」と略称される。日本語表記としては「ミグ」「MiG」「ミコヤン」「ミコヤン・グレヴィッチ」「ミコヤン・グレビッチ」などが使われる。このページでは「ミグ」に統一している。"
NOK_(企業),NOK株式会社（エヌオーケー、NOK Corporation）は東京都港区に本社を置く自動車部品、電子部品等を製造・販売する総合部品メーカー。
PSA・プジョーシトロエン,PSA・プジョーシトロエン（PSA Peugeot Citron。仏略称:Groupe PSA)は、プジョー自動車を製造発売する「オートモビル・プジョー社」およびシトロエン自動車を製造発売する「オートモビル・シトロエン社」をはじめとする事業会社を保有する、フランス共和国の自動車・工業持株会社「プジョー株式会社」（Peugeot Socit Anonyme。略称:PSA）のグループ名称である。
R&D_SPORT,R&D SPORT（アールアンドディースポーツ）は、日本のレーシングチーム。正式商号は株式会社アールアンドデースポーツ。元々はレーシングカーコンストラクターの東京R&Dの関連会社だったが、2008年3月末で資本関係を解消している。
