CBCオプテックス,CBCオプテックス株式会社（シービーシーオプテックス）は、東京都大田区に所在する、反射防止膜、バンドパスフィルター、ダイクロイックミラー、ダイクロイックフィルター、レーザーミラー、NDフィルター、金属膜、ビームスプリッター、透明電極膜等の光学フィルターを、小ロット試作用から量産にいたるまで、蒸着することにより製造している会社である。
HOYA,HOYA株式会社（ホーヤ、HOYA Corporation）は、日本の光学機器・ガラスメーカー。みどり会の会員企業である。
IMV,IMV株式会社（英: IMV Corporation）は、大阪府大阪市西淀川区に本社を置く振動試験装置、地震計や振動計などの業務用計測器メーカーである。
JFEアドバンテック,JFEアドバンテック株式会社（ジェイエフイーアドバンテック）は、JFEスチールの子会社で、計量器、水位計、設備診断機器、計測機器などの製造販売を行う企業である。
JR東日本テクノロジー,JR東日本テクノロジー株式会社（ジェイアールひがしにほんテクノロジー、JRTM）は、東京都豊島区に本社を置く、鉄道車両メンテナンスおよび鉄道車両製造を行う会社である。東日本旅客鉄道（JR東日本）の完全子会社（連結子会社）。
JR東日本メカトロニクス,JR東日本メカトロニクス株式会社（ジェイアールひがしにほんメカトロニクス、JREM）は、東京都渋谷区に本社を置く、システムインテグレータおよび駅務機器製造メーカーで、メンテナンス会社である。東日本旅客鉄道（JR東日本）の完全子会社（連結子会社）。
LPL_(写真),株式会社LPL（えるぴーえる）は、引き伸ばし機、自動現像機、三脚などの写真関係の機材の製造などを手がけるメーカーである。本社は東京都東村山市。
S・A・ズヴェーレフ記念クラスノゴールスク工場,S・A・ズヴェーレフ記念クラスノゴールスク工場（クラスノゴールスク機械工場、ロシア語 Красногорский Механический Завод クラスナゴールスキイ・ミハニーチェスキイ・ザヴォート、英語 Krasnogorsk Mechanical Factory）は、ロシアのカメラメーカー・レンズメーカーである。工場名は、所在地であるモスクワの地区名クラスノゴールスクに由来する。略称KMZ（КМЗ カーエームゼー）。
TECH海発,TECH海発（てっくかいはつ）は、新潟県小千谷市に本社を置く、精密機械加工会社である。社名のTECHは「テクノロジー&テクニシャンズ」の意。
アールエフ,"株式会社アールエフ（RF Co., Ltd.）は、長野県長野市に本社を置く医療機器・映像機器メーカー。"
アイシーエフ_(京都府),アイシーエフ株式会社は、京都府京都市中京区にあった半導体製造機器メーカーである。
アズビル金門,アズビル金門株式会社（アズビルきんもん）は、ガスメーター、水道メーターなどを製造する日本の精密機器メーカーである。
アダマンド,"アダマンド株式会社（英称：Adamant Co., Ltd.）は、光半導体・医療・理化学向け精密部品の開発・製造・販売を行う企業である。"
アルス電子,アルス電子株式会社は、福島県本宮市に本社を置く半導体製造企業。
アルテル,株式会社アルテル (ALTEL Inc.) は日本で設立され、現在は中華人民共和国・上海市にグローバル事業統括拠点を置く通信機器販売会社。
いけうち,"株式会社いけうち（英語: H.IKEUCHI Co.,Ltd. ）は、大阪府に本社を置くスプレーノズル専門メーカーである。"
イシダ,"株式会社 イシダ（英称：ISHIDA CO.,LTD.）は、京都府京都市左京区に本社を置く主に業務用の計量・包装機の製造販売をおこなう企業である。"
