2Dfacto,2Dfacto（トゥ・ディファクト）は、NTTドコモのスマートフォンや電子ブックリーダーを対象とした電子書籍配信を行うNTTドコモ上でのサービスの名称、およびオンライン書店、マルチプラットフォーム型電子書籍サイト「honto」を運営する企業である。
Active_Enterprises,『Active Enterprises』(アクティブ　エンタープライゼス)とは、かつてバハマ国に存在した企業。
As-meエステール,"As-meエステール株式会社（アズミーエステール、英: As-me ESTELLE Co., Ltd.）は、東京都港区に本社を置き宝石の輸入および宝飾品の製造・販売をする企業である。"
BAEシステムズ,BAEシステムズ（英語:BAE Systems plc）とは、1999年に設立されたイギリスの国防・情報セキュリティ・航空宇宙関連企業である。本社はハンプシャー州ファーンボローにある旧ブリティッシュ・エアロスペース本社だが、登記上の本社所在地はロンドンシティ・オブ・ウェストミンスターである。北アメリカに進出した子会社のBAEシステムズ・インク（BAE Systems Inc.）を介して世界的な影響力を持つ。航空宇宙関連企業としてはヨーロッパ最大の規模を有すほか、軍需・国防分野においても、2008年に売上高が米ドルベースで約324億2000万ドルを記録、ボーイングやロッキード・マーティンなどアメリカ系の企業を抑えて同分野の売上高世界第1位を記録するなど、事業規模の大きな企業として知られる。2009年についても、売上高1位の座はロッキードに明け渡したものの、売上高約332億5000万ドル（米ドルベース，英ポンドベースでは約224億ポンド）でロッキードに次ぐ2位に付けている。BAEシステムズが英語の社名に従ったより正確な表記であるが、しばしばBAEシステムとも表記される。多くの場合、傘下の多数の企業を含めた単一のコングロマリットとして扱われる。BAEはアクサ（9.02%）、バークレイズ（3.98%）、フランクリン・リソース及び系列会社（4.92%）、リーガル・アンド・ジェネラル（4.07%）、ブラックロック（4.96%）が、自社にとって重要な株主だと発表した。
DNPフォトイメージングジャパン,株式会社DNPフォトイメージングジャパンは、東京都中野区に本社を置く大日本印刷の写真関連事業子会社である。
E★エブリスタ,E★エブリスタとは、DeNAとNTTドコモとの共同出資企業、株式会社エブリスタが提供する、小説やコミック等の投稿コミュニティサイト（UGC）である。
FDKトワイセル,"FDKトワイセル株式会社（エフディーケイトワイセル、FDK TWICELL CO.,LTD.）は、かつて存在したFDKグループの電池メーカー。群馬県高崎市に本社を置いていた。民生用ニッケル水素電池の研究開発および製造とこれらを応用したシステム電池モジュールの開発および製造をおこなっていた。2014年12月1日にFDKが吸収合併し、解散した。"
SANYO-CYP,株式会社SANYO-CYP（サンヨーシーワイピー）は、大阪市中央区に本社を置く印刷会社である。
SHOEI,株式会社SHOEI（ショウエイ）は、東京都台東区に本社を置くヘルメットメーカー。
SMエンターテインメント,"株式会社エスエム・エンタテインメント（S.M. Entertainment Co., Ltd.、以下「SM」）は、大韓民国ソウル市に本社を置くコスダック上場の総合エンターテインメント会社。通称はSMエンターテインメント（SM）。韓国の大手芸能事務所及びレコード会社。"
SPIDI,SPIDI（スピーディ、スピーディー）は、イタリアヴェネト州ヴィチェンツァ県サレーゴにあるオートバイ用品メーカーである。
