ANZENグループ,ANZENグループ（あんぜんグループ ANZEN Group株式会社）は、東京23区武三地区を営業地域にしていた運行車両数約640台のタクシー事業者である。
ATAC,ATAC（アタク）は、イタリア・ローマの公共交通会社である。「Azienda Tranvie ed Autobus del Comune di Roma」（ローマのコムーネの路面電車とバスの会社）のアクロニムだったが、ローマ市（コムーネ）から分離され公共交通を委託される株式会社となった現在では「Agenzia per i Trasporti Autoferrotranviari del Comune di Roma」（ローマのコムーネのバスと鉄道と路面電車を扱う会社）の略としている。
By-Qホールディングス,株式会社By-Qホールディングス（ばいきゅーホールディングス）は東京都渋谷区に本社を置く、バイク便のBy-Qや自転車便のサイクル急便、軽四輪のQカーゴやQ配サービスなどを傘下に持つ持株会社である。傘下であり、中核企業であるBy-Qはソクハイ、セルート、新ダット・ジャパンと並んでバイク便の大手4社の1つとされる。中核企業であるBy-Qの前身・株式会社バイク急便は、まだ国内でバイク便の認知度が低かった1985年に渋谷区笹塚で創業された。1991年には売上高が10億円を超えたが、バブル期の事業拡大に失敗し、1993年には倒産の危機にも直面した。その後は事業を立て直し、本業に関連する自転車便や軽四輪運送、運転代行サービス(現在は売却)も手掛けるようになった。2005年には、業界大手他社に先駆けていち早く持株会社・株式会社By-Qホールディングス(本項)を設立し、以降はグループの統括機能を当社に移した。同業他社と比べて、M&Aによる多角化に積極的なことで知られる。
HIMAWARI_(宮崎県),有限会社HIMAWARI（ひまわり、通称：ひまわりタクシー）は、宮崎県日向市に本社を置くタクシー・バス事業者である。社団法人日本バス協会の会員である。
HINODE&SONS,HINODE&SONS（ひのであんどさんず）は岡山県倉敷市に本社を置く日本の運輸会社グループの持株会社である。
HKB,HKB株式会社（エイチケービー）は、北海道函館市に本社を置くバス事業者。函館市を中心にバス事業ならびに旅行業を営業する。2012年に檜山観光バスより社名変更。
IGRいわて銀河鉄道,アイジーアールいわて銀河鉄道株式会社（アイジーアールいわてぎんがてつどう）は、岩手県盛岡市に本社を置く、第三セクター方式の鉄道事業者である。東日本旅客鉄道（JR東日本）から引き継いだいわて銀河鉄道線を運営するほか、旅行業や不動産事業も営んでいる。なお、IGRのGは、「銀河」の英訳であるGalaxyであって、Gingaではない。
IRいしかわ鉄道,IRいしかわ鉄道株式会社（アイアールいしかわてつどう）は、石川県金沢市に本社を置く第三セクター方式の鉄道事業者（第三セクター鉄道）である。
JAえひめ物流,JAえひめ物流株式会社（じぇいえいえひめぶつりゅう）は、愛媛県松山市に本社を置く陸運会社。全国農業協同組合連合会のグループ会社で愛媛県産の農作物・農作加工品、生産資材等を主に輸送している。
JPエクスプレス,"JPエクスプレス株式会社（英文名称：JPExpress Co., Ltd.）は、東京都港区に本社があった、かつて運輸業を事業としていた会社。略称は、JPEX。2010年7月1日、JPエクスプレス宅配便（ペリカン便）は、郵便事業株式会社の「ゆうパック」ブランドに統合されることとなった。これに伴い、同年8月31日付けで法人を解散し、清算会社へ移行した。その後、9月30日に東京地方裁判所より特別清算開始決定を受けた。"
JR九州バス,JR九州バス株式会社（ジェイアールきゅうしゅうバス）は、九州のバス事業者の一つで、九州旅客鉄道（JR九州）の100%子会社である。本社を福岡県福岡市博多区堅粕二丁目22番2号に置く。高速バス・一般路線バスのほか、貸切バス事業や定期観光バスの運行も行なっている。
KORAIL空港鉄道_(企業),空港鉄道（くうこうてつどう）株式会社は、大韓民国ソウル特別市龍山区にあるソウル駅と仁川広域市の仁川国際空港とを結ぶ空港連絡鉄道を運営する鉄道事業者。本社は仁川広域市西区にある。愛称はA'REX（エイレックス）。
New松本引越センター,New松本引越センター（ニューまつもとひっこしセンター）は、大阪市北区に本社を置く株式会社まつもとがフランチャイズ展開する日本の貨物輸送運輸業者である。破産した松本引越センターから同社が業務を引き継いで営業している。フランチャイズ方式を取っており、関東、東海、関西、四国、九州に加盟店がある。また、旧・松本引越センター時代に使用していたフリーダイヤルの電話番号は、現在利用できなくなっている。
SBSフレック,SBSフレック株式会社は、SBSホールディングスに属する食品物流を主体とした総合物流企業。
SBSホールディングス,SBSホールディングス株式会社（エスビーエスホールディングス）は、東京都墨田区に本社を置く運送、不動産賃貸管理業、金融、人材事業会社である。「SBS」とは前身の総合物流システム「Sougo Butsuryu System」の頭文字をとった略であり、静岡県に本社のある静岡放送および静新SBSグループとはロゴの形が似ているものの、当然ながら一切無関係である。
SBSロジコム,SBSロジコム株式会社は、SBSホールディングス傘下の総合物流企業。(旧々・東急ロジスティック株式会社　旧・ティーエルロジコム株式会社
SBS即配,SBS即配株式会社は、かつて存在したSBSホールディングス傘下の即日配達事業を行っていた運送企業。2015年7月1日にSBSサポートロジ株式会社へ吸収合併され、SBS即配サポート株式会社となっている。
SGホールディングス,"SGホールディングス株式会社（英語: SG Holdings Co.,Ltd.）は、京都市南区に本社を置く、佐川急便グループの純粋持株会社。陸運業界ではヤマトホールディングスに次ぐ国内2位でシェアは33%。"
Shonai観光,有限会社Shonai観光（しょうないかんこう）は、福岡県飯塚市に本社を置くタクシー・バス事業者である。
SOUDA,有限会社SOUDA（そうだ）は、長崎県平戸市に本社を置いていたバス事業者である。バス事業においては、「平戸バス」のブランドで事業展開を行っていたほか、高速バス「YOKAROバス」を運行し、大分県竹田市にも営業所を置いていた。公益社団法人日本バス協会に加盟していた。2013年9月、日本再生トラストの出資により株式会社YOKAROに社名変更、経営陣も交代した。
WILLER_TRAINS,"WILLER TRAINS 株式会社（ウィラートレインズ、英名：WILLER TRAINS,Inc.）は、京都府宮津市に本社を置き、『京都丹後鉄道』（きょうとたんごてつどう、英名：Kyoto Tango Railway、略称：『丹鉄』（たんてつ））の名称で列車の運行、乗車券等の販売等の事業を行う鉄道事業者（第二種鉄道事業者）。高速バス（元ツアーバス）運行大手のWILLER EXPRESS（ウィラーエクスプレス）グループを傘下に持つWILLER ALLIANCE（ウィラーアライアンス）の完全子会社。第三セクター鉄道の北近畿タンゴ鉄道 (KTR) より列車の運行、乗車券等の販売等の事業を譲受し、2015年（平成27年）4月1日より運行を開始した。"
ZIPANGバス,ZIPANGバス株式会社（ジパングバス・じぱんぐバス）は岐阜県に拠点を置く貸切バス専業のバス事業者である。かつては「岐阜中央観光バス」という社名でバスを「旅の主役」として位置付け、豪華な貸切車を多く保有していたことで有名。また、「ZIPANG」ブランドは、以後同社の代名詞ともなっており、現在の社名にも使用されている。
アーク引越センター,アーク引越センター株式会社（アークひっこしセンター、AAKU HIKKOSHI CENTER）は、愛知県名古屋市中川区に本社を置く引越を中心とする運送会社である。青いアーチ型の模様に赤字の「0003」をあしらったロゴマークで、トラックもこのデザインである。なお、孫悟空のキャラクターの全く同じ名称の引越業者が東京都にあるが、本社とは全くの別会社である。こちらの英字綴りは Arc Moving となっている。
アートコーポレーション,アートコーポレーション株式会社（英: ART CORPORATION）は、大阪府大東市に本社を置き、引越業の「アート引越センター」を運営する総合運送業である。みどり会（UFJグループ）の会員企業である。
アートバンライン,アートバンライン株式会社は、アートコーポレーションの物流事業強化のために設立された企業である。また、同じアートコーポレーション傘下のダックを吸収合併したため、ダック引越センターを運営する企業。取引先はアートコーポレーション及び、大手メーカーのロジスティクス部門なども担当している。
あいの風とやま鉄道,あいの風とやま鉄道株式会社（あいのかぜとやまてつどう）は、富山県富山市に本社を置く、第三セクター方式の鉄道事業者（第三セクター鉄道）である。
あいら交通,あいら交通（あいらこうつう）は、鹿児島県姶良市に本社を置く貸切バス、タクシー・ハイヤー等を運営する事業者である。
あい交通,有限会社あい交通（あいこうつう）は、宮崎県児湯郡都農町に本社を置くタクシー・バス事業者である。社団法人日本バス協会の会員にはなっていない。
あおい交通,あおい交通株式会社（あおいこうつう、Aoi Traffic Corp. ）は、愛知県小牧市に本社があるバス・タクシー会社である。小牧市などの北尾張地方で、主にコミュニティバスや路線バスの運行などを行なっている。
アサヒロジスティクス,アサヒロジスティクス株式会社は、埼玉県比企郡嵐山町に本社を置く中堅物流事業者である。食品物流を専門とし、スーパーマーケット、外食産業、コンビニエンスストア、食品メーカーの物流を3PLの形態で行っている。ヤオコー、セブン-イレブン、すかいらーく、レインズインターナショナル、小田急OXなど有力企業の配送・保管・仕分け等のセンター運営業務を手がける。安全・品質の向上とコンプライアンスへの取り組みを積極的に行っており、安心安全なサービスの提供を進めている。近年では、関東一円での共同配送網の構築に力を入れており、外食産業の店舗配送や各種センター納品をローコストで提供できる体制が整ってきた。2011年春には、千葉県松戸市に「松戸共配センター」を竣工することが発表されている。車両台数は550台。アサヒグループホールディングス・アサヒビールなどで構成されるアサヒグループとは無関係（ちなみにアサヒグループにも、同じく流通事業者であるアサヒロジ株式会社が存在する）。
あさひ交通,あさひ交通株式会社（あさひこうつう）は、山形県鶴岡市下名川（旧：東田川郡朝日村）に本社を置いていた、庄交ホールディングス傘下のかつて存在したバス事業者である。庄内交通より朝日地区ローカル線を譲り受けて営業を開始した。2014年4月1日で、再度庄内交通株式会社に合併となり、かつての本社は庄内交通朝日営業所となった。
アシスト_(タクシー),アシストは、東京都墨田区東墨田を拠点に輸送、タクシー、飲食店事業などを展開する会社である。創業者は山中達夫。
あすか交通,あすか交通株式会社（あすかこうつう）は、ビィー・トランセホールディングス傘下の千葉市美浜区に本社を置くバス事業者である。同区幸町団地周辺における乗合バス事業のほか、「ASKA」の愛称で貸切バス事業も営む。女性運転手が多く所属している。
アタゴ商事,アタゴ商事有限会社（アタゴしょうじ）は、長崎県佐世保市に本社を置くバス事業者である。通称、アタゴ観光バス（アタゴかんこうバス）。佐世保市船越町において貸切バス事業を営んでいたが、西肥自動車（西肥バス）が佐世保市柚木地区の不採算路線から撤退した際に廃止代替バスの運行を受託し、乗合バス事業に参入した。
アタミロープウェイ,アタミロープウェイは、静岡県熱海市にある索道。株式会社東京ドームの関連会社である株式会社アタミ・ロープウェイが運行している。
あつまバス,あつまバス (Atsuma Bus) は、北海道勇払郡厚真町に本社を置き、バス事業およびタクシー事業を行う企業である。元は早来鉄道（はやきたてつどう）という名の鉄道事業者であったが、鉄道廃止・社名変更を経て現在に至る。
あづま交通,あづま交通（あづまこうつう）は、鹿児島県鹿児島市を中心にタクシー事業、貸切バス事業などを行う事業者である。1960年代製造のボンネットバスを2台保有し、西大山駅を拠点とする旅行商品「ディスカバリーIBUSUKI号」を運行している。
あつみ交通,あつみ交通株式会社（あつみこうつう）は、山形県鶴岡市湯温海に本社を置く、庄交ホールディングス傘下のかつて存在したバス事業者である。庄内交通より鶴岡市温海地区ローカル線を譲り受けて営業を行っていた。2014年4月1日より、再度庄内交通株式会社に合併となり、かつての本社は庄内交通温海営業所となった。
アリーナ_(バス),アリーナは、長野県長野市に拠点を置く貸切バス事業者である。
アルピコグループ,アルピコグループは、アルピコホールディングス株式会社を持株会社とし、傘下のアルピコ交通（旧称：松本電気鉄道）を中核企業として、長野県を中心に事業展開を行う企業グループである。
アルピコハイランドバス,アルピコハイランドバスは、長野県松本市に本社を置く、アルピコグループに属するアルピコ交通の観光貸切バスのブランド名である。
アルピコ交通,"アルピコ交通株式会社（アルピコこうつう、ALPICO Kotsu Co.,ltd.）は、長野県松本市井川城二丁目1番1号に本社を置き、長野県で鉄道・バス事業を中心に営む会社である。アルピコホールディングス株式会社の完全子会社であり、アルピコグループの中核企業である。旧社名は松本電気鉄道（まつもとでんきてつどう）。"
アルプス物流,"株式会社アルプス物流（アルプスぶつりゅう、Alps Logistics Co., Ltd.）は、神奈川県横浜市に本社を置くアルプス電気傘下の運送会社である。"
あわら観光,あわら観光株式会社（あわらかんこう）は、福井県あわら市に本社を置くバス、タクシー事業者である。
あんしんネット21,あんしんネット21は、愛知県名古屋市中村区畑江通に本社を置く、つばめグループに属するタクシー会社である。また、同グループが展開する介護事業を行う5社のうちの1社で、名古屋地区における介護事業の主たる事務所が本社ではなく、守山営業所にある。（岐阜地区の介護事業はつばめ自動車岐阜支社が行う）また、2000年に2つの会社が合併して現社名になった為、営業所によって前身会社がそれぞれ違う。（旧社名は営業所の項目で後述する）
イーグルバス,イーグルバスは、埼玉県川越市に本社を置くバス事業者である。元々は、川越市や東松山市周辺など埼玉県南西部地域を中心とした企業や学校送迎などの特定バスや観光バス専門事業者であったが、2003年より路線バス事業に進出した。なお、首都圏の多くの大手路線バス事業者が運行する路線で使えるバス共通カードやPASMO等は利用は出来ない。現金または自社線用の回数券・定期券のみ利用出来る。
イースタンモータース,イースタンモータース東京(Eastern Motors)は東京都を中心としたタクシー会社である。1946年創業。現在の本社は江東区新木場にある。23区内にある直営の営業所はEM自交無線に加盟する。その他の地域は自社無線で顧客のオーダーに対応している。（東京都多摩地域=E無線、神奈川=EK無線、千葉=EC無線、埼玉=ES無線）。2000年に廃業したイースタン観光バスもグループ企業だった。1999年に大阪の北港梅田ハイタク事業協同組合に買収され、同グループに加盟し、社名をイースタンモータース東京とした。　なお、かつて世田谷区千歳台でボルボ車の販売を行なっていたことがあるが、福井県の輸入車ディーラー「イースタンモータース」や京都府でボルボ・カーズを販売していた「ニューイースタン」（2006年夏頃閉店）とは無関係。資本関係にあった住友商事との兼ね合いで、営業車両には1980年代から、マツダがタクシー車両の生産から撤退する1995年まで、一貫してマツダ車（中型車＝ルーチェ（LA4・HB・HC系）、小型車にはカペラ、カスタムキャブ）を使用していた。このためマツダがスポンサーを担当したドラマでは、同社のタクシーが劇中に登場した。また、フジテレビ内にハイヤー営業所を置いていたことや、営業エリア内に調布日活撮影所、砧東宝撮影所、国際放映（東京メディアシティ）など多くの撮影所があることから、ドラマ撮影などで使用されることがあった。イースタンエアポートモータース（大田区羽田旭町）は系列企業だったが、全日本空輸が買収売却後、両備ホールディングスが買収し運営中。
いずみ観光,いずみ観光株式会社（いずみかんこう）は、愛媛県今治市に本社を置き、貸切バス事業やタクシー事業などを行っている企業。
いすみ鉄道,いすみ鉄道株式会社（いすみてつどう）は、千葉県夷隅郡大多喜町に本社を置き、日本国有鉄道（国鉄）特定地方交通線の一つだった木原線を引き継いだ鉄道路線いすみ線を運営する、沿線自治体などが出資する第三セクター方式の鉄道事業者。
イスラエル鉄道,イスラエル鉄道（イスラエルてつどう、ヘブライ語:  、Rakvet Yisra'l）は、イスラエルに本社を置く、鉄道を営む企業である
いなばタクシー,いなばタクシーは、鳥取県鳥取市に本社がある、タクシーを運行する事業者である。
イルカ交通,イルカ交通株式会社（イルカこうつう）は、富山県小矢部市芹川に所在する貸切バス、路線バス事業者。同じ小矢部市内に本社を構える大和トランスポート（略称・YTP）グループの一員。
いわさきバスネットワーク,いわさきバスネットワーク株式会社は、鹿児島県中西部・霧島を営業エリアとするバス事業者。鹿児島県薩摩、大隅、種子島、屋久島などの交通・観光事業者各社とともに「いわさきグループ」を構成している。通称、いわさきバス。2008年2月1日に林田バスからバス事業の移行を受けて事業を開始した（林田バスは清算）。
イワタ輸送センター,株式会社イワタ輸送センター（イワタゆそうセンター）は、静岡県袋井市に本社を置く運送会社。1949年（昭和24年）創業。社員数18名、車両台数は4トントラック7台、2トントラック6台、軽トラック2台を保有し、袋井市・磐田市・掛川市・森町を中心に活動する。路線便・地域配送・宅配便・貸切便が輸送の中心。常温倉庫を6棟、総坪数1100坪所有し、コンテナ荷卸しから流通加工を手掛ける。2014年1月には、『2013年西濃運輸株式会社代理店 敢闘賞』を受賞。
イワミツアー,イワミツアーは、島根県西部・広島県西部・山口県東部で観光バスを運行する事業者である。本店は島根県益田市幸町2番63号にある。バスは三菱ふそう製である。2008年より、Jリーグサンフレッチェ広島の選手輸送用として「サンフレッチェ広島ラッピングバス」を運行している。これは、広島支店の貸切車1台をラッピングしたものである。
ウイング_(バス事業者),株式会社ウイング（ウイング）は、京都府京田辺市に本社を置くバス事業者である。貸切バス事業のほか、木津川市内にてコミュニティバスの運行も行っている。
ウエスト神姫,株式会社ウエスト神姫（ウエストしんき）は、神姫バスの子会社である。乗合バス、貸切バス、定期観光バスの運行、及び旅行代理業を営む。神姫バスの路線網から兵庫県赤穂市及び赤穂郡上郡町、佐用郡佐用町地区の事業を分離し、1996年10月1日に設立された。本社は兵庫県相生市竜泉町394-1。2011年10月1日より宍粟市・たつの市地域の神姫バス姫路営業所山崎出張所の路線の管理受託から、自社路線に切り替わった。また、神姫バスから姫路営業所山崎出張所の管理を受託している。一部の路線では、神姫バスグループ専用のIC乗車カードであるNicoPa（片利用扱いのPiTaPa・ICOCAでも）の利用が可能である。
