タキイ種苗,タキイ種苗株式会社（タキイしゅびょう）は、京都府京都市下京区に本社を置く種苗会社である。1835年（天保6年）創業。「桃太郎トマト」の種苗でその名を広く知られる種苗会社である。
ベルグアース,ベルグアース株式会社は、愛媛県宇和島市に本社を置く日本の企業。野菜苗等の製造・販売などを行っている他、農業に参入し農作物の栽培・販売も行っている。接ぎ木苗では年間2300万本生産し国内トップの生産量を誇っている。また閉鎖型の育苗施設を活用した育苗や情報システムによる生産管理など企業的な農業経営を行っている点などを行っていることでも知られている。
ホクリヨウ,株式会社ホクリヨウ'は、鶏卵、肉食品等の生産・販売を行う日本の企業である。
ホクレン農業協同組合連合会,ホクレン農業協同組合連合会（ホクレンのうぎょうきょうどうくみあいれんごうかい）は、札幌市中央区に主たる事務所を置く北海道における経済農業協同組合連合会である。略称はホクレン。
英倶楽部高橋農場,英倶楽部 高橋農場（はなくらぶ たかはしのうじょう）は、北海道江別市東野幌の野菜・山ワサビの栽培・生産農場。主力製品の山ワサビの栽培・販売会社でもある。
極洋,"株式会社極洋（きょくよう、Kyokuyo Co., Ltd.）は、東京都港区に本社をおく日本の水産会社。"
神内ファーム21,農業生産法人有限会社神内ファーム21（じんない・ファーム・にじゅういち）は北海道浦臼町にある酪農会社である。
西宇和農業協同組合,西宇和農業協同組合（にしうわのうぎょうきょうどうくみあい）は、愛媛県八幡浜市に本所を置く農業協同組合である。
雪印種苗,雪印種苗株式会社（ゆきじるししゅびょう）は、北海道札幌市に本社を置く農産会社。雪印メグミルク株式会社の完全子会社であり、社名にもなっている種苗事業に加え、養牛用飼料の製造・販売、緑化造園事業を営む。
箱根牧場,株式会社北海道箱根牧場（ほっかいどうはこねぼくじょう）は、北海道千歳市にある牧場。乗馬や乳搾り、乳製品づくりなどのさまざまな体験ができることから、訪れる観光客も多い。
北海道畜産公社,株式会社北海道畜産公社（ほっかいどうちくさんこうしゃ）は、北海道札幌市の食肉加工を行う会社。政府が主要株主である。
