A.P._モラー・マースク,A.P. モラー・マースク（デンマーク語：A.P. Mller - Mrsk A/S）は、デンマークの首都コペンハーゲンに本拠を置く海運コングロマリット。ファンネルマークは青地に7角の白い星。2006年現在、売上高世界一の海運企業（ニューズウィークの業種別ランキングでは海運部門1位）であり、コンテナ船部門に強みがある。
DBSクルーズフェリー,DBSクルーズフェリー（ディービーエス クルーズフェリー）とは韓国の海運会社。日本の境港、韓国の東海、ロシアのウラジオストクを結ぶフェリーを運行する。本社は韓国にある。
JR九州高速船,JR九州高速船株式会社（ジェイアールきゅうしゅうこうそくせん）は、福岡市博多区に本社を置く日本の海運会社。
JR西日本宮島フェリー,JR西日本宮島フェリー株式会社（JRにしにほんみやじまフェリー）は、広島県廿日市市に本社を置く日本の海運会社。
NSユナイテッド海運,"NSユナイテッド海運株式会社（エヌエスユナイテッドかいうん、英語: NS UNITED KAIUN KAISHA, LTD.）は、日本の準大手海運会社。新日鐵住金および日本郵船の関連会社である。"
P&Oクルーズ,P&Oクルーズ（P&O Cruises）は、イギリスに本社を置くクルーズ会社。現在カーニバル・コーポレーションの傘下に入っている。
TurboJET,"TurboJET（ターボジェット、噴射飛航）は、香港の海運会社である信徳中旅船務管理有限公司（英語：Shun Tak-China Travel Ship Management Limited、ポルトガル語：Shun Tak China Travel-Companhia de Gesto de Embarcaes, Limitada）が運航する高速フェリー。"
ZIM,"イスラエルの海運会社。本稿で記述。ファイルフォーマットのひとつ。ジンバブエのIOCコード。オリンピックジンバブエ選手団も参照。アメリカ、ミネソタ州にある非法人地域（英語版）。ドイツの航空機座席メーカー、ZIM Flugsitz[1]（英語）。ZIM統合海運事業会社（ジムとうごうかいうんじぎょうがいしゃ、略称: ジム、ヘブライ語: , tz""m, 英語: ZIM Integrated Shipping Services Ltd., ""ZIM""）は、イスラエルの海運会社。本部はハイファ。コンテナ取扱量では世界的にも上位にランクされる。"
アイーダ・クルーズ,アイーダ・クルーズ（AIDA Cruises）は、ドイツのロストックに本社を置く、クルーズ会社。
アクアネット広島,アクアネット広島（アクアネットひろしま）は、広島県広島市中区に本社を置く海運会社。
イースタン・カーライナー,イースタン・カーライナー株式会社（イースタン・カーライナー）は、日本の海運会社。
エスパルスドリームフェリー,株式会社エスパルスドリームフェリー（S-Pulse Dream Ferry）とは、静岡県静岡市清水区にある海運会社である。鈴与グループの企業であり、カーフェリー運航の他、清水港周辺で遊覧船事業・水上バス運航事業を営んでいる。
えひめ南汽船,株式会社えひめ南汽船（えひめみなみきせん）は、愛媛県宇和島市に本社を置く日本の海運会社。宇和島港と九島を結ぶフェリーを運行している。えひめ南農業協同組合の子会社で、えひめ南農業協組合の本所内に本社を置いている。
オーシャントランス,オーシャントランス株式会社は、日本の海運会社である。本社を東京都中央区に、本店を福岡県北九州市門司区におき、貨客フェリーを運航する「フェリー事業部」、在来船・RO-RO船を運航する「内航事業部」のほか、新規事業として「外航事業部」を設けている。2008年にオーシャン東九フェリー株式会社（オーシャンとうきゅうフェリー）と王子海運株式会社（おうじかいうん）が対等合併して発足した。なお、フェリー事業部では「オーシャン東九フェリー」の呼称をサービス名（ブランド）として継続使用している。
カメリアライン,カメリアライン株式会社は、日本の博多港と大韓民国の釜山を結ぶ貨客船を運航する海運会社である。日本の日本郵船（近海郵船物流）と韓国の高麗海運の合弁で設立された。
ケーエムシーコーポレーション,ケーエムシーコーポレーションは、神奈川県横浜市にて自社マリーナを所有し、ボート保管業を営むと共に旅客船事業を展開する企業。旅客船事業は、横浜・東京を拠点とし、様々なクルージングサービスを提供。たとえばチャータークルーズ・パーティークルーズ・ウエディングパーティー・プライベートクルーズなどをプランニングしている。他に、横浜の自社マリーナを拠点に艇の販売・修理、会員制マリンクラブの運営も行っている総合マリン事業展開企業である。
ごごしま,株式会社ごごしまは、愛媛県松山市に本社を置く海運会社。松山港と興居島を結ぶフェリー航路を運営している。2011年に有限会社小冨士汽船から社名を変更した。
コスタ・クルーズ,コスタ・クルーズ（Costa Cruises）はイタリアのジェノヴァに本社を置く、クルーズ客船運航会社。
コスモライン_(鹿児島県),コスモラインは、鹿児島県鹿児島市に本社を置く海運会社。鹿児島から種子島へのフェリーを運行している。また、2012年3月までは高速船航路および屋久島への高速船航路を運航していたが、2012年4月1日より岩崎グループと市丸グループが合同で種子屋久高速船を設立したのに伴い、岩崎グループの鹿児島商船と共に種子屋久高速船に統合された。鹿児島県を中心に、タクシー・レジャー事業各社とともに「市丸グループ」を構成している。
シーコム,シーコム株式会社は、かつて存在した日本の海運会社。
シーパル女川汽船,シーパル女川汽船株式会社（シーパルおながわきせん）は、宮城県牡鹿郡女川町鷲神浜にある海運会社。女川港から、女川町に属する離島である出島、江島までを、所有する1隻の高速貨客船で結んでいる。女川町55％、出島地区22.5％、江島地区22.5％の出資で設立された第三セクターである。
シィライン,シィラインは青森県青森市に本社を置く第三セクター会社である。Shimokita Isolate Island Lineを略してシィラインと呼ばれている。
ジール_(船会社),"株式会社ジール（ZEAL CO., LTD.）は、東京湾を中心としたクルーズ事業を運営する日本の企業。ウェディング事業や撮影事業（水中撮影・水上撮影・船舶撮影）、レストラン事業も手がける。本社は東京都港区海岸にある。港区は他にもクルージング会社や屋形船が多い。2006年7月に東京都の運河ルネッサンス事業の一環として、東品川に自社桟橋の天王洲ヤマツピア（天王洲）を設置、2011年6月に同隣接地に運河の見えるレストランCaptain's Wharf（キャプテンズワーフ）をオープン。初日の出、新年会、春のお花見、歓送迎会、ゴールデンウィーク、納涼会、花火観覧、ハロウィン、秋の味覚、忘年会、クリスマス、カウントダウンの四季折々のランチ&ディナークルーズから誕生会、同窓会、運河クルーズ、ビジネスクルーズ、ウェディングまでの各種人気の船上パーティークルージングや観光事業にも力を入れ日本橋・神田川・目黒川などの運河遊覧クルーズなどをプロデュースする。"
ジェネック,ジェネックは、福岡県北九州市門司区に本社を置く、主として港湾運送事業・内航セメント輸送事業・外航海運事業等を行う物流会社。日本郵船の子会社である。
しまなみ海運,しまなみ海運（しまなみかいうん）は、広島県三原市城町に本社を置く、海運会社。広島県尾道市因島土生町の土生商船と同じ場所に因島営業所を置いている。
ジャンボフェリー,"ジャンボフェリー株式会社（Jumbo Ferry Co.,Ltd.）は、神戸市中央区に本社を置く海運会社。兵庫県神戸市の神戸港・新港第3突堤と香川県高松市の高松東港を1日4往復、約4時間で結ぶフェリー航路を運航している。"
スオーナダフェリー,周防灘フェリー株式会社（すおうなだフェリー）は、山口県周南市に本拠を置く海運会社。本州と九州東部（国東半島）を結ぶフェリー『スオーナダフェリー』を運航している。
せと観光ボート,せと観光ボート（せとかんこうボート）は、高速船を運航する海運会社である。。
