1-UPスタジオ,1-UPスタジオ株式会社（英: 1-UP Studio Inc.）は、コンピューターソフトウエア開発等を主な事業内容とする日本の企業。旧商号「株式会社ブラウニーブラウン」。
17-BIT,17-BITは、コンピューターゲームの制作会社。ユナイテッド・ゲーム・アーティスツ、エレクトロニック・アーツなどで働いていたジェイク・カズダルが2009年にシアトルで設立した。スタジオをシアトルと京都に置く。レトロさにAIや物理演算などをプラスし、ジャンルにとらわれない作風を指向する。作品にはen:Skulls of the Shogun、en:Galak-Z: The Dimensionalがある。
20世紀フォックス,20世紀フォックス（にじっせいきフォックス、正式名称：Twentieth Century Fox Film Corporation、20th Century Fox）は、アメリカ・ロサンゼルスを拠点とする映画会社・映画スタジオ。ルパート・マードック率いる21世紀フォックスの傘下である。フォックス（FOX）とも略される。
4ix,4ix（フォーアイエックス）は、石川県金沢市に本社を置くメディアウェイブシステムズ株式会社（MEDIAWAVE SYSTEMS Inc.）が運営するインターネットサービスプロバイダである。
4分33秒楽譜出版社,4分33秒 （4分33秒がくふしゅっぱんしゃ）は、ドイツのミュンヘン市に本社を置く楽譜や音楽関連図書の出版・販売を行う出版社。
5pb.,5pb.（ファイブ・ピー・ビー）は、株式会社MAGES.が展開するブランド名。音楽レーベル「5pb.Records」・ゲームブランド「5pb.Games」の2つを差す。以前は通信販売サイト「5pb.Onlineshop」も運営していた。元来は会社名であった。
5年D組,有限会社5年D組（ごねんでいぐみ、商号は有限会社五年デイ組）は、テレビドラマを制作するプロダクションである。社名の由来は、創立メンバーが5人のディレクター（Director）だったことから。
A-1_Pictures,株式会社A-1 Pictures（エー・ワン・ピクチャーズ）は、アニメーションの企画・制作を主な事業内容とするアニプレックス傘下の日本の企業。日本動画協会正会員。略称は「A1P」。
A-Sketch,株式会社A-Sketch（エー・スケッチ）は、アミューズグループのレコード会社およびアーティストマネジメント事業会社。同社の映像・音楽ソフト部門であるアミューズソフトエンタテインメントへ販売委託している。
A2network,a2network株式会社（エーツーネットワーク）は、ドイツ・イギリス・ベルギー・タイにおいてベリーモバイルというブランドで仮想移動体通信事業者（MVNO）として携帯電話通信事業を展開している企業である。日本においては仮想移動体通信事業者支援事業（MVNE）のほか、海外出張者や海外渡航者向けのデータ通信サービス事業を展開している。
ABCリブラ,ABCリブラは、テレビ番組の企画・制作を行う制作プロダクション。商号は株式会社エー・ビー・シーリブラ。大阪府大阪市福島区に本社を置く。同区に本社を置く放送局朝日放送（ABC）の子会社であり、同局制作の番組が多い。また、映像の保管・収集・貸出も行っており、個人所蔵の映像フィルム・ビデオテープ類の提供の呼び掛けも行っている。2007年6月まで、元ABCアナウンサーの乾浩明が社長を務めていた。乾の後は、元『パネルクイズ アタック25』チーフプロデューサーの小森成樹が2013年3月まで社長を務めた。
ACCESS_(企業),"株式会社ACCESS（アクセス、ACCESS CO., LTD.）は、東京都千代田区に本社を置く企業。"
ACCESSPORT,ACCESSPORT株式会社（アクセスポート）は動画検索サイト「Woopie」の運営を行う他、サーチエンジン事業、オープンソース事業を手がける企業である。所在地は東京都港区、代表取締役は沈海寅。
ACCプロダクション,ACCプロダクション（正式社名：株式会社エーシーシープロダクション製作スタジオ）は、かつて存在したアニメーションの企画・制作および撮影制作を主な事業内容とする日本の企業。
AH-Software,AH-Software（エー・エイチ・ソフトウェア）とは株式会社AHS（エー・エイチ・エス）のソフトウェアブランドである。主力は輸入販売であるが、一部商品は自社製作である。さまざまなパソコンソフトを扱っているが2007年、Music Makerの輸入販売でDTMソフトに参入した。2009年12月4日にはVOCALOID2を利用した3種を発売し日本では3社目、世界では5社目となる。
AMZY,アムジー株式会社（AMZY）はゲームソフト、Windows向けのアプリケーション、パチンコ・パチスロといったアミューズメント機の企画・制作・開発を行っている会社である。
And_Joy,"株式会社And Joy（エンジョイ、英: And Joy Co., Ltd.） は、東京都新宿区に本社を置くゲームソフトメーカー。"
AOI_Pro.,株式会社AOI Pro.（アオイプロ）は、テレビCM、携帯電話を中心とした各種コンテンツ、映画など映像作品の企画・演出・制作および関連商品の販売を行う制作会社である。2012年10月に葵プロモーション（Aoi Advertising Promotion Inc.）より現社名となった。
AOL,AOL（エーオーエル）は、アメリカ合衆国の大手インターネットサービス会社、あるいは同社がアメリカを中心に世界各国で提供するインターネット接続サービス・ポータルサイトの名称である。
APF通信社,株式会社APF通信社（Asia Press Front、略称APF）は、主に戦争・紛争地帯専門の映像取材を目的にした、日本の企業である。本社は、東京都渋谷区道玄坂1丁目。最近ではテレビ各局の番組制作から、一般向けの映像制作、Ustream等のライブ映像のストリーミング配信の業務代行、国内・海外情報のリサーチサービス等に業務の重点を置きつつある。フランス通信社（L’Agence France-Presse、略称: AFP）やAP通信（Associated Press）と混同されるが、無関係である。
AQインタラクティブ,株式会社AQインタラクティブ（エーキューインタラクティブ）は、かつて存在した日本のゲームソフト開発・販売会社。「AQ」は「Artistic Quality」の略であるとともに、「永久」という意味もかけていた。
ASJ_(企業),株式会社ASJ（エイエスジェイ、英: ASJ Inc.）は埼玉県川口市に本社を置く、ホスティングサービスや決済代行サービスなどのインターネットサービスや、オンラインゲームやＳＮＳなどのデジタルコンテンツの企画・開発・運営を行う企業である。
AUDIO_PLANNING_U,AUDIO PLANNING U（株式会社オーディオ・プランニング・ユー、略称：APU）は、アニメーションの音響制作を手がける日本の企業。日本音声製作者連盟（音声連）加盟社。
AVAST_Software,AVAST Software（アバストソフトウェア）は1991年4月に設立された、チェコ共和国（プラハ）に拠点を置くソフトウェア会社である。
Avatar_Reality,Avatar Reality社（アバター・リアリティー社）は、アメリカ合衆国のハワイ州に本社を置く、バーチャル世界を開発する会社である。
AVG_Technologies,AVG Technologies（旧社名：Grisoft グリソフト）はJan Gritzbachによって1991年に設立されたオランダのウィルス対策ソフトの企業。欧州と米国に拠点を置いている。1億1000万人のアクティブ・ユーザーを擁しているとされる。2009年に本社所在地をチェコ プラハからオランダ アムステルダムへ変更した。
AXESS,AXESS（あくせす）は、主に航空券の発券、航空便の予約、空席照会などができるコンピュータシステム (CRS) 。航空会社や旅行会社、ホテルなどで広く使われている。日本航空の予約システムを基盤に作られたものである。当初は日本航空（現 日本航空インターナショナル）が運用していたが、1991年に運用を担う部門が分社された。※詳細は、#運営会社を参照。
Axis_(企業),株式会社Axis（英文社名：Axis Inc.）は北海道札幌市に本社をおくSEOを中心とした集客・分析・改善のWebプロモーションを行うインターネット関連企業。2005年9月に設立。成果報酬型SEOサービスの展開を行いながら、SEO対策の管理・運用ができるインハウス用ソフトウェア「SEOマスター」の提供を行う。
AXN,AXN（エーエックスエヌ）は、1997年9月21日、アメリカのソニー・ピクチャーズ・エンタテインメントにより開設された、ドラマ、映画等を中心に放送する24時間放送の専門チャンネルである。AXNは、アジア・ヨーロッパ・ラテンアメリカなど50カ国以上で放送されているグローバル・チャンネル。
AXNエンタテインメント,株式会社AXNエンタテインメントは、ソニー・ピクチャーズ・エンタテインメント傘下の衛星基幹放送事業者である。スカパー!（東経110度CS放送）をプラットフォームとしており、AXN 海外ドラマを配信している。
B-VISION,B-VISION（ビー・ビジョン）とは、かつて存在したビーインググループの映像ソフト制作会社で、現在は親会社であるビーイングに吸収合併。
B.B.スタジオ,"株式会社B.B.スタジオ（英: B.B.STUDIO CO.,LTD.）は、ゲームソフトウェアの企画・開発を行う日本の企業。バンダイナムコエンターテインメント（旧バンダイナムコゲームス）の子会社。"
B92,B92（Б92）は、セルビアのベオグラードに本拠地を置く全国的な放送局である。B92の主なターゲット層は都市部の市民や若者である。その番組は自由主義的な政治傾向を持っている。CEOのヴェラン・マティッチ（Veran Mati）は創業者の一人である。B92放送局は、スロボダン・ミロシェヴィッチ政権下では数少ない独立系のメディアであり、ミロシェヴィッチが政権の座にあった1990年代において、ベオグラードで起こった数多くのデモ活動を後押しした。このため、B92は1998年、MTVヨーロッパ・ミュージック・アワードの「MTV Free Your Mind」賞を受賞したのをはじめ、多くのジャーナリズムや人権のための戦いに対する賞を送られている。B92はベストセラーの『This is Serbia Calling』の主題として取り上げられている。2008年4月、B92は24時間放送の2つめの放送チャンネルを解説し、ケーブルテレビを通じて配信を始めた。
BBCワールドニュース,BBCワールドニュース（BBC World News）は、英国放送協会 (BBC)の国外向けテレビ放送局である。
BBモバイル,BBモバイル株式会社（ビービーモバイル）は、ソフトバンクグループ傘下の電気通信事業者。
