21LADY,"21LADY株式会社（トゥエニーワンレイディ、英: 21LADY Co., Ltd.）は、東京都千代田区に本社を置く投資持株会社。"
99イチバ,株式会社99イチバ（キューキューイチバ）は、ミニスーパー（生鮮コンビニ）の「miniピアゴ」（旧店名、99イチバ・みんなのイチバ）を運営する日本の企業である。本部は神奈川県横浜市であるが、登記簿上の本店は、ユニーの本店と同じ愛知県稲沢市。
A-Too,A-Too（エーツー）は、静岡市駿河区に本社を置く古書・コンピュータゲーム・同人誌等の販売を主な業務とする企業。レトロゲームの品揃えにこだわり、PC-8801など一般の販売店では既に取り扱っていない機種のソフトも取り揃えている。1948年に静岡県清水市（現・静岡市清水区）で開業し1990年代より事業を拡大しCD、ゲーム等を扱うリサイクルショップチェーン化する古書店・太田書店と、1999年に創業のインターネット通販を主体としたベンチャー企業「有限会社ジーエックス」が前身で2003年に事業統合を実施。1998年に「ぱる焼津店」によりオープンし1999年に「有限会社ジーエックス」として独立したインターネット通販サイト「駿河屋」を中心に業績を伸ばす。2005年2月に株式会社エーツーへ社名変更。同年8月、業界2位の古書店チェーン・ブックマーケット本部機能を株式会社フォー・ユー（香川県高松市）より譲り受ける。その後株式会社フォー・ユー子会社だった株式会社リンクと株式会社サンクルを吸収合併、株式会社エコアを子会社化。ゲームを主体にした「エーツー」、書籍を主体にした「ブックマーケット」、それらを複合した「ブックマーケットプラス」「ブックマーケットエーツー」を展開する。2011年1月現在、各ブランドをあわせて直営店は35店舗、FC店は192店舗。
A-Zスーパーセンター,A-Zスーパーセンター（英称：A-Z SUPERCENTER）は、株式会社マキオが鹿児島県で店舗展開するスーパーセンター業態店舗。1号店は、1997年3月に阿久根市にオープンした。1997年に日本で2番目の大型24時間営業店となった。通称、A-Z（エーゼット）。ロゴマークにかたつむりを用いている。大規模小売店舗届出上は、ハイフンなしの「AZ」で店名表記されている。
ABCクラフト,ABCクラフトとは日本の大阪市阿倍野区のあべのキューズモール3階に本社を置く株式会社ABCクラフトが運営する、手芸材料の大型専門チェーンである。
ABCドラッグ,株式会社ABCドラッグは、かつて埼玉県南西部を中心にドラッグストアを展開していた企業。元の店名は「ドラッグJP」であったが、1990年に企業を改名してからは「ABCドラッグ」を店名に用いていた。地域密着型店舗を目差す一方、積極的な出店計画を打ち出していた。キャッチフレーズは「Healthy＆Beauty」であり、企業HPにはセルフメディケーションに関した薬剤師からのアドバイス動画が定期的にアップロードされていた。2012年9月1日付けで、同業のドラッグチェーン「セイジョー」を展開する「ココカラファイン」に事業を全面譲渡し、ABCドラッグの全店舗は順次セイジョーの店舗になる予定である。
ABCマート,ABCマート（エービーシーマート）は、東京都渋谷区に本社を置く株式会社エービーシー・マートが展開する、靴や衣料品のチェーン店。
ACデコール,ACデコール株式会社は、徳島県徳島市沖浜東に本社を置き、ホームセンターを展開・営業する企業。1958年7月に設立された「中飯建具有限会社」が起源で、長い間「ナカイ」の社名で知られた。長らく創業者が社長を務めるオーナー企業で、第2代社長も創業家（中飯家）出身という同族経営企業の1つであったが、現在は創業家の手を離れ、アクサス株式会社の傘下に入っている。本ページでは、ACデコールに社名を変更する前の「ナカイ株式会社」およびその前身についても詳述する。
Am/pm,am/pm（エーエム・ピーエム）とは、アメリカ合衆国を中心に世界展開するコンビニエンスストアである。
Amazon.co.jp,Amazon.co.jp（アマゾン シーオージェイピー）は、Amazon.com（アマゾン・ドット・コム）の日本法人アマゾンジャパン株式会社が運営している日本の通販サイト。日本のアマゾンジャパン株式会社についてもここで述べる。
Amazon.com,"Amazon.com, Inc.（アマゾン・ドット・コム、NASDAQ: AMZN）は、アメリカ合衆国・ワシントン州シアトルに本拠を構える通販、Webサービス会社である。インターネット上の商取引の分野で初めて成功した企業の1つである。アレクサ・インターネット、A9.com、Internet Movie Database (IMDb) などを保有している。米国の一部地域においては、ネットスーパー（アマゾンフレッシュ）事業も展開している。本項では、同社が運営する通販サイトAmazon.comについても説明する。2014年現在、Amazon.comがアメリカ国外でサイトを運営している国は、イギリス (amazon.co.uk)、フランス (amazon.fr)、ドイツ (amazon.de)、カナダ (amazon.ca)、日本 (amazon.co.jp)、中国 (amazon.cn)、イタリア (amazon.it)、スペイン (amazon.es)、ブラジル (amazon.com.br)、インド (amazon.in)、メキシコ (amazon.com.mx)、オーストラリア (amazon.com.au)、オランダ (amazon.nl)の13国である。"
AOKIホールディングス,株式会社AOKIホールディングス（アオキホールディングス、英：AOKI Holdings Inc.）は、紳士服の販売を主事業とする持株会社である。
Ark_(PCショップ),パソコンショップアークは、秋葉原にあるパソコンショップである。自作PCパーツやPCゲーム関連商品、BTOパソコンなどを取り扱う。
ASOS.com,ASOS.com（英: ASOS.PLC）はオンラインショッピングサイトASOS.comの運営と自社ファッションブランドを展開するイギリスの企業である。
B&B_(企業),株式会社B&B（びーあんどびー）は、嘗てビックカメラとベスト電器の合弁により存在した、家電量販店を運営する日本の企業。
B2Wヴァレジョ,B2Wヴァレジョ（ポルトガル語:B2W Companhia Global do Varejo）は、ブラジル・リオデジャネイロに本社を置くブラジル最大のオンライン電子商業者である。アメリカナス・ドットコムとサブマリーノ・ドットコムの2社が合併したことによって誕生した。同社の53.25%の議決権をロジャス・アメリカナスが保有しており、ブラジル国内における50%以上のオンライン取引シェアを保有している。B2Wは、サブマリーノ・ドットコム、アメリカナス・ドットコム、ショップタイム、イングレッソ・ドットコム、ブロックバスターなどのウェブサイトを運営しており、既に、ブラジル以外ではアルゼンチンとメキシコで活動している。さらに、インド、ウルグアイ、中華人民共和国、チリ、アメリカ合衆国で事業拡大を計画している。
BEENOS,BEENOS株式会社（英称:BEENOS Inc.）は、インターネット通販を行う持株会社。日本で初めて、購入者が多くなるほど販売価格が下がる販売手法であるギャザリング（共同購入）システムを導入。東証マザーズ上場企業（証券コード:3328）、日本経団連会員企業。旧社名は株式会社ネットプライスドットコム。
BMW_JAPAN,BMWジャパン（ビーエムダブリュージャパン）は、ドイツの自動車会社・BMWの日本法人、ビー・エム・ダブリュー株式会社、の通称である。ドイツBMW社の完全子会社として1981年（昭和56年）に設立され、日本におけるBMWの輸入・販売などを行っている。
Carnival☆Stars,Carnival☆Stars（カーニバルスターズ）は、株式会社Carnivalが大須に展開するコンセプトカフェである。通称「カニスタ」「蟹星」。
CFSコーポレーション,株式会社CFSコーポレーション（シーエフエスコーポレーション、英: CFS Corporation）は、イオングループの傘下で静岡県・神奈川県を地盤としたドラッグストア（ハックドラッグなど）を展開する企業である。本部機能を神奈川県横浜市港北区新横浜2-3-19に置く。本店所在地は静岡県三島市広小路町13-4。
CJプライムショッピング,株式会社CJプライムショッピング（シージェイプライムショッピング）は、東京都港区に本社を置く通信販売会社である。
CKK_(自動車部品),株式会社CKKは、自動車用部品の製造を行う企業。カルソニックカンセイ株式会社が100%出資する連結子会社である。大分県宇佐市に本社を置き、宇佐市と中津市に工場を有する。
Clrk_&_McKnly,Clrk & McKnly（クラーク・アンド・マッキンリー）は、ニューヨーク、ブルックリンに本社を置くデザインオフィスである。
COLONY_2139,COLONY 2139（コロニー トゥーワンスリーナイン）は東京都渋谷区に本社をおくジェネラル株式会社（ジェネラル、英文社名：THE GENERAL INC. ）がストアプロデュース、店舗運営及び紳士服・婦人服・服飾雑貨、洋雑貨の企画、販売事業を行うモダンライフスタイルストア。
COMFORT_FACTORY,有限会社COMFORT FACTORY（こんふぉーとふぁくとりー）とは鳥取県鳥取市に本社を置く小売業である。飲食店「トラッドバー・ホワイトホース」、レンタルビデオ店「オズ」、インターネットカフェ「ネットカフェ・ドロシー」、アイスクリーム店「ハニーアイス」などを経営する。このうち、「ハニーアイス」はフランチャイズ本部となっている。
COMG!,COMG!（コング!）は、新潟県内でフランチャイズチェーン（FC）を展開するゲームソフト販売店。当初は日野屋玩具店（新潟市）が子会社・コングシステムズを設立して運営していたが、2005年11月に同業の明響社（大阪府豊中市・現NESTAGE）へ事業単位で譲渡された。2008年8月現在の店舗数は17店舗。2008年7月26日前後に行われた本部会議において大規模な個人転売屋（年間約一千万円以上買取をしていた）に全面規制をかけて利益獲得を狙う。しかし、翌週廉価版として再発売される商品を廉価発売されるまで定価以上で買取している側面もある。基本的な価格売変は毎週金曜日から適応となる（但し、木曜日には売変担当からのデータが送信されている為、店舗によっては木曜日から価格売変を行う場合もある）。尚、買い取り価格は比較的低めに設定されており、ゲームソフトにおいては市場価格を反映していないらしく希少品であっても買取価格は低い。店舗はHIRASEI遊TSUTAYAとの併設が多い。
COMIC_ZIN,COMIC ZINは漫画、同人誌を扱う書店。運営は株式会社コア・コーポレーションが行っている。キャッチコピーは「漫画人のためのコミック・同人誌プロフェッショナルショップ」。同人ショップとらのあなから独立したスタッフによって2009年2月に秋葉原にて創業し、同年6月には新宿店が開店した。公式キャラクターは森薫によるデザイン。
CPグループ,CPグループとは汕頭出身の潮州系タイ人、謝家（チエンワノン家）が基礎を作ったコングロマリット（複合企業）である。タイで最大のコングロマリットと言われ、農業分野や食料品の分野を中核事業として、通信、不動産分野にも精力的に進出し、全部で8つの分野で事業を展開している。国際的には、ASEAN各国や中国などを中心に世界13カ国に進出し、ロンドン証券取引所上場企業となっている。特に、中国へは積極的に進出しており正大集団（チアタイ集団）として知られ、中国最大の外資系企業である。タイの企業は中国への進出に消極的と一般に言われているが、その中で積極的に中国本土へ投資しており、珍しい存在だとされている。
CQエンターテイメント,株式会社CQエンターテイメントは、中華料理のデリバリーチェーン「チャイナクイック」を運営していた会社である。
CQモーターズ,CQモーターズ（しーきゅーもーたーず）は電気自動車のミニカーを製造していた自動車メーカー。2002年にチョロQモーターズとして設立され、タカラ(現タカラトミー)の子会社だった。電気ミニカー「U」を製造販売していたが、2014年現在は全ての機種の販売を終了しており、修理・保守は別企業にて行っている。
CREATIVE_OFFICE_CUE,"CREATIVE OFFICE CUE（株式会社クリエイティブオフィスキュー、英: CREATIVE OFFICE CUE Co., Ltd.）は、北海道札幌市に本拠を置く芸能事務所。北海道内で活動するローカルタレントが所属し、全国進出を果たした人物も所属する。"
CVS/ファーマシー,"CVS/ファーマシー（CVS/pharmacy、通常CVSと呼ばれる）は、アメリカ合衆国の薬局・コンビニエンスストア・チェーンである。CVSはアメリカ最大の薬局チェーンの1つで、41州に約6,800店を展開している。CVSケアマークの小売り薬局部門として、CVS/ファーマシー、ロングスドラッグスといった小売店およびcvs.comによるオンライン販売を通じ、処方薬のほか、美容用品、化粧品、写真現像、季節商品、グリーティング・カード、食料品といった一般商品を販売している。また、MinuteClinic、Diabetes Care Centersを通じて、健康管理サービスも提供している。これらの診療所のほとんどはCVS店舗内にある。CVSケアマーク（CVS Caremark）はデラウェア会社法（Delaware General Corporation Law）に基づき設立され、ロードアイランド州ウーンソケットに本社を置いており、ニューヨーク証券取引所に株式を上場している(NYSE: CVS）。1963年にマサチューセッツ州ローウェルで創業。2007年にCVSは薬剤給付管理事業大手のケアマーク社と経営統合した。"
DCMカーマ,DCMカーマ株式会社（ディーシーエムカーマ）は、中部地方（東海・北陸）を地盤とする、DCMグループのホームセンターチェーンである。
DCMサンワ,"DCMサンワ株式会社（ディーシーエムサンワ、DCM SANWA CO.,LTD.）は、北海道・青森県・秋田県にホームセンターを展開する企業。本社は青森県青森市。かつてはJASDAQに上場しており、青森県内の企業で初めてJASDAQ上場した企業であった。以前は青森県内のみで店舗を展開していて、店名も「Do Shop Sanwa」（略称：サンワ）だったが、1994年4月に北海道に店舗展開したのをきっかけに店名・社名を「サンワドー」に改めた（それまでの会社名は三和堂だった）。ホームセンターではあるが、最近は事業展開が多角化してきており、業務スーパー（下記参照）事業も行っている。"
DCMダイキ,DCMダイキ株式会社（ディーシーエムダイキ）は、愛媛県松山市に本社を置くホームセンター業、住宅設備および環境設備製造・販売企業である。かつて東証一部に上場していた（証券コード9953）。現在はDCMホールディングスの完全子会社である。
DCMホーマック,DCMホーマック株式会社（ディーシーエムホーマック）は、北海道・東北地方・関東地方に展開するホームセンターチェーンを経営している、DCMグループの企業である。英記のHomacは、Home Amenity Centerの略である。ホームセンターの「ホーマック」、大型ホームセンターの「ホーマックスーパーデポ」、リフォームセンターの「ホーマックおうちスタイル」、自転車専門店の「DCMサイクル」、HI（ホーム・インプルーブメント）型プロショップ「プロビルダーズ」などの店舗を展開している。
DCMホールディングス,DCMホールディングス株式会社（ディーシーエムホールディングス）は、傘下にDCMカーマ・DCMダイキ・DCMホーマックなどを持つ持株会社。3社の前身であるカーマ・ダイキ・ホーマックの経営統合により設立された、DCMグループ（旧・DJグループ）の統括会社である。社名は、3社と三井物産による共同物流会社として設立された、DCMジャパン（DCMJ、現在は吸収合併）に由来する。
DFSギャラリア・沖縄,DFSギャラリア・沖縄（でぃえふえすギャラリア・おきなわ）は、沖縄県那覇市にある免税店である。運営は沖縄ディーエフエス株式会社で、LVMHグループの外資系企業である。
DFSグループ,DFSグループ (DFS Group) は、バミューダに登記され香港に本社を置くDFSグループ・リミテッド (DFS Group Limited) などを中心とするアメリカの企業グループである。大規模免税店チェーンのDFSギャラリア (DFS Galleria) を運営し、アジア太平洋地域を中心とする15ヶ国に150店舗を展開している。「DFS」は Duty Free Shoppers（免税店）のアクロニムである。
Don_Don_up,株式会社Don Don up（ドンドンアップ）は、岩手県盛岡市にて古着の販売、輸入衣料品・雑貨の輸入販売及び・フランチャイズ事業を行う企業である。アパレルリサイクルドンドンダウン オン ウェンズデイを運営している。
DUO東京,DUO東京株式会社（デュオとうきょう）とは、東京都港区に本社を置き、フォルクスワーゲンの正規ディーラーを運営する企業である。トヨタアドミニスタグループの一員。
Duras,Duras（デュラス）は、2000年に設立された日本の衣料品生産販売企業。および同社による、20歳 - 25歳のギャル系の女性をターゲットとしたファッションブランド。
E☆イヤホン,e☆イヤホン（イー - ）は、大阪市浪速区に本社を置く 株式会社タイムマシン が運営する音響製品小売販売店。大阪・日本橋と東京・秋葉原に店舗を持ち、店頭およびインターネット通信にて販売を行っている。
EBay,eBay Inc.（イーベイ）は、インターネットオークションeBayを展開するアメリカ合衆国の会社である。インターネットオークションでは世界最多の利用者を持つ。
ECODEN,"ECODEN株式会社（エコデン、英：ECODEN　CO., LTD.）は、空調機器の販売・工事・保守メンテナンスを行っているJESグループの企業。ダイキン工業の正規特約店である。"
ECカレント,"ECカレント（イーシーカレント）は、株式会社ストリーム（英: Stream Co., Ltd.）が運営するインターネットの通信販売を主とした家電小売店である。"
