AIG富士生命保険,AIG富士生命保険株式会社（エーアイジーふじせいめいほけん）は、富士火災海上保険の子会社。AIGグループに属する。1942年（昭和17年）に日本生命保険に包括移転した富士生命保険とは無関係である。
Au損害保険,au損害保険株式会社（エーユーそんがいほけん）は、東京都渋谷区に本社を置く日本の損害保険会社である。略称「au損保」。
MS&ADインシュアランスグループホールディングス,"MS&ADインシュアランスグループホールディングス株式会社（エムエスアンドエイディーインシュアランスグループホールディングス、英語: MS&AD Insurance Group Holdings, Inc.）は、日本の保険持株会社。傘下のあいおいニッセイ同和、三井住友海上などの損害保険会社が中心になり設立された。2010年現在、保険料収入で東京海上ホールディングスを抜き、国内最大、世界第7位の損害保険グループ。東京海上ホールディングス、損保ジャパン日本興亜ホールディングスと並ぶ、所謂「三メガ損保」の一角。2011年10月より、グループのタグライン（企業のロゴマーク等に添えて表示されるスローガン・キャッチコピーなどの事）として、「立ちどまらない保険。」を導入した。"
NP少額短期保険,NP少額短期保険株式会社（エヌピーしょうがくたんきほけん）は日本の少額短期保険会社である。
SBIいきいき少額短期保険,SBIいきいき少額短期保険株式会社（SBIいきいきしょうがくたんきほけん）は、日本の少額短期保険業者である。“50代からの生きかた・暮らしかた応援雑誌「いきいき」”の読者向けの共済が前身であるため、シンプルな商品の特長を生かして、特に中高年齢層に強みを持っている。
SBI少額短期保険,SBI少額短期保険株式会社（-しょうがくたんきほけん）は、少額短期保険制度における日本の保険会社。
SBI生命保険,SBI生命保険株式会社（エスビーアイせいめいほけん）は、東京都港区赤坂に本社のある日本の生命保険会社である。
SBI損害保険,"SBI損害保険株式会社（えすびーあいそんがいほけん、英称:SBI Insurance Co., Ltd.）は、SBIホールディングス株式会社の子会社で、日本の損害保険会社である。"
T&Dホールディングス,"株式会社T&Dホールディングス（ティーアンドディーホールディングス、T&D Holdings, Inc.）は、主に3つの生命保険会社を傘下におく金融持株会社である。業界5位。"
アイアル少額短期保険,アイアル少額短期保険株式会社（アイアルしょうがくたんきほけん）は日本の少額短期保険会社である。
あいおいニッセイ同和損害保険,"あいおいニッセイ同和損害保険株式会社（あいおいニッセイどうわそんがいほけん、英: Aioi Nissay Dowa Insurance Co.,Ltd）は日本の損害保険会社である。 現在MS&ADインシュアランスグループホールディングス傘下の子会社で中核企業である。"
あいおい損害保険,"あいおい損害保険株式会社（あいおいそんがいほけん、英: Aioi Insurance Co.,Ltd）は、かつて存在した日本の損害保険会社の一つである。"
アイペット損害保険,アイペット損害保険株式会社（アイペットそんがいほけん）は東京都港区に本社を置く、ペット動物向けの損害保険会社である。
アクサジャパンホールディング,アクサ ジャパン ホールディング株式会社は、保険会社のアクサグループの日本における持株会社であった企業。2014年10月1日に傘下のアクサ生命保険株式会社（2代、法人格は初代と同一）を吸収合併し、商号をアクサ生命保険株式会社（3代）とした。法人格は現存するが、社名としては消滅している。
アクサダイレクト生命保険,"アクサダイレクト生命保険株式会社（アクサダイレクトせいめいほけん、英称：AXA Direct Life Insurance Co., Ltd.）は、世界最大級の保険・資産運用グループであるアクサグループのインターネット専業生命保険会社である。前身はアクサジャパンホールディング、SBIホールディングス、ソフトバンクの3社が出資して生まれたSBIアクサ生命保険であったが、2010年2月に事業戦略の方針に差異が生じたことから、SBIホールディングスがアクサジャパンホールディングに株式を譲渡する形で合弁事業を解消。同年5月12日に社名をネクスティア生命保険へ変更し、2013年5月14日にはアクサダイレクト生命保険へ社名を変更。"
アクサ生命保険,アクサ生命保険株式会社（アクサせいめいほけん）は、フランス発祥の保険企業であるアクサが日本に設立したアクサ生命と、日本団体生命が統合して生まれた生命保険会社である。アクサグループは世界57カ国、約1億200万人の顧客を持つ世界最大級の保険グループである。
アクサ損害保険,アクサ損害保険株式会社（アクサそんがいほけん）は日本の損害保険会社である。また世界最大級の保険・資産運用グループであるアクサグループの一社である。
アドバンスクリエイト,"株式会社アドバンスクリエイト（英: Advance Create Co., Ltd.）は、大阪府大阪市中央区に本社を置く、保険代理店。"
