AIJ投資顧問,"AIJ投資顧問株式会社（エーアイジェイとうしこもん、英: AIJ Investment Advisors CO.,LTD.）は、東京都中央区に本社を置く投資顧問会社。"
ARUHI,アルヒ株式会社（アルヒ、英称:ARUHI Corporation.）は、アルヒグループ株式会社の子会社で、住宅ローンの貸出・取次業務を行う会社である。
C&I_Holdings,株式会社C&I Holdings（シーアンドアイ ホールディングス）は、上場株式投資等を行っている日本の企業。
CFJ_(企業),CFJ合同会社（シーエフジェー）は、アメリカ合衆国の金融大手シティグループの一員の消費者金融会社の日本法人である。なお、「CFJ」の表記は「Citi Finance Japan」の頭字語であるが、法人としての正式な商号は「CFJ」である。
DCキャッシュワン,株式会社DCキャッシュワン (ディーシー Cash One) は、三菱UFJフィナンシャル・グループ (MUFG) にかつて存在した銀行系消費者金融会社である。2009年5月1日にアコムに吸収合併されて解散した。
DIAMアセットマネジメント,"DIAMアセットマネジメント株式会社（ダイアムアセットマネジメント、DIAM Co., Ltd.）は東京都千代田区丸の内に本社を置く資産運用会社。"
Doフィナンシャルサービス,"株式会社Doフィナンシャルサービス(Do Financial Service Co.,LTD.)は、プロミス株式会社の子会社で、貸金業者である。"
GEフィナンシャルサービス,GEフィナンシャルサービス株式会社（ジーイーフィナンシャルサービス、GEFS）は、かつて存在した米ゼネラル・エレクトリック（GE）系の総合リース・法人金融会社。2010年1月1日付で、GEの日本法人である日本GE株式会社と合併し解散。
GE三洋クレジット,GE三洋クレジット（ジーイーさんようクレジット）は、かつて存在した米ゼネラル・エレクトリック（GE）系の法人金融会社・GEフィナンシャルサービス株式会社の一事業部門。リース・割賦販売などの事業を行う。現在は日本GE株式会社の法人金融部門「GEキャピタル」に統合。
GMAC,GMAC LLC（ジーエムエーシー エルエルシー）は、アメリカ合衆国の金融会社。主に自動車ローンを扱う。別名 GMAC Financial Services。旧社名 General Motors Acceptance Corporation。かつては自動車メーカーゼネラルモーターズ (GM) の100%完全子会社だった。しかし2006年11月30日、株式の51%がサーベラス・キャピタル・マネジメントに売却された。
HDFC,HDFC（英語：Housing Development Finance Corporation、日本語訳：住宅開発金融会社）は、インドの非銀行系金融会社。
HTFI_PTE_LTD,HTFI PTE LTD.（エイチティエフアイ・プライベート・リミテッド）は2012年に発足したグループ資産管理会社でシンガポールに本社を置く。
IBJL東芝リース,"IBJL東芝リース株式会社（英文社名：IBJL-TOSHIBA Leasing Company, Limited）とは、東京都港区虎ノ門に本社を置く、リース業を主な事業とする企業である。"
ISホールディングス,"株式会社ISホールディングス（アイエスホールディングス、英: IS Holdings Co.,Ltd）は、東京都千代田区に本社を置く、IT事業・金融事業を主とする持株会社である。"
JALカード,JALカード（ジャルカード）は、日本航空のグループ企業である株式会社ジャルカードが発行するクレジットカードである。2010年度末現在の会員数は約249万人、年間取扱高は1兆9073億円。なお、年間取扱高には疑問の余地がある（#株式一部売却を参照）。ジャルカードが発行するハウスカード（2010年8月31日で取扱終了）と、ジャルカードと提携するクレジットカード会社が発行する提携カード（こちらが現行のJALカードである）が存在するが、以下特に断らない限り提携カードについて記述する。
