20世紀ピクチャーズ,"20世紀ピクチャーズ（にじっせいき-、20th Century Pictures / Twentieth Century Pictures, 1932年 設立 - 1935年 合併消滅）は、かつて存在したアメリカ合衆国の映画製作会社である。二十世紀映画社、20世紀映画社とも。"
21世紀グループ,"株式会社21世紀グループ（にじゅういっせいきグループ、英称：21SEIKI GROUP Co., Ltd.）は、熊本県熊本市に本社を置く、パチンコチェーン「21世紀」、「CORE21」などを運営する企業。一般には「21（にいいち）、21世紀、コア」で知られている。なお、株式会社北上文化が東北地方で展開するパチンコチェーンの「21SEIKI」とは無関係である。"
2TOUCH,有限会社2TOUCH（英文社名；2TOUCH INC.）は、東京都中央区に本社を置く日本の芸能プロダクション。
365_(芸能プロダクション),"株式会社365（サンロクゴ 英称:365,Incorporation）は、東京都港区に本社を置く日本の芸能プロダクション。"
55ステーション,55ステーション（ごーごーすてーしょん、55 Station）は、株式会社プラザクリエイトストアーズが展開するDPEショップチェーン。本社は、東京都千代田区にある。
81プロデュース,株式会社81プロデュース（エイティワン・プロデュース）は、日本の声優事務所。
925hPa,株式会社925hPaは、日本のマネジメント事業者。
A_nine,株式会社エーナイン (a nine) は、小室哲哉が2009年7月に設立した個人事務所である。
A-Light,株式会社エーライツは、東京都港区に本社を置く日本の芸能プロダクション。
A-PLUS,株式会社エープラス（英文社名；A-PLUS Inc.）は、東京都港区に本社を置く日本の芸能プロダクション。
A-SaaS,A-SaaS（エーサース）は、アカウンティング・サース・ジャパン株式会社の開発・提供する税理士向けクラウド税務・会計・給与システムである。
A-team_(芸能プロダクション),株式会社エーチーム（英文社名；A-Team Inc.）は、東京都港区に本社を置く日本の芸能プロダクション。
A.L.C.Atlantis,A.L.C.Atlantis有限会社（英文社名；A.L.C.Atlantis Inc.）は、東京都港区に本社を置く日本の芸能プロダクション。
AAC_STUNTS,有限会社AAC STUNTSは、日本のスタントチーム。東京都武蔵野市にある。旧名称はアトラクティブ・アクション・クラブ（Attractive Action Club、略称：AAC）。
ABCクッキングスタジオ,ABCクッキングスタジオ（英称:ABC Cooking Studio）は、東京都千代田区丸の内に本社を置く株式会社および同社が展開する料理教室の名称である。ABCの略称を持つ朝日放送グループおよび朝日新聞社、ならびに靴販売のABCマートとは資本・人的関連はない。
ABCサービス,株式会社ABCサービス（エービーシー -）は、大阪府大阪市中央区に本社を置く、業務請負や人材派遣を行う会社。
ACKグループ,株式会社ACKグループ（アックグループ）は、東京都渋谷区に本社を置く建設コンサルタントの持株会社である。事業は、「社会資本整備」だけにとどまらず、「防災・減災・安全確保・リスク管理」、「社会福祉」、「教育・人材育成」、「企業経営・ISO」など、多様な市場においてグローバルなコンサルタント・ビジネスを展開している。関連するその他の業務へも多様な展開を図るため、グループ企業をそろえて活動している。
Actor-noix_アクトルノワ,"actor-noix アクトルノワ（英文社名；actor-noix Co., Ltd.）は、東京都杉並区に本社を置く日本の芸能プロダクション。"
ACTミニ・シアター,ACTミニ・シアター（アクトミニ・シアター、1970年代 開館 - 2000年ころ 閉館）は、かつて存在した日本の映画館である。新作上映を中心としないいわゆる名画座であり、16mmフィルムベースによるサイレント映画以来のフィルム・アーカイヴを持ち、同アーカイヴ所蔵以外の作品も上映した。同経営によるACT SEIGEI THEATERについても記述する。
AC長野パルセイロ,AC長野パルセイロ（エーシーながのパルセイロ）は、日本の長野県北信地方（詳細後述）をホームタウンとする、J3リーグに所属するサッカークラブである。
ADsFactory,aDsFactory株式会社は、東京都中央区に本社を置き、ASP提供、Webデザイン制作、Webシステム開発、ホスティング事業、ECサイト運営、スマートデバイス構築支援などを行う企業である。2000年に浅地彩図園株式会社のインターネット事業部として設立された。2000年に浅地彩図園株式会社が浅地デジタル彩図ファクトリー株式会社に社名を変更。2005年に現在NetReal株式会社で運用している「NetReal!」の前身、FAX一斉配信サービス「aDsNetFAX」サービスを開始する。2010年に事業部から独立し、aDsFactory株式会社（大文字はDとF、その他は小文字が正式）と社名変更し現在に至る。
AES_(企業),株式会社AESは、かつて存在したIT分野の人材開発事業を手掛けるキヤノングループ企業である。タイム24ビルに本社と研修施設（ICTラーニングセンター）を構えていた。2012年1月1日、同じキヤノングループのキヤノンビズアテンダ株式会社に吸収合併された。
AEVIC,株式会社アビック（AEVIC）は、東京都千代田区に本社を置き、金融系システム・インフラ受託案件を請負うシステム開発企業。
AG_(調査業),株式会社AG (AG Corporation) は、日本で調査業（探偵）を営む企業である。本社を東京都新宿区に置く。
AGスクエア,株式会社AGスクエア（エイ・ジー・スクエア）は、セガサミーホールディングス傘下で郊外型アミューズメント施設の管理・運営を行っていた日本の企業。ここでは、株式会社セガ ビーリンク・セガアミューズメント施設事業部と統合され、セガ ビーリンクから商号変更された後の株式会社セガ エンタテインメントとなった後のAGスクエアについても述べる。
AIR_AGENCY,株式会社AIR AGENCY（エアエージェンシィー）は日本の芸能事務所、音響制作会社。主に声優のマネージメントを行うほか、アニメーションなどの音響制作も行っている。声優の藤原啓治が設立。
AKAONI,AKAONI は、日本の芸能事務所である。
Akiba.TV,Akiba.TVは、Akiba.TV株式会社が運営し、秋葉原を拠点に運営しているインターネットテレビサイト。2013年まではAkiba.TV株式会社の親会社である株式会社クロスブリッジが運営し、後に分社化した。
AKS,"株式会社AKS（英文社名：AKS Co., Ltd.）は、東京都千代田区に本社を置く総合人材派遣会社。芸能プロダクション・レコード会社・音楽出版社・映画の企画および制作会社・ノベルティグッズの販売会社などの役割も果たす。女性アイドルグループAKB48・SKE48・HKT48並びに2015年10月の発足を目指すNGT48（以下纏める場合は「日本国内各グループ」とする）の運営管理会社であるとともにこれらの商標権を保有している。各事業所については「事業所所在地」を参照。"
ALBA_(芸能プロダクション),株式会社 ALBAは日本の芸能事務所。主に俳優、ナレーターのマネージメントを行っている。ほかにナレーター、俳優の養成。広告、宣伝に関する企画、制作もしている。
