アサヒ紙工,アサヒ紙工株式会社は、埼玉県鴻巣市に本社を置く段ボールの製造・販売会社。レンゴーが発行済株式の60%を取得しており、同社の子会社となっている。
イムラ封筒,株式会社 イムラ封筒（イムラふうとう）は、大阪府大阪市中央区に本社を置く封筒を製造する企業である。国内最大手でシェア2割強、封筒業界唯一の上場企業である。ダイレクトメール向けなどの窓封筒に強く、封筒部門の売上げの88%はオーダーメイド製の封筒である。
いわき大王製紙,いわき大王製紙株式会社（いわきだいおうせいし）は、新聞用紙やダンボール原紙等を製造している製紙会社。大王製紙グループ。企業コンセプトは「古紙を最大限に利用する」。
エクセルパック・カバヤ,エクセルパック・カバヤ 株式会社は、岡山県岡山市中区に本社を置く日本のパッケージ（紙器）メーカー。
ザ・パック,ザ・パック株式会社（英: The Pack Corporation）は、大手パッケージメーカー。紙袋を主に商業包装用紙全般を取り扱う。広報として包装の話題を扱う「四季包」を発行している。総合商社双日とは旧ニチメン時代から関係が強い。売上高は約858億円（連結、2014年12月期）。事業セグメントは紙袋・紙器・段ボールなどの部門からなる「紙加工品事業」、衛生用紙・おむつ・ナプキン用製品の部門からなる「化成品事業」と、「その他事業」を加えた3つ。各セグメントの売上高が全売上高に占める割合は、それぞれ約60%・20%・20%である。みどり会の会員企業である。
シグマ紙業,シグマ紙業株式会社（しぐましぎょう）は、大阪府大阪市に本社を置く印刷物・包装資材のメーカー。製薬会社由来の製造拠点を持ち、特に製薬会社向けの医薬品添付文書、緩衝紙器分野で高いシェアを有している。製本業およびその機械化に始まった社の歴史から集積包装・製本機械、情報システム等の設計開発を得意とし、これらの技術と品質を背景とし大手の医療機器、化粧品、菓子食品、事務用品、アパレル等のメーカー、銀行、保険、電力、通信、運輸、出版等のサービス業に強い顧客基盤を持つ。社章になっているシグマピーのシグマは力を結集する総和を意味し、旧社名時から社章として使われていたものが由来となっている。Pは社名のペーパーに加えてパワー、パイオニア、パラマウント、パッケージなどを意味する。
ダイゴー,ダイゴー株式会社は、日本の文具メーカー。ビジネス手帳やダイアリーなどを手掛け、その業界では大手である。
ダイナパック,"ダイナパック株式会社（英: Dynapac Co., Ltd.）は、愛知県名古屋市中区に本社を置く段ボールメーカー。"
タカラ_(パッケージング),株式会社タカラは、大阪市鶴見区と東京都世田谷区に本社を置く包装資材の商社。
トータルパッケージ,トータルパッケージ株式会社は、東京都墨田区に本社を置く、包装資材の製造・販売会社。
トーモク,"株式会社トーモク（英文社名 Tomoku Co.,Ltd.）は、日本の段ボール・紙器製造業者。"
ニッポン高度紙工業,ニッポン高度紙工業株式会社（ニッポンこうどしこうぎょう）は、高知県高知市に本社を置く電池・コンデンサのセパレータやフレキシブルプリント基板を中心とした製紙メーカー。ジャスダック上場企業。コンデンサ用絶縁紙の最大手。
ハビックス,ハビックス株式会社は、岐阜県岐阜市に本社を置く、不織布と衛生用紙を製造する製紙メーカー。JASDAQ上場企業。
ペーパーウェア_(株式会社),ペーパーウェア株式会社は、日本の企業。1877年に紙販売業として創業し、1972年に現在の「熱プレス加工による紙絞り容器」メーカーとして製造・販売を行っている。
マルアイ_(化成品メーカー),株式会社マルアイは、日本の化成品メーカー。本社は山梨県市川三郷町にあり、手漉き和紙のメーカーとして誕生した。現在も祝儀袋などの慶弔袋のシェアは全国トップである。しかし、現在は化成品メーカーとして知られ、商品用のラミネートパック、静電気防止シート、半導体生産まで異業種への展開が進んでいる。
ヤマガタ,株式会社ヤマガタは、1913年（大正2年）に「山縣精美堂」として創業された「名刺」・「封筒」・「はがき」等の紙製品製造会社である。大正時代に英国ケント州よりケント紙を輸入し、1933年（昭和8年）に国産第一号のケント紙を本州製紙富士工場にて製造した。1951年（昭和26年）に株式会社山縣精美堂として法人化し、1977年（昭和52年）に株式会社ヤマガタに商号変更された。商標を「月印」として多くの紙製品を製造、全国17箇所の販売拠点を通じ紙製品を販売する業界の草分け的存在である。2013年（平成25年）、創業100年以上の企業で構成される大阪「NOREN」百年会会員となる。
リブドゥコーポレーション,株式会社 リブドゥコーポレーション（英称：Livedo Corporation）は、愛媛県四国中央市に本社を置く、紙おむつや医療用製品等の製造・販売等をおこなう企業である。
レンゴー,"レンゴー株式会社（英文社名　Rengo Co., Ltd.）は、大阪府大阪市北区中之島二丁目に本社を置く板紙・段ボールを中心とする紙製の包装資材を製造・販売する企業である。段ボールや板紙の業界では最大手。"
阿波製紙,"阿波製紙株式会社（あわせいし、英: Awa Paper Mfg. Co.,Ltd.）は、日本の紙製品・繊維製品メーカー。各種産業用機能紙や不織布の製造を主力とする。"
愛媛製紙,"愛媛製紙株式会社（えひめせいし、英文名称EHIME PAPER MFG CO.,LTD.）は、カミ商事グループの製紙会社。愛媛県四国中央市に工場を持ち、段ボール原紙および家庭用薄葉紙を製造する。薄葉紙はカミ商事グループ内の加工会社に供給され、エルモアブランドで販売される。"
旭紙業,"旭紙業株式会社（あさひしぎょう、Asahi Sigyo Inc,.）は、梱包用段ボールなどを製造する日本の製紙会社である。"
伊藤忠紙パルプ,伊藤忠紙パルプ（いとうちゅうかみ－）は、東京都に本社置く企業。伊藤忠商事の関連会社。
王子エフテックス,"王子エフテックス株式会社（おうじエフテックス、英文社名 Oji F-Tex Co.,Ltd.）は、王子製紙グループの特殊紙メーカー。製品は特殊印刷用紙、機能紙、特殊機能紙、特殊板紙、フィルム製品、ガラス繊維不織布の6種類。"
王子ネピア,"王子ネピア株式会社（おうじネピア、英文社名 Oji Nepia Co., Ltd.）は、王子製紙グループに属する衛生用紙メーカーである。製品のブランド名は「ネピア (nepia) 」。"
王子ホールディングス,王子ホールディングス株式会社（おうじホールディングス、英名：Oji Holdings Corporation）は、王子製紙などの企業を傘下に持つ、王子グループの持株会社である。売上高ベースでは日本国内における製紙業界では最大手。三井グループに属する。2012年（平成24年）10月に、王子製紙（3代目）が社名を変更して王子ホールディングスは発足。これにあわせて会社分割により事業部門を王子製紙（4代目）を始めとする子会社へ移管し、王子グループは持株会社制に移行した。
王子マテリア,"王子マテリア株式会社（おうじマテリア、英文社名 Oji Materia Co., Ltd.）は、王子グループに属する製紙会社である。グループの持株会社である王子ホールディングスが出資する。旧社名は王子板紙株式会社（おうじいたがみ、英文社名Oji Paperboard Co., Ltd.）。"
王子製紙,"王子製紙株式会社（おうじせいし、英名：OJI PAPER CO., LTD.）は、日本の最大手製紙会社グループである王子グループに属する企業。持株会社の王子ホールディングスの傘下にある子会社の一つで、グループの新聞用紙および印刷・情報用紙部門を担当する。「王子製紙」の名を持つ法人としては4代目である。2012年（平成24年）、グループが純粋持株会社制に移行する際、3代目の王子製紙が王子ホールディングスに社名を変更し、事業を子会社へ移管した。事業を継承した子会社の一つが、この4代目の王子製紙である。"
岡山製紙,株式会社岡山製紙（おかやませいし）は、岡山県岡山市南区に本社を置き、板紙や美粧段ボール（果物用贈答箱など）を製造するJASDAQ上場企業である。
岡田紙業,岡田紙業株式会社（おかだしぎょう）は、大阪府大阪市中央区に本社を置く医薬品・食品等包装材の加工販売会社。
加賀製紙,加賀製紙（かがせいし）は、ボール紙等の生産、貼り合わせを専業とする製紙会社である。本社は石川県金沢市にある。
河野製紙,河野製紙株式会社（かわのせいし）は、土佐和紙にルーツを持つ製紙会社。ティッシュペーパー・トイレットペーパーを製造している。
刈谷紙器,刈谷紙器（かりやしき）とは、愛知県刈谷市今川町に本社をおく紙器メーカー。主に段ボール及び包装パッケージ製品の製造を行っている。1959年、神谷金治と神谷光義（現代表取締役会長）により設立され、1960年に株式会社化。2001年には環境管理システムISO 14001の認証を取得している。
丸住製紙,丸住製紙株式会社（まるすみせいし）は、愛媛県に本社がある日本の製紙企業。丸紅のグループに属している。
丸定,"株式会社丸定（まるさだ、英文社名：Marusada Co.,Ltd. ）は、日本の段ボール・紙管・プラダン（段プラスチック）、ディスプレイ、POP、紙製什器等の製造、販売業者。また、粘着テープ・ポリ袋等の軽包装資材の販売も行う。本社所在地は、山形県米沢市。"
丸富製紙,丸富製紙株式会社（まるとみせいし）は、家庭紙（トイレットペーパー、ティッシュペーパー）生産の専業製紙会社である。販売地域は全国に及ぶ。芯なしトイレットペーパー生産会社。
紀州製紙,"紀州製紙株式会社（きしゅうせいし、英: Kishu Paper Co., Ltd.）は、かつて存在した印刷用紙（色上質紙など）や包装用紙（純白ロール紙など）、情報用紙を中心に製造する日本の製紙会社である。北越製紙に完全子会社化されたのち、2011年に吸収合併された。"
協進印刷,株式会社協進印刷（きょうしんいんさつ）は、東京都世田谷区に本社を置く包装資材製造メーカー。内部に緩衝機構を持ち内容物の瓶の破損を防止する医薬品包装、改竄防止機能を紙だけで実現しリサイクルを容易にした歯磨きチューブ用カートンなど、複雑な構造を持つ包装製品を手がけており、食品、医薬品、日用雑貨など幅広い分野で日本パッケージングコンテストの各賞を多数受賞している。
興亜工業,"興亜工業株式会社（こうあこうぎょう、英文社名： KOA KOGYO CO., LTD.）は、静岡県富士市比奈に本社を置く製紙会社。中芯原紙・外装用ライナーの段ボール原紙部門において、生産量は王子製紙、日本製紙、レンゴーに次いで業界第4位。"
