3M,3M Company（スリーエム）は、アメリカ合衆国ミネソタ州セントポール郊外のメープルウッドに本拠地を置く、世界的化学・電気素材メーカーである。この会社の社名は2002年までMinnesota Mining & Manufacturing Co.（ミネソタ・マイニング・アンド・マニュファクチュアリング社）が使用されていたが、その後略称である、3Mを使用した「3M Company」に変更されている。
ADEKA,ADEKA（アデカ）は、古河グループ（古河三水会）の化学工業製品・業務用食品事業を担う化学品メーカー。商標の一つにリス印がある。旧称は旭電化工業株式会社（あさひでんかこうぎょう）。2006年5月1日より現社名に変更した。
AGCマテックス,AGCマテックスは繊維強化プラスチック（FRP）や樹脂製品の製造を行う企業。旭硝子の子会社。
BASFジャパン,BASFジャパン株式会社（ビーエーエスエフジャパン）は、ドイツに本拠を置く世界最大の総合化学メーカー「BASF」の日本法人である。
BOCグループ,BOCグループ (The BOC Group) は、イギリスに本社をおく国際的な工業ガスメーカーである。2006年9月、ドイツのリンデに買収され、現在はリンデグループ傘下である。
DIC_(企業),DIC株式会社（ディーアイシー、英語表記DIC Corporation、略称DIC）は、東京都中央区に本社を置く化学工業メーカー。主力商品はインク。
DOWA_IPクリエイション,"DOWA IPクリエイション 株式会社（どうわあいぴーくりえいしょん、英文社名：DOWA IP Creation Co., Ltd.）は、岡山県岡山市に本社を置く鉄粉の製造を行うDOWAエレクトロニクスの関連会社である。"
DOWAエフテック,"DOWAエフテック 株式会社 （どうわえふてっく、英文社名：DOWA F-Tec Co.,Ltd.）は、岡山県久米郡美咲町に本社を置くフェライト粉の製造を行うDOWAエレクトロニクスの関連会社である。"
DOWAハイテック,"DOWAハイテック 株式会社 （どうわハイテック、英文社名：DOWA HIGHTECH CO.,LTD.）は、埼玉県本庄市に本社を置くケミカル品の製造とめっき加工を行うDOWAエレクトロニクスとDOWAメタルテックの関連会社である。電池材料の製造は世界トップシェアを誇る。"
JNC,JNC株式会社（ジェイエヌシー）は、日本の化学メーカーである。チッソ株式会社の完全子会社。2011年1月12日にチッソの子会社として設立された後、同年3月31日にチッソから事業譲渡を受けて翌4月1日に営業を開始した。チッソによると、JNCには「Japan New Chisso」の意味が込められている。
JNC石油化学,JNC石油化学株式会社（ジェイエヌシーせきゆかがく）は日本の化学メーカー。チッソ株式会社の完全子会社（JNC株式会社を介する間接所有）。
