AOCホールディングス,"AOCホールディングス株式会社（エーオーシーホールディングス、AOC Holdings, Inc.）は、アラビア石油と富士石油の共同株式移転によって、2003年（平成15年）1月31日に設立された持株会社である。2013年10月1日にAOCホールディングスは富士石油を吸収合併し、同時に富士石油株式会社に商号変更した。"
BP_(企業),BP（ビーピー、英：BP p.l.c.）は、イギリスに本拠を置くエネルギー関連企業。国際石油資本であり、スーパーメジャーと呼ばれる6社の内の一社である。BPはBritish Petroleum（ブリティッシュ・ペトロリアム、英国石油）の略であったが、2001年に正式名となった。
ENEOSサンエナジー,株式会社ENEOSサンエナジー（えねおすサンエナジー、英: ENEOS Sun-Energy Corporation）は、石油製品や石油化学製品等を供給するJXグループの石油商社。JX日鉱日石エネルギー（ENEOS）の100％出資会社。
Eni,Eni（エニ）は、イタリアの半国有石油・ガス会社である。イタリア最大の工業会社であり、70ヶ国に展開する。社名は炭化水素公社 (Ente Nazionale Idrocarburi) の略である。
JXホールディングス,"JXホールディングス株式会社（ジェイエックスホールディングス、英称：JX Holdings, Inc.）は、2010年4月1日に設立されたJXグループの持株会社。JXの名称は、ジャパンの「J」と未知を示す「X」から。"
MOCマーケティング,MOCマーケティング合同会社（えむおーしーまーけてぃんぐ）は、かつて存在した石油卸売会社。東燃ゼネラル石油の子会社であった。三井物産の子会社三井石油株式会社（みついせきゆ）として運営されていたが、2014年に同社保有の株式を東燃ゼネラル石油に売却し、現社名に変更した。
MORESCO,株式会社MORESCO（モレスコ、英: MORESCO Corporation）は兵庫県に本社を置く化学品メーカー。石油卸を主体とする松村石油から1958年に分離独立した企業であり、旧社名を株式会社松村石油研究所といった。合成潤滑油、高真空ポンプ油、難燃性作動液などの特定分野で高い市場シェアを誇り、その他ポリエチレンの滑剤や化粧品の原料となる流動パラフィン、乳化油やさび止め油の素材となるスルホネート、合板や製本、紙おむつの製造に用いるホットメルト接着剤なども手掛ける。
Nikko_Oil_Products,"Nikko Oil Products 株式会社（にっこうオイルプロダクツ　英語社名：NNIKKO OIL PRODUCTS, INC.）とは、潤滑油専業メーカー日興産業の子会社で東京都中央区に本社を置く、潤滑油製品及び環境対策関連製品販売会社である。国内外に日興産業、石油元売各社、潤滑油専業メーカー各社の製品を販売している。ENEOSの1次特約店。"
ONGC,ONGC（英語：Oil and Natural Gas Corporation Limited、日本語訳：石油天然ガス公社）は、インド・ウッタラーカンド州デヘラードゥーンに本社を置く石油・天然ガスの探査開発国有会社。石油・天然ガスの探査・開発のために1956年8月14日に準備委員会が設立され、政府が株式の過半を所有した上で1993年6月23日に国営企業として設立された。
PLATZ,PLATZ（プラッツ）は、日本のプラモデル製造メーカー。静岡県静岡市清水区に本社がある。2000年（平成12年）に創業。当初は鉄道模型から参入。レジン（合成樹脂）製のコンテナやNゲージの車体などを販売していた。2001年（平成13年）より飛行機モデルにも進出。大手プラモデルメーカーが発売していないアイテムを、レジンキャストやエッチングパーツを使った複合キットでリリース。そして2004年（平成16年）には初のプラモデルキットとなる1/144　P-51Dマスタングを発売したほか、エフトイズ・コンフェクトの日本の翼コレクションのキット版や同製品シリーズの抽選プレゼントアイテムであった、航空自衛隊機に搭載される各種ミサイルや航空機搭載用の爆弾、パイロンと言った、アクセサリーパーツも製品ラインナップに入れられている。キット以外では航空自衛隊機や在日アメリカ軍機と言った軍用機や旅客機のデカール、エッチングパーツなどのアフターパーツ類も充実している。なお、航空自衛隊機用のエッチングパーツの一部はエデュアルドからOEM供給されている。自身のメーカーとしての活動の他に、国内のアンリミ・モデルやエフトイズなどのメーカーの発売元として、またサイバーホビー、アキュレイトミニチュア、ミニクラフトなどのプラモデルや、ドラゴンモデルズ/サイバーホビーのアクションフィギュアなどの海外メーカーの国内発売元でもある。
アジップ,"アジップ（Agip Petroli S.p.A., Azienda Generale Italiana Petroli）はローマに本部を置くイタリアの石油会社。"
アラビア石油,"アラビア石油株式会社（アラビアせきゆ、ARABIAN OIL COMPANY, LTD.）は、石油や天然ガスの開発事業を主業務としていた日本の企業である。現在は開発事業から事実上撤退し、クウェートからの原油購入・販売を主業務としている。　"
エクソンモービル,エクソンモービル（英:Exxon Mobil Corporation）は、アメリカ合衆国テキサス州に本社を置く、総合エネルギー企業である。国際石油資本であり、スーパーメジャーと呼ばれる6社の内の一社である。また民間石油会社としては世界最大の企業である。日本においてもEMGマーケティング合同会社を親会社とするエクソンモービル・ジャパングループを展開している。
エヌ・エス_ルブリカンツ,"エヌ・エス ルブリカンツ株式会社（エヌ・エスルブリカンツ　英語社名：N・S LUBRICANTS CO.,LTD.）とは、潤滑油専業メーカーの日興産業と石油元売昭和シェル石油とが共同出資した、東京都千代田区に本社を置く、工業用潤滑油専業メーカーである（昭和シェル石油は当社設立を以って自社の金属加工油営業権のすべてを当社に営業譲渡した）。金属加工油（切削油、塑性加工油）、防錆油、洗浄油の自社ブランド製品を国内外の大手メーカーに販売している。"
