MRFタイヤ,MRFタイヤ（エムアールエフタイヤ）は、インド最大のタイヤメーカー。本社はインドのチェンナイ。
アサヒコーポレーション,株式会社アサヒコーポレーションは、日本の靴メーカー。本社は福岡県久留米市。世界最大のゴム・タイヤメーカーである「株式会社ブリヂストン」の源流でもある。ムーンスター（旧：月星化成）、アキレス等と並んで、ゴム靴メーカーとして知られている。国内では数少ないVP製法（直接加硫圧着式製法）の靴底製造を行える会社でもある。久留米市ではムーンスター、ブリヂストンとこの会社とで「ゴム三社」と呼ばれている。1998年に会社更生法を申請しており、現在は更生会社である。2012年4月の管財人の会見では、2017年を目処に更生債権を完済して更生計画を終結させる予定と説明されている。
オカモト,オカモト株式会社は日本の化成品メーカー。産業用製品事業と生活用品事業の二本柱を事業に持つ。
シー・アール・ケイ,シー・アール・ケイ株式会社(CRK Corporation)は、群馬県高崎市に本社を置く工業用ゴム製品の製造、加工及び販売を行う企業。
シモン_(企業),株式会社シモン（Simon Corporation）は東京都中央区に本社を置く、安全靴・官需靴・ワークグローブ・労働安全衛生保護具・防災用品・環境対策用品等の製造販売及び輸出入を行う企業である。革製安全靴製造業としては国内初、環境マネジメントシステムISO14001認証取得した工場や、グッドデザイン賞、グッドデザイン・ロングライフデザイン賞を受賞した商品がある。
ショーワグローブ,ショーワグローブ株式会社は、兵庫県姫路市砥堀に本社を置く手袋製造メーカー。
ダンロップファルケンタイヤ,ダンロップファルケンタイヤ株式会社は、かつて存在した住友ゴム工業の子会社で、「ダンロップ」と「ファルケン」のタイヤブランドを取り扱う販売会社であった。2005年1月5日にダンロップタイヤ株式会社（住友ゴム工業東京本社タイヤ営業本部が分社化）とファルケンタイヤ株式会社（住友ゴム工業への吸収合併後に設立された旧オーツタイヤ製品販売会社）が合併して発足した。本社は東京都江東区豊洲にある住友ゴム工業東京本社内に置かれた。2010年1月1日にSRIハイブリッド（住友ゴム工業の産業品部門）と共に親会社へ吸収合併されて解散した。以降「ダンロップ」と「ファルケン」の国内向け市販タイヤは、製造も販売も住友ゴム工業が行っている。
トーカン_(製造),株式会社トーカン（ 英: TOKAN Corporation. ）は、千葉県松戸市にあるゴム製品、及び塗料を製造する企業である。三菱電機グループに属する。社名の由来は、会社設立当時の名称「東洋乾電池」又はその後の名称「東洋高砂乾電池の略称、「東乾」から。以前はマンガン乾電池、アルカリ乾電池の製造をしており、自社製品には「LAMINA」というブランド名を使用していた。三菱へのOEMも行っていたが、現在は行っていない。同社のLAMINA 6F22(9V)電池はエフェクター利用者の間では人気の電池であった。JISでの略式記号はT.T.K.
ニチリン,株式会社ニチリンは、兵庫県神戸市に本社を置く自動車用ホースを製造・販売する会社である。
ニッタ,ニッタ株式会社（Nitta Corporation）は、大阪府大阪市浪速区桜川に本社を置く、主に産業用ベルトを主とするゴム製品の製造開発をおこなう企業である。1885年創業。
バンドー化学,"バンドー化学株式会社（バンドーかがく、英称:Bando Chemical Industries, Ltd.）は、兵庫県神戸市中央区に本社を置くゴム製品メーカーである。主にベルトコンベアや自動車・印刷機部品など産業用ベルトを中心に、化成品や精密研磨剤も手がけている。"
フコク,株式会社フコクは、埼玉県上尾市に本社を置く自動車用ゴム製品（ワイパー、シール製品）などを製造、販売するメーカーである。
ブリヂストン,株式会社ブリヂストン（英: Bridgestone Corporation）は、日本に本社を置く世界最大手のタイヤメーカーおよびそのブランド。創業地である福岡県久留米市ではムーンスター、アサヒコーポレーションとこの会社とで「ゴム三社」と呼ばれている。元々は1930年（昭和5年）、日本足袋株式会社（にほんたび。現在の株式会社アサヒコーポレーション）のタイヤ部門として発足したのが会社の源流で、1931年（昭和6年）に「日本タイヤ株式会社」（にほんタイヤ）として独立分社化、その後、1951年（昭和26年）に「ブリヂストンタイヤ株式会社」に社名変更し、1984年（昭和59年）に現在の社名となる。2005年（平成17年）、フランスのミシュラン社を抜き世界シェアトップとなる。生産拠点数は25か国178拠点（2012年（平成24年）現在）。
ミカサ,株式会社 ミカサ（Mikasa Corporation）は広島県広島市西区に本社を置く、主にゴム製品を製造する化学メーカーである。
ミツウマ,"株式会社ミツウマ（MITSU-UMA co.,ltd）は北海道小樽市に本社を置く企業で、ゴム長靴のメーカーとして、北海道はもとより、全国でも知名度がある。建設部材も含めた工業用ゴム製品や、射出成型靴、化成品等を製造、販売している。"
ミドリ安全,ミドリ安全株式会社（みどりあんぜん）は東京都渋谷区広尾に本社を置く、産業用安全衛生保護具・環境改善機器・電気計測器など安全衛生に関連する機材の製造販売を行う企業である。企業規模としては安全衛生保護具業界最大であり、特に安全靴及び、ワーキングウェア（作業服）については国内トップシェアである。また、安全衛生に関するコンサルタント業務も行っている。※第一種衛生管理者合格者数 968名 （2015年2月20日現在）
ムーンスター,株式会社ムーンスターは、福岡県久留米市に本社・工場を置く日本のシューズ製造業者。
モルテン,株式会社モルテン（英語: Molten Corporation）は、広島県広島市西区に本社を置く、競技用ボールなどのスポーツエクイップメントや自動車用関連部品などを製造・販売する企業である。
愛知タイヤ工業,"愛知タイヤ工業株式会社（あいちタイヤこうぎょう、英: Aichi Tire Industry Co.,Ltd.）は、愛知県小牧市大草に本社を置く産業車両用ニューマチック型クッションタイヤ（ノーパンクタイヤ）を製造する日本のメーカー最大手である。"
井上ゴム工業,井上ゴム工業株式会社（いのうえゴムこうぎょう、正式には井上護謨工業）は、IRCブランドを展開するオートバイ、自転車、車椅子用タイヤメーカー。本社は、愛知県名古屋市熱田区。イノアックコーポレーション系で、イノアックグループの源流企業。他の大手タイヤメーカーとは異なり、自動車用のタイヤを製造していないが、他社では造り得ない特徴を持つ製品を送り出す。
横浜ゴム,"横浜ゴム株式会社（よこはまゴム、英文社名 : The Yokohama Rubber Co., Ltd.）は、古河グループのタイヤ・ゴムメーカー。ドイツのコンチネンタルタイヤの輸入元（一部は日本国内でOEM生産も手がける）でもあり、ヨコハマタイヤのブランド名で知られる。"
王子ゴム化成,王子ゴム化成株式会社（おうじごむかせい）は、ライニング・ホース・押出・プレス製品を主体とした工業用ゴムおよび樹脂製品製造メーカー。
気球製作所,気球製作所（ききゅうせいさくじょ）は、東京都大田区北糀谷に所在する気象観測用気球、ガスホルダーのメーカー。
吉野ゴム工業,吉野ゴム工業株式会社（よしのゴムこうぎょう）はベルトコンベアのベルトなどを製造する会社で、本社は大阪府大阪市福島区に所在する。
極東ゴム,極東ゴム株式会社（きょうとう- ）は、大阪府堺市に本社を置くゴム・パイプ製品の開発・生産を行う企業。
三ツ星ベルト,三ツ星ベルト株式会社（みツぼしベルト）は、神戸市長田区に本社を置くOA機器、自動車、産業機器用ベルトなどを製造、販売するゴムメーカー。みどり会の会員企業である。
住友ゴム工業,"住友ゴム工業株式会社（すみともゴムこうぎょう、英: Sumitomo Rubber Industries, Ltd.）は、兵庫県神戸市中央区脇浜町に本社を置く、タイヤ、スポーツ用品などを製造する住友グループの企業で、住友グループ広報委員会にも参加する企業である。タイヤはイタリアのピレリに次いで、世界6位。欧米ではグッドイヤー主導で合弁事業を展開している。"
住友理工,住友理工株式会社（すみともりこう、英: SUMITOMO RIKO COMPANY LIMITED. ）は、愛知県に本社がある住友グループの高機能ゴム・樹脂製造する企業で、住友グループ広報委員会にも参加する企業でもある。自動車用防振ゴム・ホース部門は国内トップシェア。また、プリンター部品などのIT関連部門、橋梁・住宅関連などの産業資材部門にも注力。住友電装（旧東海電線）と兄弟会社である。
十川ゴム,株式会社 十川ゴム（とがわゴム）は、大阪府大阪市西区に本社を置く家庭用および工業用ゴム製品の製造販売をおこなう企業である。
昭和ホールディングス,昭和ホールディングス株式会社（しょうわホールディングス）は、千葉県柏市に本社を置く持株会社である。
西川ゴム工業,西川ゴム工業株式会社（にしかわゴムこうぎょう）は、広島県広島市西区に本社を置く自動車用シール製品などを製造、販売するメーカーである。
青木安全靴,青木安全靴製造株式会社（あおきあんぜんぐつせいぞう）は、安全靴・作業靴等の特殊靴の製造を専門とする山形県西村山郡河北町に本社・工場を置く企業。
倉敷化工,倉敷化工 株式会社は、岡山県倉敷市に本社を置く日本の自動車・産業用ゴム部品の製造・販売を行う会社。
相模ゴム工業,相模ゴム工業株式会社（さがみゴムこうぎょう）は神奈川県厚木市に本社をおくコンドームの大手メーカー。現在はオカモト、ジェクスについで業界3位。
第一ゴム,第一ゴム株式会社（だいいちゴム）は北海道小樽市に本社を置く日本の企業。ゴム長靴のメーカー。
朝日ラバー,株式会社朝日ラバー（あさひラバー、英文社名ASAHI　RUBBER　INC．）は、埼玉県さいたま市大宮区 土手町に本社を置く、工業用ゴム製品や医療・衛生用ゴム製品の製造・販売するメーカーである。
帝都ゴム,"帝都ゴム株式会社（ていとゴム、英称:TEITO RUBBER Co., Ltd.）は、自動車用ホースの製造を主な事業とする企業で、埼玉県入間市に本社を置いている。かつてはジャスダックに株式を上場していたが、株式交換により2011年8月1日に鬼怒川ゴム工業の完全子会社となった。"
東海興業_(愛知県),"東海興業株式会社（英: TOKAI KOGYO CO.,LTD. ）は、愛知県大府市に本社を置く自動車部品メーカー"
東洋ゴム工業,"東洋ゴム工業株式会社（とうようゴムこうぎょう、英: Toyo Tire & Rubber Co.,LTD.）は、大阪府大阪市西区江戸堀に本社を置く、タイヤ・自動車部品等のメーカーである。"
東和コーポレーション,株式会社東和コーポレーション（とうわコーポレーション、英文名称：Towa Corporation）は、福岡県久留米市津福本町に本社を置く手袋製造メーカー。
藤倉ゴム工業,藤倉ゴム工業株式会社（ふじくら・ゴム・こうぎょう）は、ゴム引布、防災用品メーカー、フジクラ（旧・藤倉電線株式会社）の関連会社である。
日東化工,日東化工株式会社（にっとうかこう）は、神奈川県高座郡寒川町に本社を置くゴム製品の製造業である。東京証券取引所第二部上場。三菱ケミカルホールディングスの関連会社。
日本ジャイアントタイヤ,"日本ジャイアントタイヤ株式会社（ニッポンジャイアントタイヤ、英称：Nippon Giant Tire Co., Ltd.）は、兵庫県たつの市に本社を置くオフ・ザ・ロードタイヤを中心としたタイヤメーカーである。"
不二ラテックス,"不二ラテックス株式会社（ふじラテックス、Fuji Latex Co., Ltd.）は、コンドームの大手メーカー。水枕やゴム風船なども生産するほか、近年は産業機械向け緩衝器（ソフトアブソーバー、ダンパー等）の売り上げがコンドームを上回っており、主力事業に育っている。なお、自社ビルの形がコンドームに近い姿である。これはフジテレビジョンの番組『トリビアの泉 ～素晴らしきムダ知識～』(2002年11月放送)でも紹介された。"
北星ゴム工業,北星ゴム工業株式会社（ほくせいゴムこうぎょう）は、1930年に設立された日本のゴム製品メーカー。富山県黒部市の本社工場のほか、入善町に第2工場を、東京、大阪、名古屋に営業所を置く。
浪華ゴム工業,"浪華ゴム工業株式会社（なにわゴムこうぎょう、英文社名:Naniwa Rubber Co., Ltd. ）は奈良県大和高田市に本社を置く、主に医療用ゴム及びプラスチック製品の製造販売をおこなう企業である。"
3350,地下足袋の生産に始まり、滑りにくいゴム底の靴を中心に生産している。
3350,*所在：大阪府堺市堺区南島町4-17*設立：1921年12月20日*資本金：26300000円
3350,クリヤマ（現・クリヤマホールディングス）の持分法適用関連会社として1957年に山口県防府市に王子ゴム化成株式会社設立、工業用ゴム製品の製造開始。中国、タイ王国|タイに関連企業をもつ。
