AGCセラミックス,"AGCセラミックス（英文名称AGC Ceramics Co.,Ltd.）は耐火物やファインセラミックスの製造を行う企業。旭硝子の子会社。"
AGCプライブリコ,"AGCプライブリコ株式会社（英文名称AGC PLIBRICO Co.,Ltd.）は、日本の窯業会社。耐火物などの製造を行う。旭硝子グループ。"
HARIO,HARIO株式会社は、東京都中央区日本橋富沢町に本社をおく日本の耐熱ガラスメーカーであり、国内唯一の耐熱ガラス工場保有メーカーである。2012年9月にハリオグラス株式会社から社名変更。ガラスの王様「玻璃王(はりおう)」が由来。
INAX,INAX（イナックス）は、日本の企業グループ・LIXILグループの株式会社LIXIL（リクシル）が展開する衛生陶器・住宅設備機器・建材のブランド名。また、株式会社INAX（INAX Corporation）は、2011年3月までこれらの事業を展開していた企業である。
MARUWA,"株式会社MARUWA（マルワ、英: MARUWA CO., LTD.）は、電子部品用セラミックの大手メーカー。本社は愛知県尾張旭市。なお、福岡県に本社を置くスーパーマーケットを営む株式会社丸和とは何も関係ない。"
SECカーボン,"SECカーボン株式会社（エスイーシーカーボン、英文社名: SEC Carbon, Ltd.）は、兵庫県尼崎市潮江に本社を置く日本の独立系炭素製品の大手メーカー。"
SNリフラテクチュア東海,"株式会社SNリフラテクチュア東海（えすえぬリフラテクチュアとうかい、SN Refratecture Tokai Co., Ltd. 、SNRT）は製鉄所で使用される連続鋳造用の耐火物メーカーであり、黒崎播磨の関連会社である。主な製品は製鉄所にて溶鋼の流れをコントロールするために使用されるスライドゲートプレート（スライディングノズル）や上ノズル、下ノズル。その他にも鋳込みを停止することなくタンディッシュノズルを交換できるOTNC（Online Tundish Nozzle Changer ）や浸漬ノズルを交換することなく中間ノズルを交換できるOTINC（Online Tundish Immersion Nozzle Changer ）の製造も行っている。"
TNコーポレーション,株式会社TNコーポレーション（ティーエヌコーポレーション）は、美濃焼産地の一角、岐阜県可児市にある建築用タイルメーカー。
TOTO_(企業),TOTO株式会社（トートー）は、衛生陶器・住宅設備機器を製造するメーカーで森村グループの一員である。本社は福岡県北九州市小倉北区中島二丁目1番1号にある。TOTOとは創業時の社名「東洋陶器（Toyo Toki）」の略である（旧社名の東陶機器（とうとうきき）の「東陶」（とうとう）も創業当初の社名から由来）。
TOTOマテリア,TOTOマテリア株式会社は、岐阜県土岐市に本社を置くタイルメーカーである。主にTOTOグループ向けのタイル及び建材商品の開発・製造・販売・施工を行なっている。
アイコットリョーワ,株式会社アイコットリョーワは美濃焼きの産地である多治見市に本社を構える総合タイルメーカー。生産販売量日本メーカーNO.１。最適地生産体制の構築を進めており、マザーファクトリーとして多治見市に本社工場、優良で豊富な原料の産地である中国にアイコット広東陶磁有限公司・佛山リョーワ陶磁有限公司・景徳鎮アイコットリョーワ陶磁有限公司・江西アイコットリョーワ陶磁有限公司の４つの工場を生産拠点とし、世界各国へと製品を供給している。また、中国に建材調達商社としてIR建材貿易有限公司を有している。顧客としては、大手ハウスメーカー、建材商社、工事店等に販売している。
アサヒ衛陶,"アサヒ衛陶株式会社（アサヒえいとう、Asahi Eito Co., Ltd.）はトイレや洗面台の関連製品を製造する企業である。本社は大阪府堺市美原区にある。大阪証券取引所（2013年7月16日から東京証券取引所）第2部上場。"
アメックス協販,アメックス協販（アメックスきょうはん）は島根県に拠点を置く石州瓦の製造・販売などを行う会社である。産業再生機構から支援を受けた企業としては初の自己破産となった。なお、アメックスの略称を用いるアメリカン・エキスプレスとは関係ない。
イソライト工業,"イソライト工業株式会社（イソライトこうぎょう、英称：ISOLITE INSULATING PRODUCTS CO.,LTD．）は、大阪市北区中之島に本社を置く、耐火断熱煉瓦やセラミックファイバーなどの工業製品を製造販売をおこなう企業である。"
イタルチェメンティ,イタルチェメンティ（Italcementi）は、イタリアのベルガモに本社を置くセメント会社である。セメントメーカーとしては世界第5位(2007)。ホルシム、ラファージュ、セメックス、ハイデルベルグセメントなどと並び、セメントメジャーの一つに数えられる。2009年現在、22カ国で事業を展開し、年間セメント生産量は約7000万トンに上る。イタリア証券取引所に上場しており、同市場の優良銘柄40種からなる株価指数S&P/MIB（en:S&P/MIB）の構成銘柄の一つでもある。企業構造としては、セメント等の事業を行うイタルチェメンティ・グループと、その親会社であるイタルチェメンティS.p.Aに分かれているが、この項では便宜上一括して取り扱う。
イトーヨーギョー,"株式会社イトーヨーギョー（ITO YOGYO CO., LTD.）は、本店を神戸市灘区に置くコンクリート二次製品の製造、建築内装設備の設計、施工、維持管理を行う企業である。"
ウェッジウッド,ウェッジウッド（Wedgwood & Corporation Limited）はイギリスの陶磁器メーカー。ジョサイア・ウェッジウッドによって1759年に設立された。ロイヤルドルトン社と並ぶ世界最大級の陶磁器メーカーの一つである。主に高級食器を製造・販売しているが、アクセサリやタオル、テーブルクロスなども扱っている。日本には子会社としてウォーターフォード・ウェッジウッド・ジャパンがある。
エラステック,エラステック株式会社（英: ELASTEC CORPORATION ）は、愛知県岡崎市にある研削ホイール・メーカーである。
オーウェンズ・イリノイ,"オーウェンズ・イリノイ (Owens-Illinois, Inc.) は、フォーチューン500にリストされているガラス企業で、主要なパッケージ製品のメーカーである。ガラス製の容器の製造で世界最大である。"
オハラ_(ガラスメーカー),株式会社オハラ（英: OHARA Inc.）は、日本で最初（1935年（昭和10年））に設立された光学ガラス専業メーカー。光学ガラス分野では、世界でも代表的なメーカーとなっている。
カガミクリスタル,カガミクリスタル株式会社は、日本の茨城県龍ケ崎市に工場を構えるクリスタルガラスのメーカーの会社である。
コーニング_(企業),コーニング（英:Corning Incorporated ）は、アメリカ・ニューヨーク州に本社を置く世界最大級のガラス製品メーカーである。1851年にエイモリー・ホートン（英:Amory Houghton）によって創立され、一族による経営が100年以上続いた。現在の主力製品は液晶ディスプレイ用ガラスパネル、望遠鏡ガラス、光ファイバーなど。
サンゴバン,サンゴバン（Saint-Gobain SA、Euronext: SGO  ）はフランスの多国籍企業であり、1665年パリで創業した。現在の本社はパリ近郊のラ・デファンスにある。当初は鏡を製造していたが、現在は他に各種建築材料や高機能材料も製造している。ユーロネクスト・パリに上場しており、CAC 40の構成銘柄の一つとなっている。
ジオスター,ジオスター株式会社（英文社名 GEOSTER Corporation）は、新日鐵住金グループのコンクリート製品メーカーである。
ジャニス工業,ジャニス工業株式会社（ジャニスこうぎょう、Janis  Ltd. ）とは、衛生陶器（トイレ、洗面器）を製造・販売する日本の企業である。本社は愛知県常滑市にある。名古屋証券取引所2部上場。
セイア,"株式会社セイア（SEIA Co., Ltd.）は、徳島県三好市に本社を置くプラント・砕石会社であり、セイアグループの中核企業。"
セメックス,セメックス（Cemex S.A.B de C.V.、NYSE: CX）は、メキシコのモンテレイに本社を置くセメント会社である。ホルシム、ラファージュ、ハイデルベルグセメントなどと並び、セメントメジャーの一つに数えられる。2008年の全世界でのセメント出荷量は7800万トンで、セメント生産能力では9670万トン(2007年)を誇る。セメントメジャーの中でも特に、積極的な企業買収によって規模を拡大してきた企業である。
セラミカ,株式会社セラミカは島根県大田市に拠点を置いていた石州瓦の製造・販売などを行っていた会社である。石州瓦工業組合に加盟していた。
ダントーホールディングス,ダントーホールディングス株式会社は、日本の大手タイルメーカー、株式会社Danto等の傘下事業会社を持つ持株会社である。大阪市に本社を置くが、本店所在地は兵庫県南あわじ市。2006年7月に（旧）ダントー株式会社を社名変更、純粋持株会社のダントーホールディングス株式会社とし、同時に会社分割により（新）ダントー株式会社を設立した。2012年4月に子会社再編を行い、（新）ダントー株式会社はダントープロダクツ株式会社、東海ダントー株式会社、東日本ダントー株式会社とともに、株式会社Dantoと株式会社Danto Tileの二社となった。株式会社Danto及び株式会社Danto Tileの本社所在地は東京都中央区日本橋浜町。
チヨダウーテ,"チヨダウーテ株式会社（英: CHIYODA UTE Co.,Ltd.）は、三重県三重郡川越町に本社を置く、石膏ボードを製造・販売するメーカー。石膏ボード業界において吉野石膏に次ぐ国内第2位。自由民主党所属の衆議院議員平田耕一の一族が経営している企業としても知られる。"
デイ・シイ,"株式会社デイ・シイ（英文社名 DC CO.,LTD. ）は、太平洋セメントグループのセメントメーカー。2003年（平成15年）10月に、第一セメント株式会社と中央商事株式会社が合併して現在の商号となった。セメントの生産のみならず、汚染土壌の受け入れ、産業廃棄物のリサイクル、骨材の採掘、オフィスビルや住宅の賃貸なども行っている。なお、セメントの販売は親会社の太平洋セメントに委託している。"
テイヒュー,テイヒュー株式会社はかつて存在した太平洋セメントグループの会社の一つである。旧社名は「帝国ヒューム管」である。
トゥーン_(企業),トゥーン (THUN)はイタリアの陶磁器メーカー。北イタリアのボルツァーノに本社を構え、イタリアの各都市のみならず、ドイツやスイス、スペインなど計７ヵ国で展開している。店舗数は現在、約3100を数える。
ニチアス,ニチアス株式会社 (NICHIAS Corporation) は、断熱材などを製造する日本の株式会社。本社を東京都中央区に置く。創業は1896年（明治29年）4月9日で、1981年（昭和56年）に日本アスベストから現社名に変更した。
ニチハ,ニチハ株式会社（英: NICHIHA CORPORATION）は、住宅用建材の大手メーカー。本社は愛知県名古屋市中区。
ニッカトー,株式会社ニッカトーは、大阪府堺市堺区に本社を置く工業用セラミック・電気炉の製造販売を行う企業。
ニッコー_(洋食器),ニッコー株式会社（英: NIKKO Company）は、石川県白山市に本社を置く窯業を中心とするメーカーである。
ニッタイ工業,ニッタイ工業株式会社（ニッタイこうぎょう）は、愛知県知多郡武豊町に本社を置く総合タイルメーカー。
ニワショーセラム,"株式会社ニワショーセラム（英: NIWASHO CERAM Co., Ltd）は、愛知県尾張旭市に本社を置くファインセラミックス関連メーカーである。"
ノザワ,株式会社ノザワ（英文社名 NOZAWA CORPORATION）は、神戸市中央区に本社を置く、建築材料メーカー。ビルの外壁材に使用される押出成形セメント板「アスロック」を中心に製造している。創業は1897年（明治30年）。
ノリタケTCF,ノリタケTCF株式会社は、愛知県刈谷市に本社を置く工業炉メーカー。
ノリタケカンパニーリミテド,"株式会社ノリタケカンパニーリミテド（英: Noritake Co., Ltd.）は、愛知県名古屋市西区に本社・工場を置く世界最大級の高級陶磁器・砥石メーカーである。環境エンジニアリング事業も手がけている。「ノリタケ」とは、創業地である愛知県愛知郡鷹場村大字則武（現・名古屋市中村区則武）に由来する。本社にはノリタケの企業文化施設「ノリタケの森」が開設、一般公開され、近年の名古屋政財界が提唱する「産業文化観光」の拠点のひとつとなっている。神奈川県厚木市の厚木工場は現在ノリタケスクエアになっている。"
ノリタケコーテッドアブレーシブ,株式会社ノリタケコーテッドアブレーシブは愛知県みよし市に本社を置く研磨布紙などのメーカー。社名のアブレーシブ (Abrasive) は「研磨材」という意味である。ノリタケカンパニーリミテドの子会社であり、同社の工業機材部門を担当している。
ノリタケジプサム,株式会社ノリタケジプサムは、愛知県名古屋市に本社を置く石膏メーカー。
ノリタケスーパードレッサー,株式会社ノリタケスーパードレッサーは京都府向日市に本社を置くダイヤモンド工具メーカー。ノリタケカンパニーリミテドの子会社である。砥石の砥粒切れ刃をカットして研磨能力を回復させる、ドレッサという工具が主力商品となっている。
ノリタケセラミックス,株式会社ノリタケセラミックスは、かつて存在した日本のファインセラミックスメーカー。ノリタケカンパニーリミテドの子会社。1976年から1989年までノリタケセラミックス株式会社を名乗っていたが、その後2001年に再び改称するまでは三好セラミックス株式会社という名称であった。2010年4月1日にはノリタケ機材と共に親会社であるノリタケカンパニーリミテドに吸収合併された。
ノリタケデンタルサプライ,株式会社ノリタケデンタルサプライは、歯科技工材料の開発、販売を手がける日本の企業である。特に歯科用陶材において日本最大の企業で、60%を超えるシェアを持っていた。
ノリタケボンデッドアブレーシブ,株式会社ノリタケボンデッドアブレーシブはかつて存在した日本の研削砥石メーカー。ノリタケカンパニーリミテドによって2002年4月1日に子会社として設立され、2011年4月1日に同社に吸収合併された。砥石を中心に、カーボンナノチューブ工具やドレッサ（砥石の加工・補修用具）なども扱っており、愛知県の名古屋市と津島市に工場を持つ。2011年4月1日に、ノリタケスーパーアブレーシブとともにノリタケカンパニーリミテドに合併された。なお、ノリタケボンデッドアブレーシブの設立を前に、同じノリタケグループの株式会社ユニー機構が2002年3月に解散している。同社は、汎用砥石の共同販売のために1973年3月5日に日本陶器（現・ノリタケカンパニーリミテド）45％、三菱商事45％、日本レヂボン5％、富士製砥5％という出資比率で設立され、東京都新宿区に本社を置き全国で代理店を組織していた。解散直前にはノリタケ製品が売上の80％程度となっており、以後はノリタケボンデッドアブレーシブが直接販売を行なうようになった。
ノリタケリサイクルセンター,株式会社ノリタケリサイクルセンターは愛知県愛西市に本社を置き、砥石リサイクル事業を営む企業。
