NTTロジスコ,株式会社エヌ・ティ・ティ・ロジスコ（NTTロジスコ）は、NTTグループの物流会社。
NYKロジスティックスジャパン,NYKロジスティックスジャパン（えぬわいけいロジスティックスジャパン、NYK Logistics (Japan)）は、株式会社ジェイアイティーとNYKロジスティックスジャパン株式会社が合併し、社名をNYKロジスティックスジャパン株式会社として営業を開始。日本郵船の物流事業を担う子会社。
Q配サービス,"株式会社Q配サービス（きゅうはいさーびす、Qhai Service Co.,Ltd.）は、日本の運送会社。運送業でありながら「トラックを持たない運送会社」として知られる。貨物軽自動車運送、委託運送店の開発および育成、軽貨物自動車販売、損害保険代理業などが業務の中核である。"
イヌイ倉庫,イヌイ倉庫株式会社（イヌイそうこ）は、東京都中央区に本社を置いていた物流、不動産会社である。2014年10月1日に乾汽船株式会社を吸収合併し、乾汽船株式会社に商号変更した。
エーアイテイー,株式会社エーアイテイーは、国際貨物輸送事業を手がける日本の物流企業である。主に日本-中国・東南アジア間の輸送を手がけ、自社で輸送手段を所有せず、需要に応じて運送業者のサービスを利用して貨物輸送を展開するフォワーダーである。
エフシースタンダードロジックス,"エフシースタンダードロジックス株式会社（英文社名：FC　STANDARD　LOGISTICS　Co., Ltd.）は大阪府大阪市中央区に本社を置く、総合物流会社である。世界の情報化・グローバリーゼーションの変化にスピード対応し、常に自己改良・斬新な物流コンセプトを用い新たなIT技術を駆使しながら、物流事業に取り組み、国際的物流企業を目指している総合国際物流会社である。2010年7月より、従来なら大連から日本の主要港まで3～5日バン出しを含めると8～10日のリードタイムが必要とされていた輸送について、大幅に時間短縮をする「FC大連フェリーサービス（大連～大阪港64時間輸送）」を開始した。"
オー・エル・エス_(物流),株式会社オー・エル・エスは、潤滑油などの危険物の保管と配送を主な業務とする、日本貨物鉄道（JR貨物）グループの企業である。社名は、英社名のOil Logistics Systemsの頭文字から取られている。
オーナミ,株式会社 オーナミは、大阪府大阪市西区に所在する運輸・倉庫業務を行うの企業。
カネミ倉庫,カネミ倉庫株式会社（カネミそうこ）は、福岡県北九州市に本社を置く、倉庫業・食用油の製造を営む企業。
かわさきファズ,かわさきファズ（英文名称Kawasaki FAZ、略称K-FAZ）は、神奈川県川崎市川崎区東扇島にある国際物流センター及び同施設を運営する第三セクター企業。
