chord,word,count
9050,映画,1384
9050,グループ,679
9050,芸能,662
9050,事務所,600
9050,劇場,531
9050,プロダクション,456
9050,子会社,438
9050,ホテル,437
9050,同館,324
9050,英文,242
9050,年鑑,239
9050,法人,232
9050,店舗,222
9050,人材,213
9050,プロ,205
9050,リーグ,188
9050,ビル,185
9050,タレント,185
9050,音楽,173
9050,チェーン,172
9050,システム,172
9050,クラブ,172
9050,テレビ,168
9050,モデル,168
9050,センター,155
9050,コンサルタント,153
9050,コンサルティング,151
9050,インターネット,146
9050,キネマ,137
9050,マネジメント,136
9050,自動車,128
9050,作品,125
9050,ホールディングス,125
9050,便覧,124
9050,傘下,123
9050,地域,122
9050,イベント,120
9050,番組,119
9050,塾,115
9050,英語,113
9050,スポーツ,111
9050,国際,111
9050,部門,110
9050,技術,109
9050,マネージメント,105
9050,オフィス,103
9050,サッカー,101
9050,協会,101
9050,大手,100
9050,シネマ,99
9050,バス,98
9050,大戦,98
9050,文化,97
9050,持株,96
9050,映像,95
9050,チーム,95
9050,資本,93
9050,俳優,93
9050,エージェンシー,93
9050,ビジネス,92
9050,産業,92
9050,学校,89
9050,道路,89
9050,時代,88
9050,商号,85
9050,団体,85
9050,リゾート,85
9050,プロモーション,82
9050,不動産,80
9050,名簿,78
9050,パチンコ,77
9050,個人,77
9050,業界,77
9050,地区,77
9050,ブランド,77
9050,メディア,76
9050,ゴルフ,75
9050,中央,75
9050,会員,74
9050,都市,71
9050,高速,71
9050,支配人,70
9050,県,69
9050,環境,68
9050,医療,68
9050,かん,68
9050,スタジオ,67
9050,ホームタウン,67
9050,マーケティング,67
9050,プロレス,67
9050,機器,67
9050,野球,67
9050,会館,67
9050,証券,66
9050,市内,64
9050,声優,63
9050,支社,63
9050,親会社,61
9050,研究所,61
9050,スタッフ,61
9050,コンテンツ,60
9050,舞台,60
9050,ゲーム,60
9050,株主,60
9050,西陣,59
9050,劇団,58
9050,ネット,58
9050,レストラン,58
9050,海外,58
9050,鉄道,57
9050,NTT,57
9050,jmdb,57
9050,市場,56
9050,商品,56
9050,プロサッカーリーグ,56
9050,JR,56
9050,機関,55
9050,東,55
9050,製品,54
9050,スクール,54
9050,エリア,54
9050,写真,54
9050,アーティスト,53
9050,セントラル,53
9050,劇,52
9050,国立,52
9050,商業,51
9050,興業,51
9050,新聞,50
9050,温泉,50
9050,社会,49
9050,空港,49
9050,対象,49
9050,交通,49
