chord,word,counts
6050,商社,438
6050,グループ,299
6050,機器,261
6050,子会社,254
6050,製品,207
6050,食品,181
6050,専門,177
6050,商品,167
6050,医薬品,160
6050,市場,143
6050,卸,141
6050,社名,140
6050,メーカー,139
6050,国内,121
6050,資材,111
6050,店舗,110
6050,医療,109
6050,機械,108
6050,産業,108
6050,用品,103
6050,部門,103
6050,利益,100
6050,石油,99
6050,地方,83
6050,エネルギー,80
6050,電子,75
6050,部品,74
6050,ホールディングス,73
6050,法人,72
6050,自動車,71
6050,薬品,71
6050,証券,70
6050,持株,69
6050,全国,69
6050,情報,67
6050,傘下,67
6050,青果,65
6050,材料,62
6050,商事,60
6050,大手,59
6050,分野,59
6050,システム,59
6050,支店,59
6050,ガス,58
6050,拠点,57
6050,ガソリンスタンド,55
6050,化学,54
6050,資産,54
6050,海外,53
6050,外部,53
6050,繊維,52
6050,コーヒー,50
6050,人物,50
6050,中央,49
6050,工業,48
6050,工場,47
6050,業者,46
6050,金属,46
6050,時点,44
6050,酒類,43
6050,世界,43
6050,地域,43
6050,鉄鋼,42
6050,模型,41
6050,主力,38
6050,鉄道,38
6050,住宅,37
6050,不動産,36
6050,銀行,36
6050,物流,35
6050,センター,35
6050,食料,34
6050,商店,34
6050,名称,33
6050,雑貨,33
6050,衣料,32
6050,問屋,32
6050,親会社,31
6050,家庭,31
6050,電気,31
6050,協会,30
6050,技術,30
6050,取扱,30
6050,パソコン,30
6050,燃料,30
6050,半導体,28
6050,ゲーム,28
6050,ソフト,28
6050,フランチャイズ,28
6050,新聞,28
6050,ビジネス,27
6050,中古,27
6050,買取,27
6050,ビル,27
6050,玩具,27
6050,シェア,27
6050,エレクトロニクス,26
6050,会員,26
6050,スポーツ,26
6050,珈琲,26
6050,チェーン,25
6050,建材,25
6050,写真,25
6050,映像,25
6050,アルフレッサ,25
6050,前身,25
6050,書店,25
6050,SBU,25
6050,原料,24
6050,しょうじ,24
6050,顧客,24
6050,最大,24
6050,書籍,24
6050,EDINET,24
6050,カメラ,23
6050,輸出入,23
6050,中核,23
6050,薬局,23
6050,楽器,23
6050,取り扱い,23
6050,トップ,23
6050,中部,23
6050,石炭,23
6050,財閥,23
6050,朝刊,23
6050,樹脂,22
6050,双,22
6050,倉庫,22
6050,経常,22
6050,商,22
6050,水産,22
6050,老舗,22
6050,ソフトウェア,22
6050,経済,22
6050,単体,22
6050,コード,21
6050,環境,21
6050,商会,21
6050,コンピュータ,20
6050,スーパーマーケット,20
6050,衛生,20
6050,最大手,20
6050,デジタル,20
6050,プリンター,20
6050,文化,20
6050,アパレル,19
6050,飲料,19
6050,工具,19
6050,大型,19
6050,インターネット,19
6050,器具,19
6050,直営店,18
6050,オートバイ,18
6050,スーパー,18
6050,農業,18
6050,ネットワーク,18
6050,社会,17
6050,JR,17
6050,食肉,17
6050,オリジナル,17
6050,系列,17
6050,スポンサー,17
6050,グリーン,17
6050,野球,17
6050,機構,17
6050,インテリア,16
6050,地盤,16
6050,資源,16
6050,力,16
6050,電線,16
6050,光学,16
6050,動物,15
6050,菓子,15
6050,試薬,15
6050,民事,15
6050,ネット,15
6050,未来,15
6050,英語,15
6050,木材,15
6050,デバイス,15
6050,物産,15
6050,東洋,15
6050,製薬,14
6050,機材,14
6050,基盤,14
6050,家具,14
6050,ファッション,14
6050,金融,14
6050,鉄,14
6050,百貨店,14
6050,テレビ,14
6050,レーザー,14
6050,プラント,14
6050,製作所,14
6050,コンビニエンスストア,13
6050,雑誌,13
6050,ホテル,13
6050,国際,13
6050,住,13
6050,周辺,13
6050,サウンド,13
6050,ディーラー,13
6050,カード,13
6050,ステンレス,13
6050,ファクシミリ,13
6050,サーバ,13
6050,鋼材,13
6050,コークス,13
6050,ショップ,13
6050,シリーズ,13
6050,ENEOS,12
6050,銘柄,12
6050,水産物,12
6050,保険,12
6050,非鉄,12
6050,家電,12
6050,文具,12
6050,地方裁判所,12
6050,太陽光,12
6050,ネクステージ,12
6050,米穀,12
6050,中小,12
6050,土木,12
6050,戦前,12
6050,バルヴ,12
6050,舗数,12
6050,コメダ,12
6050,電機,11
6050,カラオケ,11
6050,モデル,11
